# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 7864104f-3b3d-480d-955c-bc697dc60548
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	13	3687	14586	116688	0	0	-99.00310908906597	-99.00310908906597	-99.00310908906597	-99.00310908906597	-Infinity,-Infinity,-Infinity,-Infinity,-107.59451075000896,-105.80779796328207,-101.53094043240141,-101.53094043240141,-100.26045121131713,-100.25788480893107,-100.25788480893107,-99.00310908906597,-99.00310908906597	0.9976279600236874	-99.00310908906597	3	false	90
25	9	9	27	9123	30294	242352	0	0	2.4206966660664566	2.4206966660664566	2.4206966660664566	2.4206966660664566	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.305750682725579,-2.8156713572727217,-2.0768386677033774,-2.0768386677033774,-1.7140634816511984,-0.7304336424584967,0.5633053048937811,1.462633458818626,1.462633458818626,1.462633458818626,1.462633458818626,1.462633458818626,1.462633458818626,1.462633458818626,1.5253223190305576,2.4206966660664566,2.4206966660664566	0.9975483437027073	2.4206966660664566	2	false	45
26	9	9	12	3966	13464	107712	0	0	49.41873359234287	49.41873359234287	49.41873359234287	49.41873359234287	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,49.41873359234287,49.41873359234287	0.9975483437027073	49.41873359234287	5	false	21
27	10	10	22	5874	24684	197472	0	0	56.68303805679405	56.68303805679405	56.68303805679405	56.68303805679405	-21.240095153791394,-19.319254639608936,-19.319254639608936,-7.391441512234513,-7.391381375082188,-6.0775805669674465,-6.0775805669674465,-2.4980681691741307,-0.09980102472894359,-0.09980102472894359,-0.09980102472894359,1.534021519379067,3.3697615386341297,6.387002192299338,6.683014420017988,6.683014420017988,56.6830314241779,56.6830314241779,56.6830314241779,56.6830314241779,56.68303805679405,56.68303805679405	0.997245085209203	56.68303805679405	2	false	28
28	10	10	22	7038	24684	197472	0	0	-37.77647251844275	-37.77647251844275	-37.77647251844275	-37.77647251844275	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-37.80241672957829,-37.80241672957829,-37.80241672957829,-37.80241672957829,-37.80241672957829,-37.77647251844275,-37.77647251844275	0.9970255371725607	-37.77647251844275	0	true	29
29	10	10	15	5301	16830	134640	0	0	-0.13416941313607467	-0.13416941313607467	-0.13416941313607467	-0.13416941313607467	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.15118843874036259,-0.1420271190784277,-0.1420271190784277,-0.1420271190784277,-0.1420271190784277,-0.13416941313607467,-0.13416941313607467	0.9970255371725607	-0.13416941313607467	6	true	20
30	10	10	17	5869	19074	152592	0	0	-40.2791883015891	-16.915136367614807	-40.2791883015891	9.718112313720997	-275.31992779597,-266.91507806586526,-16.915136367614807,-105.76691742271537,-58.34661765853646,-55.78398699878461,-51.820017313354064,-47.841804586309706,-44.549595049527454,-44.54959195045872,-44.54959195045872,-44.54959195045872,-44.54959195045872,-40.27919499051505,-40.27919499051505,-40.2791883015891,-40.2791883015891	0.9968566540674508	-16.915136367614807	10	true	22
31	10	10	27	6974	30294	242352	0	0	9.448787063626188	9.448787063626188	9.448787063626188	9.448787063626188	-11.746784652709234,-3.2584983097035813,-0.7109083168666057,4.523781944288757,6.537733497120733,7.173855232255107,7.173855232255107,7.173855232255107,4.929929752751624,4.929929752751624,7.222839265204957,8.790448064715402,8.790448064715402,8.93301697061761,8.93301697061761,8.93301697061761,8.93301697061761,8.93301697061761,8.93301697061761,8.93301697061761,9.441679044005216,9.441679044005216,9.441679044005216,9.441679044005216,9.441679044005216,9.448787063626188,9.448787063626188	0.9964971743151462	9.448787063626188	2	true	29
32	10	10	18	5236	20196	161568	0	0	47.44279632918218	47.44279632918218	47.44279632918218	47.44279632918218	39.88597698260734,41.212943934493076,46.497454383521095,47.44278630045847,47.442792765215195,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279281722515,47.44279632918218,47.44279632918218	0.9962776262785035	47.44279632918218	5	true	21
33	11	11	14	3607	15708	125664	0	0	54.46135940953372	54.46135940953372	54.46135940953372	54.46135940953372	-Infinity,-Infinity,-Infinity,39.64447889010157,46.264226160725286,49.50222711420871,52.496388891568294,52.496388891568294,52.496388891568294,53.49007176717213,53.49007176717213,54.461358546366306,54.46135940953372,54.46135940953372	0.9961322478999276	54.46135940953372	1	true	18
