# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 7b2193fe-e69f-4abf-87ff-c9884ce33c2e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	29
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	22
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	24
27	14	14	1	0	0	0	0	0	-68.5115653251771	-68.5115653251771	42.895727679695334	42.895727679695334	-68.5115653251771	0.9962825977292168	-68.5115653251771	6	true	26
28	14	14	1	0	0	0	0	0	-23.79678879988122	-23.79678879988122	44.293772954560495	44.293772954560495	-23.79678879988122	0.9962825977292168	-23.79678879988122	7	true	26
29	14	13	1	0	0	0	0	0	-31.19644578500804	-31.19644578500804	43.37489681825868	43.37489681825868	-31.19644578500804	0.9962914805418883	-31.19644578500804	7	true	27
30	14	13	1	0	0	0	0	0	-Infinity	-Infinity	12.71853963006025	12.71853963006025	-Infinity	0.9961225974367784	-Infinity	8	true	26
31	14	13	1	0	0	0	0	0	-Infinity	-Infinity	8.916273737270323	8.916273737270323	-Infinity	0.9959126998632849	-Infinity	9	true	24
32	14	13	1	0	0	0	0	0	-Infinity	-Infinity	-14.95817911247828	-14.95817911247828	-Infinity	0.9959413222596706	-Infinity	10	true	25
33	15	14	1	0	0	0	0	0	-Infinity	-Infinity	18.34097028713971	18.34097028713971	-Infinity	0.995680357652013	-Infinity	7	true	26
34	15	12	1	0	0	0	0	0	-503.6023605471089	-503.6023605471089	34.70963831049936	34.70963831049936	-503.6023605471089	0.9957226880926443	-503.6023605471089	8	true	25
35	16	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9950433539746016	-Infinity	11	true	20
36	16	14	1	0	0	0	0	0	-Infinity	-Infinity	-55.64692337396955	-55.64692337396955	-Infinity	0.994610289440785	-Infinity	11	true	26
37	17	17	1	0	0	0	0	0	-691.2090159824348	-691.2090159824348	34.568542181706256	34.568542181706256	-691.2090159824348	0.9940849971852816	-691.2090159824348	10	true	25
38	17	16	1	0	0	0	0	0	-545.5622783544037	-545.5622783544037	37.9367560275952	37.9367560275952	-545.5622783544037	0.9941225023943382	-545.5622783544037	9	true	25
39	17	14	1	0	0	0	0	0	-Infinity	-Infinity	-99.81914594110728	-99.81914594110728	-Infinity	0.9941817211454809	-Infinity	10	true	24
40	17	14	1	0	0	0	0	0	-Infinity	-Infinity	-159.33308902868157	-159.33308902868157	-Infinity	0.9939718235719875	-Infinity	12	true	24
41	18	15	1	0	0	0	0	0	-Infinity	-Infinity	-4.262160112952905	-4.262160112952905	-Infinity	0.9938264086386268	-Infinity	10	true	24
42	19	16	1	0	0	0	0	0	-1154.5864601625244	-1154.5864601625244	32.34264530654812	32.34264530654812	-1154.5864601625244	0.9937928513463126	-1154.5864601625244	10	true	24
43	20	18	1	0	0	0	0	0	-Infinity	-Infinity	-37.908706934030505	-37.908706934030505	-Infinity	0.9935465817620869	-Infinity	8	true	20
44	22	20	1	0	0	0	0	0	-82.10689269016177	-82.10689269016177	46.63513475512559	46.63513475512559	-82.10689269016177	0.9928533202710905	-82.10689269016177	8	true	24
45	23	20	1	0	0	0	0	0	-37.71987112542422	-37.71987112542422	48.519733816875366	48.519733816875366	-37.71987112542422	0.992862934179455	-37.71987112542422	9	true	24
46	23	19	1	0	0	0	0	0	-26.813436133494665	-26.813436133494665	47.31345110913077	47.31345110913077	-26.813436133494665	0.9926553395573948	-26.813436133494665	6	true	24
47	24	20	1	0	0	0	0	0	-19.436296962124047	-19.436296962124047	47.36102779412032	47.36102779412032	-19.436296962124047	0.9925770392086619	-19.436296962124047	4	true	24
48	24	20	1	0	0	0	0	0	-382.6192636486025	-382.6192636486025	42.74753029954338	42.74753029954338	-382.6192636486025	0.9925447978885957	-382.6192636486025	6	true	24
49	24	17	1	0	0	0	0	0	-482.5809291446652	-482.5809291446652	39.49240405701284	39.49240405701284	-482.5809291446652	0.9926661963284374	-482.5809291446652	6	true	25
50	24	18	1	0	0	0	0	0	-437.84205380328393	-437.84205380328393	24.16343566194337	24.16343566194337	-437.84205380328393	0.9924594790212089	-437.84205380328393	7	true	26
51	24	18	1	0	0	0	0	0	-637.2153982984071	-637.2153982984071	31.470189063314017	31.470189063314017	-637.2153982984071	0.9924524605025553	-637.2153982984071	8	true	26
52	25	16	1	0	0	0	0	0	-436.5666535708225	-436.5666535708225	24.996653419582632	24.996653419582632	-436.5666535708225	0.9923348272055329	-436.5666535708225	7	true	25
53	25	17	1	0	0	0	0	0	-132.59759935953036	-132.59759935953036	24.265705712923957	24.265705712923957	-132.59759935953036	0.9923157456079427	-132.59759935953036	6	true	24
54	25	15	1	0	0	0	0	0	-149.26042363392838	-149.26042363392838	22.91586799535237	22.91586799535237	-149.26042363392838	0.9922572945072781	-149.26042363392838	8	true	23
55	25	13	1	0	0	0	0	0	-703.6500191073029	-703.6500191073029	7.486602184553545	7.486602184553545	-703.6500191073029	0.9923132233278014	-703.6500191073029	11	true	24
56	25	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9923260175024309	-Infinity	11	true	17
57	25	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9923260175024309	-Infinity	11	false	16
58	25	12	1	0	0	0	0	0	-Infinity	-Infinity	-9.122643638196886	-9.122643638196886	-Infinity	0.9924088871992455	-Infinity	11	false	21
59	26	13	1	0	0	0	0	0	-Infinity	-Infinity	-101.9262383982147	-101.9262383982147	-Infinity	0.9923181582237298	-Infinity	9	true	20
60	26	14	1	0	0	0	0	0	-Infinity	-Infinity	-0.8060824611816066	-0.8060824611816066	-Infinity	0.9922813110007968	-Infinity	9	true	20
61	26	13	1	0	0	0	0	0	-Infinity	-Infinity	-4.64723213892043	-4.64723213892043	-Infinity	0.9920489322347402	-Infinity	9	true	20
62	26	12	1	0	0	0	0	0	-Infinity	-Infinity	-3.778830914569326	-3.778830914569326	-Infinity	0.9920857794576731	-Infinity	9	true	21
63	26	13	1	0	0	0	0	0	-Infinity	-Infinity	-13.344771276939442	-13.344771276939442	-Infinity	0.9920558410890402	-Infinity	11	false	20
64	26	13	1	0	0	0	0	0	-Infinity	-Infinity	-100.6734587202561	-100.6734587202561	-Infinity	0.9920558410890402	-Infinity	9	true	20
65	26	13	1	0	0	0	0	0	-Infinity	-Infinity	-105.76326249672063	-105.76326249672063	-Infinity	0.9920558410890402	-Infinity	11	true	19
66	26	11	1	0	0	0	0	0	-Infinity	-Infinity	-114.02348894716847	-114.02348894716847	-Infinity	0.9921009131385207	-Infinity	11	true	19
67	26	10	1	0	0	0	0	0	-Infinity	-Infinity	-107.79511364938448	-107.79511364938448	-Infinity	0.992109795951192	-Infinity	10	false	20
68	26	10	1	0	0	0	0	0	-861.5998362695751	-861.5998362695751	-4.550557251928318	-4.550557251928318	-861.5998362695751	0.992109795951192	-861.5998362695751	11	false	22
69	26	9	1	0	0	0	0	0	-109.72000210618442	-109.72000210618442	5.6499806445112775	5.6499806445112775	-109.72000210618442	0.9921518339535461	-109.72000210618442	10	false	21
70	26	11	1	0	0	0	0	0	-Infinity	-Infinity	-8.570562561643989	-8.570562561643989	-Infinity	0.9921009131385207	-Infinity	10	false	19
71	26	11	1	0	0	0	0	0	-141.1862202324755	-141.1862202324755	18.250182104674582	18.250182104674582	-141.1862202324755	0.9921009131385207	-141.1862202324755	8	false	21
72	26	12	1	0	0	0	0	0	-93.04896932465338	-93.04896932465338	18.283302666001468	18.283302666001468	-93.04896932465338	0.9920558410890402	-93.04896932465338	8	false	21
73	26	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9920978790913944	-Infinity	7	true	15
74	26	11	1	0	0	0	0	0	-Infinity	-Infinity	7.936300066537816	7.936300066537816	-Infinity	0.9920558410890402	-Infinity	8	true	20
75	26	10	1	0	0	0	0	0	-Infinity	-Infinity	-6.0799619120645225	-6.0799619120645225	-Infinity	0.9921009131385207	-Infinity	8	true	19
76	26	9	1	0	0	0	0	0	-Infinity	-Infinity	-11.12379929253062	-11.12379929253062	-Infinity	0.992109795951192	-Infinity	10	false	19
77	26	6	1	0	0	0	0	0	-Infinity	-Infinity	-13.206890694634602	-13.206890694634602	-Infinity	0.992109795951192	-Infinity	10	false	19
78	26	6	1	0	0	0	0	0	-Infinity	-Infinity	-20.41935965806882	-20.41935965806882	-Infinity	0.9920337985538927	-Infinity	10	false	18
79	26	5	1	0	0	0	0	0	-Infinity	-Infinity	-20.653419482945665	-20.653419482945665	-Infinity	0.9920337985538927	-Infinity	10	false	20
80	26	6	1	0	0	0	0	0	-Infinity	-Infinity	-17.097033445772002	-17.097033445772002	-Infinity	0.991988726504412	-Infinity	10	false	20
81	26	5	1	0	0	0	0	0	-Infinity	-Infinity	-7.869059846002788	-7.869059846002788	-Infinity	0.991988726504412	-Infinity	9	false	19
82	26	5	1	0	0	0	0	0	-Infinity	-Infinity	-14.421511918849514	-14.421511918849514	-Infinity	0.991988726504412	-Infinity	10	false	18
83	26	6	1	0	0	0	0	0	-973.7306970665373	-973.7306970665373	9.1662008746095	9.1662008746095	-973.7306970665373	0.9919798436917407	-973.7306970665373	11	false	20
84	26	6	1	0	0	0	0	0	-Infinity	-Infinity	-39.91558003175838	-39.91558003175838	-Infinity	0.9919798436917407	-Infinity	7	true	18
85	26	6	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9919472733786125	-Infinity	9	true	13
86	26	5	1	0	0	0	0	0	-Infinity	-Infinity	-70.78119957383474	-70.78119957383474	-Infinity	0.9919923454280932	-Infinity	11	false	17
87	26	3	1	0	0	0	0	0	-Infinity	-Infinity	-25.649125539141416	-25.649125539141416	-Infinity	0.9920091240742501	-Infinity	12	false	17
88	26	2	1	0	0	0	0	0	-917.4493294434033	-917.4493294434033	-6.4692107068228	-6.4692107068228	-917.4493294434033	0.9920091240742501	-917.4493294434033	10	false	19
89	26	2	1	0	0	0	0	0	-1069.7364070063375	-1069.7364070063375	-4.627746696235473	-4.627746696235473	-1069.7364070063375	0.9920091240742501	-1069.7364070063375	10	false	21
90	26	2	1	0	0	0	0	0	-Infinity	-Infinity	-71.08445912029121	-71.08445912029121	-Infinity	0.9920091240742501	-Infinity	11	false	17
91	26	2	1	0	0	0	0	0	-1121.371710753856	-1121.371710753856	-1.968706697410914	-1.968706697410914	-1121.371710753856	0.9920091240742501	-1121.371710753856	11	false	19
92	26	2	1	0	0	0	0	0	-625.5602829308945	-625.5602829308945	-0.12142701490179775	-0.12142701490179775	-625.5602829308945	0.9920091240742501	-625.5602829308945	12	false	20
93	26	2	1	0	0	0	0	0	-525.7031758279041	-525.7031758279041	-0.3767748741923107	-0.3767748741923107	-525.7031758279041	0.9920091240742501	-525.7031758279041	12	false	19
94	26	2	1	0	0	0	0	0	-Infinity	-Infinity	-72.47977424454658	-72.47977424454658	-Infinity	0.9920091240742501	-Infinity	12	false	16
95	26	1	1	0	0	0	0	0	-570.1793764346506	-570.1793764346506	-1.4021680294129677	-1.4021680294129677	-570.1793764346506	0.9921617403001879	-570.1793764346506	11	false	20
96	26	1	1	0	0	0	0	0	-876.7677628917795	-876.7677628917795	-2.627592347828122	-2.627592347828122	-876.7677628917795	0.9921617403001879	-876.7677628917795	12	false	20
97	26	1	1	0	0	0	0	0	-780.1043261526946	-780.1043261526946	-3.1891384864993793	-3.1891384864993793	-780.1043261526946	0.9921617403001879	-780.1043261526946	12	false	19
98	26	1	1	0	0	0	0	0	-Infinity	-Infinity	-31.0282697028591	-31.0282697028591	-Infinity	0.9921617403001879	-Infinity	12	false	17
99	26	1	1	0	0	0	0	0	-Infinity	-Infinity	-26.73549552018953	-26.73549552018953	-Infinity	0.9921617403001879	-Infinity	11	false	17
