# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 7dde0340-f47a-48f5-8a3e-ba149d3a89d6
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: test.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-1134.4663261815913	-733.4817884924703	16.48440563699791	-81.47200422319241	-1193.9785397377336,-1135.371523124595,-1037.660414405129,-1132.5555866839454,-1039.7712643230104,-1284.5699135092175,-989.7077211875123,-1139.87026537636,-1036.777418954059,-1238.5027136552844,-1233.512743900866,-1287.7509495901052,-1086.7524053434213,-938.3842845940385,-933.3758669803573,-Infinity,-1038.747736297841,-891.6860879849257,-891.5822838067579,-1087.6670537218622,-1039.764883214705,-1085.4382280391114,-1235.5494266397004,-1183.3441826853175,-1186.4518263406835,-1088.6466141477126,-Infinity,-884.4431262763259,-Infinity,-1081.4326505614622,-Infinity,-1084.3976636531982,-1086.8204365024746,-1133.44792449031,-1032.2966035706293,-1083.3525860543764,-1245.4273513188625,-1135.436921945021,-1236.4883474390836,-790.7109392850788,-987.7155579542489,-838.6544944602625,-883.5005721552476,-1238.4453508713082,-1090.9898304675007,-1182.5139113817004,-886.582171191185,-Infinity,-1290.7700690139372,-1133.551945184631,-1033.4816817294245,-Infinity,-1183.3956912682381,-1186.857458883752,-1283.4639162670912,-1139.7524604068574,-734.4491360218718,-1039.6215021775524,-736.7023932885106,-1190.7141336115606,-Infinity,-1186.7452305311524,-1183.5374568124505,-1039.7601245576084,-733.4817884924703,-1186.6756465492692,-882.6202389674977,-989.780035200239,-1085.2639774119618,-982.4073422923335,-1240.6592128467807,-1190.7460890538218,-1243.7540357286275,-1288.7634525093683,-1234.4911717714308,-988.3971455422013,-Infinity,-1138.5678656717994,-938.4989838782019,-1084.7683570023748,-995.2225331931912,-838.6015291537703,-1234.4056471695785,-Infinity,-1033.4534651746822,-1086.6844955809358,-1093.8034803401051,-1284.4384649063225,-1090.8269645800656,-1136.6913299969076,-933.483999143432,-1088.7323892879422,-1135.8306934063698,-1094.1938499147445,-1285.8690288018272,-1136.4835976723818,-1140.5639544228213,-987.6251671027743,-1036.650955864866,-1134.4663261815913	0.9991239280309399	-733.4817884924703	2	true	10
25	6	6	100	0	0	0	0	0	-1095.4653808625412	-534.2505159893745	17.16374890365916	19.86104265307224	-1133.0134327922085,-734.0759844194749,-984.012627327901,-1238.342377241848,-1088.4075871300236,-Infinity,-1185.3835724705618,-Infinity,-Infinity,-1032.269490099246,-1239.398947553082,-1135.1218174208082,-1235.3804651024604,-1085.1254642413114,-1290.5151490356989,-Infinity,-Infinity,-1093.6932918136272,-833.1490935028163,-1084.1500396683086,-1189.4638831943462,-933.0537585525959,-1190.361511253565,-983.1899315526096,-Infinity,-1087.3009586464157,-1196.6681008110581,-1233.2242053044217,-1238.344153899972,-1194.0063695871634,-733.025355157268,-939.4311005530676,-832.1519716086145,-1133.2638273713028,-1081.2047606510869,-1137.5767623384709,-1289.4826485764058,-1185.1158915270955,-1034.197348009239,-1135.2039236349633,-534.2505159893745,-1133.151164898618,-1084.1608593672256,-Infinity,-Infinity,-1035.064156938237,-1195.523240112775,-935.2764240047088,-1285.474805459962,-1087.1785031371178,-1185.2249536141144,-1142.7781756601396,-Infinity,-1086.0729790652358,-1236.2425640967215,-1081.941419874116,-1239.4944614601036,-1283.0738342168818,-Infinity,-1136.1545644357454,-1235.2042256741327,-1284.2008643790552,-1136.1397514495977,-940.5048364597842,-1234.211830267546,-1084.0549478252374,-1138.491761483912,-1189.5132663614413,-1134.1966403520044,-588.5099480037793,-1242.769331649022,-887.5433066013177,-984.3371476273644,-1132.2245193384113,-1135.1470443780706,-1081.192283303972,-1186.567599095914,-1136.3264803147808,-899.2026454020133,-885.2117572996534,-1181.1133610540412,-1134.415747960753,-1236.6253575573594,-1085.3759176658682,-1189.4371241308083,-1237.348826254802,-883.0444655152517,-1131.994730325081,-1083.0606912225742,-1036.2283024682838,-1034.069579554432,-1088.1404516975704,-1138.3739800193723,-1138.4856534585572,-993.6184808906139,-944.478130175159,-1136.514358265008,-1236.1141349306108,-1232.1981444319804,-1095.4653808625412	0.9990443117099597	-534.2505159893745	2	true	4
26	6	6	100	0	0	0	0	0	-933.0407350797773	-685.4816277974074	-30.819524081711073	-80.01914631079596	-789.2958442458051,-1088.3127334321832,-Infinity,-1239.154073328367,-Infinity,-Infinity,-1185.374686757097,-1135.9359798204275,-1082.0516007017532,-993.3833019672787,-1242.6382024093864,-1131.152617117848,-1286.4368514097425,-689.5292571757046,-1134.3886712207443,-1134.0382059242554,-983.0523117483092,-1185.003858056706,-1188.2205087958953,-1087.4669925098708,-886.2027828915326,-1187.5287615771429,-Infinity,-1236.161904813794,-1181.084124698322,-1033.1130569516913,-981.0008230038983,-1083.9499246748217,-1039.3921325129636,-1138.3539649292773,-1244.431346700465,-1292.4103244582209,-1234.2283643229798,-934.1454083934509,-985.3378097782514,-1084.203048466053,-Infinity,-1134.4444190066808,-1183.270195746844,-1185.3257533011324,-1239.3434180318277,-1182.0062899365732,-1281.9599867391485,-1039.2816768317646,-Infinity,-879.0189643467411,-Infinity,-1180.0516964557264,-1182.1073133769523,-1138.3821138466585,-1289.0996476032633,-1182.890842220147,-1031.9365981123676,-1184.0524785868452,-1131.9033532256644,-1188.1348523709971,-1185.1452908936722,-834.3035965589643,-1192.3404465515978,-881.9421154065276,-1132.936792809702,-1082.8591701430348,-734.2757461584479,-1233.2441389198684,-Infinity,-Infinity,-1084.3556112179576,-1085.4288224377149,-1233.0378011305243,-Infinity,-1085.324001174071,-Infinity,-1085.0390882540883,-1188.342479882541,-1187.2282341776631,-1238.440227867679,-Infinity,-882.9970874386252,-1232.1880869265817,-1184.3408749690764,-1288.3740135273672,-1081.1039690119464,-834.05622508835,-Infinity,-1032.0226061991198,-1233.1287153678154,-685.4816277974074,-1183.0283593751076,-1036.2984494053574,-Infinity,-1131.0527630850613,-1086.0431217897885,-1293.9364538239683,-1133.0722325869287,-1238.4626457716286,-1193.231765873925,-1234.246073846491,-1134.0930098637161,-1230.9279197369224,-933.0407350797773	0.9990443117099597	-685.4816277974074	2	true	3
27	6	6	100	0	0	0	0	0	-Infinity	-734.1254758665947	-134.47774889892875	21.17638778419218	-1131.2289151210578,-1232.1202073269246,-932.1677775202515,-1036.3018858600465,-1282.0051612513394,-1188.4473912363287,-736.4686867580697,-1184.205931507993,-1087.4121609756764,-1035.208043369896,-1188.4106092826705,-1038.3733740084415,-1038.2302402818432,-1040.4293784886763,-1083.0747297154753,-1183.1284460908191,-1285.392188951445,-1284.4210575205516,-886.2391325176948,-1134.190014489835,-1031.1262105431529,-1083.085525063992,-1081.0615499775583,-Infinity,-Infinity,-1183.2408101761475,-1132.1364116868876,-1290.4182906413812,-734.1254758665947,-832.0313529903341,-1035.2836419439445,-1184.2092180391871,-785.220474769473,-1286.135310227053,-1236.2183756631346,-1286.3237626195576,-1141.439140284126,-939.3114952034443,-Infinity,-1282.0420746588266,-1237.5222022809367,-931.1110275808456,-Infinity,-990.9078957478222,-1135.0288863425274,-1236.503833663919,-934.145290247074,-1284.4013927588971,-Infinity,-1288.0807599822595,-984.25778780725,-1184.0039281280824,-1081.0981034977176,-930.0070851342093,-1233.0578104761992,-Infinity,-1135.1367586753634,-Infinity,-Infinity,-1190.4444445367608,-883.0656908451167,-1183.2905322655126,-1031.992815697748,-1194.4562891410067,-Infinity,-1236.4958213330217,-836.0691530234035,-929.293164502067,-Infinity,-1197.171322172919,-1030.1882845996174,-984.3374510529051,-1185.4114906790994,-Infinity,-Infinity,-1283.0243294798672,-1192.3998293121458,-834.2178564054427,-1236.4170852478817,-832.0619979373096,-1183.1252271891926,-1237.409704582692,-Infinity,-1284.172404446796,-Infinity,-Infinity,-1084.529276151678,-1233.096503830336,-1182.1168413116002,-Infinity,-1234.2080811469386,-1132.1694893828094,-887.7766762969251,-1131.0805305890185,-784.275153749275,-884.1186567383975,-1187.4285555997083,-1233.5599151878548,-985.3943152353356,-Infinity	0.9990443117099597	-734.1254758665947	2	true	3
28	6	6	100	0	0	0	0	0	-781.5156728042863	-479.35915101707894	20.751320033836436	22.84749337084786	-982.5108552830181,-880.1127293163586,-879.2100212803141,-1028.2008621842228,-1182.3541984645888,-783.5155876328934,-1186.5479517025094,-1135.5067249281863,-Infinity,-Infinity,-1234.3795024047513,-1133.327714605932,-780.3357576447439,-981.0606517511227,-733.5073742607739,-1029.1762241334995,-881.5071335399164,-1081.1377959435497,-839.4418534362856,-1029.3254697594198,-780.2698425399514,-932.3193560243927,-Infinity,-1283.2983788196207,-1081.3333593630546,-1029.2847334097555,-Infinity,-1029.1809500183585,-1179.1762389854703,-1032.314819981051,-680.3355682948923,-Infinity,-1030.177098804357,-1032.217007019889,-1177.228043919824,-1037.2884008647388,-1237.5067888428007,-1036.5962932570146,-1133.2317227931485,-1234.2440529878063,-1186.5841703493313,-479.35915101707894,-1183.2729597163045,-1185.412019301716,-1281.314979696058,-983.5161712750946,-987.6685195840303,-1178.2348783411726,-1081.3762748664458,-930.3055927089046,-928.269988955579,-928.0568860602558,-635.5286817063195,-1181.265920255808,-1032.3405947952374,-1080.3539578767718,-Infinity,-1030.2414873562743,-1130.1410589051686,-1083.2382569729598,-1182.5405631791898,-1187.525124155911,-831.2609037327721,-1032.1513745015118,-1180.2957292658339,-1186.527555867002,-1028.2340217568417,-1083.391010938368,-Infinity,-1283.3254084111838,-981.1926656605017,-829.2519695886136,-633.4026169919072,-Infinity,-930.280204664234,-981.7069177476532,-1085.5263018505184,-1032.5797614068858,-880.1739070624628,-Infinity,-1081.1812428758337,-1082.1969958331865,-1029.0985570809971,-Infinity,-884.2341455573063,-632.1695279487082,-1033.553920358675,-878.0879406870644,-1083.6433797606553,-1133.269297750812,-880.237793408714,-1180.28004470866,-983.503307747963,-832.495759569869,-1191.518474208853,-1082.0911964463012,-1086.5381732164365,-1035.2781512361826,-1028.4027567224139,-781.5156728042863	0.9990443117099597	-479.35915101707894	0	true	3
29	6	6	100	0	0	0	0	0	-Infinity	-578.3374041192433	-82.6250741592496	23.606865328834424	-782.3486073613254,-Infinity,-980.3664167318733,-1227.265587460279,-1090.655368551731,-1185.6299373096524,-Infinity,-1234.6466505873914,-584.3753620874978,-1031.5278618460363,-978.2559314123722,-935.6397211371502,-683.7155958836206,-933.6458314951993,-1130.2421798044609,-1030.2836495910647,-980.5248461884316,-983.7054496253688,-1083.590537887402,-878.1748656324412,-1079.2804883419972,-931.2773855633416,-1083.3943152942193,-1082.5541910781294,-1182.7007782336486,-929.411041665975,-1027.4068406096183,-1184.6597905149642,-1138.6696953959113,-1081.2394341640897,-1128.2906065213697,-981.5582032798708,-931.6025064109424,-Infinity,-981.6248735791926,-1181.296839921501,-1034.6274170091544,-882.3982170029968,-979.3185792802625,-Infinity,-682.4238020681695,-878.2532190496765,-935.6106126808095,-1181.3873794441643,-878.3045694979982,-1286.5983162167595,-1182.3101029660336,-833.5778480504345,-929.3249505836022,-Infinity,-1077.259605789669,-1131.595547864451,-Infinity,-1181.2306925321448,-784.6246848791577,-929.339156480334,-732.2169410058625,-1194.9284249549682,-1079.3139316370798,-Infinity,-881.5268200388887,-1031.54822283107,-1132.4757497443597,-936.5906756499406,-Infinity,-1130.3636122652533,-Infinity,-1030.4278536892623,-1234.6104920328346,-Infinity,-639.8459406036776,-Infinity,-735.5449456027854,-1084.4152166166482,-978.381979771211,-1178.309687653637,-1034.6203714465044,-982.2657326404064,-885.5447008887429,-1036.6551824049393,-1080.3740288670251,-1136.6950772747339,-1129.4244784451437,-1131.6336199275047,-Infinity,-883.3166192545663,-984.2832112914411,-1280.3211803110771,-1127.3649019869345,-Infinity,-877.2731594297132,-Infinity,-1031.2731379895781,-929.4345285436568,-1079.1633357178866,-578.3374041192433,-831.5806094155114,-Infinity,-929.3531458110662,-Infinity	0.9990443117099597	-578.3374041192433	1	true	2
30	6	6	100	0	0	0	0	0	-Infinity	-583.5539819072634	-81.6245825805165	24.430701653711118	-980.5642594905784,-Infinity,-828.5507853556104,-887.892817223207,-1249.5725221600821,-1141.1428292577466,-1184.8466438761811,-Infinity,-1087.8019900811012,-1194.8143769270482,-783.5646090524793,-1186.8617126745,-933.6499313861955,-640.022869840157,-881.6697931965236,-1034.605536369831,-1032.5380701815911,-980.9584092991671,-934.907958818069,-833.4682334019489,-Infinity,-1184.016958358713,-828.515105495113,-1134.828923721996,-981.9558190052785,-1029.6550172631817,-Infinity,-833.6155404809082,-1294.1349301885587,-880.7777601148197,-929.8638647197128,-984.2031513320393,-987.8980229070954,-782.9766663462635,-1034.647017662469,-983.7127818892785,-1204.5984465198487,-1033.606722371801,-1032.6572395321396,-Infinity,-784.8597472673766,-1036.8919326713524,-1033.5230781645225,-1082.9273048419614,-1192.8655569413916,-Infinity,-1149.5581864588776,-983.5945033242975,-1181.679377868042,-583.5539819072634,-Infinity,-Infinity,-1081.552893347115,-1088.9628032655398,-980.9691014669155,-1182.9166609358363,-840.9611952252307,-1082.8686200659708,-1182.9327829610081,-1082.544244318497,-586.9691142380314,-981.9463747482492,-934.6175769200419,-1133.627701917438,-1177.7193618136046,-882.8439608937583,-991.9495122345861,-989.9058013508228,-1288.9428581213813,-1300.182253797506,-Infinity,-1192.8549344294324,-1134.6727170274075,-1241.839482787666,-979.4356016271219,-933.5736702928552,-982.7649512257443,-1129.6213474319552,-1141.8987297985364,-984.9183414864367,-1032.5895320732395,-1189.8487859901204,-1086.8310137261085,-879.6389600609075,-680.6179725708067,-1182.974659221813,-1130.5913167033048,-1129.6161261904801,-1186.9635915771419,-1029.6245265955572,-982.8925652456239,-936.6186171958985,-981.8626046197263,-1189.8074035439402,-1185.9106006706345,-830.5953223583105,-1234.8661101386076,-831.4673152955838,-984.9800595810757,-Infinity	0.99887542860485	-583.5539819072634	2	true	2
31	6	6	100	0	0	0	0	0	-980.9825366358408	-490.34131741707864	22.998466325097013	-27.07929437195049	-1145.033496145121,-1034.4079859217952,-1091.339643788011,-Infinity,-1242.323807679213,-931.2364559779918,-981.2580898303315,-1189.372904897259,-1131.1099277682,-1030.3401577101765,-986.2813591707774,-788.3188148254737,-Infinity,-1127.0454474738092,-634.2962048938313,-1289.3630788039438,-827.060650781742,-1092.3101855084465,-1089.323893048307,-1030.0528553644644,-Infinity,-1032.0128210177681,-1138.350413289221,-932.3267429128357,-1187.4044887965813,-634.3953102089438,-982.0651953798274,-Infinity,-1288.5602610664223,-928.0372508921637,-Infinity,-878.880860037073,-Infinity,-1184.0243581030163,-829.0839964436419,-939.3961386403785,-1044.3448697704441,-1089.3271962912368,-1187.2908240617824,-881.286828075522,-993.5509226434687,-Infinity,-982.0416168589808,-927.9884286147485,-1082.2399644228674,-880.2245791744925,-980.9689670579612,-1235.3830393473959,-1084.0919784053606,-928.9747101517036,-1184.3035634898117,-831.2857391377315,-Infinity,-1137.2853676371508,-1239.274079464677,-Infinity,-490.34131741707864,-986.054176734974,-986.2618822449235,-1092.3498284762077,-991.605080468285,-1134.1209087713275,-1186.0840507553933,-1078.9646742420068,-830.0391700138305,-981.3211833714269,-1032.2823391015766,-1186.4184548707246,-1133.073739608159,-Infinity,-934.0147974936103,-Infinity,-979.0046295207386,-580.0341205995576,-Infinity,-1085.4018530250878,-1132.022993757285,-1095.666747858708,-1027.9364542253406,-Infinity,-1078.9781080625398,-1091.3377669661272,-1078.1595181342107,-880.2027762906863,-1182.0646543891833,-1006.0363585522479,-979.0271050728929,-538.9375712188149,-1131.0037950347296,-1038.3158733460625,-1232.3000878450446,-686.2965149442696,-Infinity,-981.0162722920435,-883.0621225626769,-976.9072765654558,-Infinity,-577.125225795899,-Infinity,-980.9825366358408	0.99887542860485	-490.34131741707864	4	true	2
32	7	7	100	0	0	0	0	0	-837.583413206018	-433.2605139480158	20.50172890976962	20.721168228500677	-984.278437831974,-932.2766045409251,-1077.2639642341328,-831.3009532968795,-992.5956990646498,-1037.5395293335898,-1043.5280029124976,-1304.4248583271763,-1084.3325830723097,-979.2939765249207,-1136.5226997491266,-Infinity,-981.2085605367706,-944.817349195463,-1088.4774059860738,-Infinity,-581.5700561989171,-1182.3371623485516,-Infinity,-685.2072588240326,-Infinity,-486.49708768917657,-Infinity,-1184.657388030914,-788.5670448913761,-886.6063226825355,-1036.4977901057096,-1085.4644062471577,-1032.344018990301,-1131.2607390331552,-885.5533446310277,-986.5647204516854,-1131.2985160644434,-1127.2052052780757,-1182.2027634080653,-1136.5347026772774,-1092.6127091719427,-982.2233028283075,-838.4884498075315,-Infinity,-984.6031168678796,-1131.3807705878833,-1081.5537679698848,-780.2603496442968,-887.549231748904,-1093.5194078275204,-882.2569391351691,-1182.2215502001955,-982.2317955342818,-Infinity,-Infinity,-1029.2562484787363,-980.2628689152202,-Infinity,-1137.506783768832,-982.4574508292409,-936.4717267859088,-1082.5369104140389,-1131.3277285693287,-1134.5153872207359,-1134.5043738931033,-433.2605139480158,-1142.5216099951294,-939.461476927943,-938.5679395472662,-1283.1548187281655,-1032.2557726440823,-Infinity,-Infinity,-1180.3857613382997,-1239.1875718443707,-1141.5791400935402,-1185.5489238730906,-1241.5656888178164,-989.4952318934173,-1185.5480357320262,-1189.737132158869,-1187.3910501220112,-1084.21159734196,-Infinity,-1038.5141991970377,-1036.500706423624,-1090.2093385360183,-1179.2227581180293,-Infinity,-Infinity,-988.4880819263245,-1084.2099244702172,-981.2727362825765,-1032.2546715184308,-1043.4790423654429,-883.2602838242922,-981.1895373860315,-788.4338170540416,-1130.235185668704,-1190.827734363108,-Infinity,-928.1770780000584,-831.1317569917845,-837.583413206018	0.9987036576717526	-433.2605139480158	2	true	3
33	7	7	100	0	0	0	0	0	-885.8730786488179	-532.6118763296143	21.465858000722815	22.470779956228114	-1075.7669125255984,-929.6050583408129,-978.5760686813024,-931.8451609010821,-881.6858685007255,-879.682142535332,-982.7224781566852,-940.9795424630596,-Infinity,-1193.9168689661474,-878.6608627949245,-Infinity,-536.6524945369457,-931.9061728744205,-1078.6679496384115,-831.8933417223905,-931.6894235882827,-1081.651281932377,-732.6293774900839,-1087.985620782796,-Infinity,-1037.706899077686,-1028.6466537587241,-Infinity,-1230.7300563924691,-1080.6343827042274,-931.6304266979278,-828.6736705829005,-Infinity,-Infinity,-833.6585837663453,-887.965338403661,-1133.669569826134,-1087.9159584324937,-877.6141812549247,-878.7002440625872,-878.6814122297334,-1032.696303040604,-987.9558439897575,-Infinity,-1085.9254015252682,-1184.0075679239872,-982.6614875941683,-881.6373806520843,-Infinity,-929.5928372208967,-1086.0216574038116,-728.7079045934706,-542.9498203511273,-827.6694800569603,-Infinity,-1290.034470714154,-1180.6096831620125,-828.6954463422065,-1190.218488253451,-1236.9915882199534,-Infinity,-882.6253824160933,-683.6805478144806,-832.6427809648332,-983.8914556102775,-832.5675806868943,-698.620084993936,-932.6256162442284,-1031.9327968321015,-780.9075340011758,-1032.6121068351383,-681.6832317799038,-887.9782376631302,-1027.5966683319407,-935.0304203808685,-532.6118763296143,-979.980054974578,-1188.9985187719874,-1081.9162803084776,-732.6192070395177,-1028.5898022945132,-937.6338753728922,-881.6761266701478,-577.6959675349979,-980.7913630713734,-1183.960765637835,-Infinity,-1085.9794908517144,-1085.9892713056868,-982.6107991813197,-Infinity,-830.6124923203216,-1080.6912704960926,-1181.684450582222,-1034.9872489006073,-1036.0034734604608,-634.9206027074223,-632.9481222443461,-Infinity,-1079.6510294272678,-1133.595841978396,-1086.8496955261314,-Infinity,-885.8730786488179	0.9986204224270916	-532.6118763296143	2	true	2
