# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8a24533e-8a60-4b92-9c39-6f636ec1094b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977516614149626	-Infinity	13	false	4
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	17	true	3
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	14	true	2
26	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-128.86326078520239	-128.86326078520239	-Infinity	0.9960817657423182	-Infinity	14	true	13
27	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	11	true	2
28	15	15	1	0	0	0	0	0	-1815.58683654677	-1815.58683654677	-43.984166646899205	-43.984166646899205	-1815.58683654677	0.9960817657423182	-1815.58683654677	12	true	100
29	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-79.52926604311196	-79.52926604311196	-Infinity	0.9960817657423182	-Infinity	13	true	5
30	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-273.6761957395373	-273.6761957395373	-Infinity	0.9959128826372083	-Infinity	12	true	6
31	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-75.35894248251925	-75.35894248251925	-Infinity	0.9957029850637148	-Infinity	14	true	6
32	16	16	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9955252557007185	-Infinity	14	true	3
33	16	15	1	0	0	0	0	0	-1631.5477127514	-1631.5477127514	17.12402355693815	17.12402355693815	-1631.5477127514	0.9954262287890862	-1631.5477127514	15	true	12
34	16	14	1	0	0	0	0	0	-1922.2286768468514	-1922.2286768468514	-43.152190958821606	-43.152190958821606	-1922.2286768468514	0.995446845687632	-1922.2286768468514	18	true	13
35	17	16	1	0	0	0	0	0	-Infinity	-Infinity	-45.39197882977459	-45.39197882977459	-Infinity	0.994788238132489	-Infinity	17	true	6
36	17	16	1	0	0	0	0	0	-1306.150721530611	-1306.150721530611	4.351213297266218	4.351213297266218	-1306.150721530611	0.9941090867883698	-1306.150721530611	19	true	13
37	19	19	1	0	0	0	0	0	-1186.4450190169293	-1186.4450190169293	45.05846455801321	45.05846455801321	-1186.4450190169293	0.9938441377091847	-1186.4450190169293	16	true	14
38	20	19	1	0	0	0	0	0	-1064.0843635233025	-1064.0843635233025	42.034975626299854	42.034975626299854	-1064.0843635233025	0.9933902003933295	-1064.0843635233025	19	true	14
39	20	18	1	0	0	0	0	0	-1219.433184165267	-1219.433184165267	15.570677506433737	15.570677506433737	-1219.433184165267	0.9934277056023864	-1219.433184165267	20	true	12
40	22	19	1	0	0	0	0	0	-360.71674000616053	-360.71674000616053	39.24351860247474	39.24351860247474	-360.71674000616053	0.9928854519268027	-360.71674000616053	18	true	13
41	22	18	1	0	0	0	0	0	-468.03550621757904	-468.03550621757904	34.221848702259564	34.221848702259564	-468.03550621757904	0.9929269050526026	-468.03550621757904	19	true	13
42	25	20	1	0	0	0	0	0	-Infinity	-Infinity	-53.51041350232309	-53.51041350232309	-Infinity	0.9927440214649697	-Infinity	17	true	8
43	25	19	1	0	0	0	0	0	-Infinity	-Infinity	-99.93292267330673	-99.93292267330673	-Infinity	0.9926940145195604	-Infinity	17	true	6
44	27	20	1	0	0	0	0	0	-1042.904557772927	-1042.904557772927	23.17416529176949	23.17416529176949	-1042.904557772927	0.9920395742098684	-1042.904557772927	16	true	12
45	28	20	1	0	0	0	0	0	-738.8405993166045	-738.8405993166045	21.005465416705764	21.005465416705764	-738.8405993166045	0.9918067202316111	-738.8405993166045	15	true	14
46	28	22	1	0	0	0	0	0	-489.8809352386213	-489.8809352386213	38.96579023114528	38.96579023114528	-489.8809352386213	0.9917021004379264	-489.8809352386213	15	true	13
47	29	20	1	0	0	0	0	0	-Infinity	-Infinity	4.728762438355927	4.728762438355927	-Infinity	0.9917146021742788	-Infinity	17	true	6
48	29	21	1	0	0	0	0	0	-951.6912493993005	-951.6912493993005	12.006870979909927	12.006870979909927	-951.6912493993005	0.9916761099860362	-951.6912493993005	17	true	12
49	29	20	1	0	0	0	0	0	-837.9491911946157	-837.9491911946157	18.583862983820083	18.583862983820083	-837.9491911946157	0.9915300370665516	-837.9491911946157	15	true	12
50	29	21	1	0	0	0	0	0	-938.5707695166467	-938.5707695166467	22.038981269622475	22.038981269622475	-938.5707695166467	0.9913223327801376	-938.5707695166467	16	true	12
51	29	22	1	0	0	0	0	0	-Infinity	-Infinity	-35.260264215681204	-35.260264215681204	-Infinity	0.9912554375242175	-Infinity	15	true	7
52	29	21	1	0	0	0	0	0	-Infinity	-Infinity	8.083778186969337	8.083778186969337	-Infinity	0.9912748481148698	-Infinity	16	true	8
53	30	21	1	0	0	0	0	0	-Infinity	-Infinity	14.652106564391115	14.652106564391115	-Infinity	0.9911414231508763	-Infinity	15	true	7
54	30	21	1	0	0	0	0	0	-Infinity	-Infinity	-55.0568394369278	-55.0568394369278	-Infinity	0.9909351445010638	-Infinity	18	true	4
55	30	18	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9910285785306439	-Infinity	23	false	1
56	30	18	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9910285785306439	-Infinity	23	false	2
57	30	18	1	0	0	0	0	0	-Infinity	-Infinity	-29.165569538080312	-29.165569538080312	-Infinity	0.9911296890650017	-Infinity	21	false	6
58	30	18	1	0	0	0	0	0	-690.9549886548414	-690.9549886548414	27.70785901807789	27.70785901807789	-690.9549886548414	0.9910934998281926	-690.9549886548414	21	false	10
59	30	19	1	0	0	0	0	0	-Infinity	-Infinity	-30.311139424805148	-30.311139424805148	-Infinity	0.9908129784107443	-Infinity	21	true	5
60	30	19	1	0	0	0	0	0	-1386.0903483881054	-1386.0903483881054	26.193770904093427	26.193770904093427	-1386.0903483881054	0.9908409428210058	-1386.0903483881054	21	true	9
61	30	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.990837945328664	-Infinity	23	false	2
62	31	17	1	0	0	0	0	0	-Infinity	-Infinity	-163.9765999063367	-163.9765999063367	-Infinity	0.9906777622623024	-Infinity	25	false	4
63	31	16	1	0	0	0	0	0	-1280.8533620633805	-1280.8533620633805	6.949461092914486	6.949461092914486	-1280.8533620633805	0.9905105241225023	-1280.8533620633805	23	false	9
64	31	18	1	0	0	0	0	0	-613.8887188904428	-613.8887188904428	24.405220639621096	24.405220639621096	-613.8887188904428	0.9904437385309364	-613.8887188904428	25	false	8
65	31	17	1	0	0	0	0	0	-Infinity	-Infinity	-214.76081247757884	-214.76081247757884	-Infinity	0.9904654520730217	-Infinity	25	false	4
66	31	15	1	0	0	0	0	0	-Infinity	-Infinity	-124.44689429787243	-124.44689429787243	-Infinity	0.9905105241225023	-Infinity	22	false	5
67	31	16	1	0	0	0	0	0	-1447.2140884996065	-1447.2140884996065	-2.2664654492798046	-2.2664654492798046	-1447.2140884996065	0.9904937454763454	-1447.2140884996065	20	false	8
68	31	15	1	0	0	0	0	0	-Infinity	-Infinity	-72.3361851262272	-72.3361851262272	-Infinity	0.9905105241225023	-Infinity	22	false	2
69	31	16	1	0	0	0	0	0	-Infinity	-Infinity	-95.32906921476999	-95.32906921476999	-Infinity	0.9904937454763454	-Infinity	20	false	4
70	31	15	1	0	0	0	0	0	-Infinity	-Infinity	-121.92093960433671	-121.92093960433671	-Infinity	0.9905105241225023	-Infinity	22	false	3
71	31	14	1	0	0	0	0	0	-Infinity	-Infinity	-121.94647899910504	-121.94647899910504	-Infinity	0.9905525621248564	-Infinity	22	false	2
72	31	16	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9905574239112157	-Infinity	25	false	1
73	31	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9906613126092073	-Infinity	24	false	1
74	31	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9906613126092073	-Infinity	24	false	1
75	31	11	1	0	0	0	0	0	-Infinity	-Infinity	-128.40147105884625	-128.40147105884625	-Infinity	0.9907216280038893	-Infinity	24	false	2
76	31	11	1	0	0	0	0	0	-Infinity	-Infinity	-71.65975174984717	-71.65975174984717	-Infinity	0.9907295238373751	-Infinity	22	false	2
77	31	7	1	0	0	0	0	0	-Infinity	-Infinity	-127.74780851931718	-127.74780851931718	-Infinity	0.9909327318852764	-Infinity	24	false	3
78	31	6	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9909656311914665	-Infinity	25	false	0
79	31	6	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9911913569867159	-Infinity	25	false	0
80	31	4	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.99123339498907	-Infinity	25	false	0
81	31	4	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.99123339498907	-Infinity	25	false	1
82	31	2	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9914490682185391	-Infinity	25	false	0
83	31	1	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9914306446070726	-Infinity	26	false	1
84	31	1	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9914306446070726	-Infinity	26	false	0
