# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8ad318da-27b3-402c-87d7-e10a7b4d8f91
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	34859	75240	601920	0	0	-6.63192843081552	-1.4606213592302026	44.99963339923375	45.57871673270829	-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-1.4606213592302026,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552,-6.63192843081552	0.9975653416775723	-1.4606213592302026	11	true	290
25	9	9	100	34814	75240	601920	0	0	8.488543229842243	8.488543229842243	45.536574107414545	45.536574107414545	-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,-0.38925074091285694,6.500100886766226,6.500100886766226,6.500100886766226,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,1.6091543682333125,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243,8.488543229842243	0.9975653416775723	8.488543229842243	9	true	56
26	9	9	100	34814	75240	601920	0	0	14.375312959283463	14.375312959283463	46.47874251572267	46.47874251572267	4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,4.5171180046179025,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,7.794521078751927,2.901373180457263,2.901373180457263,2.901373180457263,2.901373180457263,2.901373180457263,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,9.788180342963074,14.375312959283463,14.375312959283463,14.375312959283463,14.375312959283463,14.375312959283463	0.9975653416775723	14.375312959283463	9	true	85
27	10	10	100	34910	75240	601920	0	0	19.859793929498174	20.78325483055086	46.22660399374587	46.32751215122806	17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,14.992442346763987,14.992442346763987,14.992442346763987,14.992442346763987,14.992442346763987,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,10.401561976813404,14.992442346763987,14.992442346763987,14.992442346763987,14.992442346763987,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,17.98243550151263,19.866991150011707,19.866991150011707,19.866991150011707,19.866991150011707,20.78325483055086,20.78325483055086,20.78325483055086,20.78325483055086,20.78325483055086,20.78325483055086,20.78325483055086,20.780752254675534,20.780752254675534,20.780752254675534,20.780752254675534,20.780752254675534,20.780752254675534,19.859793929498174,19.859793929498174,19.859793929498174	0.997262083184068	20.78325483055086	9	true	49
28	10	10	100	35414	82764	662112	0	0	33.50798115465291	35.90126721321411	50.4249050182064	50.26611352856436	9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,9.23117663373651,11.230956357092978,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,15.820158122729126,18.80763549667315,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.606102858183718,21.60216046490197,20.680319259442747,18.790574506408387,18.790574506408387,18.790574506408387,18.790574506408387,18.790574506408387,24.705162247885344,31.506048213987654,31.506048213987654,31.506048213987654,30.21886702414675,30.21886702414675,30.21886702414675,30.21886702414675,30.21886702414675,30.21886702414675,30.21886702414675,30.21886702414675,33.33053979184929,33.33053979184929,33.33053979184929,33.33053979184929,33.33053979184929,33.33053979184929,33.33053979184929,31.286682812724656,31.278653777262754,31.278653777262754,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,31.475973664736514,30.19843723115611,30.19843723115611,30.19843723115611,30.19843723115611,30.19843723115611,30.19843723115611,35.30575826564481,35.30575826564481,35.30575826564481,35.30575826564481,35.30575826564481,35.90126721321411,35.90126721321411,35.90126721321411,35.327217676524256,35.327217676524256,35.327217676524256,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291,33.50798115465291	0.9970015206790418	35.90126721321411	6	true	85
29	12	12	100	35414	82764	662112	0	0	44.011971029225734	46.061764547241	49.58018527646449	50.02160701298512	16.60859035444558,16.60859035444558,16.60859035444558,16.60859035444558,16.60859035444558,16.60859035444558,19.598120274746385,19.598120274746385,25.516496768918373,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.018604811453457,27.505104794875898,27.011020552953077,27.011020552953077,25.50386376536314,25.50386376536314,25.50386376536314,25.50386376536314,25.50386376536314,25.50386376536314,31.03901391386761,34.30941745204446,34.30941745204446,34.30941745204446,34.30941745204446,34.30941745204446,34.30941745204446,34.30941745204446,34.30941745204446,39.41619505691891,39.41619505691891,39.41619505691891,39.41619505691891,39.41619505691891,39.41619505691891,39.41619505691891,44.031935840384776,44.031935840384776,44.031935840384776,44.031935840384776,44.031935840384776,44.031935840384776,46.061764547241,46.061764547241,46.061764547241,46.05812087524872,46.05812087524872,46.05812087524872,46.05812087524872,46.05812087524872,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734,44.011971029225734	0.9966696763439367	46.061764547241	4	true	41
30	13	13	100	36614	97812	782496	0	0	44.609063650794425	46.64288069469059	50.34818039964162	50.490603857563116	37.29902888494193,37.29902888494193,37.29902888494193,37.29902888494193,37.29902888494193,37.29902888494193,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,39.992270929994774,44.609941042571386,44.609941042571386,44.609941042571386,44.609941042571386,44.609941042571386,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.64288069469059,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.63855772752986,46.638270077836225,46.638270077836225,46.638270077836225,46.638270077836225,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,46.64259304499696,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425,44.609063650794425	0.9965839188191344	46.64288069469059	4	true	56
31	13	13	100	37214	105336	842688	0	0	28.460875523231024	31.081885926530582	47.04433321849609	47.04433321849609	17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,17.82336245522398,18.25101083177079,16.521964537601157,16.521964537601157,14.28704832561925,10.975044045962882,10.975044045962882,10.975044045962882,10.975044045962882,17.564639054994693,17.564639054994693,23.832174635570176,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,27.750652040788623,30.007745715706577,30.007745715706577,30.007745715706577,30.007745715706577,30.007745715706577,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,31.081885926530582,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024,28.460875523231024	0.9960483181143581	31.081885926530582	8	true	173
32	13	13	100	37149	105336	842688	0	0	18.088789104655596	18.089869599672255	44.80738506326922	44.85950480931416	16.789090967590113,16.789090967590113,16.789090967590113,16.789090967590113,16.789090967590113,16.789090967590113,18.089869599672255,18.089869599672255,18.089869599672255,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596,18.088789104655596	0.9955863021910939	18.089869599672255	10	true	58
33	14	14	100	37210	105336	842688	0	0	18.268118690220092	18.69671713945359	44.8263251959433	44.87996219681438	16.96840994324093,16.96840994324093,16.96840994324093,16.96840994324093,16.96840994324093,16.96840994324093,18.269133105565537,18.69671713945359,18.69671713945359,18.69671713945359,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092,18.268118690220092	0.99540882871159	18.69671713945359	10	true	134
