# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8c14dac7-821b-43aa-8b16-37c68646ed6b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	-Infinity	-1375.1039796472485	-232.03624825739882	-105.59280996560143	-2024.0273851614654,-2114.5837643191608,-1462.5663591515797,-2325.775484220262,-1721.1981737845128,-2224.1186071655457,-Infinity,-1827.3782166397175,-Infinity,-2417.5951574312703,-2070.0577632653194,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2174.1641050052253,-Infinity,-Infinity,-Infinity,-1968.3344860881634,-Infinity,-1912.2548769536681,-Infinity,-2029.632516522273,-2074.182207159566,-2212.157013605763,-Infinity,-Infinity,-2025.9133721521157,-1771.7725334025965,-1622.5041986210415,-2015.7661411105873,-1982.190363297572,-Infinity,-2279.114345835633,-2340.1383862583803,-Infinity,-2217.110452178307,-Infinity,-1573.4753543920735,-2268.2885603267405,-Infinity,-1721.5475076965163,-2418.660318659733,-Infinity,-2015.7047615161903,-Infinity,-2124.359877627844,-Infinity,-Infinity,-Infinity,-1841.3428121773104,-1375.1039796472485,-Infinity,-2373.38695430186,-1770.3522846258595,-2414.434213519674,-1918.6729419758967,-2427.7317045089912,-Infinity,-Infinity,-1429.2323783789734,-1734.6175097280402,-Infinity,-1871.2816464618081,-Infinity,-Infinity,-Infinity,-Infinity,-2018.1712551789685,-Infinity,-Infinity,-Infinity,-2016.3772470322301,-1714.8426620611383,-1922.9293933293043,-Infinity,-Infinity,-1615.6790823663669,-1571.684508995152,-Infinity,-1811.3261358989664,-2064.4057230284548,-Infinity,-2272.3327873357957,-2475.4190970700856,-Infinity,-Infinity,-2264.288290705105,-2386.1746248464424,-1517.6397168650774,-Infinity,-1921.5427227303442,-Infinity,-Infinity,-2521.7886333619326,-1760.4906870540474,-Infinity,-Infinity	0.9976279600236874	-1375.1039796472485	10	false	21
25	9	9	100	0	0	0	0	0	-2219.653218301872	-815.4605828133027	-6.806458347704812	-48.18764434732345	-Infinity,-1670.235039250825,-2369.309943709504,-2105.6731018428545,-2756.7249011126046,-Infinity,-1926.8235978565938,-Infinity,-Infinity,-2072.2778989352037,-2123.5480206438565,-2366.6801596864566,-2416.2513990437988,-2014.3088689111726,-2222.1122288555175,-1776.7759472322434,-Infinity,-2068.602828404224,-2520.12049377425,-2407.3034275464242,-2378.972718997709,-1559.9532426890778,-1817.2865402181826,-2482.106365740038,-2214.264662828539,-1817.9474248118281,-2312.4203721164,-Infinity,-2057.377321148705,-Infinity,-1769.6180259371263,-1902.6958401904478,-Infinity,-Infinity,-2157.882291671648,-1820.7703178330737,-1712.7699508472967,-2357.0009047169,-Infinity,-2359.611984495815,-1618.955506506915,-Infinity,-2021.3756997698108,-1965.8190825089573,-2163.693117593819,-2370.552617786973,-2162.157904014829,-1959.4179117074616,-Infinity,-2261.9437806250257,-Infinity,-1857.9494777960265,-Infinity,-2564.441453168932,-2071.663719793709,-Infinity,-Infinity,-1919.1130214863706,-2266.594228796064,-Infinity,-Infinity,-1967.6490409993776,-Infinity,-Infinity,-1822.7448447408885,-Infinity,-2055.9231461792842,-2110.2171763444676,-Infinity,-Infinity,-1724.4642745312879,-1926.7674464205343,-Infinity,-2517.6811183194777,-Infinity,-Infinity,-1778.3208992645916,-2413.2069192841695,-2163.5638522942286,-2569.032145709883,-Infinity,-Infinity,-Infinity,-2258.1990859071284,-Infinity,-Infinity,-2532.402948333264,-Infinity,-Infinity,-815.4605828133027,-2261.181678536328,-1424.2256160570269,-2222.5934334597914,-Infinity,-1971.9508540139814,-Infinity,-1474.3752759234808,-Infinity,-Infinity,-2219.653218301872	0.9975483437027073	-815.4605828133027	7	false	6
26	9	9	100	0	0	0	0	0	-Infinity	-1372.405931929148	-524.4094278425641	-3.3066340558436256	-1560.984700312897,-1862.3917916732444,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2014.23781943381,-2534.2942116898253,-2164.003845623214,-Infinity,-2112.1675882088202,-Infinity,-1813.6432433320656,-Infinity,-Infinity,-2320.3870820162574,-1963.8649948448553,-Infinity,-Infinity,-1417.5678182620277,-2412.5033347174267,-Infinity,-2727.309863657885,-Infinity,-1372.405931929148,-1611.979230902664,-Infinity,-2218.6889778816635,-1962.2014454848513,-2059.8281881905596,-2262.528370714423,-Infinity,-Infinity,-Infinity,-1677.919374678385,-2210.863930708509,-1960.8350195864964,-2409.71791213317,-Infinity,-2510.5744509485357,-1884.5014661560767,-2323.0467133395714,-2168.6672386758964,-Infinity,-Infinity,-Infinity,-Infinity,-2462.581455066782,-1713.0985316166657,-2260.9436892290064,-Infinity,-Infinity,-Infinity,-1709.5747585116303,-1909.625177760337,-Infinity,-1914.2582551997207,-2315.3072739434697,-2479.572311373396,-2437.4382313019914,-1916.1480053021337,-Infinity,-Infinity,-Infinity,-2120.1029493600317,-1551.2358391855364,-Infinity,-2061.9080452628946,-1608.531828324612,-2008.5803131676666,-1867.5227484465006,-Infinity,-1863.5516268489514,-Infinity,-Infinity,-Infinity,-1567.8822732032725,-Infinity,-Infinity,-Infinity,-2319.332337658686,-Infinity,-1761.0336256788953,-1871.5825895324467,-2164.208209571563,-Infinity,-Infinity,-Infinity,-2057.809251550715,-1614.860606837465,-2537.4235417391646,-2421.9426743003532,-2213.6634454340174,-Infinity,-2125.3497044907226,-Infinity,-2313.592484224729,-Infinity,-Infinity	0.9975483437027073	-1372.405931929148	10	false	5
27	10	10	100	0	0	0	0	0	-2314.883131818158	-685.5127227213088	-12.799753465248335	-40.899589051022424	-2165.545791179965,-2255.049735301731,-2515.698860465917,-1807.7977018302036,-1917.747535751216,-1965.1432366492209,-Infinity,-Infinity,-Infinity,-1661.8599194071928,-2002.5307184456242,-2160.4426736050946,-Infinity,-2057.5644029024834,-1410.8364116096561,-2211.756944036062,-2170.0432757228573,-2216.3616479746875,-Infinity,-Infinity,-Infinity,-1711.9903349502422,-Infinity,-Infinity,-Infinity,-685.5127227213088,-Infinity,-1806.295192485623,-2456.0090572471395,-Infinity,-1703.3555735762507,-Infinity,-1903.344888481867,-2214.040675357667,-Infinity,-1473.6653641463352,-1968.1616930754362,-1956.6615233784876,-1559.0882403804044,-2473.4595616118213,-Infinity,-Infinity,-Infinity,-1963.155643891252,-Infinity,-2268.9222196018904,-2215.665734785903,-2107.2658675224075,-2015.3513890186332,-1613.765560864398,-1561.2527850937054,-Infinity,-1919.2105097934905,-1968.2466432577278,-1863.3657883396802,-2359.8712645814026,-2463.0585457679827,-1965.2016968823712,-1859.0109096165063,-Infinity,-Infinity,-1807.839113709961,-Infinity,-Infinity,-Infinity,-2206.581480071596,-2359.4383539601076,-2319.862781620002,-2211.2045327182086,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1713.4680773402727,-1909.492839865426,-Infinity,-1870.3405964163371,-Infinity,-2176.8475509108107,-2167.22240396063,-1959.3707870681108,-2115.587228656012,-1608.7841015617685,-Infinity,-Infinity,-2118.181700013798,-Infinity,-2214.971256311707,-2052.8312833383925,-1774.8567187497194,-2211.6404809737624,-2017.6741296816767,-Infinity,-1875.3460471444107,-1453.9547740412575,-2814.0244640440897,-1611.4643286564105,-2314.883131818158	0.997245085209203	-685.5127227213088	12	false	5
28	10	10	100	0	0	0	0	0	-Infinity	-1206.8575613524447	-164.04191886887455	-37.51077434602217	-Infinity,-2102.3453997511288,-Infinity,-2408.704857524935,-2659.9029897962873,-1912.152150545206,-2476.180740456095,-2266.719371851699,-Infinity,-Infinity,-1649.5796342505691,-Infinity,-Infinity,-1611.9609724549875,-Infinity,-1659.3272363783651,-1900.6731584269396,-2358.010817309771,-1659.6846242113138,-Infinity,-1871.9446690244356,-1972.3841946050131,-Infinity,-2119.748542585733,-1206.8575613524447,-Infinity,-2058.9473329485736,-2353.1680000270735,-2159.8996630567103,-Infinity,-Infinity,-1770.4838106775562,-2119.236792272389,-Infinity,-1917.3109601584179,-Infinity,-2108.4745519472795,-2318.9891450069595,-1858.5070209244811,-1926.1213025242907,-2107.291185550997,-1968.4520272163743,-1766.8961505493821,-2013.0271500656188,-Infinity,-2303.310224184542,-Infinity,-Infinity,-Infinity,-Infinity,-2052.572069434912,-2259.94139647498,-1915.5600486534609,-Infinity,-Infinity,-Infinity,-2201.3069527218577,-Infinity,-1962.181757884579,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2165.420543598177,-1607.3755412464616,-1968.425933098343,-Infinity,-1557.531253530595,-Infinity,-2465.288847957085,-Infinity,-2076.3551690493555,-1861.6899604887515,-1752.3171099931158,-2156.7011853845374,-Infinity,-1566.4558839739796,-1808.7924393482222,-2181.5384874349775,-1600.8504627189188,-Infinity,-Infinity,-Infinity,-1758.768442206082,-Infinity,-Infinity,-2418.3811039915067,-1274.907616110152,-Infinity,-Infinity,-2118.9306122532425,-Infinity,-1955.1053761302148,-1919.1534573113775,-Infinity,-2268.1797307070406,-1808.9139786860399,-Infinity	0.9970255371725607	-1206.8575613524447	5	true	5
29	10	10	100	0	0	0	0	0	-2202.35562059301	-1208.0547408577986	-0.39588888980745196	13.91629700744733	-Infinity,-1755.437384793659,-1870.9569909548711,-2017.4790273633134,-1414.9643518840323,-2104.532416844845,-1513.1860389904962,-1863.1996588322813,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1964.2811092440595,-1853.7443039214952,-1461.939059612851,-1264.7354843140613,-Infinity,-2411.375384653657,-Infinity,-Infinity,-2162.5884826262586,-Infinity,-Infinity,-Infinity,-1856.7906587605773,-Infinity,-1561.317848556666,-1749.3338385983639,-2210.692460723298,-Infinity,-2175.0359925363864,-Infinity,-Infinity,-1862.5762891236634,-Infinity,-2106.7166647258455,-2016.995288343415,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1906.8666582973688,-2264.1632409154677,-2062.324149886279,-Infinity,-1609.9931246366134,-2153.5162934374925,-Infinity,-2213.846328517754,-Infinity,-Infinity,-2102.043057696439,-Infinity,-Infinity,-2066.4913164844784,-1321.3686738238544,-1853.2313359527743,-Infinity,-1859.865810781063,-1258.959506773029,-Infinity,-2113.834017803861,-Infinity,-Infinity,-2207.311600006032,-Infinity,-2310.4423975906584,-1766.8620802417026,-2209.2787339348124,-2176.4854089205587,-1907.1093364787234,-Infinity,-1367.4990529590643,-2107.6227230956565,-Infinity,-1208.0547408577986,-Infinity,-1962.3111324812166,-Infinity,-2258.9055751018423,-1305.0879277425588,-2657.5958801011966,-2361.0075540038683,-2021.6676451058968,-1508.4374316677934,-Infinity,-Infinity,-Infinity,-Infinity,-2356.344254366593,-2202.35562059301	0.9970255371725607	-1208.0547408577986	6	true	6
30	10	10	100	0	0	0	0	0	-Infinity	-1106.4510126545165	-571.6437244358566	11.369117369916605	-Infinity,-Infinity,-2070.508380818243,-Infinity,-2171.841942076353,-2310.5909931841165,-2017.012064589323,-1806.2231909226723,-2214.4667738886806,-1194.7663955997727,-Infinity,-1808.3861825594809,-Infinity,-1914.8236779957092,-Infinity,-1970.9525384598076,-Infinity,-2222.8769499693885,-Infinity,-Infinity,-1763.8553252266433,-1916.6648367220305,-Infinity,-1765.3017062279637,-Infinity,-2053.1630927768915,-2006.6904866829425,-2051.6583605316637,-1709.6479979836786,-Infinity,-Infinity,-Infinity,-1819.5422734738959,-Infinity,-Infinity,-1560.502938533606,-1720.9520623289707,-Infinity,-1405.5474174135213,-Infinity,-1556.5326691732237,-1554.2746934137203,-1881.6829979161275,-Infinity,-1612.0976349553946,-2169.347054625279,-2266.26097047476,-2018.4555305709384,-1905.4806831313228,-1907.571528314905,-2275.3417633837767,-1868.941603085935,-2061.2363740468672,-2312.60080142381,-1926.8222290271926,-Infinity,-1972.646263169988,-1915.457733300509,-Infinity,-1767.9371950710515,-2118.1920329399027,-2158.3918510132935,-2064.7914820875203,-1964.6149536555856,-2166.3324178527932,-1862.0749442503727,-1718.780702574648,-Infinity,-2142.251436071712,-2298.805268452651,-1761.6080121018492,-1817.3986226594925,-Infinity,-2322.597311850403,-1761.3822473976527,-Infinity,-1106.4510126545165,-1153.025397621853,-2333.354482068,-1918.302403449812,-1680.8243623593416,-Infinity,-2464.364545754908,-1853.028592702853,-2074.203298689738,-1360.1965885567333,-1571.1755924443944,-1861.387818607603,-2066.626057836206,-2102.075886453474,-Infinity,-1834.2509586513534,-2065.2005709782143,-Infinity,-Infinity,-Infinity,-Infinity,-1711.3204012311521,-1671.5367539605345,-Infinity	0.9968566540674508	-1106.4510126545165	6	true	3
31	10	10	100	0	0	0	0	0	-Infinity	-1329.2100981212632	-Infinity	50.94739178440609	-1760.295675701795,-2080.640306480793,-2265.035753014905,-1970.7344538999507,-1753.723322358188,-2062.6785475752263,-Infinity,-2022.4830378013312,-1512.710117626835,-Infinity,-Infinity,-Infinity,-2522.2680494867686,-2582.3982331719885,-Infinity,-Infinity,-2176.6560300028814,-2333.131157355509,-1821.7206476419665,-1770.6655427414437,-2114.8701987434497,-2226.92141404989,-1674.018151600406,-Infinity,-2222.4897265690784,-1819.3313616615412,-1581.754042609629,-Infinity,-2085.654011274564,-1968.6492495277032,-2018.0211138603981,-Infinity,-Infinity,-Infinity,-2069.438055030221,-Infinity,-2007.8341065684658,-1720.3230680268514,-Infinity,-Infinity,-2079.813867842826,-Infinity,-2147.6383964907754,-Infinity,-2002.611010188751,-2375.485744754109,-Infinity,-2072.171526632767,-Infinity,-Infinity,-2029.7939663896623,-Infinity,-Infinity,-2263.950596982007,-Infinity,-1712.7218440297554,-Infinity,-1460.6451681471247,-2329.0526424887903,-Infinity,-Infinity,-1568.626385194474,-Infinity,-2226.8007922484762,-2020.1739215841412,-2425.887211459741,-Infinity,-2722.474660530927,-Infinity,-1821.7582148081044,-1863.28516164228,-1462.1693274452696,-Infinity,-Infinity,-1886.3304244029696,-2371.1519020946384,-2009.0942229529755,-1459.8558255757782,-1768.3534593333206,-Infinity,-1673.5069144820066,-2112.7207970701897,-Infinity,-Infinity,-2122.488289484513,-2079.8491937557706,-1873.4362004320162,-Infinity,-1764.9853935167648,-1329.2100981212632,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1605.0575194538073,-1461.5646381833858,-1710.1276316446908,-2328.271925872362,-Infinity	0.9964971743151462	-1329.2100981212632	10	true	4
32	11	11	100	0	0	0	0	0	-1368.134683875789	-882.8577740180785	51.28208201624396	-46.82686350161423	-Infinity,-2161.741756658505,-1162.2109649750555,-Infinity,-Infinity,-2011.8139717179129,-Infinity,-1920.1484992467713,-Infinity,-Infinity,-1715.069354856514,-Infinity,-Infinity,-1981.179284889197,-1584.005245527371,-Infinity,-1429.299368076032,-Infinity,-Infinity,-1628.1667715032736,-Infinity,-Infinity,-1167.4636825203527,-1071.2368060999947,-Infinity,-1729.6177930668669,-910.2987238434281,-Infinity,-1017.7410408426533,-1607.6345902584476,-Infinity,-1125.5456528220066,-Infinity,-1572.5201339091495,-1825.0952229026323,-882.8577740180785,-Infinity,-Infinity,-1331.0229444167887,-1386.9453025515759,-Infinity,-Infinity,-1213.283033530893,-Infinity,-1227.8254250192763,-1346.8269881634023,-Infinity,-Infinity,-Infinity,-Infinity,-1714.0433111297818,-Infinity,-Infinity,-1971.8741343669583,-Infinity,-1372.8441216301408,-2031.5962862564202,-1662.767579203602,-Infinity,-Infinity,-1983.2506751506148,-1680.1659037895026,-2179.5370250906476,-Infinity,-1831.7758170845439,-Infinity,-Infinity,-1919.874169924891,-Infinity,-1022.7727630880416,-Infinity,-1576.5927554230802,-1779.8224066087075,-Infinity,-1786.659685087825,-Infinity,-Infinity,-Infinity,-1671.3923344945367,-Infinity,-1713.4213901666617,-1776.676528579771,-1468.5518085590218,-2222.897964384761,-1723.8952392080325,-Infinity,-Infinity,-Infinity,-1967.6790745188596,-1619.510489311436,-1538.488863332237,-2169.022824851304,-1871.031987849763,-1410.7578870872435,-Infinity,-1622.1062398565584,-1899.8877049314106,-Infinity,-Infinity,-1368.134683875789	0.9961384256585344	-882.8577740180785	9	true	5
33	12	12	100	0	0	0	0	0	-Infinity	-1108.741937780811	32.57347118401569	1.2467973253848301	-Infinity,-1619.152761903602,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1785.6255783559382,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1467.7976336784209,-Infinity,-1764.8944542548497,-1666.3150467907249,-1424.2341985309654,-1763.9641676229433,-Infinity,-1401.59713041101,-Infinity,-2085.5698800351556,-1673.335325804741,-1615.5975253496083,-Infinity,-Infinity,-Infinity,-1518.4592915600247,-Infinity,-1970.3402590017995,-Infinity,-Infinity,-Infinity,-Infinity,-1664.7726091390734,-2129.6708052884865,-Infinity,-1485.7440358000993,-Infinity,-1173.8415254823888,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1915.8792708699698,-1719.3696290231294,-Infinity,-2268.028250754417,-1519.104063438343,-Infinity,-Infinity,-1674.11955141485,-Infinity,-1227.34122203023,-Infinity,-1580.339626765207,-1627.7757904759744,-Infinity,-1108.741937780811,-1509.9230763453588,-1728.0404277020377,-Infinity,-Infinity,-Infinity,-1477.7476645148108,-1869.882506898014,-Infinity,-1338.2376282118119,-1719.3810028127461,-1525.7501630808736,-Infinity,-1137.535758298524,-1719.463430468077,-1336.9570432144515,-1931.8988436486895,-Infinity,-1315.6913602756981,-1415.4862360994775,-1370.7359007164523,-1769.175535148598,-Infinity,-Infinity,-1383.2415241597712,-Infinity,-1524.9040652583676,-Infinity,-1738.5097324709964,-1861.6082229796075,-1966.42927414303,-1770.4703366530773,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9959930472799584	-1108.741937780811	4	true	5
