# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8cb524fe-02d3-406a-9e99-8f5dbec024b5
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	4	4	100	0	0	0	0	0	11.729507644200917	21.286543717100983	23.510917966147982	23.447765499447645	4.619799434036299,14.489493000280916,16.984867878990542,17.866383198151993,5.687124588168247,3.488716489465057,16.661667748698754,12.774982023351098,16.552010564202156,13.552216028819327,11.642815344443148,4.79816104034478,8.81911974726276,-9.092419197987665,13.8607938550742,19.588807449557752,19.31085748786478,16.31585623771661,-8.329314676304177,20.32385980960322,-3.48140821749897,15.879190298943513,15.643872241751465,-6.37398305734305,12.70666573843002,14.98443377233421,-7.593206633729052,10.141487534217577,16.86733585475451,-14.07658270813847,8.706014398837757,18.574921488912025,-6.789271330646709,10.662768570761529,18.717874721831326,14.862215783383597,8.509663705376893,12.776810493600957,19.317133450258385,16.68604629002981,15.820054128162345,17.28827284003343,13.577109289938203,16.920335856139566,10.18110398519061,5.213169973437806,17.188340837062633,6.965952594381598,16.96039912076715,16.33837722669071,18.3738570207313,5.340461877442841,19.398991225071285,16.572610359661482,7.784760514821542,16.271111016668836,-6.192452017258576,11.201275778860074,2.3352764959315966,18.97899753438911,10.29272590903494,12.688341968271976,10.317316467033502,19.37030294784438,11.450264293460057,9.629071051394225,9.049073111494351,18.327486836095893,11.946810810587564,-16.338037740042708,18.579871202023753,-4.841810997790423,13.840313787462657,15.823037854206742,5.378147385216444,6.308288151994249,19.867991902827153,20.481544050915353,8.851021054817274,10.697807608613662,4.431645370285908,7.758770611075306,12.255196751029445,0.7009277536186627,5.383042117568076,-12.194663418030174,12.488072194070526,3.285448256434478,8.533539169024522,9.798778702817723,17.94676734367689,12.964870387469823,-4.273577634384296,5.8623954631670205,15.799886960152378,15.437538347042002,-0.9546771103830825,21.286543717100983,-1.0411423881105737,11.729507644200917	0.9983840226347228	21.286543717100983	12	false	8
25	5	4	100	0	0	0	0	0	11.44682996809112	22.41724459563888	24.030667634376137	25.13230276389816	17.891034567313092,14.03677032557484,9.528871073280232,5.30003644043842,12.978598528115157,21.079285664867452,-1.814482539202963,2.149877282642521,19.711624540015652,17.567767194359767,-4.633131415210306,9.717049076514693,9.888601509354679,12.0991057410095,16.415700916053826,14.491507242382264,-8.737876256027743,13.67487521168873,19.62477058891796,-2.0561789332751346,10.390205323996875,-1.546712675809033,-0.6872371298882172,13.646285805245968,16.87554320220358,9.840619632769137,16.307638958761462,12.372161318343473,6.01921561309581,15.443849320676678,9.268413699176278,19.29511190545356,22.41724459563888,13.898218479817466,19.37455443896214,11.186301250083893,6.686717614015471,14.115438396401085,14.374108313202552,18.103681194132044,15.667673057835032,4.242878410353191,17.68673581677649,15.591409392331085,13.550237350491733,-2.789456335347225,-5.714509280947716,-8.443102037488805,5.90204775120214,9.210471742515098,0.5768213977069792,-13.35921237789876,1.4826047760277294,11.15413071418684,17.660744255697416,20.624201854377134,4.5219151870907766,11.5887518770239,9.832555245598602,15.147206354495783,4.980903266432669,16.22826741007684,20.760914458449875,10.415375959467744,4.968342774022327,1.5309194175209218,1.8767634782747447,19.56567235350793,8.072793140575763,16.745420184347694,9.22616114391517,13.002420566894267,7.132923553762671,12.204282225367995,11.206069673017765,8.331008305570071,7.55680903420142,15.092767417838804,16.906610664797945,14.054790730062646,8.821156875747596,18.101414109548912,20.024044737009696,16.460163600035983,8.975207721189001,15.860942200042956,17.58183269481072,11.848087326534982,9.560728454528183,-4.412463580742582,11.731486439756205,7.311922077799311,11.264772972923197,14.937731063407261,3.5980394326660186,20.029828132261315,-4.199198507610445,20.26548256151699,-0.6937725118439957,11.44682996809112	0.9983218795008081	22.41724459563888	12	false	4
26	5	4	100	0	0	0	0	0	21.848282375356998	25.310350841452266	26.988136896568484	27.48825259134878	20.081808967669105,17.59530230586123,22.11988654974477,22.05760600101658,23.478815066560095,1.2155476246740378,3.9969222475848376,13.298542860401056,14.078939840507106,7.871102872980396,10.688631808431666,15.597050202908406,15.913918307953892,-7.285352282910521,14.252315380524843,21.88602175077117,13.262901201552271,10.310193879481048,8.859826344186143,13.00114135656136,2.3011076692671537,14.044670415489053,16.99459865000493,22.688466468762954,25.310350841452266,6.10464992205393,11.876105625730498,20.669156242597268,15.708235171929067,4.857834298052069,12.35953782106344,17.8423703919187,0.7438840049166018,9.520338219465527,1.6026086548930039,13.499184808323594,8.672423235653973,13.18048560067956,22.03911395555773,11.260662087272383,22.876883851586133,5.80567780829894,12.954630708664418,8.787856286007989,20.93183643828113,18.863109583452438,3.890436083813235,16.432794311497204,23.702033733463246,6.458591031836656,8.371071242382996,5.978371610837499,-4.0347915545032915,13.686806154340571,18.260566532240606,10.222729458761423,10.715674114650424,-12.768625270301513,17.378365892241277,5.135083072982031,1.3093306076076132,-13.871319854639438,16.40244269600619,15.546419205341085,19.4372161972995,12.188307976040385,11.432135793530977,15.618363906734238,18.37426076063004,18.660936472168984,14.18886579687512,16.93434069795208,23.861367448498672,13.395436072960313,18.299213178201537,25.09593313448157,2.5590177027292658,13.951534796796523,10.273398365906141,4.377264450838577,12.88270055610051,12.743711950213955,17.286765968435464,11.655573003743315,14.77231655726401,11.69520350452742,11.274849647435701,-0.442653183345314,1.240818376318515,23.087718389288547,9.837912633859808,13.937000488205891,10.500418211525721,9.11953828802934,17.644960898786042,19.3296472220559,1.5593082872159485,12.16342053550605,15.301923538929387,21.848282375356998	0.9983218795008081	25.310350841452266	12	false	8
27	6	5	100	0	0	0	0	0	0.46760872426920486	25.453195530356155	26.585805899359624	28.1139136897742	6.395130689299327,19.264763819325935,6.611479653352337,-11.480778871497503,9.06992776081185,10.260891730733125,10.953463664420283,18.41576752730883,9.538663260677971,15.588309572394834,25.453195530356155,11.767416288653365,23.8174026123498,19.374204119195227,16.61702960840506,12.582236720932052,16.265923521758424,-16.49759152835873,21.760968835809173,17.150709638568095,21.230613700198337,11.949008846390168,13.490693572267231,15.208548445522414,11.738446238344272,0.90911434848487,17.621819600957803,17.73643666973032,23.119310955062854,18.991563789238327,18.48539276592487,-1.0474448098712354,11.959141886164604,22.275094325835617,9.861412762233243,18.928135696234158,2.0336218789352074,13.36094828529531,21.34995163067861,15.12116351822559,11.37634814040269,11.511493863917138,3.777781275745774,18.924588455631266,15.771477232635316,2.830207193866208,24.7625442944176,23.090165787651884,18.398053870023663,15.527213807879368,4.101863539164611,11.542259824106885,17.816796909249106,15.034950958090624,18.013235827396812,24.180900821435127,18.882311869062868,5.318102530777809,18.114401016712904,1.4356259097722965,14.040313629313854,12.345480621350582,20.958680181869703,7.442013811542926,14.1557495602145,19.340613094615392,11.41288528304712,4.410114047745708,10.001584292373323,21.260421337383523,23.11423587266023,13.586019922249596,16.44105751587135,21.949711875076616,2.6795921937569407,21.973901730314395,13.139317273132889,14.942380822626285,22.425619929042696,20.85346185190875,22.917907743419804,12.351865637276319,18.746983329001793,15.479768854411,0.5931542046889717,13.887350040250809,8.384848323933328,13.82573306909686,6.79979763292952,2.6450768217887344,17.357935579619006,3.977044954163503,19.212585291265775,7.377439138475188,17.61548130307918,4.623620765410637,16.54844689292718,12.594662241654722,9.389138920475931,0.46760872426920486	0.9980186210073035	25.453195530356155	12	false	3
28	6	5	100	0	0	0	0	0	-5.623019173231462	39.46568796546674	40.36023617259491	40.28239344144512	7.858229977644266,39.46568796546674,30.51543058826704,32.99069487278458,18.27910265138616,23.35788178944831,27.075942993770372,19.78862166573512,21.914571220364767,25.800360150051628,13.628798940377585,17.58861716909219,16.15474806811419,36.92639623419983,4.9726007759306015,21.00944661246468,17.180397162798286,19.516632354831067,18.96282933051996,20.165095187591216,18.397023436179843,33.49728521126671,-9.818585047330389,33.75596775314244,34.70691746850141,25.976738956054835,18.625356827054183,32.90438613751611,30.388885733045967,-0.3361516403029441,12.127185695117717,21.3225126929713,-6.833554344240923,21.051472389383683,8.891698778762663,19.66339004961298,36.10868472793523,28.841810068762484,26.728814245664175,15.857489273183079,14.943985729264398,13.341733901939817,22.178284214897104,36.4463532491914,9.397433541227153,12.693039987028587,24.690880716159455,18.3328985403317,-2.796666186436525,20.49460375270585,18.162426979537813,6.557176367304038,21.570279468654622,15.750540104521692,19.895652073217757,17.619401396190348,16.27934451031089,13.347605856734464,20.78009076038962,17.928596656235015,20.63154570016889,23.67466058069912,26.867220715836087,25.441214333085902,15.082285358392156,31.318182682569628,11.481573170395471,8.19913015791498,23.478860286299614,19.757620934199203,26.37506295334874,23.215443003001532,17.608658240450822,-3.180387024988619,19.122866172557103,36.59944761545947,26.125214239519003,14.354036130849616,-6.587037252943226,15.289914821638765,32.46960967237273,31.616759624252104,18.069887784563676,24.760494877552873,12.193873639871189,22.8279667197624,27.60314304133156,18.93497628115249,23.728708063836763,34.83667262247309,23.962231609567752,13.091555301702916,22.90830199151783,11.866918836088132,20.16679374788903,12.147333654076325,22.375992772262443,31.83289225915495,17.564164654030996,-5.623019173231462	0.9977990729706613	39.46568796546674	9	false	2
29	6	5	100	0	0	0	0	0	6.2588594502866854	36.05882320710323	41.334881724977635	41.801007170503496	24.598093447048985,16.83174178095753,16.157021278892515,28.709126063545046,29.736162224327003,28.797861040052553,32.81737373321127,20.85621108219204,6.914233243875852,21.845007422976007,32.555741965350535,-8.734547887997364,12.857980617220097,24.65599575307983,34.125277727174016,19.612431855205312,9.844255754827378,21.812061519939377,19.157941120399656,22.1776950272257,15.627400570986559,15.972137599078636,29.21887519449991,23.293139309791826,14.379402052268594,21.395045451165537,-5.025668887898597,26.42401688478776,15.430066272463774,28.01410459132665,34.70921803641481,-0.42717014749396753,27.253360080076042,21.821415567311234,19.036905052248898,5.461286166726094,21.252810509024087,12.625532915091867,18.55315978462476,4.771743908579571,19.13921152814091,24.51201941016816,9.09361312303955,29.81214823011912,20.43153307293033,36.05882320710323,24.381568192671182,18.176164301248498,23.792505471203576,15.204660339317178,18.005476656428932,25.019053969259502,17.127236181881862,33.162181993941985,28.697615408188884,10.22880873587273,28.142012238789427,22.965193980999473,14.069744954049977,16.6983016859938,5.532286570681869,9.457644220099747,4.1408401281636955,22.635221371108354,18.043116565740778,27.832422909271862,4.125960697073998,28.9858530851288,11.4134758524172,18.273720765204736,27.830232395057543,4.64739454505083,20.450557650098226,23.062688068487056,14.046409237585252,11.271802358294371,11.811246065592004,11.682872636598649,30.98952320359041,16.23124987407975,24.079265398347623,11.34946676977306,23.974074825806763,6.832169138645087,22.910703844970712,16.949708305571807,12.928033880012125,14.531905124527048,8.115261549491894,11.203906483971775,21.96139633356531,20.15198888209958,24.54041477604003,27.982134478167186,20.276031888964408,4.902766797356058,7.733292149227465,-0.43207835672247086,35.93029320122768,6.2588594502866854	0.9977990729706613	36.05882320710323	9	false	9
30	6	5	100	0	0	0	0	0	3.1875381230295723	36.736383314980124	41.10254643406621	40.28797319368849	20.734952320075408,22.430287481355194,26.996567960532246,15.788379496903215,28.507343368591236,3.828408430016104,8.171108064140528,6.21165114892638,34.505499286644266,2.6850593962715426,35.24496655150132,21.36762236042202,32.53767753478347,15.186165573507422,21.558881291362972,6.828636664177839,-10.354819663299182,30.06950663117541,2.611053206718907,21.420601267277988,27.505462316754812,19.88048191501182,25.201051899247254,-1.6722185402578944,30.80558098280537,28.106256764621854,17.00241379129841,20.31670842798728,11.962876656254178,23.2384944906705,18.027869047913022,12.156620716060425,19.368815336459313,36.736383314980124,7.11986277379787,31.63385521028661,25.1041404158965,34.69256547126761,31.04367596826766,26.60638312043094,32.80468376272812,12.835619311104322,17.796037371814734,17.54056197194361,20.15940077970808,12.491449522255877,18.475089549067228,22.994656911880288,10.09104028827031,18.559790070609367,15.786527369341266,32.70518038771839,35.59700477026875,25.237597142381944,26.800227441557325,1.042086995080922,30.844874750748446,20.466478496768747,23.20166472409471,14.827561640262006,19.516678592622824,20.206377027381972,30.45379767876866,20.759154150185395,17.05464261034031,22.498823809226405,30.00521473839591,25.6731280704441,31.541588099142373,18.3499439380537,10.735675014046187,26.060504954935865,23.1557386867161,31.615025145422244,33.24531709504636,24.945467158728967,33.26465754270187,14.517365661446345,16.062933320216025,35.45037419932205,24.79999051643735,24.262600340192268,24.669086903572115,20.333021117128688,20.073181387150356,9.210522060634313,26.74760864765116,24.10448116710734,29.374695047863568,1.973304348338269,12.790568971509359,-3.5823821605326174,22.101017901918873,18.16548352378787,32.165265870687925,29.827386195799047,20.511112378903697,30.557067693111833,-0.8602910097586243,3.1875381230295723	0.9977990729706613	36.736383314980124	9	false	1
31	6	5	100	0	0	0	0	0	29.71496745885125	31.215000887042695	34.27771027953649	33.07418208048372	1.478262661411243,19.557530142063193,13.957771695925626,31.215000887042695,2.534067868922662,18.92947924981936,4.664638669438016,15.666034170652482,19.939278537620517,9.144934308255204,24.46490664855854,12.291634955458058,13.374800405315792,-5.632757636117297,19.714174266246236,-3.189139517069874,29.783915745170162,27.891891652660906,2.4598586334956654,17.084035710739034,-3.2011139692241226,21.88486991129022,17.8334457614837,-11.644934497913141,-2.206944875195612,10.943270380829437,9.18701612645318,27.175952667924037,-0.6528520907528765,8.026115296560164,13.340994438760049,12.07392600969868,15.880957141625252,17.496005668626292,25.89690326224416,18.129004653919466,-1.4179760975901345,-8.637082343286973,17.4732860763472,18.820508401762773,6.251150902540237,9.302408812399586,24.020914779948846,25.404322897520377,20.87196123091728,3.6676910992282803,8.236270605401,16.09808257258451,21.93362691121576,16.55474596956919,13.921801812596305,27.69123516365313,13.038497087208391,21.780114908761735,-0.4657447599122335,27.04271234469156,21.151623041297306,-5.337763539341488,26.328783191920884,8.04376119087296,22.155948725099304,-5.125497037438066,24.193645650013583,9.280574176569472,15.396335228008173,13.938553010162417,5.274204222670884,26.182123107850735,13.504752841828568,12.592766621920731,18.182351011720925,14.400380060383398,12.678135907211812,-8.063020917120813,11.026958118399087,14.363096934760954,15.089016371530448,7.962252449862612,13.29183178825109,19.114454976481195,9.451057245897266,5.57403251495797,16.766263917967358,14.628617988560002,19.25052596382202,16.5399396078888,0.026571624125416804,23.373096333430745,-3.038059250690541,13.803586382343257,7.263789519830375,25.890940783313145,25.74396359485327,17.524166655339872,23.890477119784677,24.284010928601,8.486351314299073,-1.448894387331526,15.598423092899615,29.71496745885125	0.9974395932183564	31.215000887042695	10	false	2
32	6	5	100	0	0	0	0	0	9.161063449785432	27.082270208123067	30.87440847232474	30.34108252412551	10.46654735726135,24.93274396151636,18.07960246859861,20.105913463285145,2.674331271073667,-5.05610258223426,9.753709238167874,22.710270709786506,6.125570901385673,17.184445940650367,21.37563020509078,23.048526017897693,5.737529127132509,-10.15140708716502,-5.088502946049752,13.48647249299891,16.754247001601456,23.804048882220865,18.153685667356868,8.177257075072568,10.593816938705174,23.687395335588864,-5.851278010582275,18.162831185750278,8.884680993843334,19.22673459341106,7.185313144680025,0.030805210462601096,12.578885378195068,0.12019277015389385,4.103260768613575,21.340677140462358,13.406583289688935,19.244110094439424,24.72968103078663,5.281543780629365,24.355029586795315,19.330966147883277,-6.167646877879726,2.284463257041571,12.935094576400871,13.19233764843363,10.965113442645094,16.19016975266466,20.284088961648838,1.643101852296347,0.3108171408183864,26.507481875947523,27.082270208123067,21.487155652458604,8.200946385943361,-9.406038160314365,24.590712234755834,16.28565586102632,-3.4581672540911903,8.34343346535362,6.8842773267700785,3.8436994643805296,17.012786141335656,9.852271963948255,16.352169097170467,-4.4613938656843946,13.426495306415395,8.98032158856029,-9.162263353149111,16.927292231912027,-4.175493719641096,9.409902564355985,-2.6598331303197966,0.5431944901028665,-1.0326249986165603,15.134473114748095,0.07219411549511534,25.186094313593895,11.612894658528818,7.155317168742803,5.1378278618233235,21.15322739454067,-5.085182749978037,12.556881671935521,15.78425904757728,5.3316307821309845,17.75804315377742,17.15153292982211,21.101028960239702,8.605322333329632,5.604153505101639,6.35605915062073,13.59132102347177,25.419901857184506,1.366444144800674,6.381721220363435,14.58337083325359,15.770882184481522,11.163157725499323,15.847889017398009,-3.074257317697363,6.802161452421958,10.396346602941067,9.161063449785432	0.9972526154948422	27.082270208123067	10	false	2
33	6	5	100	0	0	0	0	0	11.446743121780289	28.58825513388219	29.677205270171882	30.63718641192449	22.192902231022416,6.873888298407454,12.573883249186357,21.769537162652462,3.7224643948996246,8.051447283435666,16.703265056578417,28.58825513388219,2.4065711547850803,20.306231556310777,25.565749970192666,-2.5669856729462666,-3.208827119125843,16.78886937993002,22.562091781944325,7.001673870904819,14.58508989977536,-10.31569932115177,9.070487223137484,18.984950620252377,16.68976016577311,1.6124799037678539,-5.007803398275302,16.737611141516716,25.263954356090366,24.720659485297883,19.587972252562476,12.285474989578178,6.477228795760114,1.0561168808708565,12.110928590133735,-0.5588234836279575,5.838041532360977,26.046787051340658,0.09091900187280189,22.977169467887308,19.16707285950056,6.423978766589681,1.22595846521968,6.532448880327047,0.29550163408500474,15.535584849792889,22.82995406717981,13.59908694152154,10.383216999444093,14.277377615359015,3.2587907029820045,5.574548580048443,-2.253765182573977,1.442999565540802,1.0633206377301505,16.719014292474796,-24.50653785220364,14.168967561708778,3.5147533472793775,7.793868599101346,5.466804319535733,25.297056949803803,18.404484703610848,18.399355481185154,12.094424706281384,9.407602283970277,24.46733675745403,21.107524001772052,13.931868928307729,16.040932872845726,-7.734570912001102,13.633294837803492,8.310845905315682,7.805320196833412,19.434647042946793,1.8867312981579047,1.2591305733979041,13.922248153348768,12.163236001360564,19.393340766087228,16.28971535048122,0.8820063842163641,12.403014356215774,10.2876702096175,5.164854180952251,16.15521573735473,-0.9815545396137004,3.9563671591806227,13.110678741532228,21.894699750728527,-21.892298321994595,-0.25371926206996775,10.933617214849674,8.52442760309181,12.651271218098206,5.2540388571515475,16.191740609780176,-7.339267457840261,-7.714115145293334,21.017760108676868,16.747434295219396,8.451927751601813,21.956337611287765,11.446743121780289	0.9972526154948422	28.58825513388219	10	false	3
