# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8e3f2653-2bc6-4df6-adf7-6b2efc3cbd82
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	27
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	23
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	22
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	6	true	21
28	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	21
29	14	13	1	0	0	0	0	0	-Infinity	-Infinity	18.80835569097782	18.80835569097782	-Infinity	0.9962914805418883	-Infinity	7	true	25
30	14	13	1	0	0	0	0	0	-Infinity	-Infinity	12.726221812614156	12.726221812614156	-Infinity	0.9961225974367784	-Infinity	8	true	25
31	14	13	1	0	0	0	0	0	-Infinity	-Infinity	8.920745430173199	8.920745430173199	-Infinity	0.9959126998632849	-Infinity	9	true	24
32	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9957260876876175	-Infinity	9	true	20
33	15	14	1	0	0	0	0	0	-48.513228282813124	-48.513228282813124	44.059971330287645	44.059971330287645	-48.513228282813124	0.9957635928966743	-48.513228282813124	8	true	27
34	15	13	1	0	0	0	0	0	-Infinity	-Infinity	-105.23696276515383	-105.23696276515383	-Infinity	0.9956723521541733	-Infinity	8	true	25
35	15	12	1	0	0	0	0	0	-Infinity	-Infinity	-106.04478467137233	-106.04478467137233	-Infinity	0.9952884172509339	-Infinity	10	true	24
36	15	12	1	0	0	0	0	0	-Infinity	-Infinity	-61.850322333967654	-61.850322333967654	-Infinity	0.9952329270878264	-Infinity	11	true	24
37	15	12	1	0	0	0	0	0	-Infinity	-Infinity	-71.06906704939604	-71.06906704939604	-Infinity	0.9946092659068145	-Infinity	12	true	24
38	16	14	1	0	0	0	0	0	-1068.7496019070609	-1068.7496019070609	25.14483648043539	25.14483648043539	-1068.7496019070609	0.9943517740036993	-1068.7496019070609	12	true	25
39	17	15	1	0	0	0	0	0	-588.6415804906105	-588.6415804906105	35.26118804382354	35.26118804382354	-588.6415804906105	0.994144215936424	-588.6415804906105	8	true	25
40	17	15	1	0	0	0	0	0	-29.60585590482868	-29.60585590482868	38.29193696048812	38.29193696048812	-29.60585590482868	0.9939343183629307	-29.60585590482868	8	true	26
41	18	16	1	0	0	0	0	0	17.49682083096072	17.49682083096072	36.722463453686764	36.722463453686764	17.49682083096072	0.9938175258259554	17.49682083096072	7	true	25
42	18	15	1	0	0	0	0	0	-246.87034344462518	-246.87034344462518	38.42655944709872	38.42655944709872	-246.87034344462518	0.993872467667293	-246.87034344462518	8	true	25
43	19	15	1	0	0	0	0	0	-583.0055619449064	-583.0055619449064	34.316513249942886	34.316513249942886	-583.0055619449064	0.9937558213494565	-583.0055619449064	6	true	25
44	19	14	1	0	0	0	0	0	-681.3073390823399	-681.3073390823399	31.43627318534442	31.43627318534442	-681.3073390823399	0.9934167391669898	-681.3073390823399	6	true	26
45	20	15	1	0	0	0	0	0	-635.4536771185466	-635.4536771185466	25.26160146871188	25.26160146871188	-635.4536771185466	0.9929898889465644	-635.4536771185466	6	true	25
46	21	15	1	0	0	0	0	0	-641.5600955587547	-641.5600955587547	29.306011227555743	29.306011227555743	-641.5600955587547	0.9929300853188676	-641.5600955587547	6	true	25
47	21	15	1	0	0	0	0	0	-Infinity	-Infinity	-35.912336528469034	-35.912336528469034	-Infinity	0.9929383101454151	-Infinity	7	true	21
48	21	14	1	0	0	0	0	0	-140.45997433237733	-140.45997433237733	31.35149838764952	31.35149838764952	-140.45997433237733	0.9929445610135912	-140.45997433237733	7	true	24
49	21	14	1	0	0	0	0	0	-27.6070106287186	-27.6070106287186	31.200785309540997	31.200785309540997	-27.6070106287186	0.9929445610135912	-27.6070106287186	6	true	24
50	21	12	1	0	0	0	0	0	10.402540295118325	10.402540295118325	21.8777143014882	21.8777143014882	10.402540295118325	0.9930205584108904	10.402540295118325	7	true	24
