# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8eadae6b-0e7e-42b9-a0c2-59f93242544c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	25	12031	43050	344400	0	0	-99.8376973643766	-99.8376973643766	NaN	NaN	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-99.90887836252702,-99.84390768245535,-99.84390768245535,-99.84390768245535,-99.8376973643766,-99.8376973643766	0.9977516614149626	-99.8376973643766	3	false	514
24	13	13	63	31206	108486	867888	0	0	-143.59885259443567	-143.59885259443567	-143.59885259443567	-143.59885259443567	-1161.4619004178167,-911.4619283233791,-715.5307225689778,-465.53072743006675,-209.14379484433633,-156.20922248556434,-152.72953968383177,-Infinity,-Infinity,-145.6061423785865,-145.6061423785865,-145.5949461973651,-143.59895111669053,-143.59892472704965,-143.59892472704965,-143.59892472704965,-143.59892472704965,-143.59892472704965,-143.59892472704965,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59891890703145,-143.59885259443567,-143.59885259443567	0.9975615034251832	-143.59885259443567	1	true	285
25	15	15	46	24017	79212	633696	0	0	-90.35098417242118	-90.35098417242118	-90.35098417242118	-90.35098417242118	-1068.7331433534357,-866.2393989275371,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-697.1027873127764,-97.10278556228074,-97.10278556228074,-97.10275288365163,-93.76345185050081,-93.61419966641239,-92.62242369303178,-92.62242369303178,-92.62242369303178,-92.62242369303178,-91.36372349057481,-91.36372349057481,-91.36372349057481,-91.33327468962554,-91.33324375732082,-91.33324375732082,-91.33324375732082,-91.33324375732082,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098968145603,-90.35098417242118,-90.35098417242118	0.9966306358339244	-90.35098417242118	1	true	269
26	15	15	39	19013	67158	537264	0	0	-86.60681838747618	-86.60681838747618	-86.60681838747618	-86.60681838747618	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-88.77476833694291,-88.77476833694291,-88.77476833694291,-88.08700678597192,-88.08700678597192,-88.08700678597192,-88.08700678597192,-88.08700678597192,-88.08700678597192,-88.08700678597192,-88.08700678597192,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-87.32490584172909,-86.60681838747618,-86.60681838747618	0.9960817657423182	-86.60681838747618	0	true	226
27	15	15	22	11116	37884	303072	0	0	-88.81607920910348	-88.81607920910348	-88.81607920910348	-88.81607920910348	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-92.71949008353705,-91.75326162764384,-91.75325399071966,-91.75325399071966,-89.77919597464634,-89.77919597464634,-88.8160865703383,-88.8160865703383,-88.8160865703383,-88.81608265223115,-88.81608265223115,-88.81608265223115,-88.81607920910348,-88.81607920910348	0.9960817657423182	-88.81607920910348	1	true	139
28	15	15	36	18150	61992	495936	0	0	-37.55064235186238	-37.55064235186238	-37.55064235186238	-37.55064235186238	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-291.9435623971401,-41.94373404834337,-39.9697400075121,-38.54135408218791,-38.54135408218791,-38.54135408218791,-38.54135408218791,-38.54135408218791,-38.54135408218791,-38.54135408218791,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.5506438381034,-37.55064235186238,-37.55064235186238	0.9960817657423182	-37.55064235186238	0	true	181
29	15	15	31	16245	53382	427056	0	0	-39.144608234262115	-39.144608234262115	-39.144608234262115	-39.144608234262115	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-43.39970891905047,-42.85134619971522,-41.786627817796386,-41.786627817796386,-41.786627817796386,-41.786627817796386,-41.786627817796386,-41.786627817796386,-41.78041481567027,-41.78041481567027,-41.78041481567027,-41.78041481567027,-39.789485574117286,-39.789485574117286,-39.789485574117286,-39.789485574117286,-39.789485574117286,-39.789485574117286,-39.14922077365356,-39.144608234262115,-39.144608234262115	0.9960817657423182	-39.144608234262115	1	true	141
30	15	15	55	26473	94710	757680	0	0	11.566448879205119	11.566448879205119	11.566448879205119	11.566448879205119	-Infinity,-Infinity,-124.84683413413184,-Infinity,-Infinity,-Infinity,-Infinity,-41.6832784230219,-41.525764288275184,-39.76030093271454,-39.76030093271454,-39.76029608839279,-39.76029608839279,-39.7602190730486,-39.7602190730486,-39.7602190730486,-39.760188970130216,-39.760188970130216,-39.760188970130216,-39.760188970130216,-39.760188970130216,-39.760188970130216,-39.76012276308268,-39.76012276308268,-39.76012276308268,-39.76012276308268,-39.76012276308268,-39.76012276308268,10.239889922958987,10.239889922958987,10.239889922958987,10.239889922958987,10.239889922958987,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,10.89057952019568,11.566448879205119,11.566448879205119	0.9959128826372083	11.566448879205119	0	true	235
31	15	14	19	9932	32718	261744	0	0	-93.64737797889758	-93.64737797889758	-93.64737797889758	-93.64737797889758	-1174.4385126934865,-516.8268167617034,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-93.64737797889758,-93.64737797889758	0.9957118678763863	-93.64737797889758	3	true	78
32	16	14	27	14509	46494	371952	0	0	0.07420577324100819	0.07420577324100819	0.07420577324100819	0.07420577324100819	-590.9426034517556,-35.922351177966576,-28.298446428918915,-18.88659391470317,-11.177295254336379,-4.702874453236355,-2.0030194650908353,-2.0030194650908353,-2.0030194650908353,-0.4230060246620173,-2.4229759333352465,-2.4229759333352465,-1.1555328395313484,-2.783692638050068,-2.5056970191341055,-2.5056970191341055,-2.478485409283417,-2.478485409283417,-2.478485409283417,-2.478442804617517,-2.4784377755678424,-2.4784377755678424,-2.4784377755678424,-2.4784377755678424,-0.6913929333556741,0.07420577324100819,0.07420577324100819	0.9955716437224469	0.07420577324100819	5	true	110
33	16	15	32	13446	55104	440832	0	0	-41.17098528288928	-41.17098528288928	-41.17098528288928	-41.17098528288928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-593.078312548239,-593.078312548239,-43.078580892032974,-43.078580892032974,-43.078580892032974,-43.078580892032974,-43.078580892032974,-43.01203634010059,-43.01203634010059,-44.04843526384848,-45.16395900428692,-42.86191495318085,-42.86191495318085,-44.217773386036676,-44.131766639372366,-43.94226865272189,-43.94226865272189,-43.16883740608045,-41.170987082999254,-41.17098571943044,-41.17098528288928,-41.17098528288928	0.9954795256651141	-41.17098528288928	0	true	136
34	16	14	32	13418	55104	440832	0	0	-46.2730410167129	-46.2730410167129	-46.2730410167129	-46.2730410167129	-1274.4073576994203,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-53.39616163509673,-51.40182831358737,-51.40178230620967,-49.041029765413,-49.041029765413,-47.501764267134995,-47.317963759148455,-47.317963759148455,-47.31795907267613,-47.31795907267613,-47.31795907267613,-47.31795884247036,-47.31795884247036,-47.31795884247036,-47.31795884247036,-47.31795884247036,-47.31795884247036,-47.31795884247036,-47.31795884247036,-46.27304740859238,-46.27304740859238,-46.27304740859238,-46.27304740859238,-46.27304740859238,-46.2730410167129,-46.2730410167129	0.9954715201672747	-46.2730410167129	0	true	134
35	17	15	56	24814	96432	771456	0	0	-0.6042260569302869	-0.055933558690917096	-0.6042260569302869	-0.033186334649209615	-263.98325662592896,-Infinity,-Infinity,-Infinity,-Infinity,-65.52235019823969,-61.91158543493914,-57.646479683245474,-5.391216507542423,-5.391216507542423,-6.470243780606288,-5.625310269153529,-3.427613233538305,-3.427613233538305,-3.427613233538305,-1.6119875852054264,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-0.055933558690917096,-4.054765835413318,-3.1519555216488273,-3.1519555216488273,-1.152416827696804,-1.152416827696804,-1.152416827696804,-1.152416827696804,-0.7084708542113134,-0.7084708542113134,-0.7084708542113134,-0.6042260569302869,-0.6042260569302869	0.9948296912582887	-0.055933558690917096	2	true	203
36	17	15	39	17297	67158	537264	0	0	-11.307702483354738	-11.307702483354738	-11.307702483354738	-11.307702483354738	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-62.94568209124106,-51.220653391639516,-50.38201173138947,-38.05021290393769,-32.95628041752227,-23.306530438051272,-20.100453996200386,-17.483229805631105,-17.483229805631105,-17.483229805631105,-14.80921944002702,-11.911696999764803,-11.911696999764803,-11.911696999764803,-11.911696999764803,-11.911696999764803,-11.308217747241422,-11.308217747241422,-11.308217747241422,-11.308217747241422,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.30770636856488,-11.307702483354738,-11.307702483354738	0.9941505399141694	-11.307702483354738	2	true	137
37	18	17	27	12930	46494	371952	0	0	46.28462195750587	46.28462195750587	46.28462195750587	46.28462195750587	-1116.8582989240047,-509.834213851222,-196.55023993994274,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.818343372547744,35.81835406690884,33.91725336423704,33.91725336423704,33.91725336423704,34.79453421392592,42.079060080510516,43.05563743094647,44.9721276578436,45.569663872730324,41.36451950167756,42.04875908159326,43.91453218181472,44.303811355279976,46.284617181569104,46.284617181569104,46.28462195750587,46.28462195750587	0.9938930480110542	46.28462195750587	1	true	114
38	18	18	24	14112	41328	330624	0	0	43.799302486180274	43.799302486180274	43.799302486180274	43.799302486180274	-49.531997434950085,-32.52092593333367,-22.69983942549367,-16.21390089093922,-13.97637312874426,-11.81584720249593,-11.815834970275032,-10.487688546269569,-9.584114945937667,-9.584063997377978,-9.584063997377978,-9.57499074748911,-8.630449495578372,-8.630449495578372,-7.240377372550384,-7.228691163057789,42.77130761196094,42.77130761196094,42.77130761196094,42.77130761196094,42.77130761196094,42.77135858755432,43.799302486180274,43.799302486180274	0.9937852479511043	43.799302486180274	3	true	103
