# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 8f36d9e3-8fa3-4f87-bfb7-c2babd5c3f28
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	43	20185	74046	592368	0	0	-98.00424815047147	-98.00424815047147	-98.00424815047147	-98.00424815047147	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-99.90887836252702,-99.84390768245535,-99.84390768245535,-99.84390768245535,-99.8376973643766,-99.8376973643766,-99.8376973643766,-99.8376973643766,-99.8376973643766,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-99.80067522503116,-98.95045431563358,-98.00424815047147,-98.00424815047147	0.9977516614149626	-98.00424815047147	2	false	269
24	13	13	59	28902	101598	812784	0	0	-42.163968375683595	-42.163968375683595	-42.163968375683595	-42.163968375683595	-1766.6604263064244,-1757.3246897446156,-1757.3246897446156,-1151.5979488195658,-547.4395756850557,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.0854786597637,-43.07558274580543,-43.075557401568226,-43.075557401568226,-43.075557401568226,-42.846334819533205,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163978952254524,-42.163968375683595,-42.163968375683595	0.9975615034251832	-42.163968375683595	0	true	216
25	15	15	33	16953	56826	454608	0	0	-139.6168252147595	-139.6168252147595	-139.6168252147595	-139.6168252147595	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-143.5038921080328,-143.5038921080328,-143.4753610490131,-143.27445522818766,-143.27445522818766,-143.27445522818766,-142.22275725175993,-141.43192518128672,-141.43192518128672,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.61683791670185,-139.6168252147595,-139.6168252147595	0.9966306358339244	-139.6168252147595	0	true	167
26	15	15	15	7672	25830	206640	0	0	-40.122060937100684	-40.122060937100684	-40.122060937100684	-40.122060937100684	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-44.08066963142407,-42.09815751721791,-42.09815751721791,-42.09815751721791,-42.09815751721791,-41.781623609127465,-41.781623609127465,-40.122060937100684,-40.122060937100684	0.9960817657423182	-40.122060937100684	0	true	88
27	15	15	19	9635	32718	261744	0	0	-39.17006169311476	-39.17006169311476	-39.17006169311476	-39.17006169311476	-1217.829430500003,-1107.1272581166463,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.17006447596715,-39.17006447596715,-39.17006447596715,-39.17006447596715,-39.17006447596715,-39.17006169311476,-39.17006169311476	0.9960817657423182	-39.17006169311476	1	true	101
28	15	15	20	10571	34440	275520	0	0	-89.66741320536508	-89.66741320536508	-89.66741320536508	-89.66741320536508	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-97.49340228330563,-97.49340228330563,-94.23465970375219,-92.53026424306678,-90.59747632834403,-90.59747632834403,-89.66742020719118,-89.66742020719118,-89.66742020719118,-89.66742020719118,-89.66741320536508,-89.66741320536508	0.9960817657423182	-89.66741320536508	1	true	94
29	15	15	40	21392	68880	551040	0	0	11.872978941523193	11.872978941523193	11.872978941523193	11.872978941523193	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.938552894420983,10.938558256444683,10.938558256444683,11.872890967122565,11.872890967122565,11.872890967122565,11.872890967122565,11.872890967122565,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872891432880145,11.872978182298546,11.872978182298546,11.872978182298546,11.872978182298546,11.872978182298546,11.872978941523193,11.872978941523193	0.9960817657423182	11.872978941523193	0	true	162
30	15	15	22	12198	37884	303072	0	0	8.670253604131071	8.670253604131071	8.670253604131071	8.670253604131071	-1059.849623228546,-658.3381992319781,-553.444061317922,-347.8504930116694,-100.38957388211625,-48.51207162403489,3.997892648171465,3.997907254986238,6.364998047350387,7.121909990379445,7.1219114179842595,7.119677290968854,7.119677290968854,7.119677290968854,8.420903538616015,8.420903538616015,8.420903538616015,8.657293278439633,8.670223468128691,8.670223468128691,8.670253604131071,8.670253604131071	0.9959128826372083	8.670253604131071	2	true	89
31	15	14	35	18046	60270	482160	0	0	3.6267794758007454	3.6267794758007454	3.6267794758007454	3.6267794758007454	-1658.441679999914,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,2.446463394190742,2.4465169099544806,1.5341616401434894,1.5341616401434894,-97.1971587219832,2.0019639181627404,2.0020729945258857,1.5902617774110226,1.5902617774110226,1.5902617774110226,1.5902687991765774,1.5902687991765774,1.5902687991765774,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6256423153995962,2.6537245763572725,2.6537245763572725,3.440511849806178,3.6267287381999864,3.6267794758007454,3.6267794758007454	0.9957118678763863	3.6267794758007454	2	true	119
32	16	15	29	15057	49938	399504	0	0	56.38845337304001	56.38845337304001	56.38845337304001	56.38845337304001	13.100163347426157,16.45201002020014,25.617500876514814,33.76518291728135,39.65275821720465,44.48560208361556,47.84293500891083,47.8429378209601,47.842976336277346,51.39560981408772,54.36309433265511,54.36309433265511,54.36309433265511,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.350284234092015,56.38845337304001,56.38845337304001	0.99553413851339	56.38845337304001	3	true	103
