# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 91b71c77-f5f5-4f4a-886f-424254e8b288
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	8	true	6
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	2
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	8	true	2
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	2
28	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-18.34905539408664	-18.34905539408664	-Infinity	0.9962825977292168	-Infinity	7	true	5
29	14	13	1	0	0	0	0	0	-271.79978208634145	-271.79978208634145	43.087477741397436	43.087477741397436	-271.79978208634145	0.9962914805418883	-271.79978208634145	8	true	7
30	14	13	1	0	0	0	0	0	-Infinity	-Infinity	-30.68930316065375	-30.68930316065375	-Infinity	0.9961225974367784	-Infinity	9	true	6
31	14	13	1	0	0	0	0	0	-274.9955364251322	-274.9955364251322	39.41884852480742	39.41884852480742	-274.9955364251322	0.9959126998632849	-274.9955364251322	8	true	7
32	14	13	1	0	0	0	0	0	-Infinity	-Infinity	-31.267475799230315	-31.267475799230315	-Infinity	0.9959413222596706	-Infinity	9	true	6
33	15	14	1	0	0	0	0	0	-31.12956397702448	-31.12956397702448	41.180388598406914	41.180388598406914	-31.12956397702448	0.995680357652013	-31.12956397702448	9	true	7
