# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 933119a4-2bb1-4e9f-b810-7776436900a3
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-98.0601841924287	-98.0601841924287	-47.067952186181294	-47.067952186181294	-98.0601841924287	0.9991239280309399	-98.0601841924287	0	true	12
25	6	6	1	0	0	0	0	0	-97.03046519273141	-97.03046519273141	2.9547319295548893	2.9547319295548893	-97.03046519273141	0.9990443117099597	-97.03046519273141	0	true	4
26	6	6	1	0	0	0	0	0	-97.00019495095732	-97.00019495095732	2.981494992270057	2.981494992270057	-97.00019495095732	0.9990443117099597	-97.00019495095732	0	true	6
27	6	6	1	0	0	0	0	0	-97.000612431955	-97.000612431955	2.9812495278201903	2.9812495278201903	-97.000612431955	0.9990443117099597	-97.000612431955	0	true	4
28	6	6	1	0	0	0	0	0	-97.00021828265783	-97.00021828265783	2.9806357630693583	2.9806357630693583	-97.00021828265783	0.9990443117099597	-97.00021828265783	0	true	3
29	6	6	1	0	0	0	0	0	-97.0004285237969	-97.0004285237969	2.981028313671344	2.981028313671344	-97.0004285237969	0.9990443117099597	-97.0004285237969	0	true	3
30	6	6	1	0	0	0	0	0	-97.00070960153664	-97.00070960153664	2.981297998992446	2.981297998992446	-97.00070960153664	0.99887542860485	-97.00070960153664	0	true	3
31	6	6	1	0	0	0	0	0	-97.00059568720394	-97.00059568720394	2.981319615174158	2.981319615174158	-97.00059568720394	0.99887542860485	-97.00059568720394	0	true	3
32	6	6	1	0	0	0	0	0	-97.00070182394755	-97.00070182394755	2.981158726752637	2.981158726752637	-97.00070182394755	0.9988428582917216	-97.00070182394755	0	true	3
33	7	7	1	0	0	0	0	0	-97.00024722718636	-97.00024722718636	2.981166622024294	2.981166622024294	-97.00024722718636	0.9987036576717526	-97.00024722718636	0	true	3
34	7	7	1	0	0	0	0	0	-97.0007097130368	-97.0007097130368	2.985415868865817	2.985415868865817	-97.0007097130368	0.9987036576717526	-97.0007097130368	0	true	3
35	8	8	1	0	0	0	0	0	-98.00027931683945	-98.00027931683945	2.9853199644767474	2.9853199644767474	-98.00027931683945	0.9983518909790103	-98.00027931683945	0	true	3
36	8	8	1	0	0	0	0	0	2.9994009631233607	2.9994009631233607	2.999401129232055	2.999401129232055	2.9994009631233607	0.9983518909790103	2.9994009631233607	0	true	3
37	10	10	1	0	0	0	0	0	2.9994748874052166	2.9994748874052166	2.9994748874052166	2.9994748874052166	2.9994748874052166	0.9981269328342386	2.9994748874052166	0	true	8
38	10	10	1	0	0	0	0	0	2.999099392675782	2.999099392675782	2.999099392675782	2.999099392675782	2.999099392675782	0.9978048486266367	2.999099392675782	0	true	2
39	10	10	1	0	0	0	0	0	2.999693688100314	2.999693688100314	2.999693688100314	2.999693688100314	2.999693688100314	0.9978048486266367	2.999693688100314	0	true	3
40	11	11	1	0	0	0	0	0	2.9992596227993515	2.9992596227993515	2.9992596227993515	2.9992596227993515	2.9992596227993515	0.9975972905593614	2.9992596227993515	0	true	3
41	11	11	1	0	0	0	0	0	-97.00016768651058	-97.00016768651058	2.999480593351477	2.999480593351477	-97.00016768651058	0.9975972905593614	-97.00016768651058	0	true	3
42	12	12	1	0	0	0	0	0	-97.0008314582631	-97.0008314582631	2.999450560724428	2.999450560724428	-97.0008314582631	0.9975264473866985	-97.0008314582631	0	true	2
43	13	13	1	0	0	0	0	0	-97.00024002640289	-97.00024002640289	2.999972877100876	2.999972877100876	-97.00024002640289	0.9975127758972373	-97.00024002640289	0	true	2
44	14	14	1	0	0	0	0	0	-97.00061391670788	-97.00061391670788	2.9990318730548076	2.9990318730548076	-97.00061391670788	0.9973835181786945	-97.00061391670788	0	true	3
45	14	14	1	0	0	0	0	0	-97.00033635925944	-97.00033635925944	2.999194042512638	2.999194042512638	-97.00033635925944	0.9973835181786945	-97.00033635925944	0	true	2
46	15	15	1	0	0	0	0	0	-97.00088715478266	-97.00088715478266	2.9996678006231496	2.9996678006231496	-97.00088715478266	0.9972990035165704	-97.00088715478266	0	true	3
47	16	16	1	0	0	0	0	0	-97.00036567710764	-97.00036567710764	2.9995979491072395	2.9995979491072395	-97.00036567710764	0.9971822109795953	-97.00036567710764	0	true	3
48	18	18	1	0	0	0	0	0	2.999124012134262	2.999124012134262	2.999975257911121	2.999975257911121	2.999124012134262	0.9965166580153677	2.999124012134262	0	true	4
49	20	20	1	0	0	0	0	0	2.999643013481958	2.999643013481958	2.999643013481958	2.999643013481958	2.999643013481958	0.9960338789744191	2.999643013481958	0	true	3
50	20	20	1	0	0	0	0	0	2.9995230400158532	2.9995230400158532	2.9995230400158532	2.9995230400158532	2.9995230400158532	0.995822775093032	2.9995230400158532	0	true	3
51	21	20	1	0	0	0	0	0	0.9996583837268246	0.9996583837268246	2.9993372277431836	2.9993372277431836	0.9996583837268246	0.9956158384570958	0.9996583837268246	0	true	3
52	21	21	1	0	0	0	0	0	-97.00053402274509	-97.00053402274509	2.9996504938332667	2.9996504938332667	-97.00053402274509	0.9956069556444243	-97.00053402274509	0	true	2
