# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 985a591e-ad41-4089-b4ef-b39211c9e613
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	28
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	22
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	20
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	6	true	21
28	14	14	1	0	0	0	0	0	-Infinity	-Infinity	26.201278689096256	26.201278689096256	-Infinity	0.9962825977292168	-Infinity	7	true	24
29	14	13	1	0	0	0	0	0	18.807111091783625	18.807111091783625	43.48106712090801	43.48106712090801	18.807111091783625	0.9962914805418883	18.807111091783625	7	true	26
30	14	13	1	0	0	0	0	0	12.724418835247747	12.724418835247747	41.556667457426784	41.556667457426784	12.724418835247747	0.9961225974367784	12.724418835247747	8	true	28
31	14	13	1	0	0	0	0	0	8.920282429201265	8.920282429201265	40.04391651921719	40.04391651921719	8.920282429201265	0.9959126998632849	8.920282429201265	9	true	26
32	14	14	1	0	0	0	0	0	-Infinity	-Infinity	9.311251743553726	9.311251743553726	-Infinity	0.9959038170506138	-Infinity	9	true	26
33	15	15	1	0	0	0	0	0	21.02170491174534	21.02170491174534	45.378686831316585	45.378686831316585	21.02170491174534	0.9957260876876175	21.02170491174534	7	true	26
34	15	14	1	0	0	0	0	0	-Infinity	-Infinity	15.935711172163735	15.935711172163735	-Infinity	0.9957180821897776	-Infinity	7	true	23
35	15	13	1	0	0	0	0	0	-Infinity	-Infinity	5.768285558959015	5.768285558959015	-Infinity	0.9952434548658073	-Infinity	9	true	26
36	15	12	1	0	0	0	0	0	-22.518483762800038	-22.518483762800038	33.63199740542678	33.63199740542678	-22.518483762800038	0.9948478955410472	-22.518483762800038	10	true	26
37	15	11	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9946521446692156	-Infinity	12	true	19
38	16	12	1	0	0	0	0	0	-830.7222774789524	-830.7222774789524	24.32394892778885	24.32394892778885	-830.7222774789524	0.9944321579751573	-830.7222774789524	13	true	25
39	16	12	1	0	0	0	0	0	-1188.795549713466	-1188.795549713466	28.85647631207894	28.85647631207894	-1188.795549713466	0.9944321579751573	-1188.795549713466	13	true	26
40	16	12	1	0	0	0	0	0	-1189.0785113522206	-1189.0785113522206	28.149374338273432	28.149374338273432	-1189.0785113522206	0.994222260401664	-1189.0785113522206	13	true	27
41	17	14	1	0	0	0	0	0	-755.460830148012	-755.460830148012	29.321928118960713	29.321928118960713	-755.460830148012	0.9940339667059023	-755.460830148012	9	true	26
42	17	14	1	0	0	0	0	0	-439.77751153041066	-439.77751153041066	33.989565268987604	33.989565268987604	-439.77751153041066	0.9940339667059023	-439.77751153041066	8	true	26
43	18	15	1	0	0	0	0	0	-390.766669690621	-390.766669690621	34.773753220665704	34.773753220665704	-390.766669690621	0.9939084375753943	-390.766669690621	8	true	25
44	18	14	1	0	0	0	0	0	-Infinity	-Infinity	-0.15577246859733407	-0.15577246859733407	-Infinity	0.9935693553929276	-Infinity	10	true	22
45	19	14	1	0	0	0	0	0	-52.315638968511145	-52.315638968511145	26.473363982983713	26.473363982983713	-52.315638968511145	0.9931800103815588	-52.315638968511145	10	true	27
46	20	15	1	0	0	0	0	0	-Infinity	-Infinity	2.693886844846734	2.693886844846734	-Infinity	0.9931563959906712	-Infinity	10	true	21
47	20	15	1	0	0	0	0	0	-95.25348074930945	-95.25348074930945	31.215673502647	31.215673502647	-95.25348074930945	0.9931646208172187	-95.25348074930945	9	true	25
48	20	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9932179176932469	-Infinity	8	true	19
49	20	12	1	0	0	0	0	0	-191.97592365502982	-191.97592365502982	22.214539098902055	22.214539098902055	-191.97592365502982	0.9932564098814894	-191.97592365502982	7	true	25
50	20	11	1	0	0	0	0	0	-121.17962212782002	-121.17962212782002	12.34606963783553	12.34606963783553	-121.17962212782002	0.9933146416534461	-121.17962212782002	10	false	25
51	20	10	1	0	0	0	0	0	-93.07656383537248	-93.07656383537248	5.415204292801107	5.415204292801107	-93.07656383537248	0.9933233416921942	-93.07656383537248	14	false	25
52	20	10	1	0	0	0	0	0	-206.59598250564068	-206.59598250564068	3.4390110091396977	3.4390110091396977	-206.59598250564068	0.9933233416921942	-206.59598250564068	15	false	25
53	20	10	1	0	0	0	0	0	-98.99241249018974	-98.99241249018974	3.5842889481724143	3.5842889481724143	-98.99241249018974	0.9933233416921942	-98.99241249018974	14	false	25
54	20	10	1	0	0	0	0	0	-39.463759932434805	-39.463759932434805	3.706250633722348	3.706250633722348	-39.463759932434805	0.9933233416921942	-39.463759932434805	13	false	25
55	20	9	1	0	0	0	0	0	-139.427009440979	-139.427009440979	3.741817803766846	3.741817803766846	-139.427009440979	0.9933653796945483	-139.427009440979	13	false	24
56	20	10	1	0	0	0	0	0	-139.38217299312072	-139.38217299312072	0.062151844856192184	0.062151844856192184	-139.38217299312072	0.9933233416921942	-139.38217299312072	13	false	24
57	20	10	1	0	0	0	0	0	-91.57277318281045	-91.57277318281045	3.8983759362366577	3.8983759362366577	-91.57277318281045	0.9933233416921942	-91.57277318281045	13	false	25
