# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 985a591e-ad41-4089-b4ef-b39211c9e613
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	0	0	0	0	0	-383.8726822173523	-126.83504131322118	-13.104486764074672	34.95062098137882	-533.3416504313475,-679.9690902297275,-790.9289339411426,-Infinity,-668.4916977642013,-487.0052750179755,-680.3992428902048,-526.0580783616908,-426.0826825162522,-676.124030340372,-336.52599744260533,-429.4356678269439,-126.83504131322118,-379.26342251692216,-424.40562418744264,-377.25943414762946,-532.4073946000113,-428.99688148601234,-679.6418606428733,-292.3754584889291,-281.4032205026529,-574.9279645060409,-429.8318973804052,-325.31704334523397,-779.4301328340781,-624.8465059315281,-Infinity,-234.94348662936827,-620.2558566598677,-Infinity,-528.1575917491538,-483.50005063672705,-632.4931229267996,-574.7699244479513,-682.8903855338264,-Infinity,-Infinity,-432.24345716386404,-630.4432173964404,-430.603272931064,-175.1044941127033,-381.7528444892525,-Infinity,-379.9159417698484,-339.28526900649086,-580.6339940016386,-Infinity,-526.823279417609,-729.5867612537837,-524.3075268087152,-729.583860153157,-425.23354859930197,-534.8228942863789,-469.9962909910233,-580.6246554149814,-528.7611771811851,-629.2393358610556,-Infinity,-Infinity,-731.1579551959526,-828.9630910375033,-325.16931613510974,-576.4731466877795,-573.7373944720201,-379.3305675915835,-528.0261278168538,-226.66897690726753,-424.51778198223525,-594.2699666047175,-279.6289584908032,-625.9565948467745,-632.9359960157655,-Infinity,-427.43113024910207,-728.1270409817072,-576.291028929207,-228.1504303871062,-870.982972594729,-284.8469552401043,-Infinity,-521.871030078816,-680.8834262804653,-473.2701413074403,-439.21569914539884,-479.2172335864477,-Infinity,-577.865350678993,-783.627904084965,-447.9420210213156,-625.6437318862336,-377.34257517384253,-526.8364150349873,-428.13587679977064,-Infinity,-384.8504508648366,-Infinity,-422.92809110586643,-390.5081242243285,-583.3417012392536,-383.8726822173523	0.9977623354120823	-126.83504131322118	4	true	37
25	14	14	100	0	0	0	0	0	-322.8803771690706	-174.5968192674256	36.07129438549406	35.08195963172913	-735.8278861093074,-483.9617909626254,-727.6951716530654,-628.3456983421355,-724.8922983018758,-771.5751152814429,-382.54921009305036,-328.4989586000632,-830.7038424161314,-773.5826049707349,-576.2669927106926,-277.0918405882069,-888.8022965192541,-526.613463740483,-580.9806967782546,-330.42219833387395,-Infinity,-1024.5921729887305,-427.5387680257802,-627.5416839725991,-691.3002905209116,-570.6387576445203,-685.6532975301607,-731.3769965854416,-522.0698612959326,-Infinity,-475.940409829352,-573.5675155786596,-776.81431174373,-580.8405263203135,-423.5757263044267,-671.3898701058254,-633.4598074629262,-724.9936616587852,-524.284131898591,-724.0038894495624,-Infinity,-473.77299604126483,-622.9730663251377,-877.2059610199897,-327.0432772852201,-973.5673280498345,-627.9715958715374,-475.2555902034605,-327.3151799724237,-470.8227716793559,-728.3872366494033,-773.0701593959662,-875.13655672279,-727.8701738940274,-474.3255629250382,-475.56755300093954,-Infinity,-330.9402367718602,-579.7737073732751,-Infinity,-677.625702828185,-580.0977965158075,-422.1136598753191,-Infinity,-621.8924164417323,-572.4016536846809,-677.1919751855899,-584.1194014267778,-677.7526384509449,-779.1283967668271,-575.6259508646534,-384.79625178640356,-679.789401831755,-922.4071358916399,-476.896813580698,-Infinity,-534.1119461946289,-822.1172674714941,-475.92988651792956,-775.6914408755721,-479.72280537335405,-566.0558208828733,-174.5968192674256,-Infinity,-581.5932958701111,-680.7108725891792,-521.2681903524306,-782.7263343230088,-Infinity,-677.7164238911148,-477.6428189823866,-622.593545607544,-624.3327441907717,-424.4327431070232,-478.24978175482255,-272.39608451719056,-780.3342196805183,-883.1990659523419,-773.1498382604558,-580.350154874973,-1080.0246126389027,-774.6909255746251,-471.8186599665003,-322.8803771690706	0.9968314678208231	-174.5968192674256	3	true	10
26	14	14	100	0	0	0	0	0	-Infinity	-125.49166378569682	-15.89318500315167	41.1681817342052	-631.2357193840385,-878.2896389003249,-380.6647071203658,-477.86547388961094,-725.2043095372402,-Infinity,-274.72881607037084,-423.7320136661718,-471.4421836400582,-221.33663953143355,-722.651742274582,-424.7736328713788,-570.3038198033818,-Infinity,-520.0180125947653,-174.79706064425284,-127.53367920120857,-726.2170346100904,-125.49166378569682,-474.8889707954741,-525.0033289465833,-Infinity,-773.4049534139036,-Infinity,-476.8964514416683,-772.597813280118,-383.483541708075,-619.8489073794594,-222.97185739938323,-521.2653115587665,-577.3467023519112,-531.0943147841774,-429.98671723779336,-473.88325015543313,-325.2942409493743,-822.9027769997657,-525.2711080285867,-172.63884999653612,-432.0324542392868,-276.48877216509845,-520.8563337991585,-519.8687416976501,-426.6162296879607,-276.80173080213206,-627.9406979201717,-524.5162611522405,-Infinity,-423.32938638679946,-276.5922940434705,-315.24156517393766,-725.5376221871203,-529.6153897108804,-279.26834572118304,-275.80015160830993,-627.230283918006,-479.9493427969255,-582.359473191099,-373.4243667190499,-385.0410579010332,-575.8883370910194,-370.000593689446,-269.08846220980644,-575.645113877483,-377.07946623827536,-521.58999413899,-382.51433817704145,-414.71516403677134,-Infinity,-626.959087324881,-474.4317727021058,-Infinity,-470.7930234365401,-728.5581964939191,-271.147672775375,-Infinity,-473.7214551932024,-625.7053274370688,-289.5442674148767,-427.73626606325604,-628.9422988389819,-622.2318763750682,-Infinity,-779.6979516024342,-526.4111744230528,-278.2153350230009,-574.761200679159,-Infinity,-Infinity,-172.12475863321197,-475.40424609698533,-240.98444931200476,-372.0747590912071,-476.4895361225544,-626.6892535619548,-875.7300207906108,-178.084341105465,-329.30934868015737,-330.4063976578137,-531.420880280931,-Infinity	0.9962825977292168	-125.49166378569682	3	true	9
27	14	14	100	0	0	0	0	0	-617.2889225912645	-26.634554788558546	42.7569709809191	42.54840781729996	-371.6465229965059,-576.2381952570104,-417.717309213915,-826.3268912055819,-Infinity,-571.5773144529422,-517.5118377872416,-422.5123705778437,-Infinity,-26.634554788558546,-623.2822959604803,-584.7946943633912,-470.74851843010765,-524.5678226255854,-373.6029127246541,-323.4833595747753,-Infinity,-426.38816247070514,-Infinity,-270.15679114468463,-523.1330379777125,-571.8007132677027,-677.9039799201664,-473.368610673633,-568.5487087832868,-Infinity,-372.5588861625805,-423.9380450184002,-269.9380987779627,-227.06097177200533,-320.6524660898958,-Infinity,-Infinity,-225.38781946981376,-729.3227400549538,-270.8511255573526,-Infinity,-531.6753694850788,-431.76292903804836,-118.06973670409339,-615.0151066797106,-773.7364503632581,-171.51879406889088,-677.7914009782749,-473.6340184958411,-216.51207740073377,-73.94009266019644,-620.1927668250784,-423.7322601151808,-314.9365889946656,-Infinity,-Infinity,-369.26675326596927,-279.0042111210039,-272.7083526395766,-520.2832416656915,-185.8670370912343,-421.9980090463268,-119.92088405666189,-418.64158018137067,-Infinity,-338.630714833238,-221.5584426422664,-825.5355482096783,-514.1600674946525,-Infinity,-Infinity,-371.20963177151395,-Infinity,-Infinity,-326.44488343028473,-424.9581648684647,-367.4730555516671,-626.8553612305781,-275.4226833928493,-669.5269050246504,-325.88773837300585,-523.6554251943694,-430.9072045853642,-374.82414798689695,-Infinity,-520.5456907344748,-524.4060019200492,-322.31153344617985,-321.9450757566032,-729.1889048558169,-377.9297982906077,-82.13095384538914,-Infinity,-325.2389575036248,-Infinity,-Infinity,-429.8525655947971,-Infinity,-377.82970155005023,-363.28963671286846,-276.23220663974985,-422.8871512613043,-129.6641076832857,-617.2889225912645	0.9962825977292168	-26.634554788558546	3	true	8
28	14	14	100	0	0	0	0	0	-524.9971726458259	-121.4685833813481	44.27191115038466	44.06506296615423	-277.32568279348396,-280.0401447258046,-720.9073980829434,-275.55685151318204,-631.859354013889,-565.6292797393102,-715.1419819252776,-312.83935019578195,-783.0094883739584,-472.9169627428055,-671.6903952341189,-170.561224183494,-178.39188017014845,-121.4685833813481,-327.449977897504,-316.19187397116013,-475.04197931321966,-227.2894590787467,-Infinity,-466.169334594928,-766.7276925769426,-471.3170929954301,-575.3186029540475,-219.3780278455709,-Infinity,-369.99290220491264,-379.3483603959027,-471.53782489286095,-630.4840458231139,-232.99265111110603,-274.65873848162687,-174.41774447143973,-778.4846185095375,-583.0025255803262,-329.12505922873265,-524.3994171020349,-365.12411461531843,-Infinity,-374.48219067066896,-569.9188880808114,-Infinity,-174.06653251255707,-172.5671730141347,-225.46694207929065,-618.129814976153,-221.34267226153327,-422.51358257511674,-576.0914831721791,-369.0587995729246,-265.7729105697176,-777.3977287709075,-Infinity,-Infinity,-Infinity,-511.0766619479334,-522.2380589601403,-575.0169388915031,-374.9057065273714,-547.1063610777096,-469.2657898123024,-179.4022944295529,-433.48421686190767,-631.1883620264882,-126.76269204471859,-278.0141496792187,-472.553792381754,-574.2313514580734,-432.3397071603085,-170.70214306334347,-486.3119673525999,-Infinity,-467.87489776865664,-522.7135468417434,-428.438206503755,-Infinity,-772.9167170340979,-267.9747903509933,-414.80728947867397,-222.26109769779453,-470.9562925235287,-566.8824007915566,-672.3621177838132,-375.0083293243548,-323.3343552670972,-379.52158610851745,-831.3712777747471,-Infinity,-214.49931222416274,-316.9755301112629,-172.09884045064385,-269.41407066096735,-577.627767433844,-469.31612694144025,-372.1518899563162,-568.9298965871303,-421.48995825115935,-420.9399150602126,-270.78239485247593,-315.9194866340351,-524.9971726458259	0.9962825977292168	-121.4685833813481	4	true	9
29	14	13	100	0	0	0	0	0	-318.5275130643748	-63.03354070399237	41.63048315206056	44.815834300164205	-417.3565944081906,-423.58869259539296,-274.9025087916616,-229.5057367187042,-325.3105196112812,-274.8279887290008,-217.57121152749718,-Infinity,-427.225037778386,-669.1868114231536,-622.0778737534106,-577.5057487622347,-520.3479635369046,-123.34178671938686,-318.9355116143469,-179.78735889444906,-126.62049660119541,-428.12630061178004,-172.89431754661388,-74.18607288378989,-378.3399553673198,-627.3519493599741,-387.8148174694155,-169.3810322595389,-276.31488496113155,-530.4928888690708,-Infinity,-517.2681524683582,-565.3793789073376,-269.29628208229616,-568.7394718858122,-426.49535321158146,-276.2242717733621,-476.000750878202,-374.27821469377596,-275.93145845318054,-376.16486982660297,-420.94073437133295,-467.41563294401067,-93.46320329235152,-384.42030831810064,-531.4399124947369,-471.73330380256067,-628.3330602763118,-725.695484141765,-228.99203898079327,-Infinity,-375.212193014424,-418.6590548758414,-Infinity,-432.487729981306,-Infinity,-Infinity,-Infinity,-418.4220843420408,-574.4089022915762,-438.2429270833366,-289.01309104058515,-181.4301012615662,-574.5974503453093,-769.132971133137,-369.39315677515657,-624.7182016255101,-471.88602229103793,-433.3457707088562,-569.4915869543489,-426.5217367465935,-468.3801086228654,-465.87133098303735,-Infinity,-427.03881415719417,-126.76023542789044,-678.6500281944088,-535.9358163082138,-529.2822085049197,-320.5382062264414,-415.70955128572706,-174.71058524327088,-415.40236224819773,-522.649891530728,-425.6464289437936,-371.19423541151997,-Infinity,-63.03354070399237,-786.4821795528791,-323.2741109307874,-180.63428786477525,-468.43170625853526,-327.0690202564472,-626.1697272939097,-822.7774175699155,-286.1932226360981,-569.4523349648596,-620.3850855150249,-223.802860113769,-471.5084727583822,-Infinity,-126.36584808320721,-420.3772309444264,-318.5275130643748	0.9962914805418883	-63.03354070399237	1	true	8
30	14	13	100	0	0	0	0	0	-230.56501001870288	-29.637680986951747	39.121656696765264	40.761616983403606	-331.9411168663715,-582.3653788581354,-386.75135760675624,-Infinity,-374.256697425038,-478.7695042100001,-276.9436582854631,-671.901552548867,-430.3308608428251,-277.35288665868796,-564.948427548564,-424.6085437104079,-270.28012596517124,-471.56982193345806,-879.7910094193345,-442.2523843703025,-627.8712380414705,-177.92966419220494,-422.76155574259025,-Infinity,-422.6718024678613,-366.2254955423832,-176.45742168968957,-722.0403649915957,-569.8213969030704,-375.1925151691403,-125.82606929184502,-426.4996501920847,-475.81468142796257,-330.4846724715223,-672.5844405310174,-Infinity,-240.37482171230863,-Infinity,-Infinity,-323.0130731941149,-478.29982371763623,-Infinity,-224.82869061142625,-73.93289871541312,-372.87940554778334,-374.1224621788648,-Infinity,-680.7504413344834,-320.0795622940234,-82.85145512961735,-Infinity,-Infinity,-331.5250342651636,-419.2560078859043,-434.61904165466575,-170.20725207205862,-579.3711724221035,-482.2334657991489,-274.54705312780135,-Infinity,-422.6360014179903,-574.1103517745931,-280.8428399966911,-420.38983137504897,-517.7420490289823,-978.8520774049261,-426.31453303799697,-367.7208024134582,-279.68496077018654,-232.91944912356848,-270.9584185776886,-129.04187754789567,-198.74386115288732,-775.6892526565174,-380.41274461693394,-528.0164770306516,-235.29654864216684,-175.0012890121468,-630.4639731692537,-271.58811215726894,-Infinity,-570.4613771712519,-219.40228810960056,-224.1680511769277,-233.14026263933687,-377.6902255743452,-Infinity,-632.9327065877256,-468.05657990528994,-123.84010415087214,-418.26375182336506,-533.8468685931861,-522.3617814962175,-622.177936091125,-369.38409666176665,-477.1147738624061,-478.7727785461892,-674.0941446638955,-583.4095002289115,-Infinity,-272.28661024289545,-520.3535293639661,-29.637680986951747,-230.56501001870288	0.9961225974367784	-29.637680986951747	4	true	8
31	14	13	100	0	0	0	0	0	-826.9188517587007	-35.447080983632574	40.296893086510735	45.167290094231475	-222.37951100907247,-517.6561443458719,-528.1548638045737,-185.84554334359183,-235.778595620545,-528.4817053905376,-Infinity,-621.8660587565307,-585.2019155641599,-291.08168749804895,-625.5331200101515,-Infinity,-729.4596683704178,-371.4911286643228,-419.68037554336996,-668.4804571005875,-872.2260860358581,-380.84742857334294,-371.29946054614413,-627.2733057363599,-676.6338207188563,-330.3513906777386,-228.07372417088658,-427.4574240673454,-375.33615294921907,-369.24651176239007,-770.5132277130053,-421.9112535000977,-423.16522259994514,-35.447080983632574,-291.1798555756059,-680.3876204945379,-318.6426195602288,-929.1266158359717,-322.0794278737325,-86.48138218539081,-516.2460444589965,-223.26603695240715,-125.1552350508328,-480.84520155492396,-Infinity,-514.3269484745706,-423.70550008676656,-326.39515393917856,-419.97129856704834,-620.3179661440994,-327.3957975897897,-134.22777663886808,-Infinity,-375.55084827293064,-381.6365089135427,-278.85457511592597,-271.57965459366517,-732.4939811794112,-226.90935718348226,-425.07232339896797,-172.24729077050267,-181.4758610564263,-Infinity,-368.378425222333,-Infinity,-687.0619675020689,-Infinity,-575.9081410773236,-517.5414764493521,-374.8893687839917,-Infinity,-235.93689052310316,-621.4599501171037,-523.4017801627723,-202.21443646819648,-514.9500941951795,-227.2231311853515,-93.65457529599234,-382.8114303584632,-720.8189180516579,-886.9112530632334,-571.9957102856971,-473.72925911435146,-381.75343320739694,-Infinity,-270.2868042624368,-431.5302429644738,-125.19120809080367,-168.24830612754445,-477.9363263552984,-Infinity,-424.6754081148859,-Infinity,-477.0451155212527,-425.3966051167251,-427.14697963257095,-391.0997672491364,-530.5322364373835,-226.51222928638143,-331.2302412329465,-334.55855019134174,-371.5969715106165,-71.97631350518935,-826.9188517587007	0.9959126998632849	-35.447080983632574	4	true	9
32	14	14	100	0	0	0	0	0	-625.8462804100146	-70.62795545286431	40.707367885992085	44.59125856513662	-Infinity,-417.9397968020917,-421.4101570447435,-423.51671785979323,-525.3149742277835,-477.4453437875473,-338.6102541778849,-572.1949701648481,-275.90559056274617,-581.485849283638,-716.6931872140669,-70.62795545286431,-271.47851029754236,-371.5609373095316,-828.6100177144731,-732.3772970332382,-179.7349556293297,-270.3040695406267,-288.03766655827934,-272.0189150456366,-368.9707394915756,-Infinity,-633.1989577885779,-Infinity,-674.5220614111126,-376.30295443563733,-Infinity,-715.3781344445197,-425.3757355376712,-621.7643298185953,-520.9370300065171,-674.900061730764,-325.5304300437671,-371.374736221593,-Infinity,-Infinity,-773.359789828467,-522.0493595684911,-425.51028663289037,-Infinity,-383.08893601117376,-577.7426980444711,-822.3436704092503,-276.11362371376117,-572.669916234018,-666.707462742221,-574.9846484479513,-Infinity,-329.8537364093418,-387.0551926460991,-276.50923719453885,-536.9480882141806,-420.88660201066256,-375.4885725663617,-470.2214438318557,-369.83579957769336,-670.7428939688754,-370.7382691256322,-434.2541803240311,-468.7072019712257,-623.3053402847588,-325.3745995486491,-268.69900903718565,-236.1576976539221,-375.18615093612976,-Infinity,-Infinity,-467.90223675007474,-275.54333688684846,-476.7727483821039,-330.1604105960934,-273.4581802834171,-482.3790414326871,-423.80692653139624,-376.6780807689349,-424.53961319856927,-372.47077564519833,-469.34047482928094,-Infinity,-Infinity,-618.5508515754098,-128.08501270354589,-Infinity,-1080.4299877192018,-618.1466974375116,-727.2978029058595,-730.6181707774855,-Infinity,-517.8148855884817,-169.20697102167824,-419.3343603701827,-630.4320097382305,-375.87859079539186,-730.9805416796327,-327.4177833455006,-483.4149913488473,-473.84263800703457,-335.36997974877573,-472.6283358086551,-625.8462804100146	0.9959038170506138	-70.62795545286431	1	true	8
33	15	15	100	0	0	0	0	0	-265.09596476003975	-28.35066025767509	43.23604849118896	44.69495595508226	-680.3623569477654,-279.43304848380376,-319.0012805218763,-471.2861027168777,-424.0067248469952,-421.9111000998318,-471.11370240381444,-570.2225541624388,-317.60107983093593,-329.82472190383845,-Infinity,-228.73755450986056,-417.3062570854695,-479.82126791645715,-273.06705719053804,-482.0938237549877,-583.1913169423941,-422.2995709961058,-429.7402543535248,-275.53765299786875,-574.2633983899852,-565.8087273646103,-420.28070451807815,-320.10595489276665,-526.4020519179816,-276.7781825991525,-463.9859833444218,-716.2060953021379,-324.292542875602,-519.6599894211463,-519.2290803828175,-175.16423336042047,-561.6429819750675,-319.52200959703293,-285.9148926400734,-Infinity,-469.1958656885047,-568.8418076777649,-574.4999902304882,-518.6128539370942,-Infinity,-625.214102100996,-518.7348931861858,-477.00896105005995,-Infinity,-366.89559785928867,-422.7012527767812,-271.40324711532185,-167.57262178158774,-567.5255186354879,-Infinity,-391.2737458067874,-164.33491778922098,-567.4780663652612,-319.0045747037039,-173.02963312140878,-821.6672221981075,-517.9851000319906,-413.3707672505372,-425.9001520576099,-424.617398528613,-271.52987843189135,-Infinity,-368.34737692995543,-619.3903072548794,-529.3055182947777,-232.99674942711584,-465.6611156244359,-317.2807006187362,-277.2176802184888,-473.2008735132803,-423.64430811372006,-371.44344504614367,-722.3224932249937,-473.4605956125137,-416.33633751414135,-415.98340550746997,-Infinity,-28.35066025767509,-130.48130940419355,-715.9569158897248,-323.63064013851687,-629.9340340627763,-317.69447497900904,-224.67996929463618,-480.7115315813278,-527.4925405806406,-563.0856633301934,-418.61030489413486,-139.73157830113047,-316.52388583178214,-325.89320844396536,-Infinity,-432.18518668648045,-Infinity,-279.20036488510067,-427.2193591726976,-224.11097483838014,-Infinity,-265.09596476003975	0.9957260876876175	-28.35066025767509	3	true	8
