# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 9c135ba9-b185-488c-9974-923d855ff4f0
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: demo_N79.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	13	13	23	9263	14950	119600	0	0	-162.62983792775705	-162.62983792775705	-162.62983792775705	-162.62983792775705	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-213.99763651563327,-163.99763651854008,-163.99763651854008,-163.99763651854008,-162.72733121569865,-162.65147683688326,-162.65147683688326,-162.65147683688326,-162.62983792775705,-162.62983792775705	0.9975615034251832	-162.62983792775705	2	true	169
25	15	15	30	13904	19500	156000	0	0	-66.17483573110883	-66.17483573110883	-66.17483573110883	-66.17483573110883	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-77.13517235011504,-77.13517235011504,-77.13517235011504,-77.13517235011504,-72.92333409310031,-72.92333409310031,-72.92327468321606,-72.92327468321606,-72.92327468321606,-72.92327468321606,-72.92327468321606,-67.31794047620176,-67.31793628708107,-67.31790821013215,-67.31790821013215,-67.31790821013215,-67.31790821013215,-67.31790821013215,-67.31790821013215,-67.31775229894615,-67.31775229894615,-67.31775229894615,-66.17483573110883,-66.17483573110883	0.9966306358339244	-66.17483573110883	2	true	54
26	15	15	16	7474	10400	83200	0	0	-14.135520271782308	-14.135520271782308	-14.135520271782308	-14.135520271782308	-289.7362876557997,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.410022247503434,-17.410022247503434,-17.410022247503434,-16.15940364504551,-15.10663861215016,-15.10663861215016,-15.10663861215016,-15.10663861215016,-14.135520271782308,-14.135520271782308	0.9960817657423182	-14.135520271782308	2	true	33
27	15	15	29	13981	18850	150800	0	0	-10.007140799841157	-10.007140799841157	-10.007140799841157	-10.007140799841157	-378.04002599616956,-371.99785347295796,-367.48128033524165,-Infinity,-Infinity,-Infinity,-Infinity,-18.776678897379018,-18.776678897379018,-18.776678897379018,-18.776678897379018,-18.71383197456049,-18.71383197456049,-18.71383197456049,-18.71383197456049,-18.64889310692687,-18.64889310692687,-18.64132301997344,-18.64132301997344,-18.64051186170106,-12.375353890882,-12.375353502999527,-12.375353502999527,-12.375353502999527,-12.375353502999527,-12.299342877668575,-12.299342877668575,-10.007140799841157,-10.007140799841157	0.9960817657423182	-10.007140799841157	2	true	51
28	15	15	29	13333	18850	150800	0	0	41.4241003368828	41.4241003368828	41.4241003368828	41.4241003368828	-470.39591376108586,-166.37419022921264,-163.94991245016737,-161.9075972963139,40.13294953950698,40.151654728724836,40.151654728724836,40.151654728724836,40.151654728724836,40.170593204417514,40.17062346308343,40.17062346308343,40.17062346308343,41.424044232625924,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.424045961352356,41.4241003368828,41.4241003368828	0.9960817657423182	41.4241003368828	2	true	49
29	15	15	30	13449	19500	156000	0	0	41.605241925627084	41.605241925627084	41.605241925627084	41.605241925627084	-65.42418149840927,-65.42418149840927,-61.64655599027211,-61.64655599027211,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.97333967848492,40.99892593614567,38.31088697085734,41.568230073472634,41.568230073472634,41.58612947615758,41.58612947615758,41.586133616146604,41.605241925627084,41.605241925627084	0.9960817657423182	41.605241925627084	1	true	49
30	15	14	48	21335	31200	249600	0	0	36.596955338522264	36.596955338522264	36.596955338522264	36.596955338522264	-172.19249664977607,-172.19249664977607,-Infinity,29.78213164118281,32.300172006347694,32.300172006347694,34.2999205726631,34.35475115219879,35.8711845886134,35.8711845886134,35.871186371260215,35.871186371260215,35.871186371260215,35.871186371260215,35.871186371260215,34.55985676028052,35.8567597808604,35.8567597808604,35.8567597808604,35.8567597808604,35.8567597808604,35.8567597808604,36.578474619594004,36.578474619594004,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596954966110374,36.596955338522264,36.596955338522264	0.9959217654498799	36.596955338522264	2	true	74
31	15	14	24	10480	15600	124800	0	0	-12.886829717975127	-12.886829717975127	-12.886829717975127	-12.886829717975127	-470.49874123271945,-167.99759780292524,-17.997668060874588,-16.030388643759437,-16.836629901482723,-16.81789100982435,-16.785170426939487,-15.509477048938015,-15.50947533553205,-15.50947533553205,-13.993897035631058,-13.993897035631058,-13.003644293008216,-13.003631478065438,-13.003631478065438,-13.003631478065438,-13.003631478065438,-13.003631478065438,-13.003631478065438,-13.001293212975332,-13.001293212975332,-13.001293212975332,-12.886829717975127,-12.886829717975127	0.9957118678763863	-12.886829717975127	2	true	38
32	16	15	28	12179	18200	145600	0	0	-12.7148806506562	-12.7148806506562	-12.7148806506562	-12.7148806506562	-471.9551556389618,-469.4547680811149,-465.76941035986016,-117.0119781098105,-117.0119781098105,-117.0119781098105,-17.01198265899694,-17.011979796398347,-17.011954455524968,-17.011954455524968,-17.011954455524968,-14.778691313779238,-15.66285372460008,-15.66285372460008,-15.66285372460008,-15.66285372460008,-15.66285372460008,-14.231395369530032,-14.231395369530032,-14.231388943422457,-14.231388943422457,-14.231388943422457,-14.231388943422457,-14.231388943422457,-14.231388943422457,-14.231388943422457,-12.7148806506562,-12.7148806506562	0.99553413851339	-12.7148806506562	2	true	43
33	16	15	23	9890	14950	119600	0	0	-14.333586676819447	-14.333586676819447	-14.333586676819447	-14.333586676819447	-473.72568855739104,-471.7530669550401,-Infinity,-Infinity,-Infinity,-21.482655007904032,-21.482655007904032,-21.482655007904032,-22.449240938188204,-19.21041543492321,-19.21041543492321,-17.227357229098914,-17.227357229098914,-14.407840362853381,-14.407840362853381,-14.407840362853381,-14.407840362853381,-14.407840362853381,-14.407840362853381,-14.384712056597113,-14.384712056597113,-14.333586676819447,-14.333586676819447	0.9954509032687288	-14.333586676819447	2	true	38
34	16	14	36	15190	23400	187200	0	0	27.11776931922572	27.11776931922572	27.11776931922572	27.11776931922572	-538.901018674234,-236.94353950042841,-138.18856872237507,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.77091241913569,23.77091241913569,23.77091241913569,23.77091241913569,23.77091241913569,23.77091241913569,23.77091241913569,26.548970421953637,26.548970421953637,26.548970421953637,26.548970421953637,27.11776931922572,27.11776931922572	0.9954715201672747	27.11776931922572	3	true	54
35	17	16	23	9592	14950	119600	0	0	-29.351157865106074	-29.351157865106074	-29.351157865106074	-29.351157865106074	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-335.4840481410233,-34.05919148806,-34.05919148806,-34.05919148806,-34.05919148806,-34.05919148806,-34.05919148806,-34.05919148806,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.706333850368146,-29.351157865106074,-29.351157865106074	0.9948208084456174	-29.351157865106074	4	true	36
36	17	17	24	10896	15600	124800	0	0	28.69234694551291	28.69234694551291	28.69234694551291	28.69234694551291	-Infinity,4.197866503277478,23.70964123746341,23.70964154177903,21.920934666655945,22.072085212594168,22.072085212594168,21.757269292470337,27.41446358738238,27.484251507344105,27.484251507344105,27.484251507344105,28.692291544961158,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234659531697,28.69234694551291,28.69234694551291	0.9941041518924412	28.69234694551291	4	true	37
37	18	18	21	9621	13650	109200	0	0	38.37390543452008	38.37390543452008	38.37390543452008	38.37390543452008	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,30.968174017341102,36.451251204565104,37.38105952204103,37.38105952204103,37.38105952204103,37.43232423921817,38.22597364228428,38.22597364228428,38.22597364228428,38.22597364228428,38.37390334192112,38.37390334192112,38.37390334192112,38.37390543452008,38.37390543452008	0.9938841651983829	38.37390543452008	2	true	35
38	18	18	14	5865	9100	72800	0	0	41.88443879381677	41.88443879381677	41.88443879381677	41.88443879381677	-164.3734800475905,-159.90890735457776,41.091902786694234,41.349191824492024,41.34922622261401,41.8844057367983,41.8844057367983,41.8844057367983,41.8844057367983,41.8844057367983,41.8844057367983,41.8844057367983,41.88443879381677,41.88443879381677	0.9937852479511043	41.88443879381677	0	true	26
39	19	18	51	22681	33150	265200	0	0	35.230195781689886	35.230195781689886	35.230195781689886	35.230195781689886	-487.14303861701717,-177.9986670406868,-177.9986670406868,27.06975553191319,27.069762162521148,27.06979570054867,27.069825368307594,28.427606189996528,28.427606189996528,28.427606189996528,28.427606189996528,30.702438743629042,31.698055232424398,31.698055232424398,31.698055232424398,31.698055232424398,31.698055232424398,31.698055232424398,34.52361406386248,34.52361406386248,34.52361406386248,34.52361406386248,35.23016200084648,35.23016200084648,35.23016200084648,35.23016200084648,35.23016200084648,35.23016200084648,35.23016200084648,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.23019179686179,35.230195781689886,35.230195781689886	0.9936773382268007	35.230195781689886	2	true	78
40	19	17	24	11270	15600	124800	0	0	-31.57280810590739	-31.57280810590739	-31.57280810590739	-31.57280810590739	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-37.07829082989879,-37.07829082989879,-37.07829082989879,-37.07829082989879,-37.07829082989879,-32.57323771538847,-32.57323771538847,-32.57323771538847,-31.57281051029674,-31.57281051029674,-31.57281051029674,-31.57281051029674,-31.57281051029674,-31.57281051029674,-31.57280810590739,-31.57280810590739	0.9934763234659785	-31.57280810590739	5	true	41
41	20	18	54	23112	35100	280800	0	0	-16.234008236449604	-16.234008236449604	-16.234008236449604	-16.234008236449604	-875.9961682205545,-777.8162264037912,-377.81625409304525,-377.81625409304525,-77.8163068104828,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.618339607798212,-20.618339607798212,-20.618339607798212,-20.618339607798212,-20.618339607798212,-20.618339607798212,-20.087292245343882,-20.087292245343882,-20.087292245343882,-20.087292245343882,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243372948175185,-16.243188922918193,-16.243188922918193,-16.243188922918193,-16.243188922918193,-16.243188922918193,-16.243188922918193,-16.243188922918193,-16.234008236449604,-16.234008236449604	0.9933507943354707	-16.234008236449604	2	true	80
