# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 9cf8333f-c04e-4149-8f19-438db1ef36c7
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	66	3564	1040	8320	0	0	1.6667942005766188	1.6670782638027837	1.6667942005766188	1.6670782638027837	1.6670782638027837,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188,1.6667942005766188	0.9991239280309399	1.6670782638027837	0	true	27
25	6	6	91	8190	2160	17280	0	0	1.8681965634687032	1.868454266384738	1.8681965634687032	1.868454266384738	1.868454266384738,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032,1.8681965634687032	0.9990443117099597	1.868454266384738	0	true	20
26	6	6	91	9828	2520	20160	0	0	2.0493290770296997	2.0495630552929898	2.0493290770296997	2.0495630552929898	2.0495630552929898,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997,2.0493290770296997	0.9990443117099597	2.0495630552929898	0	true	10
27	6	6	91	9828	2520	20160	0	0	2.2110670757584123	2.211281290584299	2.2110670757584123	2.211281290584299	2.211281290584299,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123,2.2110670757584123	0.9990443117099597	2.211281290584299	0	true	9
28	6	6	90	9720	2492	19936	0	0	2.3606413823956816	2.3608345331593	2.3606413823956816	2.3608345331593	2.3608345331593,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816,2.3606413823956816	0.9990443117099597	2.3608345331593	0	true	11
29	6	6	90	9720	2492	19936	0	0	2.494012683380532	2.4941865029892387	2.494012683380532	2.4941865029892387	2.4941865029892387,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532,2.494012683380532	0.9990443117099597	2.4941865029892387	0	true	28
30	6	6	97	10476	2688	21504	0	0	2.5811432635888534	2.5812971151842463	2.5811432635888534	2.5812971151842463	2.5812971151842463,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534,2.5811432635888534	0.99887542860485	2.5812971151842463	0	true	5
31	6	6	97	10476	2688	21504	0	0	2.687419755261121	2.6875559740935198	2.687419755261121	2.6875559740935198	2.6875559740935198,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121,2.687419755261121	0.99887542860485	2.6875559740935198	0	true	4
32	7	7	97	10476	2688	21504	0	0	2.7789248727014737	2.7790444880179423	2.7789248727014737	2.7790444880179423	2.7790444880179423,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737,2.7789248727014737	0.9987036576717526	2.7790444880179423	0	true	17
33	7	7	97	12222	3072	24576	0	0	2.8552275043810154	2.855333223061962	2.8552275043810154	2.855333223061962	2.855333223061962,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154,2.8552275043810154	0.9986204224270916	2.855333223061962	0	true	13
