# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: 9e799e93-ad4c-4e0c-bede-35edce24fa69
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	480	2	16	0	0	1.6670734618833247	1.6670734618833247	1.6670734618833247	1.6670734618833247	1.6670734618833247	0.9991239280309399	1.6670734618833247	0	true	6
25	6	6	5	2405	10	80	0	0	1.868286752263019	1.868286752263019	1.868286752263019	1.868286752263019	1.863027102827914,1.863027102827914,1.863027102827914,1.868286752263019,1.868286752263019	0.9990443117099597	1.868286752263019	0	true	3
26	6	6	1	481	2	16	0	0	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0492672163217294	0.9990443117099597	2.0492672163217294	0	true	1
27	6	6	13	6253	26	208	0	0	2.211235138228806	2.211235138228806	2.211235138228806	2.211235138228806	2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.2112345347333915,2.211235138228806,2.211235138228806	0.9990443117099597	2.211235138228806	0	true	3
28	6	6	2	962	4	32	0	0	2.3602277049775693	2.3602277049775693	2.3602277049775693	2.3602277049775693	2.3602277049775693,2.3602277049775693	0.9990443117099597	2.3602277049775693	0	true	13
29	6	6	18	8658	36	288	0	0	2.493449806062496	2.493449806062496	2.493449806062496	2.493449806062496	2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.4934493307773664,2.493449806062496,2.493449806062496	0.9990443117099597	2.493449806062496	0	true	3
30	6	6	2	962	4	32	0	0	2.5813661888629245	2.5813661888629245	2.5813661888629245	2.5813661888629245	2.5813661888629245,2.5813661888629245	0.99887542860485	2.5813661888629245	0	true	2
31	6	6	5	2405	10	80	0	0	2.6868720363206244	2.6868720363206244	2.6868720363206244	2.6868720363206244	2.686870943802223,2.686870943802223,2.686870943802223,2.6868720363206244,2.6868720363206244	0.99887542860485	2.6868720363206244	0	true	3
32	7	7	2	962	4	32	0	0	2.779239240366254	2.779239240366254	2.779239240366254	2.779239240366254	2.779239240366254,2.779239240366254	0.9987036576717526	2.779239240366254	0	true	1
33	7	7	1	481	2	16	0	0	2.8552220579138234	2.8552220579138234	2.8552220579138234	2.8552220579138234	2.8552220579138234	0.9986204224270916	2.8552220579138234	0	true	2
34	8	8	1	481	2	16	0	0	2.9134320447744715	2.9134320447744715	2.9134320447744715	2.9134320447744715	2.9134320447744715	0.9984128643598162	2.9134320447744715	0	true	1
