# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a24c86c9-7805-4b5b-8514-17432cc080eb
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	16	8816	11232	89856	0	0	-9.912819029541023	-9.912819029541023	-9.912819029541023	-9.912819029541023	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-67.45855319256098,-67.45855319256098,-17.45855387914608,-16.42142946230293,-13.05552620365836,-10.789443812952559,-10.789443812952559,-9.912819029541023,-9.912819029541023	0.9977623354120823	-9.912819029541023	0	true	115
25	14	14	21	11718	14742	117936	0	0	36.65112285219385	36.65112285219385	36.65112285219385	36.65112285219385	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.64899529578548,36.65112285219385,36.65112285219385	0.9968314678208231	36.65112285219385	1	true	32
26	14	14	24	13152	16848	134784	0	0	41.85518981950839	41.85518981950839	41.85518981950839	41.85518981950839	-24.17498750688709,-17.75574595014814,-17.75574595014814,-16.431735562105864,-15.469421687030106,-15.468248811161587,-10.095995439092041,-9.142822605560973,-9.142822605560973,40.85724301542593,40.85724301542593,40.85724301542593,40.85724746437996,40.85724746437996,40.85724746437996,40.85724746437996,40.85724746437996,40.85724746437996,40.85768688488154,40.85768688488154,40.85768688488154,40.85768688488154,41.85518981950839,41.85518981950839	0.9962825977292168	41.85518981950839	0	true	30
27	14	14	12	6480	8424	67392	0	0	42.390067580895796	42.390067580895796	42.390067580895796	42.390067580895796	31.78969106339182,35.0523054125331,35.0523054125331,35.139231848737474,35.13923391219071,38.5937126129224,38.59383248230728,41.28550430218345,41.28552507089361,41.285545177423806,42.390067580895796,42.390067580895796	0.9962825977292168	42.390067580895796	0	true	17
28	14	14	24	12960	16848	134784	0	0	43.940778591020454	43.940778591020454	43.940778591020454	43.940778591020454	-15.8435421845926,-13.901546871320463,-10.300138704755403,-7.08219314089469,-7.081962869315989,-7.081361561769997,-6.117052000019899,-6.117052000019899,-6.117052000019899,-6.059277264617211,-6.059251946782356,-6.059251946782356,-6.059251946782356,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.94077800311735,43.940778591020454,43.940778591020454	0.9962825977292168	43.940778591020454	0	true	26
29	14	13	17	9180	11934	95472	0	0	42.51973076143867	42.51973076143867	42.51973076143867	42.51973076143867	-83.3134678364238,-83.3134678364238,-83.31314131352107,-77.91334651436124,-76.60718803352997,-76.60718803352997,-72.44164757495695,-67.21437597964295,37.34084441883751,40.79643686611943,40.79643686611943,40.79643686611943,40.79643686611943,40.79643686611943,40.24231544448622,42.51973076143867,42.51973076143867	0.9962914805418883	42.51973076143867	0	true	21
30	14	13	27	14580	18954	151632	0	0	38.60065151522849	38.60065151522849	38.60065151522849	38.60065151522849	-75.02778665648465,-65.24013275949312,-65.24013275949312,-15.239831954719342,-16.08483564533602,-14.525051837801577,-12.036374528591647,-12.036374528591647,-11.79940543678558,-11.79940543678558,-11.79940543678558,-11.799383811292845,-11.799383811292845,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,-11.399414079966991,38.60065151522849,38.60065151522849	0.9961225974367784	38.60065151522849	0	true	27
31	14	12	28	15120	19656	157248	0	0	36.30905425567	36.30905425567	36.30905425567	36.30905425567	-Infinity,-Infinity,-Infinity,-Infinity,33.10761336454459,34.65721589790916,34.65721589790916,34.65721589790916,34.65721589790916,34.65721589790916,34.65721589790916,35.05633805102899,36.09092763053616,36.09092763053616,36.09092764090952,36.09092764090952,36.259615492838805,36.259615492838805,36.259616324465995,36.259616324465995,36.259616324465995,36.259616400280755,36.259616400280755,36.259616400280755,36.259652551420004,36.259652551420004,36.30905425567,36.30905425567	0.9959502050723418	36.30905425567	0	true	28
32	14	13	17	9180	11934	95472	0	0	38.57819648388841	38.57819648388841	38.57819648388841	38.57819648388841	-41.81745680342929,-30.043576976070653,-24.7126881647391,-24.712675983868422,-20.73041084789373,-17.2487826519909,-17.2487826519909,-17.24877740089405,32.75124229832488,32.75125016294511,32.75125016294511,35.638911087923276,35.638911087923276,35.638911087923276,37.76150865434743,38.57819648388841,38.57819648388841	0.9959413222596706	38.57819648388841	1	true	21
33	15	14	51	27540	35802	286416	0	0	41.90087769980979	41.90087769980979	41.90087769980979	41.90087769980979	-38.37577273534217,-38.37567397854376,-38.37567397854376,-32.99502711643927,21.888214524189728,21.888454590192417,26.259233012506144,26.259233012506144,34.012916164074525,36.820908549380135,36.820908549380135,36.820908549380135,36.820908549380135,36.8209603408086,38.99016664238613,39.87580877968898,41.53080348747829,41.53080348747829,41.53080348747829,41.53084477659742,41.53084477659742,41.53084477659742,41.53084477659742,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.53084722829364,41.90087769980979,41.90087769980979	0.995680357652013	41.90087769980979	0	true	43
