# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a41f5554-cf57-4ca4-ad68-23ac34f5cbe2
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	482	2	16	0	0	1.666868195690778	1.666868195690778	1.666868195690778	1.666868195690778	1.666868195690778	0.9991239280309399	1.666868195690778	0	true	5
25	6	6	2	966	4	32	0	0	1.8684747700432325	1.8684747700432325	1.8684747700432325	1.8684747700432325	1.8684747700432325,1.8684747700432325	0.9990443117099597	1.8684747700432325	0	true	6
26	6	6	1	483	2	16	0	0	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973	0.9990443117099597	2.0492671702481973	0	true	10
27	6	6	11	5313	22	176	0	0	2.211340827920864	2.211340827920864	2.211340827920864	2.211340827920864	2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.2113405336389604,2.211340827920864,2.211340827920864	0.9990443117099597	2.211340827920864	0	true	4
28	6	6	13	6279	26	208	0	0	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.360227689759393,2.3602281783234216,2.3602281783234216	0.9990443117099597	2.3602281783234216	0	true	3
29	6	6	5	2415	10	80	0	0	2.493938995428037	2.493938995428037	2.493938995428037	2.493938995428037	2.4939387316038855,2.4939387316038855,2.4939387316038855,2.493938995428037,2.493938995428037	0.9990443117099597	2.493938995428037	0	true	2
30	6	6	1	483	2	16	0	0	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406	0.99887542860485	2.581366414144406	0	true	0
31	6	6	4	1932	8	64	0	0	2.68687202762418	2.68687202762418	2.68687202762418	2.68687202762418	2.686871407301272,2.686871407301272,2.68687202762418,2.68687202762418	0.99887542860485	2.68687202762418	0	true	1
32	7	7	2	966	4	32	0	0	2.7792394389444692	2.7792394389444692	2.7792394389444692	2.7792394389444692	2.7792394389444692,2.7792394389444692	0.9987036576717526	2.7792394389444692	0	true	0
33	7	7	1	483	2	16	0	0	2.8546182765911383	2.8546182765911383	2.8546182765911383	2.8546182765911383	2.8546182765911383	0.9986204224270916	2.8546182765911383	0	true	1
34	8	8	2	966	4	32	0	0	2.91397202934628	2.91397202934628	2.91397202934628	2.91397202934628	2.91397202934628,2.91397202934628	0.9984128643598162	2.91397202934628	0	true	1
35	9	9	1	484	2	16	0	0	2.956515392787388	2.956515392787388	2.956515392787388	2.956515392787388	2.956515392787388	0.998144332911735	2.956515392787388	0	true	1
36	10	10	18	8712	36	288	0	0	2.9996079192177283	2.9996079192177283	2.9996079192177283	2.9996079192177283	-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.016819698665486,-47.00039221467753,-47.00039221467753,-47.00039221467753,-47.00039221467753,-47.00039221467753,-47.00039221467753,-47.00039221467753,2.9996079192177283,2.9996079192177283	0.9981368757356651	2.9996079192177283	0	true	1
37	11	11	1	483	2	16	0	0	2.9990315893224913	2.9990315893224913	2.9990315893224913	2.9990315893224913	2.9990315893224913	0.9979193747669632	2.9990315893224913	0	true	1
38	11	11	1	482	2	16	0	0	2.9992684490918275	2.9992684490918275	2.9992684490918275	2.9992684490918275	2.9992684490918275	0.9975972905593614	2.9992684490918275	0	true	1
39	12	12	3	1446	6	48	0	0	2.9993542641482938	2.9993542641482938	2.9993542641482938	2.9993542641482938	2.999353180993544,2.9993542641482938,2.9993542641482938	0.9975264473866985	2.9993542641482938	0	true	1
40	12	12	5	2415	10	80	0	0	2.9994791553745643	2.9994791553745643	2.9994791553745643	2.9994791553745643	-47.00052050812498,-47.00052050812498,-47.00052050812498,2.9994791553745643,2.9994791553745643	0.9975264473866985	2.9994791553745643	0	true	1
41	13	13	12	5796	24	192	0	0	2.99908255225241	2.99908255225241	2.99908255225241	2.99908255225241	2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.9990824838957457,2.99908255225241,2.99908255225241	0.9974928900943846	2.99908255225241	0	true	7
42	15	15	1	483	2	16	0	0	2.9998461771478895	2.9998461771478895	2.9998461771478895	2.9998461771478895	2.9998461771478895	0.9973089464179967	2.9998461771478895	0	true	1
43	15	15	9	4347	18	144	0	0	2.999404095920574	2.999404095920574	2.999404095920574	2.999404095920574	-47.00059567216611,-47.00059567216611,-47.00059567216611,-47.00059567216611,-47.00059567216611,-47.00059567216611,-47.00059567216611,2.999404095920574,2.999404095920574	0.9972257111733355	2.999404095920574	0	true	1
44	16	16	1	484	2	16	0	0	2.999513568676267	2.999513568676267	2.999513568676267	2.999513568676267	2.999513568676267	0.9971411965112114	2.999513568676267	0	true	1
45	18	18	12	5820	24	192	0	0	2.9993232437417086	2.9993232437417086	2.9993232437417086	2.9993232437417086	2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9990105440488186,2.9993232437417086,2.9993232437417086	0.996617074008817	2.9993232437417086	0	true	5
46	19	19	1	487	2	16	0	0	2.9999032406728174	2.9999032406728174	2.9999032406728174	2.9999032406728174	2.9999032406728174	0.9964878162902743	2.9999032406728174	0	true	1
47	19	19	6	2928	12	96	0	0	2.9997003541490574	2.9997003541490574	2.9997003541490574	2.9997003541490574	2.999204046976806,2.999204046976806,2.999204046976806,2.999204046976806,2.9997003541490574,2.9997003541490574	0.9964878162902743	2.9997003541490574	0	true	1
48	20	20	1	488	2	16	0	0	2.9997733395591673	2.9997733395591673	2.9997733395591673	2.9997733395591673	2.9997733395591673	0.9960831548241349	2.9997733395591673	0	true	1
49	23	23	1	488	2	16	0	0	2.9993510453769328	2.9993510453769328	2.9993510453769328	2.9993510453769328	2.9993510453769328	0.9959128826372083	2.9993510453769328	0	true	0
