# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a4ccc913-d2e4-453a-8610-515bff485b68
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	26
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	22
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	23
27	14	14	1	0	0	0	0	0	-68.51188587259396	-68.51188587259396	42.891917747354356	42.891917747354356	-68.51188587259396	0.9962825977292168	-68.51188587259396	6	true	27
28	14	14	1	0	0	0	0	0	-20.68995711263777	-20.68995711263777	44.127351172834224	44.127351172834224	-20.68995711263777	0.9962825977292168	-20.68995711263777	7	true	28
29	14	13	1	0	0	0	0	0	-31.362787589186446	-31.362787589186446	43.32519125741117	43.32519125741117	-31.362787589186446	0.9962914805418883	-31.362787589186446	7	true	26
30	14	13	1	0	0	0	0	0	-37.29169976448802	-37.29169976448802	41.63712668752635	41.63712668752635	-37.29169976448802	0.9961225974367784	-37.29169976448802	8	true	25
31	14	13	1	0	0	0	0	0	-Infinity	-Infinity	8.904630217122964	8.904630217122964	-Infinity	0.9959126998632849	-Infinity	9	true	26
32	14	13	1	0	0	0	0	0	-Infinity	-Infinity	9.290290905496	9.290290905496	-Infinity	0.9959126998632849	-Infinity	9	true	26
33	15	14	1	0	0	0	0	0	-Infinity	-Infinity	-64.71901791876712	-64.71901791876712	-Infinity	0.995680357652013	-Infinity	10	true	22
34	15	13	1	0	0	0	0	0	-534.0989036040642	-534.0989036040642	38.814945773281266	38.814945773281266	-534.0989036040642	0.9957138052799732	-534.0989036040642	7	true	25
35	16	13	1	0	0	0	0	0	-605.0872437522006	-605.0872437522006	35.11440231479808	35.11440231479808	-605.0872437522006	0.9950808591836585	-605.0872437522006	9	true	25
36	16	13	1	0	0	0	0	0	-Infinity	-Infinity	-56.16303288046236	-56.16303288046236	-Infinity	0.9946477946498418	-Infinity	11	true	26
37	17	15	1	0	0	0	0	0	-Infinity	-Infinity	-60.286578276431	-60.286578276431	-Infinity	0.994144215936424	-Infinity	12	true	24
38	17	15	1	0	0	0	0	0	-793.5096094908452	-793.5096094908452	33.788924588410524	33.788924588410524	-793.5096094908452	0.994144215936424	-793.5096094908452	10	true	27
39	17	15	1	0	0	0	0	0	-639.7213968728279	-639.7213968728279	34.27516648869822	34.27516648869822	-639.7213968728279	0.994144215936424	-639.7213968728279	10	true	25
40	17	15	1	0	0	0	0	0	-185.30933026224417	-185.30933026224417	34.303416263100516	34.303416263100516	-185.30933026224417	0.9939343183629307	-185.30933026224417	9	true	26
41	18	15	1	0	0	0	0	0	-191.7388434988734	-191.7388434988734	30.090156332533994	30.090156332533994	-191.7388434988734	0.9938264086386268	-191.7388434988734	8	true	26
42	19	16	1	0	0	0	0	0	-579.9933765950966	-579.9933765950966	33.646439114108766	33.646439114108766	-579.9933765950966	0.9937928513463126	-579.9933765950966	7	true	25
43	20	17	1	0	0	0	0	0	-226.71361350939566	-226.71361350939566	38.87532071212696	38.87532071212696	-226.71361350939566	0.9935840869711435	-226.71361350939566	6	true	25
44	22	18	1	0	0	0	0	0	-230.952895929742	-230.952895929742	36.554613135956586	36.554613135956586	-230.952895929742	0.9929293176683895	-230.952895929742	7	true	26
45	23	17	1	0	0	0	0	0	-193.5690874164947	-193.5690874164947	37.130146678507955	37.130146678507955	-193.5690874164947	0.9929859775846059	-193.5690874164947	9	true	26
46	23	17	1	0	0	0	0	0	6.501055136389164	6.501055136389164	39.29390455495594	39.29390455495594	6.501055136389164	0.9927398907743036	6.501055136389164	9	true	26
47	23	15	1	0	0	0	0	0	-58.000489174703006	-58.000489174703006	31.049377680552276	31.049377680552276	-58.000489174703006	0.9927550244551511	-58.000489174703006	10	true	25
48	24	17	1	0	0	0	0	0	-41.35608086567619	-41.35608086567619	26.784241386084545	26.784241386084545	-41.35608086567619	0.9926754081341708	-41.35608086567619	8	true	25
49	24	17	1	0	0	0	0	0	-Infinity	-Infinity	11.94880873514908	11.94880873514908	-Infinity	0.992724757093456	-Infinity	8	true	24
50	24	17	1	0	0	0	0	0	-382.6095095819136	-382.6095095819136	32.134472494571625	32.134472494571625	-382.6095095819136	0.9924851404800373	-382.6095095819136	6	true	24
51	24	15	1	0	0	0	0	0	-487.31668963269254	-487.31668963269254	27.25306817037578	27.25306817037578	-487.31668963269254	0.9925611378773368	-487.31668963269254	8	true	25
52	24	14	1	0	0	0	0	0	-405.7088371723896	-405.7088371723896	12.791596288260841	12.791596288260841	-405.7088371723896	0.9925672425263745	-405.7088371723896	10	true	26
53	24	14	1	0	0	0	0	0	-140.2319936480074	-140.2319936480074	26.303354411962324	26.303354411962324	-140.2319936480074	0.9925672425263745	-140.2319936480074	8	true	26
54	24	13	1	0	0	0	0	0	-Infinity	-Infinity	-6.861696302774551	-6.861696302774551	-Infinity	0.9926040897493074	-Infinity	10	true	22
55	25	13	1	0	0	0	0	0	-417.47432678126165	-417.47432678126165	8.963323379545397	8.963323379545397	-417.47432678126165	0.992442700375052	-417.47432678126165	12	true	25
56	25	13	1	0	0	0	0	0	-354.2111229340292	-354.2111229340292	18.21944899013205	18.21944899013205	-354.2111229340292	0.992442700375052	-354.2111229340292	11	true	25
57	25	13	1	0	0	0	0	0	-418.41270631835306	-418.41270631835306	13.227867535815594	13.227867535815594	-418.41270631835306	0.9924788896118614	-418.41270631835306	12	true	24
58	25	12	1	0	0	0	0	0	-Infinity	-Infinity	-27.733887663636306	-27.733887663636306	-Infinity	0.9924996161747611	-Infinity	12	true	23
59	25	11	1	0	0	0	0	0	-174.88404305617263	-174.88404305617263	9.35775880554214	9.35775880554214	-174.88404305617263	0.9925084989874324	-174.88404305617263	12	false	23
60	25	11	1	0	0	0	0	0	-Infinity	-Infinity	-24.64649612301176	-24.64649612301176	-Infinity	0.9925084989874324	-Infinity	13	false	22
61	25	11	1	0	0	0	0	0	-74.57660586187937	-74.57660586187937	11.722293556704148	11.722293556704148	-74.57660586187937	0.9925084989874324	-74.57660586187937	13	false	23
62	25	10	1	0	0	0	0	0	-84.69527790727612	-84.69527790727612	7.177312146443949	7.177312146443949	-84.69527790727612	0.9926122780210702	-84.69527790727612	13	false	23
63	25	10	1	0	0	0	0	0	-131.81110896686812	-131.81110896686812	4.181401097007443	4.181401097007443	-131.81110896686812	0.9926122780210702	-131.81110896686812	13	false	23
