# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a4f1cc10-4dca-45d9-997c-0a8e5b619847
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	-1473.477424783585	-1017.8594598091639	-107.22910950741688	-57.48222499509351	-Infinity,-Infinity,-1612.954642925007,-Infinity,-1926.8238900787485,-2085.8595529941563,-1976.4481634651318,-2123.8672717855497,-1972.7150183440506,-Infinity,-Infinity,-2529.9444010830175,-2120.073701989622,-Infinity,-2117.5986714454657,-2380.3155203280085,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2226.788449249987,-2158.2499923098358,-2023.8000782800839,-2084.489150781231,-Infinity,-1921.1490451778232,-1634.3030100480685,-2114.7293866065256,-Infinity,-2169.621183045321,-2170.5649835179106,-1629.013820580502,-Infinity,-2320.227952086757,-2071.6501944715296,-Infinity,-Infinity,-Infinity,-Infinity,-2019.1322460147026,-Infinity,-1162.9669052904492,-2432.274645141726,-2311.678929538631,-Infinity,-2321.583507128157,-1973.9670592784369,-1765.1132370546613,-Infinity,-1876.2925746965784,-Infinity,-Infinity,-Infinity,-2223.952274386524,-1017.8594598091639,-Infinity,-1967.2467373183931,-2388.568644232782,-2581.4762117855976,-2167.204546728877,-2321.373877780421,-Infinity,-Infinity,-Infinity,-1477.2809903408188,-2433.20771156463,-1517.4098213608174,-Infinity,-Infinity,-Infinity,-Infinity,-2173.7279359139757,-2588.2319054893474,-Infinity,-Infinity,-1918.9358002868582,-2312.953525354453,-2022.4726139587628,-2114.779103798838,-Infinity,-2317.088362578736,-2222.7432483508383,-Infinity,-2235.9114393914842,-1916.3262726699215,-Infinity,-Infinity,-2071.4082581904454,-1827.3285921457186,-Infinity,-1822.6613726512523,-2026.0136332260029,-Infinity,-2127.892745707218,-1327.2936503437147,-Infinity,-Infinity,-2513.8208342803096,-1473.477424783585	0.9976279600236874	-1017.8594598091639	7	false	20
25	9	9	100	0	0	0	0	0	-Infinity	-1364.5752473719829	-1015.3725507813178	-46.78248643290811	-2065.4979080106473,-2412.3298913205017,-2019.4438025101942,-Infinity,-Infinity,-Infinity,-1962.1614490795607,-Infinity,-Infinity,-2313.361872951953,-Infinity,-2119.928691674029,-1613.4246755950803,-2422.608048943344,-2074.3194585590036,-Infinity,-Infinity,-1857.068050594168,-2225.0256441387246,-Infinity,-1964.3100661262351,-Infinity,-2417.4567724888675,-1912.285297739029,-2407.62678683518,-1964.7860668797414,-2163.5726838180217,-2154.1180277704643,-1763.749086239452,-2257.9259516331626,-2363.113647511694,-Infinity,-Infinity,-Infinity,-Infinity,-2270.9336330068168,-2267.7526659023333,-Infinity,-Infinity,-Infinity,-1564.8004950184647,-1818.880999842156,-2220.307959451153,-2354.107488879118,-Infinity,-2773.3945445520812,-Infinity,-1920.9273345603997,-Infinity,-Infinity,-1819.7702240348717,-1864.9984068283868,-1816.3956555866782,-1621.6654372785783,-2013.4711789371838,-1712.5894529475115,-Infinity,-Infinity,-Infinity,-2824.384934458167,-Infinity,-Infinity,-2111.1444117454307,-Infinity,-2165.021468034904,-Infinity,-Infinity,-2323.747082472012,-2275.369009475797,-Infinity,-Infinity,-2318.882001161101,-1677.9962053749243,-Infinity,-Infinity,-2112.261724525091,-Infinity,-1663.2817973667889,-1668.112842396944,-2264.772000517132,-1870.4528746611559,-Infinity,-2415.3516198861253,-2107.3589863009074,-Infinity,-Infinity,-1909.8973825709002,-Infinity,-2221.829939848601,-1604.8679613253764,-Infinity,-2114.1068831525563,-1575.4268581986466,-2064.199715354623,-2066.19315861228,-1825.6921101273163,-1364.5752473719829,-2215.425366035152,-Infinity,-Infinity	0.9975483437027073	-1364.5752473719829	6	false	7
26	9	9	100	0	0	0	0	0	-Infinity	-1112.1188443475987	-184.5712750763317	-44.139385030806615	-2218.74295160821,-Infinity,-Infinity,-Infinity,-1866.4150127043654,-1758.4230300816018,-Infinity,-Infinity,-1863.8528858596605,-Infinity,-2014.2237249742384,-1703.294862666876,-Infinity,-Infinity,-1813.0615444940522,-2209.1367289704235,-2019.9778315790597,-Infinity,-Infinity,-1863.7509161767844,-1910.384547104878,-2212.569606076787,-Infinity,-Infinity,-Infinity,-1767.073589826283,-2060.4566319671126,-1803.2694355683984,-Infinity,-Infinity,-Infinity,-2157.191145907575,-1672.470661973643,-2058.3016771309563,-Infinity,-1813.8912479158673,-1811.160531925314,-2423.512013622258,-2314.037136908784,-Infinity,-1706.8994878700998,-1861.6559271950669,-Infinity,-2154.907193715459,-1864.0007311805698,-Infinity,-Infinity,-1112.1188443475987,-Infinity,-1867.8282677807056,-2154.8767795109134,-2259.740837220552,-2470.373722900009,-2466.2114747740106,-1860.4309741954671,-1965.0531009546548,-Infinity,-Infinity,-2574.2667243732976,-Infinity,-Infinity,-2058.1000790375683,-Infinity,-1368.8210189460017,-Infinity,-Infinity,-2416.078959107156,-1955.516161400122,-Infinity,-1908.5008816639497,-Infinity,-1701.0093686416542,-Infinity,-2180.8033311125964,-Infinity,-2181.457246530251,-2111.130191238157,-Infinity,-Infinity,-2470.1942386107403,-Infinity,-Infinity,-Infinity,-2214.2784934430742,-1507.9220670061588,-Infinity,-2253.0326721828037,-Infinity,-2468.818709159689,-Infinity,-Infinity,-1760.0446401390195,-2017.023756387578,-Infinity,-1867.4021676823822,-2269.3057701205535,-Infinity,-Infinity,-2105.954240489408,-Infinity	0.9975483437027073	-1112.1188443475987	6	false	8
27	10	10	100	0	0	0	0	0	-2362.6189222683547	-1337.0951406428276	3.094853589810265	-41.699865564897145	-2413.4515583309853,-2162.448184358927,-Infinity,-2012.331343485693,-Infinity,-1818.9853547657822,-Infinity,-1609.938600433187,-2005.0336895657852,-2157.8375214248663,-Infinity,-Infinity,-Infinity,-Infinity,-2122.251308655794,-1764.3061384391997,-Infinity,-Infinity,-Infinity,-2055.725770925173,-Infinity,-2161.1145669851576,-Infinity,-1337.0951406428276,-1966.7607315168163,-Infinity,-Infinity,-1414.2446875048797,-1960.3069638161207,-1918.0704619688333,-1899.8087969185085,-1858.8549439956366,-Infinity,-1722.1390681003184,-1715.9804593204922,-1607.373829969351,-1864.447464200786,-2169.633055547471,-Infinity,-Infinity,-Infinity,-2059.4094325805404,-1614.22113758246,-2529.1511937756095,-2214.7018677399446,-2152.606787137643,-1463.387577686181,-1668.0235602229686,-Infinity,-Infinity,-1816.9767034988738,-2015.1858400157248,-1913.570743637731,-1958.7035897860667,-1912.0478098292685,-2214.72471484631,-2010.5731376666038,-Infinity,-Infinity,-1907.231224125373,-Infinity,-Infinity,-Infinity,-2457.721924073059,-2411.413250499756,-1672.6807673034705,-1857.9651367319232,-2262.4106129955776,-1919.3004606845539,-Infinity,-Infinity,-Infinity,-Infinity,-2013.2612692506261,-2516.3468009810845,-Infinity,-1865.157355185381,-Infinity,-1775.1507855058078,-1667.145576861984,-2009.0476453265665,-1819.9196260953383,-1405.117369485704,-Infinity,-Infinity,-Infinity,-1574.7591597750682,-2360.9131806330693,-Infinity,-2182.723829777713,-Infinity,-2414.6782572870256,-1606.900796866877,-2225.21771155565,-1407.8730245892996,-2063.2773794188897,-1852.9070047730386,-2262.3109752178834,-1966.630712442021,-2362.6189222683547	0.997245085209203	-1337.0951406428276	12	false	7
28	10	10	100	0	0	0	0	0	-Infinity	-1373.5620238587198	-160.94403525206826	13.374158458074927	-1522.2448362705884,-Infinity,-1952.4118457443665,-2313.604351713907,-2054.6413276795106,-1703.36390624996,-Infinity,-1963.080214017964,-Infinity,-2161.6825588231945,-Infinity,-Infinity,-1866.3530982209181,-Infinity,-Infinity,-1758.7824871598564,-Infinity,-1969.71719780392,-1504.4724351685709,-Infinity,-2209.809829960816,-Infinity,-1656.125298153786,-Infinity,-Infinity,-2117.495426364372,-2160.918804253455,-2168.749051831582,-1821.1674469722582,-1373.5620238587198,-Infinity,-Infinity,-2060.5456286895724,-2073.102576368761,-Infinity,-1718.8033041349263,-Infinity,-Infinity,-2280.4111419290793,-1803.1066131165762,-Infinity,-Infinity,-1765.1700825046446,-1709.1131056976178,-Infinity,-1417.280824488019,-Infinity,-Infinity,-2216.6855616950115,-Infinity,-Infinity,-1614.2504047147856,-2412.8081476932393,-Infinity,-Infinity,-Infinity,-Infinity,-1664.2784636642054,-2761.677389184425,-Infinity,-2311.901191334999,-1916.6804290028158,-1407.1463748879828,-2005.340194317821,-1907.7496354667112,-Infinity,-1952.740662091816,-Infinity,-2263.6887807892595,-1558.7277594861437,-Infinity,-Infinity,-1965.774434362511,-1809.8897215651334,-Infinity,-1855.9988124872796,-1807.7083440244974,-1724.1948089927077,-2120.7564825337518,-1959.9363902014882,-2011.3422427213538,-2265.641769395095,-Infinity,-1520.624010193098,-Infinity,-2424.3845988953162,-2510.840738682515,-2114.5176373056756,-Infinity,-Infinity,-Infinity,-Infinity,-1608.8446447985698,-1565.8197331200492,-2049.1154900043603,-2010.3232026981016,-2105.1452076495616,-2238.5539013994457,-Infinity,-Infinity	0.9970255371725607	-1373.5620238587198	10	true	5
29	10	10	100	0	0	0	0	0	-1399.5554625611471	-1219.776261009388	-45.698009872688885	-0.3142118434471364	-2524.8912550203268,-Infinity,-Infinity,-Infinity,-Infinity,-2506.7272752276713,-Infinity,-2411.828296210433,-Infinity,-2105.5820412744424,-2166.1852195090796,-2505.254350167296,-1665.1370291759174,-Infinity,-Infinity,-Infinity,-1905.3225311695041,-2054.339619577828,-2174.2417925174736,-1723.3980298884449,-Infinity,-Infinity,-1598.7943498757343,-1669.7261481803305,-2109.2864167735306,-2403.7475329879567,-2406.9802152515535,-2155.7650392507167,-1714.3980693974493,-1309.057570512601,-1598.956225736303,-2061.1239121705034,-1816.3866177391653,-Infinity,-2065.6291469313473,-Infinity,-1959.5299009825699,-2264.8923772789735,-2302.328099550879,-Infinity,-2254.156396648133,-1619.8369565828318,-Infinity,-2008.3432837541973,-1867.5517173486714,-Infinity,-1606.2620689156213,-2668.332438223422,-2017.1245336395436,-Infinity,-2313.466306917038,-2213.6713992037726,-2206.2993051113094,-1816.9754597284448,-1617.5357399340855,-2003.0730980387505,-2009.2071658918328,-1700.4765188756503,-1712.9252619769554,-2359.901801978529,-1768.1785375489371,-2324.000639991617,-Infinity,-1913.050677462464,-2218.0867405298372,-Infinity,-Infinity,-Infinity,-1219.776261009388,-2114.0949898982703,-Infinity,-2371.6034301699824,-2314.5274136105854,-Infinity,-1912.7813350734482,-2422.895964438499,-1960.0661834671464,-Infinity,-1713.8375412902915,-2307.2993866865068,-Infinity,-2363.1941266833696,-2064.5948432777377,-Infinity,-Infinity,-2309.288399805863,-Infinity,-2253.3288777866233,-2475.240442080671,-Infinity,-1555.0476230942772,-2303.51020172534,-2166.6371388324196,-1729.5729177145035,-1876.7277645691104,-2369.6779283884707,-Infinity,-1802.6593878069616,-Infinity,-1399.5554625611471	0.9970255371725607	-1219.776261009388	7	true	7
30	10	10	100	0	0	0	0	0	-2473.4729341325005	-1003.9966452822233	-0.8748479606581157	-38.169292012464	-Infinity,-2078.620362861191,-2205.3487586473066,-1936.7717650270981,-1511.7191569122344,-1759.1183747809046,-2129.4250070110384,-Infinity,-Infinity,-Infinity,-1965.5177533477688,-2214.488536785088,-Infinity,-Infinity,-1306.52060832879,-2052.3467660656434,-2110.055823457055,-1919.6103678455704,-2386.5423325949055,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1712.818356188934,-Infinity,-1735.697165468152,-Infinity,-1861.7101699270033,-Infinity,-2268.7022566739274,-1437.549255503842,-Infinity,-1470.4777127225352,-2568.704185812826,-Infinity,-Infinity,-Infinity,-2302.949797835593,-2323.9962572692734,-2080.7649115456243,-2057.054772771079,-2063.016438196879,-2175.3263251741073,-Infinity,-Infinity,-Infinity,-1583.5452136384636,-2062.8715860969505,-1804.5412692122313,-Infinity,-Infinity,-Infinity,-Infinity,-2116.458240822223,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2370.8558432282753,-2180.434404259228,-Infinity,-1912.7939488735658,-Infinity,-Infinity,-Infinity,-2030.816594875367,-1517.4394793921253,-2233.8962769990458,-1767.6013740282983,-2115.5948358681117,-1721.0561021208189,-2069.5418728134655,-2352.279630214332,-1973.3569442657854,-1259.5603417329378,-2123.3239748787746,-1760.0013008395538,-1475.4160377251453,-2176.260748057257,-2072.9295531775247,-2425.820519978561,-2263.5550265141846,-1003.9966452822233,-1262.6172217894568,-2179.3640203292744,-Infinity,-1817.5441926024423,-Infinity,-1772.0451381958833,-2271.116688013458,-Infinity,-Infinity,-Infinity,-Infinity,-2377.8110406769556,-2076.179327841289,-Infinity,-2473.4729341325005	0.9968566540674508	-1003.9966452822233	5	true	5
31	10	10	100	0	0	0	0	0	-Infinity	-912.0529459137148	-451.27996477425535	2.35034261867912	-1606.7922825054457,-2220.5029455994672,-1934.0541534467334,-1511.1638560228869,-2132.001942753491,-Infinity,-1787.6199200993299,-Infinity,-Infinity,-2161.3513028320504,-Infinity,-Infinity,-2117.053680862452,-2178.984659853565,-Infinity,-1878.182996899599,-1522.2692408672865,-Infinity,-2222.087863218118,-1958.9893037628283,-1970.698296445872,-2220.930962835407,-Infinity,-2119.7998435281006,-1877.9565568357045,-2204.8132935922927,-1773.9565879853255,-2073.36942168572,-Infinity,-1528.773324479093,-1414.6056339160345,-2251.0622586020127,-2519.302913746094,-Infinity,-2325.102063942171,-1660.900857237109,-1864.9832635983364,-2219.6087651436173,-2165.8537501606493,-Infinity,-2276.1033325672197,-2128.464831151186,-2169.793937124269,-Infinity,-2024.1380628489494,-Infinity,-2220.928711289968,-Infinity,-2028.0136819553288,-1313.9850043472616,-2328.369555568986,-1935.0004007958594,-2125.834685053783,-Infinity,-2177.390257573423,-2126.226487967486,-Infinity,-Infinity,-2474.6653654802694,-2173.6279484554298,-Infinity,-2317.8970338076197,-Infinity,-2331.168522352925,-2472.8364174824956,-1964.5622413622757,-Infinity,-1967.518720623578,-1970.5929401828105,-1570.3786242859721,-1961.1070885075228,-2108.0877330088088,-Infinity,-Infinity,-2039.190946936248,-Infinity,-Infinity,-1913.712463873126,-Infinity,-1411.2859521143646,-1817.2861588892893,-1936.065022072871,-1515.0761218934767,-2251.9214749921593,-1462.5480743885366,-Infinity,-2113.4248872961134,-Infinity,-2222.9846406218007,-1677.2708493312646,-Infinity,-2289.964280192304,-Infinity,-Infinity,-Infinity,-912.0529459137148,-1630.0735621138847,-Infinity,-2222.409151260923,-Infinity	0.9964971743151462	-912.0529459137148	6	true	4
32	10	10	100	0	0	0	0	0	-1821.3004704102812	-1267.364871650189	4.35086502626392	-94.48248886286584	-Infinity,-2089.8046153018063,-Infinity,-2219.1041444426,-2435.7179240360138,-2215.2310182656543,-Infinity,-2488.3967868071645,-1522.996446539578,-Infinity,-2173.9392600090546,-Infinity,-Infinity,-2175.4730147532,-1760.0895759247128,-Infinity,-1827.133072074492,-Infinity,-1735.5949493515418,-1968.0308698715612,-2324.1441106386865,-Infinity,-2025.5153979643537,-1924.759093745635,-1725.1601408200033,-1875.5780415279369,-1757.1165434854342,-2016.3328202935722,-1572.9191202925765,-Infinity,-1681.3425399459381,-Infinity,-Infinity,-1434.1176072156015,-Infinity,-Infinity,-Infinity,-1965.935285761943,-1664.5980356689852,-Infinity,-Infinity,-2465.4602215346154,-2028.9667776982035,-2369.66960432094,-Infinity,-Infinity,-Infinity,-1619.3474484269757,-Infinity,-1267.364871650189,-2028.7566648781333,-Infinity,-Infinity,-Infinity,-1639.2453554535111,-1570.6765079579482,-Infinity,-2382.1974228296003,-1620.958983510089,-Infinity,-1333.0811420634545,-2336.751488331719,-Infinity,-1476.9763980833281,-1925.817330179772,-1926.400790919536,-1670.7949843106446,-Infinity,-2062.870598951242,-Infinity,-Infinity,-Infinity,-1276.850945981414,-Infinity,-Infinity,-Infinity,-1992.6058122037891,-Infinity,-Infinity,-2067.3482819034357,-2022.7689610783939,-Infinity,-1583.7528458941963,-1863.3885890495199,-2122.4043110922366,-1370.5271300584625,-Infinity,-2069.7328013106853,-2177.765418502203,-1933.5805749593897,-2183.553130671734,-Infinity,-2164.134969673352,-2125.316537849288,-1658.7667488647273,-1773.0225412336513,-1421.661342296666,-Infinity,-Infinity,-1821.3004704102812	0.9963101965916318	-1267.364871650189	7	true	5
33	12	11	100	0	0	0	0	0	-2180.8831805815253	-1118.744492520838	-1.3473228486871154	-51.31733712794897	-Infinity,-Infinity,-Infinity,-Infinity,-1820.1144771756549,-1319.747097447203,-1575.2881169928976,-1534.1392219312977,-1969.1098785361746,-Infinity,-Infinity,-1726.8294221390584,-Infinity,-2331.836970365717,-Infinity,-Infinity,-1990.7082287754424,-Infinity,-2218.5771663212927,-2169.9815230990794,-1825.1337006603696,-1960.154365435561,-1922.9775233355574,-1673.8486660230728,-2278.6443778750763,-Infinity,-1412.0478542596366,-Infinity,-Infinity,-Infinity,-2030.9233182227015,-Infinity,-Infinity,-2377.4065596948176,-Infinity,-Infinity,-1524.8275768743165,-1678.473572690893,-1870.3706509703004,-Infinity,-Infinity,-2236.1123220645036,-1635.94034684426,-1771.012515405156,-1924.0622073062002,-2334.7585569351277,-Infinity,-Infinity,-1862.1992600785352,-2166.4046747345064,-1823.6958916183444,-1735.8934126055524,-Infinity,-Infinity,-2125.494625892414,-1322.2692490919776,-1593.649733610517,-Infinity,-1775.788608096936,-1865.802274096088,-2130.0865479356207,-1375.1030741271443,-2289.599496044422,-Infinity,-Infinity,-1782.892786311963,-Infinity,-Infinity,-1942.3077142058942,-2198.425710299664,-1674.6385400314446,-1831.3855450120136,-1714.4593233855398,-1118.744492520838,-Infinity,-Infinity,-Infinity,-Infinity,-1471.2756056939952,-1594.537031002156,-2028.8550897296118,-Infinity,-Infinity,-1692.210144120335,-Infinity,-Infinity,-Infinity,-Infinity,-1770.0757836184946,-1970.922514514174,-Infinity,-2034.1266262567603,-Infinity,-1978.2314697523616,-Infinity,-Infinity,-2121.2199963164976,-Infinity,-1469.5818127631069,-2180.8831805815253	0.9960930611707766	-1118.744492520838	8	false	6
