# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a6202a75-5f86-4127-a5c6-7c2f6a889195
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	1.6791794639287723	1.6791794639287723	1.6791794639287723	1.6791794639287723	-98.3981900104325,-148.39795560487454,-98.42392394420834,1.6787916411631068,-98.42366978209812,1.6790569205336068,1.6790611144402443,-98.42361111137981,-98.42386281314052,1.6789667232786032,-98.42377719034697,-98.42392394420834,0.6365144358924012,1.6789705860250685,-98.42391676952256,0.6364985835160339,-98.42369052573838,-98.42359483605904,-148.39799354727865,-48.32089424348548,-48.32119875618763,-98.39802289595585,-98.39802807650148,-148.42395998602464,-49.36323605890269,1.6790225347380165,0.6367244050729329,1.679026478972569,1.6791392188788525,-98.42361111137981,-98.39832958035451,-148.39822940658365,-49.36335877996791,-98.42386281314052,0.6366516619615676,-148.42357108390746,-98.39807827705687,0.6366973746834715,1.6789079958525996,-98.39808142670047,-49.36326952414939,-148.42357534583397,-98.42392693349804,0.6363157494703637,1.6791254025722075,-98.4235981471771,0.6364147561291866,1.6791522043250857,1.6789528967443579,0.6366960321861065,1.6790683137314861,0.6367052581900227,-98.42402594015687,0.6365957200403755,-98.42359504029368,0.6366726598920384,-98.3981900104325,-49.36330462738728,-98.42364332817375,0.6365132086928744,1.6789786894139145,0.6367435424501277,1.6790728137282902,0.6367519014608414,0.6366349114984718,-98.39795725234224,-49.36335097966994,-98.42391262447036,1.679026478972569,0.6367568893223206,-49.36357718344436,1.6789152283462871,-49.36361829639741,-98.39794921948388,-98.42384821229045,1.6789528967443579,-98.39827705806607,-98.39828004735577,-148.42364201985754,-98.42372475679068,-48.32086146397551,1.6790940954035851,1.6790226131728896,-49.36349213820494,1.6790226131728896,0.6366518631772865,-49.36349320557137,0.6365144358924012,-98.39810624727977,0.6362081680035494,0.636769747910515,1.6791394522937508,-48.320827569461926,1.6790194635292852,1.6791392188788525,-148.42369268815,1.6790787466368513,0.6366020991230792,-48.32093894977404,1.6791794639287723	0.9991239280309399	1.6791794639287723	0	true	4
25	6	6	100	0	0	0	0	0	1.8674414035443843	1.923929671029063	1.923935999929058	1.923935999929058	-148.1747847883661,-149.15168199204425,-48.07630894383302,1.8674552630498942,1.9237506539862284,-48.08225541132225,1.867505520035429,0.8806768048483758,1.923929671029063,1.9236539636686982,-98.1746886127838,1.8674552630498942,-99.15127809155808,1.8674497004598252,-98.17471556655951,-49.11923989429453,1.9237290049782272,-48.13258234666764,-148.17479452459247,-48.08231259353427,1.9176707256064327,-48.13279941635926,1.917684454650591,-149.15134727710168,-48.08224809891547,1.8672027744060504,1.8674036615293748,0.8805247575823457,-99.15130136438503,1.923872435273937,-48.082221897521194,1.8675029896270008,-99.15149356180235,1.8672650963780073,-49.11924586164008,-48.13264166659518,-99.15136136869103,-98.17484443940847,-99.15133847644545,-48.08221613299922,-49.11929608873306,-98.17474626271103,-99.15155861528841,1.9238277496201555,-148.17478737763608,-49.11914084448953,-48.076130036412316,-98.17482348195963,-99.151265873069,-49.1192307622203,-49.119269561529066,-48.07607068368033,1.923799552652613,-99.1512522935473,1.8673306770935585,1.9239264699182383,1.9175798673306785,-148.17478662133516,-98.17470597360338,1.9239021480784444,-149.15128019321293,-99.15148569418739,0.8807597431602872,-149.15134491198666,-99.15137118515025,1.9176605625151015,-98.17498553005882,-99.15131252432029,1.9176487128722142,-48.08245808148057,1.923743629648771,0.8807689063617015,-48.13257409323984,1.8673830123928674,-98.17492280806707,1.9176534166024672,0.8806768048483758,-98.17475072303723,1.9237845625214758,-148.17472029374733,-98.17491797974574,-48.08222063940072,-49.11954859376292,-148.17504074895774,1.8675042082137938,0.8806608041913674,-49.1192307622203,-48.082623882272614,-99.15139976901591,-99.1513815392241,-148.175122775432,0.8806246752744671,-99.15134021868354,-49.11942097538257,-149.1512527336982,-149.15131893600253,1.917779800750149,-99.15124830935447,0.8808205474741198,1.8674414035443843	0.9990443117099597	1.923929671029063	0	true	5
26	6	6	100	0	0	0	0	0	-148.93137204856484	2.136644983027405	2.136644983027405	2.136644983027405	-147.95266944873376,2.130056749672478,-98.93134355046213,2.1298668137269807,-47.86337878151877,-147.95268797018738,-47.9167198721812,-47.86992831566332,2.136564476045954,2.083286694507123,1.0967840217551539,-97.95268749592466,-148.93140806877452,2.1364362391370686,2.136512162528283,-47.91671382518483,-147.95274721477955,-47.86366975935022,2.083339871333743,2.1363666811807898,2.1365233236095067,-98.93160979813577,-147.95268472455365,-47.91673169660782,2.1364290114799536,-97.95311690518447,-98.93156454156141,-147.95272021856394,2.0832497776413845,-98.93133114320378,-97.95281635583292,-148.9315729832328,-98.93131454619676,1.0968657915898103,2.130133443043559,2.1364212328036714,-47.863448222166824,-148.93139889166156,-47.86994173679102,-148.931364763473,2.1300083565022465,-98.93143577568458,-47.86993269811022,1.096908111416609,-98.93149711780262,-98.93133257155641,-98.9313950531782,-47.86990355192411,-98.93148606340844,-47.86992727675633,-48.903183270009905,2.0829786040268834,2.1298562164641925,-97.95273131183264,-148.93149096435866,-47.86994725584979,-47.91665842685775,-47.863405234248845,-48.90316186582747,-47.86987397158923,2.0833129702344433,2.0833297715719072,-47.91671378411881,2.1300729878152147,-98.93157576095207,2.136644983027405,2.0831047441263824,1.0969036607164513,2.0833517013590903,1.0969052566086699,-47.91671562028518,2.0833475968853534,-97.95280216217756,-47.86345620522156,-97.9526451422726,2.136617428133161,2.1365233236095067,2.136467001119919,-98.93160431548385,-148.93136383235412,-97.95285536735993,-97.95292512668499,-97.95271377165199,1.0968088005568457,2.136587364740154,-47.91674674862042,2.0829883110596468,-47.869901994506755,1.096691814140945,-48.903180433278834,1.0968466539714155,-48.90315850422089,-47.86990550545126,-98.9313816030268,1.0967748063380982,-147.95274856363307,-98.93132459687435,2.1366272034538656,-97.95271501425886,-148.93137204856484	0.9990443117099597	2.136644983027405	0	true	2
27	6	6	100	0	0	0	0	0	-47.67182119208214	2.3281753031742047	2.3281824623840865	2.3281824623840865	-147.7524586819492,-47.67190392459684,-98.73299187916281,1.2922718978880816,1.2920778830981026,-147.7523659656032,-148.73304308451193,-98.73295627507267,-98.7330452370445,-97.75248566714475,-47.67871589731653,-47.671937566646086,-47.720553064094425,2.3212901849415277,-47.67216530975431,-98.73310462085513,-48.708090505704384,-47.720477120058256,-98.73306294549255,-98.73307093855642,2.3212783436991233,-47.671903819826795,-98.7331053769675,-48.70780141823993,2.3280245359445666,-47.720321995048835,-147.752320070355,-97.7525306144855,-47.67183299205735,-48.70779152564569,2.3281753031742047,-47.67896509906155,-48.70779806472798,-147.75249780435468,2.279580825747193,-97.75232004662685,-48.707722909907204,2.2796332370675843,2.3211050609966963,-48.70780238322175,-47.720389667675875,-47.67190181991114,-97.75238940969805,-48.707842946425,-147.75230813515967,-98.73305587960084,2.3281721535407853,1.2922195802414445,1.2920767192854845,-47.678782160507595,-98.73299655293113,-148.7329767444615,2.279579882578215,2.3212530019398265,-47.67183534625552,-47.678797978451385,-147.7523412794362,2.279673318015038,2.3278873477149804,-47.72052412265556,-148.73298596099573,-97.75240400394755,-148.73301872793908,-98.73299850832888,-47.678772800749385,-147.75242280915262,2.3210960281973008,-47.671884165020955,-47.720391311340364,2.3281685459919492,1.292215787520763,-148.7333175978997,-98.73298858074722,2.3281299202845753,2.279645718743293,-97.75234610612263,1.292212587790128,-147.75237059146912,-47.720400606357174,-97.75234442704343,2.3279505824452977,2.321093366966061,2.3212493969673074,-47.720384403712245,2.3281336515048947,-47.678787472107665,-148.73301704375433,2.321174169712996,-47.720605308340076,2.327995847234563,-97.75233962754076,-97.7522997889356,-147.75234836484736,2.279633055661128,2.328086247684068,-147.75230484671687,-47.72033276424302,2.3281439923267393,2.321294987419225,-47.67182119208214	0.9990443117099597	2.3281753031742047	0	true	1
28	6	6	100	0	0	0	0	0	-97.57479339546778	2.494650526233274	2.494698119166135	2.494698119166135	-47.54911847777528,2.4508366306213305,2.4945371112715193,2.494493700952164,1.4628721491684726,2.489171177503889,-97.57478644528727,-147.5751065020698,2.4891962222992996,-97.5747878716471,-47.54912205341434,2.4509285130660294,-147.5751065020698,-47.54907185916258,-47.54907779943059,-98.55797356892377,2.450720719185083,-97.57498613053161,2.4509056418708033,-47.54907966636925,2.4945306998109884,2.4507670345526633,-98.55794449701861,-98.55796775167578,2.450797328210029,2.4892067959645945,-147.5747869023605,-48.53725219490305,1.4628774658721602,2.450903665977795,-47.54912215212789,2.4508054951594005,-98.55795005406574,-47.510813400766075,-47.549321331095854,-48.53708719041193,-48.53705038389214,-47.54910102470025,-47.54937704183763,-98.55817096772135,2.494650526233274,2.4945306998109884,2.4892358678697555,-148.5581218941724,-47.510765444330794,-98.55794209444119,-147.57482107303,1.4627848177148914,-148.55794296658058,2.450645650623587,-47.54923669457831,2.4891863265167995,2.450695997036662,-148.55796187484563,1.4629157886106907,-98.55794199066361,-98.55794209444119,-47.50561397729871,-47.50537190405399,1.4630131911381796,2.489027120643361,-47.50531600111093,-48.537023798880156,-47.51092854387688,2.4946153958420436,-47.505413152949146,-47.510784139197064,1.4628766837504932,2.450887569651045,-48.53699864144124,2.4509306931913075,2.494584906888439,-148.5579478151236,1.4629523035206144,-147.5747761944183,-48.53702118641664,-98.55810467768744,2.4892387353032435,2.489198202861704,2.450929617798913,-98.5579707971641,-48.53699334677861,2.4508892818826555,2.489202717743804,2.4891714573202846,-47.510943147093045,-147.5747869023605,-47.549239944581416,-48.537038334011235,-98.55797170788385,-98.55813345762643,2.4891145086705375,-148.55799374869576,-98.55799403837156,2.4508981433163397,-148.55796187484563,2.489220007896723,-47.51082324683789,2.4509344539078097,-97.57479339546778	0.9990443117099597	2.494650526233274	0	true	6
29	6	6	100	0	0	0	0	0	2.600377185143387	2.6385779989577185	2.6385779989577185	2.6385779989577185	2.600399173487163,2.6333950721582644,-47.361505745916695,2.600289406707813,-147.42116998546078,-47.39963829818773,-97.4211632761784,2.6333912902666756,1.611112868737728,-98.40659962861699,-47.36660969443356,2.6333050842141037,-98.40651604217227,-147.42116665743254,1.6110252588678877,2.600424063984097,-148.40653527263143,-47.36662475447638,-98.4067106316311,2.633387277495084,2.6333790420194214,2.638549867670445,1.611196003068295,-47.366626040571255,2.6333909511834723,2.6334101691952574,1.6111879570414716,2.6333701816613306,2.6331816013027947,-47.3614282184101,-97.42128115551608,2.633345960323311,-47.36664778978262,-48.38880309298197,-148.40652227675076,2.600399281784199,1.6111564640350762,-47.36661109761057,2.600442014487665,1.611149359365403,2.6334101691952574,2.6385536188894037,-47.36164400676402,-47.36145958475565,-47.361443620791555,2.6332761015071204,-47.36146478033722,2.6385130778364543,2.6385195939856465,-98.40665009722878,2.638478258982545,2.638540505558031,2.6383838708651357,-47.39956477033496,-47.39956419365428,2.63335085386776,2.6003863623837393,-47.361428300961215,1.6111990297198753,-148.40651958950014,1.6109941712087172,-97.42122587437738,-47.36151019552368,-98.40657126842424,-47.361431596848405,-98.40654704044061,2.6004223770759136,-148.40651710515394,2.6004324743411726,-97.42133881877407,-147.4211851653055,-47.36662983468703,1.611103384410667,-97.4211617147792,-47.361431596848405,2.638388666105546,-148.4068108459751,2.6385779989577185,-147.4211776172283,-48.38884980926548,1.6111809611304946,2.638463778807742,2.6384877433096063,-98.40653549764501,-147.42130899248608,-98.40659962861699,-97.42116293007098,-97.42126069323129,-97.42126388876018,-47.366595330496054,-148.40652227675076,-47.36147253711734,1.6109941712087172,-98.40665318251109,2.6003423662894773,-98.40665009722878,2.633237981506711,-148.40655020092734,-147.4211681527156,2.600377185143387	0.9990443117099597	2.6385779989577185	0	true	1
30	6	6	100	0	0	0	0	0	2.7257524402016555	2.7581422654058545	2.758145226909465	2.758145226909465	-148.27964969350435,-47.24205996341102,0.7354667220886237,-47.24205323507232,-148.27953200667255,0.7355314328441206,2.7580033226551146,2.758113739703701,2.7526289238355344,-147.2917277332764,-49.264483124681675,-97.29170499143902,-98.27955495091928,0.7355342052315939,-97.29171508374523,-47.24188138042328,-97.29187351178247,-47.27425935112228,-47.24192215204573,-47.24712929456907,0.7355444011678618,-97.29173931938163,-47.247392110236284,-97.29177723614153,-47.27424286564709,-148.27951339291127,-148.27954043397395,-47.24192215204573,2.7528663369534474,-97.29171825961008,-147.29173670964678,-147.29171000966755,-98.2795209824809,-147.2917154253606,2.7257060195816725,-97.29175973140977,-97.29171902336036,-148.27952865840675,-147.2917356119646,2.7527594200664836,-47.274222128826224,0.73554021041112,-148.27956679057638,-98.27950771760925,2.7257393505854117,-47.274422395566326,2.725762591571765,-98.27955637772334,-47.2742597381495,-97.29203268543847,-147.2917105463209,2.7581422654058545,-47.24188141237384,-148.2795068082052,-47.27448608010423,-147.29184379476868,2.7257524402016555,-47.242005734811215,-47.24188660977681,2.752779650925167,0.7355405757445008,-148.27957324974557,-98.27951036714818,0.7354952490124772,2.7528544413262406,-47.2742595652048,-47.24716577533095,-147.29171720694976,-47.27422326443702,-98.2795262356309,0.7355110208153847,-47.2745518915376,-49.264559494953176,-47.247128158958276,-49.26449484431663,2.7581085922006574,-47.24188621199332,0.7353414605969736,-49.264522731694974,2.7580080176461372,-98.27967574540725,-147.29174436363667,-98.2795919921992,-47.24739212212018,-98.27968297433421,2.7528624740663314,-148.279513589494,2.7581112915100054,2.725624381698084,-47.24724837480317,-98.27963922838676,2.752872895204217,0.735449160722679,-47.247140425359454,-97.29174871094905,2.758039864000719,2.7581363558582064,-147.29172618931148,-148.27953200667255,2.7257524402016555	0.99887542860485	2.7581422654058545	0	true	1
31	6	6	100	0	0	0	0	0	-49.16349341276689	2.853941356379765	2.853949327465741	2.853949327465741	-147.18465258180177,2.853941356379765,0.8365797149229031,-97.18474789458847,-148.17553367409107,2.853811471600572,-147.18465335478612,-147.1846665932383,2.853932712147145,-49.16344041003563,-98.175562037762,-49.16342397315916,-47.17069748299274,2.8537977204687004,2.853926018268905,0.8364540401911603,-47.14607045404559,-147.1846707514817,0.8366078151556139,-47.14970517125626,2.8292241294360236,-47.14969829914973,-97.18466219722389,-98.17562442175236,-147.18465314886157,2.8501169971898834,0.836557113216111,-148.17553480032754,-97.18470444970363,2.850202542321497,-98.17552623830663,2.850253998902114,2.853908043081177,-97.18468903068369,2.8501753498176545,-49.16339355182396,-97.18481502117697,2.8292448881640087,-97.18466988765051,0.8366002767711833,0.8364932904451023,2.8292808399939275,-148.17555304472907,-47.149706496464006,0.8365802144308638,-98.17555534465028,-147.1846719546184,-47.146054218006235,-98.17552664529039,-47.14622603239683,-147.1846711109207,0.8366028797869873,2.850286462976782,-47.17091553521628,2.8538974629336242,2.8292786076889063,-97.18471802103386,-49.16341312226727,-47.149856589888806,-98.17551918643115,-148.1755325840516,2.8292681100922623,-47.149703050439506,-98.17555555139208,2.8290219251678175,2.8291853613209583,0.8366019719153259,-97.18478911409606,-148.17554625669922,-49.16340572322857,2.8503081083319644,-148.17552042719342,2.850292223419815,2.8502789995841984,-47.17070057732609,2.8501984942640597,-47.14968974805062,2.8502904517322243,2.8292132128907372,-49.16340977251081,0.8365295159354047,2.8292665672446407,0.8366060210439022,0.8364066453580258,-47.17071247288914,0.8366062756567735,0.8366006225164239,-47.14606582884413,2.850307843624991,-98.17561549531676,-147.18466668836172,-47.14607863233639,-49.16356739343602,-97.18471802103386,2.8293119079105007,-47.170915465261196,-147.1846700597032,-147.18494759142646,2.8292734855639554,-49.16349341276689	0.99887542860485	2.853941356379765	0	true	0
32	7	7	100	0	0	0	0	0	0.9123479522574608	2.9247780883745005	2.9247845208151335	2.9247845208151335	-147.10351349444784,-148.0970942258283,2.9059258087216184,-147.103584249099,1.9218925381812746,2.905796024027963,-47.075227983606005,2.924596905322385,2.924665266730025,-47.07524841636682,0.9123732898530631,1.9219222844337955,2.924771847754095,0.9124269054622454,-48.078087930063624,2.924757421908307,2.9246664062480696,2.9247426092770796,1.9218314421381313,-98.09713384757987,0.912443575925387,-47.09407499132734,-98.09704441675795,-47.094082302155606,-98.09702365459802,0.9124085039874638,0.9124323688522838,2.924749066708892,-97.10347045102495,0.9124509106551102,-97.1034788141893,-98.09719842854116,0.9124514858930132,2.9059283376039304,2.9247245187920066,2.9059245018215867,-147.10358332787303,2.9247589476879168,-47.07530671877703,-48.078087270243,-47.07524084400282,-48.0781070693426,-49.087564256706536,-49.08755941501529,1.9219174831801173,0.9124394257261274,2.924696376961463,0.9124381977181454,2.9059264548999977,2.9059354865949123,-98.0970367721948,-47.0752290735848,-47.09406739062504,2.9247780883745005,-98.09701382724758,-47.09407882075046,-49.08758048988838,-98.09707092482418,0.9123655756644967,-48.07809824443134,-148.09704502245495,1.9029747512167563,-148.09705250981239,-47.09408611407406,-147.10350116704882,-98.09703899322786,2.905880587378094,0.9124255393387245,-47.07523345540957,-147.10348183624703,-49.08755937623602,-47.07525298029636,1.9218925381812746,-49.08756631383457,-47.07523565325885,2.924704091150029,0.9124439275126044,-147.10349881292393,-48.0780848127399,-148.09703158982342,-47.09406768189797,-47.07529836869352,0.9124160028075625,1.9219146044939928,-49.08755695751219,2.9246604448821083,1.9219099671573767,-147.10348195075278,-97.10359136812981,-48.07827949670628,-98.09702095664119,1.9219174831801173,-97.10353002305723,0.9122593238547456,-98.09701081304841,-147.10355306551048,-47.094082807946336,2.9058178837197386,-47.07536010237564,0.9123479522574608	0.9987036576717526	2.9247780883745005	0	true	0
33	7	7	100	0	0	0	0	0	-98.04635947205975	2.9709934534376505	2.9709951987573824	2.9709951987573824	0.9631335851145809,1.9705130818585124,2.9518339009016903,-148.046352104966,1.9704937263797535,-98.04637731172157,-49.03663436186741,-98.04635132173408,-49.03680942410486,-47.048237514843144,-49.03664711801379,2.9709791675507184,1.9704959664385957,-148.04650890261362,-47.03883979858388,-98.04231251356451,2.9610433090226453,1.9704297449882118,-48.029508454703006,-49.03669716321264,2.961168557478923,-148.0465249935337,2.9611673772986187,1.970424339364427,-148.0422638303084,-48.029486418253235,1.970523817634841,1.970509665767532,1.970425969566638,-98.0463471076335,2.9516921843523694,-47.03885654879609,2.961156470671052,2.9709934534376505,-98.04643792370872,1.9704868560248392,-98.04226377812547,2.9610851602825576,-48.029470247690156,-47.038844041673,-47.03888418877598,-47.03893205458861,-48.02947103052014,2.9709813666297795,-148.04227176338975,2.9611599137364024,-148.0422638408376,-47.029134539144565,-98.04635755776961,1.970510800722404,-47.04808639684834,1.970530131086946,2.9709797664801796,1.970523817634841,2.9708772309460687,2.9518154870277606,-98.04637656987555,-98.04635755613624,0.9632997064628542,-47.02903508040763,2.9516921843523694,1.970473292217752,-148.0422545901264,-148.04234161113743,-98.04641742515823,-98.04639472522254,-148.04635429767845,-148.0464492073319,-48.02947345186019,-98.04640617608614,0.9632870967925794,2.9519169830626075,2.9611340298356557,-49.03667131634349,-98.04227517958878,-148.0422511982382,0.9633002011609296,-98.04646472078403,-47.03884226583993,-148.0463515964172,-98.0422435222871,2.9611647854148626,-47.02900884398619,2.951907494221727,-47.03884083546591,-48.02950591265485,-47.04810465747295,0.9633319579528095,2.96115214561084,0.9633352141781442,-49.03663898853689,2.970987341798982,1.9704795537335549,1.9705199021108895,0.9633392354982298,-47.048095270589904,0.9633314664743542,2.970963873568734,-98.04231212472489,-98.04635947205975	0.9986204224270916	2.9709934534376505	0	true	1
