# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a72b9655-5675-41bc-a61e-949a9e2bae8e
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	192200	96624	772992	0	0	1.6969980894575838	1.6971398258449502	1.697132753719181	1.6971398258449502	1.6971398258449502,1.697132753719181,1.697132753719181,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838,1.6969980894575838	0.9991239280309399	1.6971398258449502	0	true	227
25	6	6	100	192400	98208	785664	0	0	1.9163507035075396	1.9164720278094058	1.9164684398715208	1.9164720278094058	1.9164720278094058,1.9164684398715208,1.9164684398715208,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396,1.9163507035075396	0.9990443117099597	1.9164720278094058	0	true	95
26	6	6	100	192400	98208	785664	0	0	2.1106104389757094	2.1107135182512864	2.110712607203888	2.1107135182512864	2.1107135182512864,2.110712607203888,2.110712607203888,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094,2.1106104389757094	0.9990443117099597	2.1107135182512864	0	true	188
27	6	6	100	192400	98208	785664	0	0	2.243927606647788	2.2440136578837047	2.2440136578837047	2.2440136578837047	2.2440136578837047,2.2440136578837047,2.2440136578837047,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788,2.243927606647788	0.9990443117099597	2.2440136578837047	0	true	116
28	6	6	100	192400	98208	785664	0	0	2.405170869463814	2.405242047790209	2.405242047790209	2.405242047790209	2.405242047790209,2.405242047790209,2.405242047790209,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814,2.405170869463814	0.9990443117099597	2.405242047790209	0	true	55
29	6	6	100	192400	98208	785664	0	0	2.5455867598563775	2.5456432357119865	2.5456432357119865	2.5456432357119865	2.5456432357119865,2.5456432357119865,2.5456432357119865,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775,2.5455867598563775	0.9990443117099597	2.5456432357119865	0	true	69
30	6	6	100	192400	98208	785664	0	0	2.669815937869751	2.6698601489192897	2.6698601489192897	2.6698601489192897	2.6698601489192897,2.6698601489192897,2.6698601489192897,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751,2.669815937869751	0.99887542860485	2.6698601489192897	0	true	96
31	6	6	100	192400	98208	785664	0	0	2.772360945863229	2.772394309809611	2.772394309809611	2.772394309809611	2.772394309809611,2.772394309809611,2.772394309809611,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229,2.772360945863229	0.99887542860485	2.772394309809611	0	true	110
32	7	7	100	192400	98208	785664	0	0	2.8572653579030334	2.857288718220247	2.857288718220247	2.857288718220247	2.857288718220247,2.857288718220247,2.857288718220247,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334,2.8572653579030334	0.9987036576717526	2.857288718220247	0	true	77
33	7	7	100	192400	98604	788832	0	0	2.921333183750089	2.9213487019986606	2.9213486673081035	2.9213487019986606	2.9213487019986606,2.9213486673081035,2.9213486673081035,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089,2.921333183750089	0.9986204224270916	2.9213487019986606	0	true	58
