# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: a966080f-dcca-4d75-b45c-e5f5e8b9a0ab
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refuge.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	19	19	1	0	0	0	0	0	34.257329162195354	34.257329162195354	53.11742116424044	53.11742116424044	34.257329162195354	0.9980839809622682	34.257329162195354	6	true	7
25	21	19	1	0	0	0	0	0	13.042595833739231	13.042595833739231	50.316847446648644	50.316847446648644	13.042595833739231	0.9979112230499849	13.042595833739231	7	true	5
26	21	18	1	0	0	0	0	0	19.763532631025925	19.763532631025925	52.35242799537635	52.35242799537635	19.763532631025925	0.9979454383284229	19.763532631025925	6	true	4
27	21	16	1	0	0	0	0	0	19.78437557301858	19.78437557301858	48.37339780473489	48.37339780473489	19.78437557301858	0.9979740607248082	19.78437557301858	6	true	3
28	21	16	1	0	0	0	0	0	24.803886204448403	24.803886204448403	48.33123962870504	48.33123962870504	24.803886204448403	0.9978835876327852	24.803886204448403	6	true	6
29	23	15	1	0	0	0	0	0	6.903819639346953	6.903819639346953	42.003100899369905	42.003100899369905	6.903819639346953	0.9975833266316226	6.903819639346953	7	true	2
30	24	14	1	0	0	0	0	0	6.582683949018072	6.582683949018072	41.695910934244466	41.695910934244466	6.582683949018072	0.9975544849065294	6.582683949018072	9	true	5
31	24	15	1	0	0	0	0	0	-49.59100389954253	-49.59100389954253	44.28845921464747	44.28845921464747	-49.59100389954253	0.9972272464742912	-49.59100389954253	13	true	2
32	24	16	1	0	0	0	0	0	-57.56713905458071	-57.56713905458071	44.988905625284254	44.988905625284254	-57.56713905458071	0.9969179929961031	-57.56713905458071	15	true	2
33	25	17	1	0	0	0	0	0	-56.91126530350829	-56.91126530350829	43.24782451054214	43.24782451054214	-56.91126530350829	0.996752034273766	-56.91126530350829	15	true	1
34	25	16	1	0	0	0	0	0	-27.5809326435828	-27.5809326435828	45.86098074534638	45.86098074534638	-27.5809326435828	0.9967862495522037	-27.5809326435828	14	true	1
35	27	18	1	0	0	0	0	0	-24.546358536293646	-24.546358536293646	43.40677206041893	43.40677206041893	-24.546358536293646	0.9965960550076399	-24.546358536293646	13	true	2
36	27	18	1	0	0	0	0	0	-10.160056563287874	-10.160056563287874	50.166597660195634	50.166597660195634	-10.160056563287874	0.9965960550076399	-10.160056563287874	13	true	2
37	29	21	1	0	0	0	0	0	-12.335256305370255	-12.335256305370255	50.54793576945467	50.54793576945467	-12.335256305370255	0.9963084054071837	-12.335256305370255	14	true	2
38	30	21	1	0	0	0	0	0	-24.27270822379903	-24.27270822379903	53.66565421168207	53.66565421168207	-24.27270822379903	0.9962295567366815	-24.27270822379903	15	true	1
39	30	21	1	0	0	0	0	0	-20.961948893738047	-20.961948893738047	54.037750359956476	54.037750359956476	-20.961948893738047	0.9962295567366815	-20.961948893738047	14	true	2
40	30	21	1	0	0	0	0	0	-19.856536468595202	-19.856536468595202	54.25790136687748	54.25790136687748	-19.856536468595202	0.9962312017019908	-19.856536468595202	14	true	1
41	31	21	1	0	0	0	0	0	-42.46727924242999	-42.46727924242999	49.66111042026442	49.66111042026442	-42.46727924242999	0.9959650097601275	-42.46727924242999	13	true	1
42	31	20	1	0	0	0	0	0	-1.900259262628472	-1.900259262628472	50.736758860177176	50.736758860177176	-1.900259262628472	0.9957198002646568	-1.900259262628472	12	true	1
