# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ada9f463-3851-42f0-bd67-145faed7143b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	26	12484	44772	358176	0	0	-99.8376973643766	-99.8376973643766	NaN	NaN	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-99.90887836252702,-99.84390768245535,-99.84390768245535,-99.84390768245535,-99.8376973643766,-99.8376973643766,-99.8376973643766	0.9977516614149626	-99.8376973643766	3	false	502
24	13	13	32	15828	55104	440832	0	0	-193.1824113397734	-193.1824113397734	-193.1824113397734	-193.1824113397734	-1462.7221467179393,-912.722356162298,-908.561336193547,-908.561336193547,-454.7742512589335,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-193.1824113397734,-193.1824113397734	0.9975615034251832	-193.1824113397734	1	true	151
25	15	15	30	14273	51660	413280	0	0	9.104770452566436	9.104770452566436	9.104770452566436	9.104770452566436	-777.2105343469947,-472.59461741759526,-Infinity,-Infinity,-Infinity,1.6475238971215305,1.9808126489095015,3.0708495429217066,4.1151660784711215,7.116953990918542,7.116953990918542,7.116953990918542,8.116240970410718,9.104755858018715,9.104755858018715,9.104755858018715,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104762023595152,9.104770452566436,9.104770452566436	0.9966306358339244	9.104770452566436	0	true	155
26	15	15	35	17186	60270	482160	0	0	11.588037583123239	11.588037583123239	11.588037583123239	11.588037583123239	-879.4267965241085,-879.4267965241085,-872.1293598358949,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.114324746420785,10.464615403728295,10.464615403728295,10.464615403728295,11.442143636132435,11.442143636132435,11.442143636132435,11.442143636132435,11.442143636132435,11.446491479583145,11.446491479583145,11.588034363223166,11.588034363223166,11.588034363223166,11.588034363223166,11.588034363223166,11.588034363223166,11.588034363223166,11.588034363223166,11.588037583123239,11.588037583123239	0.9960817657423182	11.588037583123239	0	true	175
27	15	15	16	8106	27552	220416	0	0	-39.79470891559965	-39.79470891559965	-39.79470891559965	-39.79470891559965	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-44.29939309648421,-44.29939309648421,-42.710678647553955,-41.74764514768375,-41.74764514768375,-41.74764514768375,-39.79471703761191,-39.79470891559965,-39.79470891559965	0.9960817657423182	-39.79470891559965	1	true	81
28	15	15	29	16303	49938	399504	0	0	-38.017307151532606	-38.017307151532606	-38.017307151532606	-38.017307151532606	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-94.00552316371969,-93.95862871764663,-92.95088281491253,-92.70161572653923,-92.70161572653923,-92.70161572653923,-90.68416227052482,-90.68416227052482,-90.68416227052482,-90.68416227052482,-90.68416227052482,-38.95711758145861,-38.95711758145861,-38.95711758145861,-38.95711758145861,-38.017307151532606,-38.017307151532606	0.9960817657423182	-38.017307151532606	1	true	111
29	15	15	43	21411	74046	592368	0	0	-38.01067448422669	-38.01067448422669	-38.01067448422669	-38.01067448422669	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-54.72975569946948,-53.251948529285144,-53.251948529285144,-53.04318504802056,-48.11510958622929,-48.11510958622929,-48.11510958622929,-48.11510958622929,-46.66029513195195,-45.78064724141203,-45.66591682225447,-45.665903565867005,-45.665903565867005,-45.665903565867005,-42.6277358502899,-42.6277358502899,-42.624740457450464,-42.624740457450464,-42.624740457450464,-42.548943950031365,-42.548943950031365,-42.548943950031365,-42.548943950031365,-42.548943950031365,-42.548943950031365,-40.65523595555507,-41.14204576415727,-38.010675882442634,-38.010675882442634,-38.010675882442634,-38.010675882442634,-38.010675882442634,-38.010675882442634,-38.010675882442634,-38.01067448422669,-38.01067448422669	0.9960817657423182	-38.01067448422669	0	true	147
30	15	15	83	47399	142926	1143408	0	0	9.776960071951734	9.776960071951734	9.776960071951734	9.776960071951734	-378.4751497987813,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,8.71938532013533,8.71938532013533,7.657898683947469,7.657898683947469,7.657898683947469,8.93560190793633,8.93560190793633,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954786544825094,8.954838818514684,8.954838818514684,8.954838818514684,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.733841926940187,9.734659026364483,9.734698633036995,9.734698633036995,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.745426855954317,9.76387069995516,9.76387069995516,9.76387069995516,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.76443758846268,9.776960071951734,9.776960071951734	0.9959128826372083	9.776960071951734	3	true	279
31	15	15	21	9813	36162	289296	0	0	-41.057326214393484	-41.057326214393484	-41.057326214393484	-41.057326214393484	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-42.382606373507514,-42.037603980526356,-42.03755147086203,-42.03755147086203,-42.01002905661842,-42.01002905661842,-42.01002905661842,-42.01002905661842,-41.057326214393484,-41.057326214393484	0.9957029850637148	-41.057326214393484	0	true	74
32	16	15	19	9154	32718	261744	0	0	-48.705449191832905	-48.705449191832905	-48.705449191832905	-48.705449191832905	-239.81372290578446,-84.61295223535336,-81.57304442803623,-72.45126457693775,-72.45126457693775,-67.79215587935046,-59.92047151889358,-54.683768199379905,-51.72553267412406,-51.72553267412406,-51.72553267412406,-50.69549006634241,-49.792508481551245,-49.606239826178005,-49.606239826178005,-49.26959205054822,-49.26959205054822,-48.705449191832905,-48.705449191832905	0.99553413851339	-48.705449191832905	0	true	77
33	16	14	38	16988	65436	523488	0	0	50.169194867136824	50.169194867136824	50.169194867136824	50.169194867136824	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,44.53965364781402,44.53965364781402,44.53965364781402,44.53965364781402,46.813735416672,46.813735416672,46.813735416672,46.813735416672,48.68995080164814,48.68995080164814,48.68995080164814,48.68995080164814,48.68995080164814,48.68995080164814,48.68995080164814,49.058538996085986,49.058538996085986,49.058538996085986,49.76240649939406,49.76240649939406,50.104507610511504,50.104507610511504,50.104507610511504,50.104507610511504,50.104507610511504,50.1437490587485,50.1437490587485,50.1437490587485,50.1437490587485,50.1437490587485,50.169194867136824,50.169194867136824	0.9954979492765808	50.169194867136824	1	true	100
34	16	13	68	26248	117096	936768	0	0	-0.8955265277602937	-0.8955265277602937	-0.8955265277602937	-0.8955265277602937	-937.3322984881153,-384.29946916700675,-Infinity,-Infinity,-Infinity,-11.97467554742979,-11.97467554742979,-8.79328649149361,-8.79328649149361,-8.79328649149361,-2.3809061470759394,-2.339385409704639,-1.9972368354920365,-1.7113566363329662,-1.7113566363329662,-1.7113566363329662,-1.7113566363329662,-1.3527920526321955,-1.3527920526321955,-1.3527920526321955,-1.3527920526321955,-1.3527920526321955,-1.3527920526321955,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.3421055533941049,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-1.0155907634595236,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.9061343766182821,-0.8955265277602937,-0.8955265277602937	0.9955185661751266	-0.8955265277602937	1	true	120
35	17	16	37	15442	63714	509712	0	0	45.2969111436233	45.2969111436233	45.2969111436233	45.2969111436233	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.141498100904558,-14.141498100904558,39.68454009599677,41.04558862947367,41.04558999185032,41.04558999185032,42.06042192150435,42.595321918294964,43.25354989847484,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.123793786521986,44.64597975214973,44.64597975214973,44.64597975214973,44.64597975214973,44.64597975214973,44.64597975214973,44.64597975214973,45.2969111436233,45.2969111436233	0.9948208084456174	45.2969111436233	1	true	90
36	17	16	78	35100	134316	1074528	0	0	44.14168251421755	44.14168251421755	44.14168251421755	44.14168251421755	-Infinity,-Infinity,15.46578059148165,15.465799339854275,18.766135683008642,18.766136093753275,18.766136093753275,18.766136093753275,22.152288556737346,22.152288556737346,22.152288556737346,25.650386944188035,29.79837759599687,36.01596633634128,36.01596633634128,36.01596633634128,36.01596633634128,36.01596633634128,36.01596633634128,37.21308540993988,38.81596198906391,38.81596198906391,38.815962583190895,39.19987451383288,40.4634703466097,40.4634703466097,40.463485856927235,40.463487013848166,40.463487013848166,40.463487013848166,40.463487013848166,40.463487013848166,41.18757247245911,41.202224067757285,41.202224067757285,41.202224067757285,41.22024036157356,41.22024036157356,42.62468890529297,42.62468890529297,42.62468890529297,42.62468890529297,42.62468890529297,42.62468890529297,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,42.651549962817626,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.27229296086543,43.37350299897939,43.37350299897939,43.37350299897939,43.37350299897939,43.37350299897939,43.37350299897939,42.704552198016955,44.14168251421755,44.14168251421755	0.9941416571014978	44.14168251421755	3	true	176
37	17	15	25	10167	43050	344400	0	0	42.08162506484976	42.08162506484976	42.08162506484976	42.08162506484976	-1384.0541751404883,-Infinity,-Infinity,-Infinity,-Infinity,-11.210923815947993,-11.210923815947993,-11.21085995713355,-10.909536945902573,-9.889125450129029,-9.889104839158755,-9.610555276126295,-9.610555276126295,-9.610506084689828,-7.918571955890834,-7.918571955890834,-7.918415876409491,-7.918415876409491,-7.918415876409491,-7.918399810080225,-7.918399810080225,-7.918399810080225,-7.918399810080225,42.08162506484976,42.08162506484976	0.9941887031093498	42.08162506484976	2	true	64
38	20	19	52	26858	89544	716352	0	0	53.60996587383855	53.60996587383855	53.60996587383855	53.60996587383855	-9.08603925383101,26.058376746185743,26.058384016887445,28.063354892189793,34.69566789114739,35.56985717927626,40.90349677694206,43.74635090469589,43.76860509393261,42.86264949604249,43.87503819945823,43.87503819945823,47.45796438113547,47.45796438113547,48.4266359459876,47.40919135239547,49.3199776071277,49.3199776071277,49.3199776071277,51.07571557375969,53.10709341131455,53.59265346667189,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60991592605994,53.60996587383855,53.60996587383855	0.9933902003933295	53.60996587383855	0	true	148
