# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ada9f463-3851-42f0-bd67-145faed7143b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977516614149626	-Infinity	13	false	6
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	17	true	3
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	15	true	2
26	15	15	1	0	0	0	0	0	-1172.1789192996955	-1172.1789192996955	1.8706013535395645	1.8706013535395645	-1172.1789192996955	0.9960817657423182	-1172.1789192996955	13	true	14
27	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	13	true	3
28	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-87.729008444213	-87.729008444213	-Infinity	0.9960817657423182	-Infinity	14	true	10
29	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-151.86561719133658	-151.86561719133658	-Infinity	0.9960817657423182	-Infinity	17	true	10
30	15	15	1	0	0	0	0	0	-1793.91916591151	-1793.91916591151	-20.521291910546097	-20.521291910546097	-1793.91916591151	0.9959128826372083	-1793.91916591151	16	true	12
31	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-71.03882045849289	-71.03882045849289	-Infinity	0.9957029850637148	-Infinity	13	true	8
32	16	15	1	0	0	0	0	0	-1836.8286780375413	-1836.8286780375413	36.602767714325	36.602767714325	-1836.8286780375413	0.99553413851339	-1836.8286780375413	15	true	13
33	16	14	1	0	0	0	0	0	-Infinity	-Infinity	-42.67356040641348	-42.67356040641348	-Infinity	0.9954979492765808	-Infinity	15	true	6
34	16	13	1	0	0	0	0	0	-1160.183148092273	-1160.183148092273	38.44102632930078	38.44102632930078	-1160.183148092273	0.9955185661751266	-1160.183148092273	17	true	10
