# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b142693c-52d2-48c4-8a28-c780f850e5af
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	34752	75240	601920	0	0	-7.09316423454289	-1.921581337331581	45.50728544381133	46.088713799447476	-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-1.921581337331581,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289,-7.09316423454289	0.9975653416775723	-1.921581337331581	11	true	123
25	9	9	100	34716	75240	601920	0	0	23.943835559002736	29.90313019567097	47.341248238813236	47.11081767815668	1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,1.965546259168999,-1.6465974045032254,-1.6465974045032254,-1.6465974045032254,-1.6465974045032254,-1.6465974045032254,-1.6465974045032254,-1.6465974045032254,5.2352056100771165,5.2352056100771165,5.2352056100771165,9.81632766028801,9.81632766028801,9.81632766028801,9.81632766028801,9.81632766028801,9.81632766028801,9.81632766028801,11.80493932151142,11.80493932151142,11.80493932151142,11.80493932151142,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,18.06066039291293,21.97864954998895,21.97864954998895,21.97864954998895,21.97864954998895,21.97864954998895,24.21422117106845,24.21422117106845,26.042333907115164,26.042333907115164,26.625178244023196,26.625178244023196,29.90313019567097,29.316082091019766,29.316082091019766,29.316082091019766,27.483450354469724,27.483450354469724,27.483450354469724,27.483450354469724,27.483450354469724,27.483450354469724,23.943835559002736,23.943835559002736	0.9975653416775723	29.90313019567097	7	true	101
26	9	9	100	34732	75240	601920	0	0	27.552259013443013	27.552259013443013	45.22114964728201	45.22114964728201	2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,2.9371607505899284,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,6.207914801274512,9.517212138365604,9.517212138365604,9.517212138365604,9.517212138365604,9.517212138365604,9.517212138365604,9.517212138365604,9.517212138365604,11.747755803723832,11.747755803723832,11.747755803723832,17.64418381991907,17.64418381991907,18.55641835594956,18.550742606533696,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,17.626953396002577,26.232102513355905,27.552259013443013,27.552259013443013,27.552259013443013,27.552259013443013	0.9975653416775723	27.552259013443013	8	true	71
27	10	10	100	34912	75240	601920	0	0	23.630136913140575	28.12602917356059	44.1072767067578	44.9090652502332	16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,16.305348997030432,19.105683702743406,19.105683702743406,19.105683702743406,19.105683702743406,19.10294640805529,19.10294640805529,19.10294640805529,19.10294640805529,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,18.18114567823701,23.70554254219602,23.70554254219602,23.70554254219602,23.70554254219602,26.799946011995296,26.799946011995296,28.12602917356059,28.12602917356059,28.12602917356059,28.12602917356059,28.12602917356059,28.12602917356059,28.12602917356059,28.12602917356059,28.110379646692085,28.110379646692085,26.75452131089712,26.75452131089712,26.75452131089712,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575,23.630136913140575	0.997262083184068	28.12602917356059	8	true	61
28	10	10	100	35512	82764	662112	0	0	50.63699788367223	50.63699788367223	52.62314201386234	52.62314201386234	31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,31.47014178711281,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,33.46952473923359,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,36.73977559069633,41.35031124595235,41.35031124595235,45.3760772355874,45.3760772355874,45.3760772355874,45.3760772355874,45.3760772355874,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,47.368013494764995,50.63699788367223,50.63699788367223	0.9970015206790418	50.63699788367223	1	true	71
29	12	12	100	35414	82764	662112	0	0	47.21317153512127	47.213276357525366	49.58422105414529	50.40221292784613	24.69686925447006,24.69686925447006,24.69686925447006,24.69686925447006,24.69686925447006,30.232340003658834,30.232340003658834,32.06181895941273,36.67902539866549,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,36.67827091835931,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,38.6782515583613,40.70289163493116,40.70289163493116,40.70289163493116,40.70289163493116,40.70289163493116,40.70289163493116,40.70289163493116,40.70289163493116,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,43.948577906415636,47.213276357525366,47.213276357525366,47.213276357525366,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127,47.21317153512127	0.9966696763439367	47.213276357525366	3	true	115
30	13	13	100	36653	97812	782496	0	0	41.37159146129282	42.649284175123285	48.785288112011145	48.785288112011145	5.3667914640900385,5.3667914640900385,5.3667914640900385,5.3667914640900385,11.956457239282411,24.14264067640958,24.14264067640958,30.75215200503588,35.369177752553185,35.369177752553185,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.401917631239854,37.37994477674521,37.37994477674521,37.37994477674521,37.37994477674521,37.37994477674521,37.37994477674521,37.37994477674521,40.626658612520814,40.626658612520814,40.626658612520814,40.626658612520814,40.626658612520814,40.626658612520814,40.626658612520814,40.62631968325969,40.62631968325969,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,42.649284175123285,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282,41.37159146129282	0.9965839188191344	42.649284175123285	5	true	65
31	13	13	100	37214	105336	842688	0	0	24.160239412877438	26.609885011335372	44.57023810594897	44.57023810594897	21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,21.58387260951916,20.665349741948425,20.665349741948425,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.028969538394435,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.609885011335372,26.00916939927854,26.00916939927854,26.00916939927854,26.00916939927854,26.00916939927854,26.00916939927854,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438,24.160239412877438	0.9960483181143581	26.609885011335372	9	true	55
32	13	13	100	37173	105336	842688	0	0	2.5332971398872743	11.271817597496309	42.64536064503005	43.670454483969806	10.461281085895587,10.461281085895587,10.461281085895587,10.461281085895587,10.461281085895587,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.271817597496309,11.257765816505,10.429558665181894,8.760113013231212,8.760113013231212,8.760113013231212,6.176932897907548,6.176932897907548,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,-2.703444570004372,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743,2.5332971398872743	0.9955863021910939	11.271817597496309	11	true	50
33	14	14	100	37019	105336	842688	0	0	2.9845538985583815	11.720809134169563	42.7159895435438	43.626211900592814	10.91000199703708,10.91000199703708,10.91000199703708,10.91000199703708,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.720809134169563,11.707217836645405,11.707217836645405,10.880084711649559,9.21143788476649,9.21143788476649,9.21143788476649,6.628197789679845,6.628197789679845,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,-2.2339483262817694,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815,2.9845538985583815	0.99540882871159	11.720809134169563	11	true	68
