# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b149d1f8-7f6f-4319-98b4-230c38281879
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: test.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	10	3004	2400	19200	0	0	-31.3823970451533	-31.3823970451533	-31.3823970451533	-31.3823970451533	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-34.5740097960622,-32.338789823871664,-32.338789823871664,-31.3823970451533,-31.3823970451533	0.9991239280309399	-31.3823970451533	0	true	28
25	6	6	27	8349	6480	51840	0	0	19.9841167479625	19.9841167479625	19.9841167479625	19.9841167479625	-297.08532245526476,-89.20297033703393,-89.20297033703393,-89.20297033703393,-89.20297033703393,-Infinity,-Infinity,-Infinity,16.73738406260226,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.999411611632084,18.99941226536988,18.99941226536988,18.99941226536988,18.99941226536988,19.9841167479625,19.9841167479625	0.9990443117099597	19.9841167479625	0	true	19
26	6	6	22	6856	5280	42240	0	0	21.093193094757872	21.093193094757872	21.093193094757872	21.093193094757872	-386.0921807886436,-386.0921807886436,-380.8428568991382,-80.84285507763873,-80.84285507763873,-80.84285507763873,-80.84285507763873,-78.9067619258646,-78.9067619258646,-78.9067619258646,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,21.09317843959528,21.09317843959528,21.093193094757872,21.093193094757872	0.9990443117099597	21.093193094757872	0	true	12
27	6	6	16	4948	3840	30720	0	0	21.875893301642744	21.875893301642744	21.875893301642744	21.875893301642744	-182.00501615615187,-182.04975372363202,-182.04975372363202,-182.04975372363202,-181.4052284463629,-31.405296554287858,18.594703393128782,20.875843152560332,20.875845043251605,20.875845043251605,20.875845043251605,20.875845043251605,20.875845043251605,20.887936879358072,21.875893301642744,21.875893301642744	0.9990443117099597	21.875893301642744	0	true	10
28	6	6	8	2404	1920	15360	0	0	-27.301250432451482	-27.301250432451482	-27.301250432451482	-27.301250432451482	-Infinity,-Infinity,-Infinity,-27.301256225912276,-27.301256225912276,-27.301256225912276,-27.301250432451482,-27.301250432451482	0.9990443117099597	-27.301250432451482	0	true	6
29	6	6	15	4767	3600	28800	0	0	21.37839679928541	21.37839679928541	21.37839679928541	21.37839679928541	-135.74546627310497,-31.85051189345734,-31.850510183404456,-31.850510183404456,-31.8311879202842,-31.8311879202842,-31.8311879202842,-31.8311879202842,18.168811523941553,20.155881118340577,20.155881118340577,20.155881118340577,20.155881118340577,21.37839679928541,21.37839679928541	0.9990443117099597	21.37839679928541	2	true	9
30	6	6	38	12122	9120	72960	0	0	22.114619957697283	22.114619957697283	22.114619957697283	22.114619957697283	14.975819899328192,16.906825207932698,16.906825207932698,16.906825207932698,16.906825207932698,16.906825207932698,18.87644920492479,18.892461606208748,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,18.89252212712226,20.879302520756728,20.879302520756728,20.879302520756728,22.114619957697283,22.114619957697283	0.99887542860485	22.114619957697283	2	true	20
31	6	6	16	5104	3840	30720	0	0	22.96856704140148	22.96856704140148	22.96856704140148	22.96856704140148	15.746009371038285,15.746009371038285,15.746009371038285,17.617838323319397,19.638102708723874,19.638102708723874,19.638102708723874,19.702690117994543,19.703484274084445,22.968508430065786,22.968508430065786,22.968508430065786,22.968508430065786,22.968508430065786,22.96856704140148,22.96856704140148	0.99887542860485	22.96856704140148	2	true	8
32	7	7	15	4467	3600	28800	0	0	-26.171079977560154	-26.171079977560154	-26.171079977560154	-26.171079977560154	-380.3920919886024,-380.3920919886024,-30.392103379384675,-30.392103379384675,-30.392103379384675,-30.392103379384675,-30.392103379384675,-28.118882332747635,-28.118882332747635,-27.130931130369877,-27.130931130369877,-27.130931130369877,-27.130931130369877,-26.171079977560154,-26.171079977560154	0.9987036576717526	-26.171079977560154	0	true	7
33	7	7	19	5561	4560	36480	0	0	-75.66941705519348	-75.66941705519348	-75.66941705519348	-75.66941705519348	-378.6411438769642,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-75.66941705519348,-75.66941705519348	0.9986204224270916	-75.66941705519348	0	true	8
34	7	7	11	3213	2640	21120	0	0	22.765358311777014	22.765358311777014	22.765358311777014	22.765358311777014	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,22.765358311777014,22.765358311777014	0.9986204224270916	22.765358311777014	2	true	6
