# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b303b8f8-d72a-4f43-abda-c430afbe8958
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	18	1044	6156	49248	0	0	45.65416366977295	45.65416366977295	45.65416366977295	45.65416366977295	11.464689654108547,17.700071647699843,23.031727620424,32.6532593552154,32.6532593552154,32.6532593552154,34.07410699951194,34.07410699951194,34.07410699951194,37.676824981145764,37.676824981145764,37.676824981145764,41.157955169644296,44.17948693617078,44.17948693617078,44.17948693617078,45.65416366977295,45.65416366977295	0.9975653416775723	45.65416366977295	0	true	32
25	9	9	14	812	4788	38304	0	0	44.618387718388654	44.618387718388654	44.618387718388654	44.618387718388654	5.398063395288446,20.19975100556286,29.99358773283879,36.50870693705264,36.50870693705264,42.010093627547285,42.653507397734124,42.653507397734124,42.653507397734124,42.653507397734124,42.653507397734124,42.653507397734124,44.618387718388654,44.618387718388654	0.9975653416775723	44.618387718388654	0	true	18
26	9	9	21	1218	7182	57456	0	0	47.11369589648024	47.11369589648024	47.11369589648024	47.11369589648024	34.74684985226947,38.07842910791453,38.07842910791453,41.809989527664754,46.865097092606284,46.865097092606284,46.865097092606284,46.865097092606284,46.865097092606284,46.865097092606284,47.038576667609675,47.08460329540649,47.08460329540649,47.08460329540649,47.08460329540649,47.08460329540649,47.08460329540649,47.08460329540649,47.08460329540649,47.11369589648024,47.11369589648024	0.9975653416775723	47.11369589648024	0	true	8
27	10	10	7	406	2394	19152	0	0	47.04086390486664	47.04086390486664	47.04086390486664	47.04086390486664	33.58122682784332,42.103900865946386,44.97593391170993,46.19999986356872,46.19999986356872,47.04086390486664,47.04086390486664	0.997262083184068	47.04086390486664	0	true	16
28	10	10	22	1364	7524	60192	0	0	51.80565959076457	51.80565959076457	51.80565959076457	51.80565959076457	38.45794377307382,49.009295272604135,49.009295272604135,49.009295272604135,49.009295272604135,49.009295272604135,49.742176226230704,49.742176226230704,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.473208731947786,50.48523298064763,50.48523298064763,51.74840070686743,51.80565959076457,51.80565959076457	0.9970015206790418	51.80565959076457	0	true	4
29	12	12	3	186	1026	8208	0	0	53.283452500400784	53.283452500400784	53.283452500400784	53.283452500400784	52.001637162317735,53.283452500400784,53.283452500400784	0.9966696763439367	53.283452500400784	0	true	2
30	13	13	17	1190	5814	46512	0	0	52.579452253983	52.579452253983	52.579452253983	52.579452253983	45.694151314669234,49.76503818002524,51.89888792638783,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.57623577706924,52.579452253983,52.579452253983	0.9965839188191344	52.579452253983	0	true	3
31	13	13	6	444	2052	16416	0	0	49.2270816660381	49.2270816660381	49.2270816660381	49.2270816660381	45.7070727392357,47.676570747579035,47.676570747579035,47.676570747579035,49.2270816660381,49.2270816660381	0.9960483181143581	49.2270816660381	0	true	3
32	13	13	26	1924	8892	71136	0	0	47.95653878943193	47.95653878943193	47.95653878943193	47.95653878943193	42.902182456180455,42.90241404066343,42.90241404066343,42.90241404066343,42.90241404066343,42.90241404066343,42.90241404066343,43.1428000049971,43.1428000049971,46.420410946207355,46.89382965113781,46.89382965113781,46.89382965113781,46.89382965113781,46.89382965113781,46.89382965113781,46.89382965113781,47.296211315441454,47.296211315441454,47.296211315441454,47.296211315441454,47.296211315441454,47.296211315441454,47.296211315441454,47.95653878943193,47.95653878943193	0.9955863021910939	47.95653878943193	0	true	4
33	14	14	6	444	2052	16416	0	0	46.72079155317854	46.72079155317854	46.72079155317854	46.72079155317854	35.78770232744526,38.8206524428196,43.10674415677872,44.80939070123361,46.72079155317854,46.72079155317854	0.99540882871159	46.72079155317854	0	true	2
34	15	15	17	1326	5814	46512	0	0	47.45595333924011	47.45595333924011	47.45595333924011	47.45595333924011	39.026009072177615,39.026009072177615,41.30374328628767,42.28539473868775,42.28539473868775,44.969334048474295,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,46.82375143345533,47.45595333924011,47.45595333924011	0.9953466855776751	47.45595333924011	0	true	3
35	16	16	13	1066	4446	35568	0	0	50.31980090073117	50.31980090073117	50.31980090073117	50.31980090073117	33.53737662766821,40.18802885574517,47.77745445093971,46.75568508996952,48.74902650558602,48.74902650558602,46.73392187270455,46.73392187270455,48.73412323613622,48.73412323613622,48.73412323613622,50.31980090073117,50.31980090073117	0.9952708709542991	50.31980090073117	0	true	2
36	16	15	27	2322	9234	73872	0	0	43.183037818909625	43.183037818909625	43.183037818909625	43.183037818909625	17.871502694161478,17.871502694161478,23.952350211851652,23.952350211851652,25.952643651369698,31.56482378031412,31.56482378031412,31.56482378031412,36.177144717863385,36.177144717863385,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,39.998596211813705,42.64065986489972,42.64065986489972,42.64065986489972,42.64065986489972,42.64065986489972,42.64065986489972,43.183037818909625,43.183037818909625	0.9948144479130873	43.183037818909625	0	true	3
37	19	18	7	574	2394	19152	0	0	42.68156042048487	42.68156042048487	42.68156042048487	42.68156042048487	32.933293547446816,36.55047448169481,38.786463688209935,40.69098676317047,40.69098676317047,42.68156042048487,42.68156042048487	0.9944788749899475	42.68156042048487	0	true	2
38	20	18	27	2538	9234	73872	0	0	43.29028610527484	43.29028610527484	43.29028610527484	43.29028610527484	18.357822621801567,27.000080258768783,27.000080258768783,27.000080258768783,31.000054476062594,31.000054476062594,35.650929138547085,37.84801511753139,39.31422640653805,39.31422640653805,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,41.30556435583737,43.29028610527484,43.29028610527484	0.9943888405553403	43.29028610527484	0	true	4
39	20	18	36	3384	12312	98496	0	0	42.62372288886549	42.62372288886549	42.62372288886549	42.62372288886549	24.891028470972245,30.59888869117546,35.0974678870593,35.0974678870593,35.0974678870593,35.0974678870593,35.37187413485144,35.37187413485144,35.37187413485144,39.356959152477316,40.63907246868791,40.63907246868791,40.63907246868791,40.63907246868791,40.63907246868791,40.63907246868791,40.63907246868791,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,40.63958979998382,42.62372288886549,42.62372288886549	0.9943845636455354	42.62372288886549	0	true	5
40	21	20	15	1410	5130	41040	0	0	40.88133089928058	40.88133089928058	40.88133089928058	40.88133089928058	25.645910483619687,25.645910483619687,26.009711886022735,29.86873200686052,33.30690760870991,33.30690760870991,33.30690760870991,33.307691325630266,36.432640218796536,36.433050026392124,40.32002021795309,40.32002021795309,40.32002021795309,40.88133089928058,40.88133089928058	0.9938060476235735	40.88133089928058	0	true	3
