# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b50f4780-ddf8-41e8-a978-d63afc0a83c5
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	30
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	22
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	21
27	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	5	true	21
28	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-16.242889561275845	-16.242889561275845	-Infinity	0.9962825977292168	-Infinity	5	true	30
29	14	13	1	0	0	0	0	0	-Infinity	-Infinity	18.473090011792976	18.473090011792976	-Infinity	0.9962914805418883	-Infinity	7	true	24
30	14	13	1	0	0	0	0	0	11.098520069122799	11.098520069122799	40.5303527005574	40.5303527005574	11.098520069122799	0.9961225974367784	11.098520069122799	9	true	27
31	14	14	1	0	0	0	0	0	11.29457519229392	11.29457519229392	39.31875193793318	39.31875193793318	11.29457519229392	0.9959038170506138	11.29457519229392	9	true	25
32	14	13	1	0	0	0	0	0	-Infinity	-Infinity	6.4795181122727605	6.4795181122727605	-Infinity	0.9959413222596706	-Infinity	8	true	24
33	15	13	1	0	0	0	0	0	-582.3455416788352	-582.3455416788352	38.03385793321942	38.03385793321942	-582.3455416788352	0.9957724757093455	-582.3455416788352	7	true	26
34	15	13	1	0	0	0	0	0	-587.113078657022	-587.113078657022	38.416880047765545	38.416880047765545	-587.113078657022	0.9956723521541733	-587.113078657022	8	true	26
35	15	14	1	0	0	0	0	0	-Infinity	-Infinity	9.106441998410476	9.106441998410476	-Infinity	0.9952005761034062	-Infinity	9	true	26
36	15	13	1	0	0	0	0	0	-Infinity	-Infinity	9.362486207868622	9.362486207868622	-Infinity	0.9951954218787696	-Infinity	9	true	27
37	15	12	1	0	0	0	0	0	-610.688939939566	-610.688939939566	25.269406478726676	25.269406478726676	-610.688939939566	0.9946092659068145	-610.688939939566	11	true	27
38	16	14	1	0	0	0	0	0	-861.7622566849038	-Infinity	NaN	NaN	-861.7622566849038	0.9943389432742851	-861.7622566849038	11	true	162
39	17	15	1	0	0	0	0	0	-637.9305209261024	-637.9305209261024	36.29438858409546	36.29438858409546	-637.9305209261024	0.9941313852070097	-637.9305209261024	8	true	25
