# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b57e2daa-6adf-455d-84ee-2a46e592284c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-97.05047783135569	-97.05047783135569	2.9493736380985185	2.9493736380985185	-97.05047783135569	0.9991239280309399	-97.05047783135569	0	true	2
25	6	6	1	0	0	0	0	0	-97.03046540845537	-97.03046540845537	2.954731713830935	2.954731713830935	-97.03046540845537	0.9990443117099597	-97.03046540845537	0	true	1
26	6	6	1	0	0	0	0	0	-97.00031527926018	-97.00031527926018	2.9815586496585675	2.9815586496585675	-97.00031527926018	0.9990443117099597	-97.00031527926018	0	true	1
27	6	6	1	0	0	0	0	0	-97.00032983707312	-97.00032983707312	2.9813848221245736	2.9813848221245736	-97.00032983707312	0.9990443117099597	-97.00032983707312	0	true	1
28	6	6	1	0	0	0	0	0	-97.00043825285732	-97.00043825285732	2.9809284971945122	2.9809284971945122	-97.00043825285732	0.9990443117099597	-97.00043825285732	0	true	1
29	6	6	1	0	0	0	0	0	-97.00030442044297	-97.00030442044297	2.981434561260825	2.981434561260825	-97.00030442044297	0.9990443117099597	-97.00030442044297	0	true	1
30	6	6	1	0	0	0	0	0	-97.00034349716488	-97.00034349716488	2.981537211714193	2.981537211714193	-97.00034349716488	0.99887542860485	-97.00034349716488	0	true	0
31	6	6	1	0	0	0	0	0	-97.00044811148392	-97.00044811148392	2.980888788880783	2.980888788880783	-97.00044811148392	0.99887542860485	-97.00044811148392	0	true	0
32	6	6	1	0	0	0	0	0	-97.000545146239	-97.000545146239	2.9814780844930464	2.9814780844930464	-97.000545146239	0.9988428582917216	-97.000545146239	0	true	1
33	7	7	1	0	0	0	0	0	-97.00046617601537	-97.00046617601537	2.981213931807045	2.981213931807045	-97.00046617601537	0.9987036576717526	-97.00046617601537	0	true	0
34	7	7	1	0	0	0	0	0	-147.0003731064483	-147.0003731064483	2.9851634288791344	2.9851634288791344	-147.0003731064483	0.9987036576717526	-147.0003731064483	0	true	0
35	8	8	1	0	0	0	0	0	2.9847002877605155	2.9847002877605155	2.9847002877605155	2.9847002877605155	2.9847002877605155	0.9983518909790103	2.9847002877605155	0	true	0
36	8	8	1	0	0	0	0	0	2.9994008868362365	2.9994008868362365	2.9994008868362365	2.9994008868362365	2.9994008868362365	0.9983518909790103	2.9994008868362365	0	true	0
37	10	10	1	0	0	0	0	0	2.999703427941384	2.999703427941384	2.999703427941384	2.999703427941384	2.999703427941384	0.9981269328342386	2.999703427941384	0	true	1
38	10	10	1	0	0	0	0	0	2.999922604198318	2.999922604198318	2.999922604198318	2.999922604198318	2.999922604198318	0.9978048486266367	2.999922604198318	0	true	0
39	10	10	1	0	0	0	0	0	2.9996099626100157	2.9996099626100157	2.9996099626100157	2.9996099626100157	2.9996099626100157	0.9978048486266367	2.9996099626100157	0	true	1
40	11	11	1	0	0	0	0	0	2.9991537764959157	2.9991537764959157	2.9991537764959157	2.9991537764959157	2.9991537764959157	0.9975972905593614	2.9991537764959157	0	true	0
41	11	11	1	0	0	0	0	0	2.9998059306105636	2.9998059306105636	2.9998059306105636	2.9998059306105636	2.9998059306105636	0.9975972905593614	2.9998059306105636	0	true	0
42	12	12	1	0	0	0	0	0	2.9997328403142993	2.9997328403142993	2.9997328403142993	2.9997328403142993	2.9997328403142993	0.9975264473866985	2.9997328403142993	0	true	0
43	13	13	1	0	0	0	0	0	2.999838809942329	2.999838809942329	2.999838809942329	2.999838809942329	2.999838809942329	0.9975127758972373	2.999838809942329	0	true	0
44	14	14	1	0	0	0	0	0	2.9999863318655255	2.9999863318655255	2.9999863318655255	2.9999863318655255	2.9999863318655255	0.9973835181786945	2.9999863318655255	0	true	1
45	14	14	1	0	0	0	0	0	-97.00009244487813	-97.00009244487813	2.999104104334332	2.999104104334332	-97.00009244487813	0.9973835181786945	-97.00009244487813	0	true	0
46	15	15	1	0	0	0	0	0	2.9999427203916142	2.9999427203916142	2.9999427203916142	2.9999427203916142	2.9999427203916142	0.9972990035165704	2.9999427203916142	0	true	0
47	17	17	1	0	0	0	0	0	-97.00020524359881	-97.00020524359881	2.999371178410523	2.999371178410523	-97.00020524359881	0.9970119387926686	-97.00020524359881	0	true	1
48	18	18	1	0	0	0	0	0	2.999604931474995	2.999604931474995	2.999604931474995	2.999604931474995	2.999604931474995	0.9965166580153677	2.999604931474995	0	true	1
49	20	20	1	0	0	0	0	0	-97.00010520382112	-97.00010520382112	2.9994501300760716	2.9994501300760716	-97.00010520382112	0.9960338789744191	-97.00010520382112	0	true	0
50	20	20	1	0	0	0	0	0	-97.00021151223726	-97.00021151223726	2.9994670773585765	2.9994670773585765	-97.00021151223726	0.995822775093032	-97.00021151223726	0	true	0
51	21	21	1	0	0	0	0	0	2.9999830018814975	2.9999830018814975	2.9999830018814975	2.9999830018814975	2.9999830018814975	0.9956069556444243	2.9999830018814975	0	true	1
52	21	21	1	0	0	0	0	0	-97.00008696167026	-97.00008696167026	2.999606146110785	2.999606146110785	-97.00008696167026	0.9956069556444243	-97.00008696167026	0	true	1
53	22	22	1	0	0	0	0	0	2.9998301234672513	2.9998301234672513	2.9998301234672513	2.9998301234672513	2.9998301234672513	0.99541306906661	2.9998301234672513	0	true	1
54	23	23	1	0	0	0	0	0	2.9998226976148556	2.9998226976148556	2.9998226976148556	2.9998226976148556	2.9998226976148556	0.9951109437714302	2.9998226976148556	0	true	0
55	25	25	1	0	0	0	0	0	2.999594951445223	2.999594951445223	2.999594951445223	2.999594951445223	2.999594951445223	0.9947965726233906	2.999594951445223	0	true	0
56	26	26	1	0	0	0	0	0	2.9996474885044724	2.9996474885044724	2.9996474885044724	2.9996474885044724	2.9996474885044724	0.994777929683216	2.9996474885044724	0	true	1
57	28	28	1	0	0	0	0	0	2.9999584956638774	2.9999584956638774	2.9999584956638774	2.9999584956638774	2.9999584956638774	0.994566643027906	2.9999584956638774	0	true	0
58	30	29	1	0	0	0	0	0	2.9999146605366507	2.9999146605366507	2.9999146605366507	2.9999146605366507	2.9999146605366507	0.9943083103647435	2.9999146605366507	0	true	0
59	33	32	1	0	0	0	0	0	-147.0003366890392	-147.0003366890392	2.999534667149043	2.999534667149043	-147.0003366890392	0.9940013232832045	-147.0003366890392	0	true	0
60	34	34	1	0	0	0	0	0	2.999948328485513	2.999948328485513	2.999948328485513	2.999948328485513	2.999948328485513	0.9934788823009042	2.999948328485513	0	true	0
61	35	35	1	0	0	0	0	0	-47.00026836288662	-47.00026836288662	2.999731587030333	2.999731587030333	-47.00026836288662	0.9932342942367726	-47.00026836288662	0	true	0
62	37	37	1	0	0	0	0	0	-97.00006326605867	-97.00006326605867	2.9996701946459727	2.9996701946459727	-97.00006326605867	0.9924455516482553	-97.00006326605867	0	true	1
