# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b5b892d0-4793-4bc8-950f-e6d5bae5a5e1
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	191800	97020	776160	0	0	1.939667044608799	1.939667044608799	1.939667044608799	1.939667044608799	-97.06775671347636,-97.06776294355346,-97.06776294355346,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-97.06791147409923,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-47.06795412404647,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,-97.06979999816402,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799,1.939667044608799	0.9991239280309399	1.939667044608799	0	true	179
25	6	6	100	192000	98208	785664	0	0	2.96940577481775	2.96940577481775	2.96940577481775	2.96940577481775	2.954734494360167,2.954731713830935,2.954731713830935,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.954602897104057,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775,2.96940577481775	0.9990443117099597	2.96940577481775	0	true	71
26	6	6	100	192200	99000	792000	0	0	2.9997757684413227	2.9997757684413227	2.9997757684413227	2.9997757684413227	2.981140956635127,2.981140487082681,2.981140487082681,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9810308367611804,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227,2.9997757684413227	0.9990443117099597	2.9997757684413227	0	true	85
27	6	6	100	192200	99000	792000	0	0	2.999548665765185	2.999548665765185	2.999548665765185	2.999548665765185	2.9806173667058644,2.9806173667058644,2.9806173667058644,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.9805252692828232,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185,2.999548665765185	0.9990443117099597	2.999548665765185	0	true	56
28	6	6	100	192200	99000	792000	0	0	2.9989525739345364	2.9989525739345364	2.9989525739345364	2.9989525739345364	2.9812884868903775,2.9812884868903775,2.9812884868903775,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9812139488367713,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364,2.9989525739345364	0.9990443117099597	2.9989525739345364	0	true	75
29	6	6	100	192200	99000	792000	0	0	2.999360721058783	2.999360721058783	2.999360721058783	2.999360721058783	2.981542449637618,2.981542449637618,2.981542449637618,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.9814835747764055,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783,2.999360721058783	0.9990443117099597	2.999360721058783	0	true	53
30	6	6	100	192200	99000	792000	0	0	2.9996440037929317	2.9996440037929317	2.9996440037929317	2.9996440037929317	2.9812566027134393,2.9812566027134393,2.9812566027134393,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9812113665463027,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317,2.9996440037929317	0.99887542860485	2.9996440037929317	0	true	55
31	6	6	100	192200	99000	792000	0	0	2.9996775425235773	2.9996775425235773	2.9996775425235773	2.9996775425235773	2.9813114534627396,2.981311347370355,2.981311347370355,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.981278355337854,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773,2.9996775425235773	0.99887542860485	2.9996775425235773	0	true	54
32	6	6	100	192200	99000	792000	0	0	2.9995272264520243	2.9995272264520243	2.9995272264520243	2.9995272264520243	2.9809805689841644,2.9809803145980047,2.9809803145980047,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.980957655766623,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243,2.9995272264520243	0.9988428582917216	2.9995272264520243	0	true	53
33	7	7	100	192200	99000	792000	0	0	2.999540813536095	2.999540813536095	2.999540813536095	2.999540813536095	2.980983492124666,2.9809824990178595,2.9809824990178595,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.9809652653366423,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095,2.999540813536095	0.9987036576717526	2.999540813536095	0	true	51
