# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b676b77d-d38a-4b51-bd2d-9f800105da64
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977623354120823	-Infinity	7	true	27
25	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9968314678208231	-Infinity	6	true	22
26	14	14	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9962825977292168	-Infinity	7	true	24
27	14	14	1	0	0	0	0	0	-68.51291481496557	-68.51291481496557	42.89300551335315	42.89300551335315	-68.51291481496557	0.9962825977292168	-68.51291481496557	6	true	27
28	14	14	1	0	0	0	0	0	-Infinity	-Infinity	29.309948007346833	29.309948007346833	-Infinity	0.9962825977292168	-Infinity	7	true	27
29	14	13	1	0	0	0	0	0	-Infinity	-Infinity	-31.363748930341842	-31.363748930341842	-Infinity	0.9962914805418883	-Infinity	7	true	24
30	14	13	1	0	0	0	0	0	12.707648379108171	12.707648379108171	41.479722980662444	41.479722980662444	12.707648379108171	0.9961225974367784	12.707648379108171	8	true	26
31	14	13	1	0	0	0	0	0	-91.09371777573162	-91.09371777573162	40.014591048324135	40.014591048324135	-91.09371777573162	0.9959126998632849	-91.09371777573162	9	true	26
32	14	13	1	0	0	0	0	0	-90.6989770163226	-90.6989770163226	40.925491803417316	40.925491803417316	-90.6989770163226	0.9959126998632849	-90.6989770163226	9	true	26
33	15	15	1	0	0	0	0	0	9.553965769009203	9.553965769009203	41.40848743119794	41.40848743119794	9.553965769009203	0.9957260876876175	9.553965769009203	9	true	25
34	15	14	1	0	0	0	0	0	-97.60747486480666	-97.60747486480666	42.097380306520286	42.097380306520286	-97.60747486480666	0.9957467045861633	-97.60747486480666	8	true	25
35	15	13	1	0	0	0	0	0	-355.97167520330873	-355.97167520330873	38.6873411356583	38.6873411356583	-355.97167520330873	0.9953213165571241	-355.97167520330873	9	true	26
36	15	12	1	0	0	0	0	0	-Infinity	-Infinity	-3.747013972088384	-3.747013972088384	-Infinity	0.9949385879617781	-Infinity	10	true	26
37	16	12	1	0	0	0	0	0	-530.802671762776	-530.802671762776	23.609970672332263	23.609970672332263	-530.802671762776	0.9944321579751573	-530.802671762776	13	true	27
38	16	12	1	0	0	0	0	0	-830.8838434731616	-830.8838434731616	28.499099122931582	28.499099122931582	-830.8838434731616	0.9944321579751573	-830.8838434731616	13	true	25
39	16	13	1	0	0	0	0	0	-1030.0078608146287	-1030.0078608146287	29.36858408520714	29.36858408520714	-1030.0078608146287	0.9943892792127561	-1030.0078608146287	12	true	25
40	16	13	1	0	0	0	0	0	-956.1627174529318	-956.1627174529318	28.623516132653855	28.623516132653855	-956.1627174529318	0.9941793816392628	-956.1627174529318	10	true	25
41	17	13	1	0	0	0	0	0	-792.7009643296293	-792.7009643296293	25.8708070129849	25.8708070129849	-792.7009643296293	0.9940810127137543	-792.7009643296293	8	true	25
42	17	14	1	0	0	0	0	0	-Infinity	-Infinity	6.408586151197236	6.408586151197236	-Infinity	0.9940339667059023	-Infinity	9	true	24
43	18	15	1	0	0	0	0	0	-Infinity	-Infinity	-40.723080277510846	-40.723080277510846	-Infinity	0.9939084375753943	-Infinity	8	true	23
44	19	16	1	0	0	0	0	0	-Infinity	-Infinity	-44.59793065546302	-44.59793065546302	-Infinity	0.9933543767043669	-Infinity	9	true	23
45	20	16	1	0	0	0	0	0	-Infinity	-Infinity	-0.31163630913071927	-0.31163630913071927	-Infinity	0.9933639906127314	-Infinity	10	true	23
46	20	14	1	0	0	0	0	0	-38.024613625949556	-38.024613625949556	30.984929292933472	30.984929292933472	-38.024613625949556	0.9932031130054613	-38.024613625949556	7	true	25
47	20	13	1	0	0	0	0	0	-263.22216974574036	-263.22216974574036	26.973972323934273	26.973972323934273	-263.22216974574036	0.9932093638736376	-263.22216974574036	9	true	25
48	20	12	1	0	0	0	0	0	-Infinity	-Infinity	-3.517916302183867	-3.517916302183867	-Infinity	0.9932564098814894	-Infinity	10	true	22
49	20	11	1	0	0	0	0	0	-179.99544243588477	-179.99544243588477	12.219091968301004	12.219091968301004	-179.99544243588477	0.9933146416534461	-179.99544243588477	11	false	25
50	20	11	1	0	0	0	0	0	-101.19227787054339	-101.19227787054339	5.279567360482822	5.279567360482822	-101.19227787054339	0.9932848495039516	-101.19227787054339	14	false	26
51	20	11	1	0	0	0	0	0	-210.40343718013108	-210.40343718013108	13.893970660960598	13.893970660960598	-210.40343718013108	0.9932848495039516	-210.40343718013108	15	false	24
52	20	11	1	0	0	0	0	0	-Infinity	-Infinity	-83.0361907489358	-83.0361907489358	-Infinity	0.9932848495039516	-Infinity	12	false	21
53	20	10	1	0	0	0	0	0	-69.23972791648553	-69.23972791648553	5.68532118130204	5.68532118130204	-69.23972791648553	0.9933233416921942	-69.23972791648553	11	false	25
54	20	10	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9933233416921942	-Infinity	11	false	18
