# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b676b77d-d38a-4b51-bd2d-9f800105da64
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: Ambulancias_Collapse_ConySinNormas.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	14	7770	9828	78624	0	0	39.59178782257712	39.59178782257712	39.59178782257712	39.59178782257712	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,39.59178782257712,39.59178782257712	0.9977623354120823	39.59178782257712	0	true	100
25	14	14	30	16740	21060	168480	0	0	36.329038324627085	36.329038324627085	36.329038324627085	36.329038324627085	-Infinity,-Infinity,-Infinity,-Infinity,-22.828934400067723,-22.828934400067723,27.171078425237106,27.171078433782903,29.209818155405518,33.53428425059688,34.269452238458136,34.26945288613128,34.26945288613128,34.26945288613128,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.24722638569199,35.27043244837813,35.27043244837813,35.27043244837813,35.62752955963793,35.62752955963793,36.329038324627085,36.329038324627085	0.9968314678208231	36.329038324627085	0	true	39
26	14	14	31	17236	21762	174096	0	0	40.86147375398389	40.86147375398389	40.86147375398389	40.86147375398389	25.87415495516059,31.101694422651626,31.101694422651626,32.148758910805334,32.148758910805334,32.148758910805334,32.15195525664097,32.15195525664097,35.117813784666396,35.117813784666396,36.693307330320195,38.63277069288502,39.90900688352393,39.90900688352393,39.90900688352393,39.90900688352393,39.90900688352393,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.861471001587404,40.86147375398389,40.86147375398389	0.9962825977292168	40.86147375398389	0	true	36
27	14	14	46	24840	32292	258336	0	0	41.748890790088616	41.748890790088616	41.748890790088616	41.748890790088616	-22.243243130024528,-19.156506067589962,-15.578687194316872,-15.578687194316872,-12.440504832252895,-16.130531320284863,-13.173877270647107,-12.416866146446775,-12.145941142333651,-10.158864154203375,-10.158864154203375,-8.251608710454821,-8.251608710454821,-8.251608710454821,41.74839631108515,41.74839631108515,41.74839631108515,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74870720065219,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.74877046021224,41.748890790088616,41.748890790088616	0.9962825977292168	41.748890790088616	0	true	39
28	14	14	15	8100	10530	84240	0	0	45.35663496834022	45.35663496834022	45.35663496834022	45.35663496834022	37.84497042601732,42.192994308984666,44.407402535863966,44.40811843031842,44.408227767757296,44.408227767757296,44.408227767757296,44.408227767757296,44.40827469585947,44.40827469585947,44.40833142664604,44.40833142664604,44.408522075671186,45.35663496834022,45.35663496834022	0.9962825977292168	45.35663496834022	0	true	20
29	14	13	48	25920	33696	269568	0	0	43.1176072680709	43.1176072680709	43.1176072680709	43.1176072680709	-77.19076517089148,-76.21712391911456,-68.74421973611868,36.91010224533389,36.91010224533389,41.05852754310281,43.11687222229331,43.11707593210281,43.11707593210281,43.11707593210281,43.11730829286907,43.11730829286907,43.11730829286907,43.11730829286907,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.11759538103162,43.1176072680709,43.1176072680709	0.9962914805418883	43.1176072680709	0	true	37
30	14	13	21	11340	14742	117936	0	0	45.181233765249786	45.181233765249786	45.181233765249786	45.181233765249786	-15.028347498046422,-11.807456117984996,-11.807388300164304,-9.564493156834532,-8.605857089225282,-6.002914098695772,-6.002768306446118,-6.002768306446118,-4.819169594389738,-4.819169594389738,-4.819169594389738,-4.819169594389738,-4.819169594389738,-4.819169594389738,-4.819169594389738,45.18086916053353,45.181108672305825,45.181108672305825,45.181108672305825,45.181233765249786,45.181233765249786	0.9961225974367784	45.181233765249786	0	true	23
31	14	13	39	21060	27378	219024	0	0	44.718022327194774	44.718022327194774	44.718022327194774	44.718022327194774	-118.3075707299356,-118.3075707299356,-109.81829186259255,-109.81829186259255,-109.81829186259255,-109.81827246850544,-107.36879602236209,-108.98518733941425,-59.971684530529814,-9.971609708964666,-9.971609708964666,-8.207588636053243,-7.240651150906052,-7.335546905491599,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71760417632081,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.71789112625209,44.718022327194774,44.718022327194774	0.9959126998632849	44.718022327194774	0	true	35
32	14	13	21	11214	14742	117936	0	0	40.96182369040371	40.96182369040371	40.96182369040371	40.96182369040371	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,35.72994687497568,38.738386243292226,38.738386243292226,40.3277282670523,40.588620105596654,40.588620105596654,40.588620105596654,40.61327987625639,40.61327987625639,40.61327987625639,40.61327987625639,40.61327987625639,40.96182369040371,40.96182369040371	0.9959126998632849	40.96182369040371	0	true	23
33	15	15	28	14840	19656	157248	0	0	41.53965650259862	41.53965650259862	41.53965650259862	41.53965650259862	-83.80919769310543,-81.32181244603176,-80.08813277451333,-74.94693523242921,-67.68198682250568,-63.81758465281969,-63.81758465281969,-60.3777707847635,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-60.37777036192699,-10.377769694482698,-10.377769694482698,-8.833157161861422,-8.833157161861422,-8.833157161861422,-8.460344334488049,-8.460344334488049,-8.460344334488049,-8.460344334488049,41.53965650259862,41.53965650259862	0.9957260876876175	41.53965650259862	0	true	28
