# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: b6fde1dc-adf8-4dea-bcdd-ccfb14c8471c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-98.43692266612918	-98.41061214513876	1.5892639338830248	1.5892639338830248	-98.41087958166948,-148.41064367136272,-98.43728224868529,-98.43731455270095,-98.4370255112469,-98.4370478660134,-98.43704272935943,-98.43696649758876,-98.4372201876161,-98.43713834027592,-98.437133797991,-98.43728224868529,-98.41086993392838,-98.437133797991,-98.43727465444063,-98.41088719912045,-98.43704583893486,-98.43695149251754,-148.41068218465512,-148.4369978664982,-148.43730372748252,-98.41071057849433,-98.41071646884947,-148.4373185584089,-148.41061813428132,-98.43708095875812,-98.4106578019707,-98.43707646020346,-98.43696554720513,-98.43696649758876,-98.41101846244399,-148.41092012788135,-148.410741833394,-98.4372201876161,-98.4107310227735,-148.43692665822394,-98.41076685994543,-98.4106849328994,-98.43719729015133,-98.41077035414162,-148.41065217291865,-148.43693038987942,-98.4372844532933,-98.41106930165338,-98.43697767545616,-98.43695384263319,-98.41096952054073,-98.4369512136306,-98.43715182610899,-98.4106870276973,-98.43703585377229,-98.41067698811078,-98.43738423440595,-98.41078929194076,-98.43695002361198,-98.41071065985066,-98.41087958166948,-148.41068651109975,-98.43699904056248,-98.41087079731808,-98.43712549166214,-98.41063890988062,-98.43703140160204,-98.41062944322479,-98.41074807722049,-98.41064476588946,-148.41073381601598,-98.43727113015345,-98.43707646020346,-98.4106252261801,-148.41096241104745,-98.4371899727161,-148.41100362565632,-98.41063666043334,-98.43720590665036,-98.43715182610899,-98.41096731593272,-98.41096952054073,-148.4369978664982,-98.43708094904977,-148.43696483022663,-98.4370093691872,-98.437081792698,-148.41087714341614,-98.437081792698,-98.41073191141236,-148.4108780113887,-98.41086993392838,-98.41079512188469,-98.4111779558271,-98.41061214513876,-98.43696390708317,-148.43693038987942,-98.43708528689419,-98.43696554720513,-148.43704911610632,-98.43702559260323,-98.41078099193541,-148.4370433521899,-98.43692266612918	0.9991239280309399	-98.41061214513876	0	true	4
25	6	6	100	0	0	0	0	0	-99.20892392516745	1.8630200213728436	1.863026421515003	1.863026421515003	-49.176121170581006,-98.2322010220785,-99.20891709790185,-148.23217851094628,1.8630129292078372,-99.20891709790185,-99.2087367174553,0.8238424809971744,-98.23213971650428,1.8629624934349134,-99.20876293877076,-98.23220710839729,0.8240955311972453,-148.2322383870146,1.8628192923637976,-148.2322387031694,-149.2088408123652,-48.13707376526381,0.8240089074839311,-48.13729306482059,0.8240233116513244,-149.20883265567335,-48.137008075131085,-98.23245433315134,0.8240089074839311,-98.2324750514386,-99.20878627223352,0.8240614471631191,-148.23214500190278,0.8241087421207423,-98.23238590136273,-99.20898623724403,-149.2088385188727,-149.20889247551906,-98.23225329303048,-98.23229646836164,-99.20882531875358,-149.2087340685616,-149.2088900853272,-98.23219669128804,0.8238106238415881,0.8240171356294262,-48.137074871501206,-148.23213979990285,-148.23220248520536,-98.23227513268439,-98.23215730448534,-48.137066691974105,-148.23226831517292,-149.20873791961333,-98.23227313666588,1.8630200213728436,0.823935239909576,1.863018150681604,1.8628192923637976,-149.20883300431473,-99.2087515731441,1.8629929423659932,-49.17590939013008,-98.23237886785068,-99.20883315752184,-148.2322369040378,-99.20885762773635,0.8239979699128158,-99.20903158714832,-99.20879741553901,1.8628883828290166,-49.176121170581006,0.8239325460324028,1.8629324654185682,-49.17596897484338,1.8628899836564485,0.8238872683308897,0.8239916473435084,-99.20891709790185,1.862961752203523,-98.23228926935948,-49.17590939013008,1.8627928954597113,-148.2321444505376,-148.232548839924,-49.17623078849483,1.8630121446414791,-99.20893331687532,-48.137066691974105,-48.13738532441057,1.862872615842188,1.8628898801815745,-148.2325755822777,-99.20896920084226,0.824029582551071,-49.17615898382722,-149.20873871919633,-149.20880483880921,-99.2087377627993,-98.23213903979844,1.8629855494760024,0.8240478438118367,0.824123160715965,-99.20892392516745	0.9990443117099597	1.8630200213728436	0	true	3
26	6	6	100	0	0	0	0	0	1.994560985604432	2.0493868894340697	2.04938704940701	2.04938704940701	-148.0445905668411,-48.00536099096773,-47.95728269805338,2.0493067023330505,1.9946463243190236,1.0075616766072317,-98.0445902686001,-149.0218784427107,2.0491791768029763,2.0492547226668894,-48.00535449282855,-148.0446499103906,-47.95092697781445,1.9946992248308038,2.049109313206041,2.0492662979428804,-99.02207984512783,-148.0445877599626,-48.00537306378723,2.049171139933655,-98.04501913792717,-99.02203472723882,-148.04462313943026,1.9946093350602347,-99.02180174489243,-98.04471862327783,-149.02204366857762,-99.02178533005431,1.00764250648813,2.0427794986124077,2.0491640538182074,-47.95070557834022,-149.02186895295006,-47.95729627233929,-149.0218355012989,2.042654006235331,-99.02190627171537,-47.95728820483005,1.0076847963578348,-99.02196771680933,-99.02180202687691,-99.02186551715533,-47.95725777444184,-99.02195590707167,-47.957282117005825,-48.99240704930615,1.9943375740833875,2.042501680361485,-98.0446339537722,-149.02196133178035,-47.95730216048739,-48.00529993611955,-47.95066328181053,-48.99238445564471,-47.95722910246043,1.9946717207777283,1.9946887909247684,-48.00535452970103,2.0427181647058092,-99.02204517086867,2.0493868894340697,1.9944645598454878,1.0076803241800616,1.9947102869962212,1.0076830110682164,-48.005357036909125,1.994707125408467,-98.04470454841106,-47.95071459771575,-98.04454780118435,2.049360339318523,2.0492662979428804,2.0492098892993096,-99.02207375101398,-149.0218339045698,-98.04475779687229,-98.04482766795829,-98.04461566505881,1.0075855458424061,2.0493301975828664,-48.00538792101278,1.9943472070568833,-47.957256782688106,1.0074693748059809,-48.992403398879,1.0076239851933089,-48.99238129028453,-47.9572596825172,-99.02185148808262,1.0075522486440065,-148.04465017734202,-99.02179492728433,2.0493701678463734,-98.04461777581902,-149.02184248942956,-47.95070557834022,-148.0445861632335,1.0075892588360962,-48.99252927733296,1.994560985604432	0.9990443117099597	2.0493868894340697	0	true	4
27	6	6	100	0	0	0	0	0	-47.78936529540041	2.2106319884721	2.210638520869619	2.210638520869619	-147.87496183478584,-47.7894483591665,-98.85407388205242,1.1723899700542815,1.1721956858231513,-147.8748689340427,-148.85412468426335,-98.85403784099758,-98.85412678507748,-97.87498919454823,-47.795286089132745,-47.789482036083655,-47.84085701670628,2.20472078777158,-47.78970818475118,-98.85418488710215,-48.827971362539486,-47.84078125540776,-98.85414348763382,-98.85415185767856,2.204708687121127,-47.789447864250185,-98.85418572108051,-48.82768297536211,2.2104813705918396,-47.840625528282246,-147.87482264111054,-97.87503305617727,-47.789377425359014,-48.82767343614134,2.2106319884721,-47.79553456688974,-48.82767943580939,-147.8750000517796,2.1592775051805453,-97.87482319759636,-48.82760497785498,2.1593289642224334,2.2045363909952913,-48.82768385404974,-47.84069393399723,-47.78944585290262,-97.87489153768666,-48.827723999864524,-147.87481096851565,-98.8541367438958,2.210627827981449,1.1723378146190382,1.1721953074146099,-47.79535119834301,-98.85407779112482,-148.85405799633958,2.159276321845272,2.2046825702468373,-47.789379459716024,-47.79536710069554,-147.87484467195813,2.159369670612482,2.2103437832692507,-47.84082754964376,-148.8540674843184,-97.87490672883753,-148.854100012686,-98.85408026349279,-47.79534281683813,-147.87492539790878,2.204526018277681,-47.789427800941525,-47.840694876856446,2.210623709727482,1.1723344296608742,-148.85439876622166,-98.8540691862159,2.2105854054862326,2.159341606639264,-97.87484860837436,1.1723310767879758,-147.87487330916343,-47.84070421676659,-97.87484728355066,2.2104076989850445,2.2045236538533177,2.2046798578374154,-47.84068835466462,2.2105892980613033,-47.79535757584627,-148.8540980649255,2.2046048763588155,-47.840908441142965,2.210452112418081,-97.87484242993563,-97.87480239234733,-147.8748514310702,2.1593288028542372,2.2105421942466323,-147.87480762979428,-47.840637206291845,2.210600104331666,2.204725186443761,-47.78936529540041	0.9990443117099597	2.2106319884721	0	true	1
28	6	6	100	0	0	0	0	0	-97.7172197853735	2.3601813734174644	2.3602281783234216	2.3602281783234216	-47.68721228399928,2.312742785986694,2.360068631006544,2.3600253674195755,1.3250836834108424,2.3547673009854915,-97.71721290464896,-147.71753119937097,2.354791969617003,-97.7172144518736,-47.687215825629394,2.312834151296708,-147.71753119937097,-47.687166577568924,-47.687172071006785,-98.69854436556619,2.3126274417387416,-97.71741124255391,2.3128114711716976,-47.68717405659063,2.360062248776541,2.3126738877669357,-98.69851570636426,-98.69853859274198,2.312704040044263,2.3548026290562483,-147.71721343098343,-48.6750396893189,1.3250894174223302,2.3128096563197924,-47.68721592440726,2.312712140996931,-98.69852111578085,-47.6452173772616,-47.68741412354805,-48.67487576025984,-48.674838842975845,-47.68719510734684,-47.68746965399173,-98.69874071706413,2.3601813734174644,2.360062248776541,2.3548312882581808,-148.698692242024,-47.64516999471131,-98.69851333415632,-147.717247070322,1.3249971609309845,-148.6985145909153,2.312552935153272,-47.68732983478956,2.35478232745826,2.3126031399855256,-148.69853305105693,1.3251272097251938,-98.69851321818162,-98.69851333415632,-47.64008189370152,-47.6398408971278,1.3252237524882873,2.354623917555916,-47.639785695581025,-48.674812608574264,-47.645331884731135,2.360146500833644,-47.6398818805644,-47.64518876480348,1.3250884569128047,2.3127935212492083,-48.67478764726828,2.312836178669374,2.360115813568888,-148.69851899626525,1.3251638230032767,-147.71720300963526,-48.67480998392698,-98.6986746584877,2.354833988731398,2.354793915996979,2.3128352120983244,-98.69854159871687,-48.67478281792015,2.312795410893131,2.354798585816723,2.3547673165198186,-47.64534687105895,-147.71721343098343,-47.68733307588959,-48.67482689284023,-98.69854250943662,-98.69870331811656,2.354710950227608,-148.69856435444254,-98.69856466716418,2.3128041806884534,-148.69853305105693,2.3548154790836824,-47.64522716578482,2.3128398173138165,-97.7172197853735	0.9990443117099597	2.3601813734174644	0	true	1
29	6	6	100	0	0	0	0	0	2.4495511056112362	2.4939389221144723	2.493938995428037	2.493938995428037	2.4495727605162503,2.487972989575685,-47.50614298925621,2.4494641348566497,-147.57622409414455,-47.5504642200258,-97.5762169234178,2.487969030492305,1.4617419945973211,-98.55923083114057,-47.51203177979941,2.487884187154294,-98.55914790205304,-147.57622004314206,1.461655089829863,2.4495970817311576,-148.55916670193955,-47.512046291265975,-98.55934002147501,2.4879654238756124,2.4879574460995353,2.4939118043830044,1.4618240005940697,-47.512047564109494,2.487968691409102,2.4879874926150967,1.4618158510883004,2.4879486683607777,2.487761773208181,-47.50606683401283,-97.5763336628859,2.487924560878757,-47.512069389000686,-48.53817520472468,-148.55915423840696,2.4495727888721315,1.4617852865993848,-47.51203316528636,2.4496142099434106,1.4617778075679162,2.4879874926150967,2.4939139288793286,-47.506280562598576,-47.506097398304064,-47.50608198319038,2.4878556091224784,-47.50610254905826,2.493875627271711,2.4938820379138753,-98.5592799553045,2.4938402081430886,2.4939026876623744,2.493747532157066,-47.550391975898314,-47.55039141893291,2.487929251015754,2.449560176832892,-47.50606689727243,1.4618265228118261,-148.55915205542985,1.4616244163044037,-97.57627795098655,-47.50614830711788,-98.55920258823363,-47.5060710060115,-98.55917855514996,2.4495953787104914,-148.55914882782346,2.4496051426544403,-97.57639011771654,-147.57623812972867,-47.51205134966829,1.4617318374312356,-97.57621514884165,-47.5060710060115,2.4937520224131307,-148.55943963948718,2.4939389221144723,-147.57623176898772,-48.53822089709953,1.4618089345131964,2.493826679523456,2.493850365309174,-98.55916827858447,-147.57636028602923,-98.55923083114057,-97.5762162754688,-97.57631337011517,-97.57631559539095,-47.512018434793454,-148.55915423840696,-47.506110433563535,1.4616244163044037,-98.55928301674518,2.4495156864826138,-98.5592799553045,2.487817220222887,-148.55918108759548,-147.57622153991656,2.4495511056112362	0.9990443117099597	2.4939389221144723	0	true	1
30	6	6	100	0	0	0	0	0	2.5402117255408765	2.5813638191747748	2.581366414144406	2.581366414144406	-148.4676966290564,-47.41883520262102,0.5520033209852746,-47.41882909614587,-148.46757994018373,0.5520673789726446,2.5812269461878636,2.5813354104757287,2.5747222219181314,-147.4831889660968,-49.44794611662342,-97.48316819554715,-98.46760308063072,0.5520705578857662,-97.48317731816707,-47.4186589041482,-97.48333278399971,-47.45979970449905,-47.41869891851493,-47.42503964754724,0.5520801148408913,-97.48320055361077,-47.4252986510191,-97.4832389120012,-47.459785787360296,-148.46756270627543,-148.46758815037785,-47.41869891851493,2.5749550772907246,-97.48317967090378,-147.48319770164372,-147.4831733659543,-98.46756989139767,-147.48317740516836,2.5401659466946325,-97.4832205177106,-97.48318113533502,-148.46757816301027,-147.4831966243691,2.5748514708495067,-47.45976383925804,0.5520756093726409,-148.4676140590553,-98.46755726522781,2.540198000912753,-47.459960765596335,2.5402215333776668,-98.46760488438389,-47.45980008341512,-97.4834906587437,-147.48317331723362,2.5813638191747748,-47.41866047985502,-148.46755578503846,-47.46002392671231,-147.4833040558258,2.5402117255408765,-47.41878222985598,-47.41866410137546,2.5748714459637014,0.5520763095187716,-148.46762041783916,-98.46755988406932,0.5520327080072562,2.574944770116069,-47.4598003194425,-47.425074820466975,-147.48317919249013,-47.45976492324045,-98.46757426652525,0.5520455285248127,-47.460089254512425,-49.44802197085925,-47.425038563564826,-49.44795757059573,2.581330613105471,-47.418663693475125,0.5518807358758842,-49.44798497466623,2.5812321187629066,-98.46772169705751,-147.48320524586347,-98.4676390931956,-47.425298662902996,-98.46772918205929,2.5749526108599956,-148.46756295044082,2.5813338502860614,2.5400847647322453,-47.42515623100076,-98.46768556439235,2.5749622550491287,0.5519872752452972,-47.42505188238729,-97.4832094921672,2.5812627312416643,2.581356914377503,-147.48318744832773,-148.46757994018373,2.5402117255408765	0.99887542860485	2.5813638191747748	0	true	1
31	6	6	100	0	0	0	0	0	-49.33838249298084	2.6868631569981942	2.68687202762418	2.68687202762418	-147.36868184300425,2.6868631569981942,0.6616876198556173,-97.3687738647504,-148.35562543806617,2.6867369788702935,-147.36868264537108,-147.36869448150367,2.68685664919628,-49.3383305749829,-98.35565257291366,-49.338318094286244,-47.348243399175395,2.686724356013174,2.6868500605555354,0.6615657518047958,-47.31314759305353,-147.36869854891532,0.6617150012970635,-47.31830211110429,2.6516810489158202,-47.31829516975616,-97.36869102715303,-98.35571315807815,-147.36868237541478,2.6815239161827344,0.6616650917143131,-148.3556256355092,-97.36873137610908,2.681608154689001,-98.35561919187322,2.6816588967206383,2.6868324175898683,-97.36871731352481,2.6815808830444126,-49.338286132516345,-97.36883999884108,2.6517010628100293,-97.36869781517134,0.6617087123914435,0.6616043761925751,2.651735426909022,-148.35564334616024,-47.31830518556018,0.6616880159162317,-98.35564551420015,-147.36869973812787,-47.313131947238766,-98.35561843093903,-47.31329981426546,-147.36870072373307,0.6617095406551162,2.6816892400558228,-47.34845673649413,2.686822431157412,2.651731726650991,-97.3687445489024,-49.338304136223144,-47.31844955385533,-98.35561172813419,-148.3556259802599,2.6517232835619726,-47.31829894716954,-98.3556473404529,2.6514813835276763,2.6516424117845143,0.6617087268727707,-97.36881550752449,-148.35563916958125,-49.33829939432227,2.681711330093303,-148.35561260544762,2.681696368448844,2.6816832323715922,-47.348246614190614,2.6816047681243522,-47.31828731824079,2.6816936316511013,2.651670134569289,-49.33830082889606,0.6616396824294557,2.6517218133084612,0.6617131824949424,0.6615184540345255,-47.3482575960984,0.6617138354214767,0.6617073940643943,-47.3131428386342,2.6817114003958396,-98.35570445205089,-147.36869652772157,-47.31315429171649,-49.33845542993155,-97.3687445489024,2.651765249610033,-47.34845666653905,-147.3686996818643,-147.36897100282283,2.6517294118938275,-49.33838249298084	0.99887542860485	2.6868631569981942	0	true	1
32	7	7	100	0	0	0	0	0	-147.26784318593286	2.7792334926591677	2.7792393360220307	2.7792393360220307	-148.25707914798767,2.748429394455416,-147.26794055112097,1.7744645502839804,2.748303036875597,-47.22077177243908,2.779056594413196,2.7791238863323153,-47.220795264955946,0.7580701251337074,1.77449200909543,2.7792269408469106,0.7581217847531111,-48.22551613569911,2.779213192922648,2.7791250303889927,2.7791948055629763,1.7744044855447108,-98.2571210939221,0.7581357151375151,-47.25157168367994,-98.25703068705621,-47.25157883841445,-98.2570104317678,0.7581035681365128,0.7581250629940197,2.779205115667943,-97.26782781829226,0.7581451349716932,-97.26783711656151,-98.25718170987875,0.7581444450205557,2.7484318947002437,2.779182208132215,2.748425993538898,-147.2679395972223,2.779215171492718,-47.220848664179364,-48.22551612399611,-47.22078420230042,-48.225536833625725,-49.241869880558646,-49.24186512701993,1.7744888686809432,0.7581343781680181,2.779154581827395,0.7581332081141492,2.748428909042682,2.748438026099696,-98.25702306962292,-47.220772814534605,-47.251565438848324,2.7792334926591677,-98.25700144452006,-47.251575381018846,-49.24188506663382,-98.25705617440705,0.7580624483986427,-48.22552601260331,-148.25703123749702,1.7429878985913165,-148.25703823578436,-47.25158474012818,-147.26785989230032,-98.25702639745337,2.7483802273874987,0.7581197734098206,-47.220777747129894,-147.26783839275072,-49.241864451747425,-47.22079601843043,1.7744645502839804,-49.241873102087325,-47.22077983433593,2.7791622585624594,0.7581373916910495,-147.26785749386636,-48.225513750247906,-148.2570200163728,-47.25156520320101,-47.220840323213615,0.7581116216348404,1.774483831266533,-49.241862753271725,2.7791196083700624,1.7744808456075298,-147.26783850725647,-97.26794654061196,-48.22570404993215,-98.25701045572568,1.7744888686809432,-97.26788430957312,0.7579575369022301,-98.25699896826993,-147.26790713573814,-47.25157872138896,2.7483246769126404,-47.22090084007629,0.758042800890456,-147.26784318593286	0.9987036576717526	2.7792334926591677	0	true	1
33	7	7	100	0	0	0	0	0	0.837762004794125	2.8546168910690595	2.8546176442994406	2.8546176442994406	1.8515648544673242,2.8115457214544266,-148.18354140002413,1.8515380370254506,-98.1835638260383,-49.162171901420194,-98.18354723456689,0.837646216080141,-47.18851349659401,0.83781670814461,2.8545987411103093,1.8515283845824373,-148.1837088583112,-47.1701292944794,-98.17480501418014,2.8297504231075714,1.8514944756130942,-48.14845530867466,-49.16223831668615,2.829883961114152,-98.18372568342353,2.829884472465343,1.8514608469892504,-148.17474095824502,-48.14843481007864,1.85157508648127,1.851558288070127,1.8514812012393802,-98.18353974747232,2.811409833459064,-47.17014658000674,2.829866404620647,2.8546168910690595,-98.18361358483484,1.8515311851454008,-98.1747432746523,2.8298068527985434,-48.14842859183443,-47.17012334660893,-47.17017275540559,-47.17024026188512,-48.14842832347092,2.8545993345755547,-148.1747465505965,2.8298669116829362,-98.17474065945468,-47.14551787505946,-98.183545709561,1.851551572091669,-47.188348385856735,1.851579637656518,2.8546089459707233,1.85157508648127,2.854503816269512,2.811537832682554,-98.18356584723095,-98.18354517478373,0.83775707643245,-47.145414783510304,2.811409833459064,1.8515109420860107,-148.17474357350835,-148.17484826026416,-98.18361525769039,-98.1835837412022,-148.18354545436657,-148.1836486818014,-48.14842696399122,-98.18360514638269,0.8377466093021112,2.8116506375241546,2.8298595034372123,0.83780475439286,-98.17475366008763,-148.174739947801,0.8377626470993793,-98.18365273424612,-47.17012131700138,-148.18354105526686,-98.17472933271924,2.829882343377737,-47.145388875193426,2.8116369948507516,-47.17013000086018,-48.14845261132004,-47.18836316130626,0.8378050279052796,2.829863919391039,0.8377861790091005,-49.16217454223662,2.8546116584737735,1.851522336765315,1.8515727249789655,0.8378066581347187,-47.188357824385335,0.8378042228492578,2.854592438381755,-98.17478149692705,-98.18354797927273,0.837762004794125	0.9986204224270916	2.8546168910690595	0	true	1
