# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: bb888cc6-bd87-471c-9891-b9189e03c458
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	-Infinity	-976.3017568713244	-219.1450412878861	-151.89429491759577	-1920.982408484405,-2515.1782775778784,-Infinity,-Infinity,-1915.0464267156246,-Infinity,-2277.503862479742,-2023.8597354179115,-2072.021441511004,-Infinity,-2214.18516819987,-2123.856534407126,-Infinity,-Infinity,-2214.3040350859947,-1564.5219342455816,-1421.5619865440228,-2517.312602906312,-Infinity,-1363.7586105022276,-2214.604407497142,-2004.540381925311,-1572.4149660740088,-Infinity,-2317.7001608202304,-2319.6406983793704,-Infinity,-2414.2082102186364,-2273.459557768953,-Infinity,-2465.31959657431,-Infinity,-Infinity,-2178.2705965884024,-1320.8213183900643,-1815.063153150824,-2408.9611273738556,-1578.068989789422,-Infinity,-Infinity,-Infinity,-Infinity,-1864.3946790822204,-Infinity,-1324.1673099803759,-2226.1126832979808,-2159.0410684616472,-1814.6824741159114,-Infinity,-2019.6521857792154,-Infinity,-1959.3095571885453,-Infinity,-2018.4963201063624,-2060.975788065413,-2023.1597410067745,-1828.2082424765993,-2014.0492778403398,-1964.1056162684592,-2323.044826016665,-Infinity,-2220.0988429985014,-2157.8127622804022,-Infinity,-Infinity,-976.3017568713244,-1778.9973342651458,-2526.1412412906266,-2066.795219363613,-Infinity,-1459.3140156499644,-2513.7094684306903,-Infinity,-2224.8530688853793,-2116.367334018803,-Infinity,-2514.9962479712167,-1914.7593044397165,-2111.622412425082,-2211.5863399136792,-Infinity,-2222.815578645379,-2316.723478706685,-Infinity,-Infinity,-Infinity,-1717.1401562214198,-Infinity,-2280.4210202115037,-Infinity,-Infinity,-2166.8884072653996,-1961.5588626620467,-Infinity,-Infinity,-Infinity,-2018.30790689501,-1671.3866873357288,-Infinity,-Infinity	0.9976279600236874	-976.3017568713244	8	false	18
25	9	9	100	0	0	0	0	0	-Infinity	-1319.53535273709	-312.83085340994046	-100.51777468029422	-1969.0801793732712,-1984.126916189781,-2265.4823962893406,-2021.3816902108333,-Infinity,-Infinity,-2504.483071266446,-2019.4140948398299,-Infinity,-2410.590748234332,-1808.113353925743,-Infinity,-Infinity,-2671.539570596294,-2562.211934446197,-Infinity,-Infinity,-2128.974656055493,-1858.7008738183024,-2076.8006354270187,-Infinity,-1914.3966112973296,-1617.345453833095,-Infinity,-Infinity,-Infinity,-2111.8839067917947,-Infinity,-2062.798819097246,-2223.6617630493874,-1806.1501945775494,-1714.057826505998,-1913.4362371884079,-2103.0893436179294,-2420.66599383161,-Infinity,-Infinity,-2617.1856315627015,-Infinity,-2110.693656608044,-2011.0883767189607,-Infinity,-1914.165399903759,-Infinity,-2265.3882795512777,-Infinity,-2071.034628261748,-2367.488927236128,-1809.7179370514725,-1458.9915620022393,-1874.5418162331325,-2619.195605629639,-Infinity,-Infinity,-1910.3242297005734,-2357.3369818716865,-Infinity,-2007.5106275122635,-1964.2600958045923,-1875.2777214292216,-1909.3804266321965,-Infinity,-Infinity,-Infinity,-1455.7455627196782,-1922.1666818085862,-2061.8591882355877,-1963.523347619299,-Infinity,-Infinity,-2208.793000195122,-Infinity,-1739.8437645913061,-Infinity,-1870.6403452177424,-2123.913644274463,-2471.0288938815147,-2325.3858090115646,-2174.6469920346253,-2120.6164197691473,-2114.307147828419,-1319.53535273709,-Infinity,-1411.5342698010677,-2113.302732468941,-Infinity,-Infinity,-2562.5530950228663,-Infinity,-2213.6834115344436,-2677.0282858801856,-2269.2193047615683,-1858.5976698855459,-1722.1289087571063,-Infinity,-2067.2014095958057,-1668.683755921137,-2264.1211419014357,-2222.297678903029,-Infinity	0.9975483437027073	-1319.53535273709	9	false	6
26	9	9	100	0	0	0	0	0	-Infinity	-912.6100002171311	-114.07858449694346	-93.9343541742739	-Infinity,-2279.7090115931815,-2208.913529571069,-Infinity,-Infinity,-1764.0410616345932,-Infinity,-Infinity,-Infinity,-1920.1651846277607,-Infinity,-1962.1318621203748,-2266.884935614428,-Infinity,-Infinity,-Infinity,-Infinity,-1309.800225987462,-2305.2505806868085,-Infinity,-2215.5026380317727,-2214.5575934298963,-Infinity,-1464.3773605877723,-2262.337824482624,-2069.8122045665364,-Infinity,-2424.707156778928,-Infinity,-Infinity,-Infinity,-1963.5009061789733,-1107.7899210737091,-1859.4157202275778,-2273.15356259702,-2464.9284809064256,-1912.242510948542,-Infinity,-Infinity,-2258.929043080433,-Infinity,-2507.5636515302617,-2254.6555769490164,-Infinity,-Infinity,-Infinity,-Infinity,-2114.0464854164084,-Infinity,-Infinity,-1663.7465898734954,-1962.6145321776887,-1724.2670633342075,-Infinity,-1958.457657720482,-2012.0890000955453,-1869.5809291519045,-2120.704414983896,-2218.3905222732897,-Infinity,-Infinity,-Infinity,-1613.6719453411636,-1862.473706137607,-2065.722517877705,-Infinity,-Infinity,-Infinity,-Infinity,-2417.6005325012297,-912.6100002171311,-Infinity,-Infinity,-2267.7867296379195,-Infinity,-2421.379403193909,-Infinity,-2109.6220514360957,-Infinity,-Infinity,-Infinity,-2616.958241432314,-Infinity,-Infinity,-2421.070275639848,-Infinity,-2318.597200872705,-2064.027892891345,-1502.7400168883228,-2004.6820887769254,-Infinity,-2316.251843223218,-1558.4456676823686,-2479.9334487681936,-2328.104099196537,-Infinity,-2168.396637742115,-1810.6306227500124,-Infinity,-Infinity	0.9975483437027073	-912.6100002171311	7	false	6
27	10	10	100	0	0	0	0	0	-1919.3387040719301	-1366.1415256509144	-49.49715451829867	-7.892306169673185	-2056.9302123955354,-2105.3199962519493,-Infinity,-Infinity,-Infinity,-1711.4726981594179,-Infinity,-2363.0500005070385,-Infinity,-2310.959826416996,-2261.6033912326156,-2321.882017306463,-2065.77697757534,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1970.4119495072791,-2067.683938411722,-Infinity,-2125.9770923253695,-2160.1964174505783,-Infinity,-Infinity,-Infinity,-Infinity,-2034.3170044060103,-Infinity,-2012.124567762073,-Infinity,-2224.275406880673,-2310.5312226087713,-2018.8868878460512,-1950.3732268118306,-Infinity,-2759.9960959247605,-1923.3223728676662,-1367.650681248816,-Infinity,-Infinity,-1572.0494245219295,-1520.4367540279181,-2212.009028348221,-2408.3234422612127,-Infinity,-1914.3863354621133,-1996.7914643787383,-2212.375962396735,-2455.840619956304,-2109.9597013085554,-1908.4437600440835,-2159.959811388385,-Infinity,-2312.6457234661384,-2312.325179384902,-2512.9537744824547,-2212.592095999153,-Infinity,-1762.5766237246871,-Infinity,-2265.1142533958327,-2368.8350905614084,-Infinity,-1572.1137457599355,-1865.8039357832504,-Infinity,-Infinity,-2160.9472838560146,-1826.5599883430502,-2566.70395561505,-2211.1824307532443,-Infinity,-2057.8697244876266,-1620.5147038510283,-2055.374905519932,-Infinity,-1808.1039559990054,-1560.2540429247638,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2413.2890699730806,-Infinity,-2309.103846140984,-Infinity,-Infinity,-Infinity,-1960.506758181555,-Infinity,-2422.745940497973,-Infinity,-1366.1415256509144,-2209.242415962028,-1919.3387040719301	0.997245085209203	-1366.1415256509144	7	false	6
28	10	10	100	0	0	0	0	0	-2815.8099307596835	-1415.6757895714093	-6.214720416601331	48.92754005652694	-Infinity,-2517.2107407701296,-2081.8939362666815,-Infinity,-2371.2750427547853,-Infinity,-Infinity,-2265.7619159452843,-2114.869278485628,-1871.6725231784033,-2464.3177676804844,-1722.3868224876392,-Infinity,-2016.6135051986157,-Infinity,-1757.5670587560685,-Infinity,-Infinity,-2164.4592952410912,-2008.4269408660475,-1912.304276723184,-2014.6560719168274,-1959.4282404114317,-1908.8457274404159,-Infinity,-1809.9962658154716,-Infinity,-Infinity,-2158.3699612434957,-Infinity,-2108.1626667386895,-Infinity,-2261.1947879573063,-1906.4398426435223,-Infinity,-2262.8707882270805,-2020.1256072375752,-2394.554422677417,-1512.0040402539403,-Infinity,-Infinity,-2216.903546090748,-2315.208273359923,-1931.1489753595142,-2115.1742893589108,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2108.8883253171534,-2153.277421060611,-Infinity,-2473.016653181577,-1905.8538691774527,-Infinity,-2260.752143682279,-Infinity,-2709.927357328519,-2328.942822625922,-2658.56440505278,-Infinity,-Infinity,-2011.9683774765845,-Infinity,-2222.4087650802608,-1958.9550625023953,-Infinity,-Infinity,-2100.692892050336,-Infinity,-Infinity,-Infinity,-2256.955432398041,-2011.0075374395053,-Infinity,-2405.6740349050315,-1415.6757895714093,-Infinity,-1457.0722954343269,-Infinity,-1859.4698829755532,-Infinity,-2325.2713333038546,-Infinity,-2014.5107885471348,-Infinity,-2371.8226514720727,-1973.291614037411,-1532.3966846406406,-1966.2920212288595,-Infinity,-1970.029572209687,-1968.9302635776442,-Infinity,-1522.7802174792323,-2815.8099307596835	0.9970255371725607	-1415.6757895714093	8	true	5
29	10	10	100	0	0	0	0	0	-Infinity	-1355.7326837181001	-Infinity	-0.2633085033330822	-Infinity,-2459.230386577789,-Infinity,-2314.7755289155743,-2215.4493346009735,-Infinity,-1850.9286150786306,-Infinity,-2170.4980797002704,-1663.325084296546,-1854.3954421060027,-2063.2930798100356,-2310.306354532554,-Infinity,-Infinity,-Infinity,-1904.4888633720013,-2007.6867425463593,-Infinity,-Infinity,-2314.7643461315774,-2268.5762727527444,-Infinity,-Infinity,-Infinity,-1563.0653381403633,-Infinity,-1671.7108404483436,-2259.84153162981,-Infinity,-2151.1349000306154,-2708.821246800929,-Infinity,-Infinity,-Infinity,-2507.904903417323,-1909.31836227572,-Infinity,-Infinity,-2256.0990990357627,-Infinity,-2067.742420258809,-2519.715507418587,-2018.4618856723444,-2264.8455885775306,-Infinity,-1754.391336760289,-Infinity,-Infinity,-Infinity,-Infinity,-1559.036857948424,-Infinity,-Infinity,-Infinity,-1854.5309013770109,-Infinity,-2217.5673805888373,-2562.8724851839916,-1558.7114839662327,-2205.5581180168615,-2170.9077440897904,-Infinity,-Infinity,-Infinity,-1446.3168063784778,-Infinity,-1860.0898991649533,-2518.9248941414276,-2072.929416074542,-2054.8776624065918,-Infinity,-2016.9264377810223,-Infinity,-Infinity,-1759.4674417924296,-Infinity,-Infinity,-2305.7858056790988,-2568.865027712844,-2057.6637632636116,-1468.0009877621385,-2008.9754335999648,-2322.6436920151873,-1556.8344392293513,-1872.4486961397888,-1610.3514113749713,-2257.7800480754618,-2154.7766271774954,-2113.1172420731377,-2360.963159167117,-1355.7326837181001,-1757.3810987924667,-Infinity,-1660.8080159043898,-2554.8956481687987,-2510.916433496064,-2068.8899395337808,-Infinity,-Infinity	0.9970255371725607	-1355.7326837181001	6	true	4
30	10	10	100	0	0	0	0	0	-Infinity	-1255.3234103274801	-660.5885529515017	4.1236971693856415	-1867.5911203536898,-Infinity,-Infinity,-1715.9639841880467,-1869.3871161338725,-Infinity,-2220.4187909781176,-Infinity,-Infinity,-1255.3234103274801,-Infinity,-1443.4755219750855,-Infinity,-Infinity,-1857.8036055053115,-Infinity,-2225.430990458961,-Infinity,-Infinity,-Infinity,-1508.9372096468087,-2333.8877634504934,-1612.6604516266473,-Infinity,-2428.126902254329,-Infinity,-2004.428728308401,-Infinity,-Infinity,-Infinity,-1958.7963765456186,-Infinity,-Infinity,-1660.6089978626615,-2268.638583272312,-Infinity,-1671.7208014683172,-Infinity,-Infinity,-Infinity,-2355.1138853118277,-Infinity,-Infinity,-2053.150912642745,-1980.7892132917684,-2328.092172617889,-1961.4163846270985,-Infinity,-2265.1775279701924,-Infinity,-Infinity,-Infinity,-2274.443239889715,-1517.9445001097824,-Infinity,-Infinity,-1626.220717801891,-Infinity,-1321.9197923658926,-2164.38837625054,-1869.6933244280765,-2116.8687865714633,-1417.2001335998063,-1857.2069536226802,-Infinity,-2063.3873950991783,-Infinity,-1861.1032344626065,-1918.146360764907,-2110.736021538394,-Infinity,-Infinity,-1860.392931138151,-1866.6269405131966,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2482.1007463955284,-1817.6502925002735,-2329.6226991585245,-Infinity,-2513.447151091143,-1651.75042032098,-1923.1916582966917,-1859.1453568146246,-Infinity,-2010.3775673399525,-2515.4073891203157,-2300.898263043763,-Infinity,-Infinity,-1664.0111754845977,-2229.359794055017,-Infinity,-1559.0625659781065,-Infinity,-Infinity	0.9968566540674508	-1255.3234103274801	7	true	3
31	10	10	100	0	0	0	0	0	-1462.733429229437	-1424.71841072494	6.754028535232848	3.826453747138874	-1870.8215521625648,-2011.5120562997135,-2362.332807101875,-1775.6983806381836,-2060.0129333489417,-2120.57983494601,-Infinity,-1460.1870929132085,-1827.7754390433663,-2424.9917702640464,-Infinity,-2369.9274599618607,-Infinity,-1812.970360046059,-2525.2199517314066,-1822.4862604508091,-2662.9884797152367,-Infinity,-Infinity,-1980.3642741256185,-1916.9999014609866,-2533.843981276202,-Infinity,-1916.2345282073948,-Infinity,-Infinity,-2061.143802923063,-1568.0539048583794,-2071.7243234343946,-2006.5738608789447,-2468.680566108433,-2268.4684266788463,-2141.2432315443216,-2278.638202686875,-2166.814707518202,-1795.787401570915,-2267.9756592824883,-Infinity,-Infinity,-2166.3217473439886,-Infinity,-Infinity,-Infinity,-2028.269351258831,-Infinity,-1424.71841072494,-Infinity,-Infinity,-2011.4142749372809,-2544.4552252312965,-1959.2174438365125,-Infinity,-1722.9861221975339,-Infinity,-Infinity,-2639.586525748157,-Infinity,-2118.6486289949326,-2274.5730240867415,-1719.1395918670678,-1620.9773089671276,-2179.780141884213,-Infinity,-Infinity,-1960.5081510715024,-2068.8229956682067,-2272.218049840073,-2535.048074258111,-Infinity,-1957.7956513719434,-Infinity,-Infinity,-2019.315763216379,-Infinity,-1910.9226930942218,-Infinity,-2160.1650767453184,-2470.7067249336696,-2078.552174506029,-1721.9841190894176,-2181.5068568507527,-Infinity,-1927.7880156562828,-Infinity,-1461.0864796815204,-2482.8340888199727,-1911.504686629225,-1946.2164526936608,-Infinity,-Infinity,-Infinity,-1726.680254130804,-Infinity,-2231.5599793281517,-2276.496489934057,-Infinity,-Infinity,-Infinity,-Infinity,-1462.733429229437	0.9964971743151462	-1424.71841072494	10	true	5
32	11	11	100	0	0	0	0	0	-Infinity	-1578.8335164616021	-107.878606856216	0.9437341303360736	-Infinity,-2008.8516949079471,-Infinity,-2224.080502041457,-2133.764223854196,-2549.933636218587,-1785.8519778761745,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2089.8415941550534,-Infinity,-2073.4083465229637,-Infinity,-Infinity,-1760.6872570421208,-Infinity,-1955.8793307979029,-Infinity,-Infinity,-2217.0277725656565,-2188.0513399456013,-Infinity,-Infinity,-2088.1685590218863,-Infinity,-2386.50585471858,-Infinity,-Infinity,-2307.288393051557,-1869.2164469850263,-Infinity,-1823.313216935209,-Infinity,-Infinity,-1726.4273026496394,-2225.148732004064,-2029.7736213946469,-1922.0413160747232,-2117.238727518534,-Infinity,-Infinity,-Infinity,-Infinity,-1618.0382339466964,-2032.6492921358615,-Infinity,-1613.4773534252558,-1668.4952240760633,-Infinity,-1772.5873183011367,-Infinity,-2168.1117182784424,-1584.034884654163,-Infinity,-2062.0593208516193,-Infinity,-2283.6698534524535,-2669.915254593807,-Infinity,-1578.8335164616021,-2072.5565185952723,-Infinity,-Infinity,-Infinity,-2070.201326019337,-2076.2755148324122,-Infinity,-Infinity,-2215.337939617525,-Infinity,-Infinity,-Infinity,-2623.158640062954,-Infinity,-Infinity,-2167.480481177093,-2162.609147317328,-1915.7374324573273,-1843.0094789575166,-Infinity,-2073.927908366707,-2317.429557935428,-Infinity,-1965.1863204643769,-1933.9849335057575,-2206.1560090141,-Infinity,-Infinity,-2279.758358165635,-2069.2426339171593,-2376.632161306074,-2330.564864897482,-Infinity,-2053.5109980356174,-Infinity,-1922.6889271800726,-Infinity	0.9961384256585344	-1578.8335164616021	8	true	4
33	12	12	100	0	0	0	0	0	-1315.6728202819506	-968.7075727319136	-44.12279051014149	6.674659129266038	-Infinity,-1927.6299981487416,-1776.0547831050992,-2178.4675930603266,-1212.4829383658007,-Infinity,-1538.155403577034,-Infinity,-Infinity,-1765.6249476167002,-1661.2576201359695,-Infinity,-1820.954284331092,-Infinity,-1617.054477433263,-Infinity,-Infinity,-Infinity,-1401.429065968266,-Infinity,-1832.094093337445,-1276.8766287035078,-1674.6200783230802,-1684.5277093946981,-1871.8346097435683,-1763.90534818164,-1862.7693044787663,-Infinity,-1869.374285547621,-Infinity,-Infinity,-Infinity,-1975.7624324808403,-1063.5069950017166,-Infinity,-1677.602406795769,-1728.207797033751,-1672.620390555582,-Infinity,-Infinity,-Infinity,-2073.11643562724,-Infinity,-1367.792642422193,-Infinity,-1618.3753679373197,-1959.2894945972964,-1661.78666637182,-968.7075727319136,-1866.2786133539948,-1510.9037276607178,-1874.3823406721147,-1672.7005217694034,-Infinity,-2077.4226325626055,-2177.836172285265,-1859.3503634622098,-1884.6172982443854,-Infinity,-Infinity,-1778.8235747425726,-Infinity,-1214.6409661379403,-1331.979692395216,-2073.5840599842313,-1214.2971243558648,-Infinity,-1024.505906268815,-Infinity,-1469.823193390621,-Infinity,-Infinity,-1921.335499611159,-1521.6739626394583,-1624.6710912774035,-1156.6538312930243,-1404.9123301867376,-1717.0957775010056,-1868.6112028827163,-1518.704536974381,-Infinity,-1438.158433987929,-Infinity,-Infinity,-1873.6665272068822,-Infinity,-1938.4746430083899,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1978.8529605648862,-Infinity,-Infinity,-1316.5273768145641,-Infinity,-1519.6367938245546,-1315.6728202819506	0.9959930472799584	-968.7075727319136	8	true	5
