# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: bea7b0ab-a3f8-4f1c-b620-0923ac7f48c9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	0	0	0	0	0	-98.26253686661288	2.5397710366054205	2.9225555747667684	2.9280700514687585	-48.33961208416498,-49.72144917797973,-97.01440022261517,-49.557962197653204,-47.61259111907528,-100.64742332275065,-2.4184707099713907,-97.84435136006898,-49.67273216574542,-49.83682486046314,-49.61532734561352,-48.847950185629344,-99.16348035054473,0.5046004546539109,-49.03513420307159,-97.79757651277347,-48.47760286452672,-48.50263065425062,0.6148723105089995,-47.33123523658932,1.5583188657301665,-50.81616180176141,-97.57745748693003,-98.80442537647612,-47.58424691530347,2.5397710366054205,-49.57754318119402,2.0031444885255407,-98.68751649549746,-47.2846879323766,-47.45676881209309,-98.31019737651968,-98.69950760207097,-100.74567245169666,-48.87264344437129,-97.24301667807109,-48.662525056913154,-97.21587044629996,-47.40921452569125,-48.54084894768954,-47.87206599743203,-49.68469685843,-98.27457774375267,-48.581882666598716,-49.24234141239774,-98.2972427672952,-50.680986676864954,-49.40053044656884,-51.58541562545877,-48.298711226855396,-47.79581132947715,-98.58926499205013,1.1390453058957646,-48.00043573607502,1.1413740985993281,-49.68737496482568,-48.252067634122994,-47.22495619389095,-49.96562814581802,-49.033879535478256,-99.63539022131656,-47.857112286198515,-98.79679684601886,0.9459231441865552,-49.35113870200129,1.5028247172406983,-151.06663406476252,-49.74856179063227,-48.822258035915,-47.31592377514162,-49.37862645519503,-49.27638255219593,-48.629736395452184,-50.60050473259072,-47.839037932529386,-99.1045844022469,-49.76300438271,1.370370107563252,-98.65240992624517,-50.134879309621994,-97.64374832837264,-100.6260432334765,-47.40335730222912,-49.66975699344954,1.0130880292161955,-48.904712181143694,-100.71093026158026,-48.142215910740866,1.5150785204097672,-150.5510089983083,-50.605806895724015,-97.40921610563782,-149.4886916078718,-100.60610037847019,-0.3363994045909975,0.3807724976610172,-50.87086230029968,-99.66075905933026,-98.27335095622863,-98.26253686661288	0.9986384073811424	2.5397710366054205	0	true	7
25	8	8	100	0	0	0	0	0	-47.10525763884589	2.436930462585314	4.169939653370427	4.169939653370427	-1.3629244591579641,-96.80011162680954,-102.38944655534058,-98.9916660359274,-0.4791340158250801,-48.60628153142535,-49.428201540947484,-97.09462816090861,-48.697743586415406,-98.93999152399927,1.5045091363278975,-Infinity,-98.16947711675499,-49.25368598886722,-47.998341449914484,-48.14801469435597,-98.95263968874777,-47.791291829719775,1.401203537952168,-147.9669892773911,-50.67693451284511,-98.06113078622779,0.5820777169642399,-1.3627027833286105,-46.78856120770856,-148.49394974704185,-48.8936976572396,-50.39731642356223,-1.0722311330972523,-101.36702296764551,-49.05621199250912,-46.78123462728889,-Infinity,-48.87113281810824,-52.38862345335528,-49.459569134976064,-150.20360639592667,-47.940748723614966,-97.92999110747776,-50.40319638286763,1.5493730246812252,-49.51872809373545,-46.96904811417624,-49.840663755214145,-48.18957825424655,-150.51203271606053,1.407584520408613,-99.0160648315588,1.5180642555126038,-152.3319094194771,0.7214686263296168,2.436930462585314,1.8635582093960177,-102.25251645379626,0.7427089596577199,-48.090074087006094,-99.51510421698073,-50.361111300494215,-98.8847523456353,-50.35449414056954,-98.45616015153095,-1.0670344226810116,-149.24076011846802,-96.78862092891097,-96.82407746901615,-47.952236274755094,-98.10185271322472,-99.36825684652888,-49.22540414760853,1.1624308692832117,-97.74732034772109,-49.176865432978126,-99.41708995356979,-99.28410901065197,-148.1510710978043,-97.92837946544871,-Infinity,-47.999246817166735,-47.04730685453154,-98.76912199525563,-99.99580891284286,-99.2519163949647,-48.388745679242184,-2.2388821304803566,-47.70047633283707,-99.51343745867987,-99.50334624678491,-50.489952115045966,-95.6337108190376,-99.0414734845161,-Infinity,1.5849033745672965,-Infinity,-48.246544512771656,1.775894347171807,-48.993623898436404,-97.299939023174,-48.82813408541339,-100.39674328894034,-47.10525763884589	0.9977871561108634	2.436930462585314	0	true	3
26	8	8	100	0	0	0	0	0	-47.62173812466138	5.169901638746621	5.189251190570589	5.189251190570589	0.6476815401573415,-47.91789665895517,-147.22701019319598,-96.83977079108307,-46.39643550273007,-46.935854374002766,1.1761081085323775,-49.485296361827636,-47.3735384579411,-100.10326229621295,-51.38537604790559,-3.314871755198535,-47.23884959266427,-48.27038394012562,-48.98501272112804,-148.21340254855173,-45.84899508216045,-48.32207615321533,-46.753445792179214,-97.3337087009393,-46.163700682972475,2.976955058831424,-46.322905158334194,-47.50447900450288,-49.26362586503704,-48.4051205461586,-47.430090184530286,0.8599714411083283,-3.046026353160885,-100.25771237564396,-53.2875146947625,-46.019845861151445,-49.12534732600321,2.095897694208928,-45.30271334900108,0.6345333312933286,-45.92479956371284,-147.48711079670684,4.929140069952679,-97.14882596761149,-100.37197114422132,-48.085774405544896,-96.8713826584511,-97.04284309041388,-47.876711500488945,2.0140579111645,5.169901638746621,-49.303450054424054,-97.6082648065133,-98.12377819619033,-146.90930494064196,-150.42458627198405,-45.840762002214305,-48.2362308864474,-51.46491921049283,-51.125799400385226,-52.25764614397647,-98.06049134794911,3.0695596567635652,-52.94045650157191,-46.24628643866811,-97.05220500346545,-Infinity,-97.82292709076168,1.5211752985379166,-49.45523180743581,-101.18019642331396,-45.4059997176085,-97.919137115737,-51.365437683108546,-0.7832296809882188,-47.28999421768555,-45.202085614096646,-97.21229596292338,1.5740189424791886,-47.40459859456691,-47.203976915531385,-148.29834845895007,-150.49037114439025,-47.28103573538721,-46.94914210493027,-47.985886637746965,-47.19394867171313,-99.10586198337253,-98.15811746442535,-50.909927721904495,-49.10547965992832,-97.12711971812485,-99.84573269626027,-51.28208874174993,3.6477310342064517,-49.24774136816631,-48.37772719267567,-1.1696669632898322,-95.53424562104735,-148.33422323529715,-50.36674072381715,-146.97279956394945,-46.947668309721095,-47.62173812466138	0.997238286019257	5.169901638746621	0	true	5
27	8	8	100	0	0	0	0	0	-98.2350562064727	4.241076536071862	6.226481005376716	6.223677146375773	-150.4115091135702,-98.74427544513686,-48.126313549777365,-147.39337791958192,-98.20172421973221,1.9099781656365518,-48.14180953919269,-147.47799315884376,-99.01084448243948,-97.33344270280408,-51.102358614767006,-95.18115366580585,-96.36058712906423,-146.21177613583143,-48.12942030807096,-97.18044810944166,-47.458972367242424,-148.3144202239373,-95.63118987622939,-45.429184786516224,-101.26120533829085,-145.3331318419015,-48.20316359025281,-48.2669221665255,-146.62354624962143,-47.27282615543709,-97.14292552436225,-51.81596350324281,-98.25501529975159,-146.9451147028288,-45.62624400736105,-50.05873025144452,-95.75166010557705,-Infinity,-147.3033203877485,-47.84294782275872,-94.47275900075682,-145.90828236376305,-98.3554143153049,-48.23797678603559,-46.157555476971446,-94.4719744001412,-96.93553662212213,-49.630344919397075,-47.4562357478588,-45.25929121648646,-45.627935145081295,-45.9028119980936,-47.09430577285947,-95.93005119429678,-47.82720337038783,-47.06848160971897,-96.97191819605723,-47.987284983051964,-48.79685296210579,-45.238934791807395,-146.3124428097106,-48.02954507360725,-144.03460297072607,-99.16235878765116,1.638460942970482,-96.12793746232337,-98.26561117181984,-45.641624574964894,4.241076536071862,-44.97370120335877,-48.06522302904739,-97.84987465705962,-147.09572226935967,-96.82829001884734,-97.12460054472638,-98.1748829035767,-148.2375364268714,-144.9030417651579,-47.381151280728474,-100.22936525234165,-58.512978865103165,-49.2191247069182,-144.95105035911837,-100.30936462457363,-50.26884513705848,-46.055596116834465,-95.15801172338824,-99.25713799072749,-44.6111247436593,-100.198188351318,-96.77600899139814,-48.277392207200585,-94.43332701744947,-51.2048075452523,-97.85357805440714,-146.368648592678,-98.24192704843188,-49.22492067126222,-46.58111455496073,-45.55104391565056,-94.5748412417941,-96.25429701493326,-96.39502900085897,-98.2350562064727	0.997238286019257	4.241076536071862	0	true	2
28	8	8	100	0	0	0	0	0	-146.22032161858627	6.702609843216282	6.946589323281795	7.218618268691791	-47.11937588382104,-48.32387744783428,-145.41591920359846,-94.5032592193438,-145.86137248365225,-149.24150143190698,-52.55868605379044,-145.91282293660404,-98.09010687441793,-48.373727484286555,-98.23209853317304,-47.17607520249667,-94.08767492864423,-51.249956762222425,-96.37947238606894,-46.31008759665423,-94.45917704285738,-46.18872369345858,-146.14421132264758,-95.47980111018298,-146.2523428101667,-Infinity,-144.4596540705852,-144.9791721827538,-96.91942556083336,-143.97012114022235,-96.11532709969687,-144.13545602227504,-45.05640862394065,-42.8180923758573,-96.09855595046976,-94.57657365042145,-144.9314912662944,-143.88402377655245,-95.03025945326833,-99.31798592594093,-145.27601678120277,-148.2064532479673,-45.10565630819796,-45.314236116350585,-94.37512674180867,-146.38355207957972,-103.01506349001282,-48.41706479522192,-99.2054537578534,2.7354249753607824,-146.3482096181949,-99.37255836584279,-95.12759760185577,-45.211410919971456,-96.57114843161922,-47.29871363629892,-44.65067355527,-94.0875015648662,-47.170034256480555,-150.3340114604372,-144.98519541839093,-147.43472963726398,-97.39732934904849,-146.53404455693934,-46.17130663582883,-94.30712721882246,-49.09465877090999,-147.29923353359365,-97.86343394765237,-44.847366284594706,-100.52542938166305,6.702609843216282,-146.2290093781255,-47.1268417432333,-96.41924266524627,-145.1892573725587,-44.37492464364715,-Infinity,-145.75049956198671,-146.54724778830013,-96.01152513601157,-46.422537795899785,-149.30967139550742,-97.34508113169126,-95.73520448437601,-96.1136014531773,-96.3506651910224,-45.93711324694299,-94.64891190969468,-46.0187323894261,-144.96958271262488,-97.08040201830023,-146.19812579347294,-151.39772707304894,-98.2973511067274,-47.131726403815954,-94.45163193552635,-95.87158269486608,-93.91577485013788,-47.01329325078635,-95.07053659254683,-95.39198627829823,-45.17767975633545,-146.22032161858627	0.997238286019257	6.702609843216282	0	true	2
29	8	8	100	0	0	0	0	0	-95.73352872743934	-43.45397292385095	7.772138784223257	7.771466853424659	-147.63867287593914,-96.53056358563397,-Infinity,-93.60117143853762,-145.33824182435313,-92.64455996299938,-94.86724692982908,-146.7136136703034,-45.73712838827073,-95.5587266596195,-145.6323817520501,-45.60191417841645,-96.74671496726529,-146.68682681236314,-147.81080369222582,-45.483916720971685,-94.40687636833157,-47.40623798443727,-96.29015351158014,-93.4646995241526,-145.59855525539507,-95.74249159058081,-146.76607930785252,-93.4290053298682,-96.61406774563581,-47.59365647119327,-46.59248764814497,-46.59025582460334,-145.6831953901112,-94.38723404925612,-44.8014996187985,-96.75379432989368,-45.471015436797096,-44.443521184322144,-95.71476317604842,-Infinity,-45.35101667372959,-96.64228778855878,-93.63641823917828,-95.41150966427784,-48.58669982326106,-94.24049628304847,-96.76357256582035,-45.00158879649713,-98.76852987959965,-47.60162180950926,-95.56656920896435,-96.68872807011032,-147.79062450667604,-94.79096065768434,-45.377855928881736,-48.79053367689062,-95.48694530696895,-95.75951546514793,-97.88625805551287,-43.8087713204277,-44.26197470535735,-96.67550369462428,-95.37641226042997,-93.2472365523058,-96.64561450131312,-97.6603909426743,-96.70758927430124,-147.55803439049146,-95.3720812315223,-46.695768721708845,-96.62001832083402,-96.73826680881763,-94.8224778683591,-148.688213623899,-98.59320030766338,-43.45397292385095,-144.64228412482592,-94.70088839488862,-142.90078916900862,-44.756573191861804,-146.64832940299334,-97.40959756235041,-97.70297518217325,-Infinity,-96.75875902838875,-143.69318241663348,-145.44234109943122,-97.64792856658823,-94.31024422298215,-94.90384351720724,-94.58003839094478,-94.68150455928766,-94.66808352402262,-94.75436796772135,-146.3865340882122,-99.65383049469919,-97.73151734244357,-96.64250015961557,-44.59759300194576,-146.6544754129419,-45.13499052615307,-144.49354081744755,-92.93463976616269,-95.73352872743934	0.997238286019257	-43.45397292385095	0	true	2
30	8	8	100	0	0	0	0	0	-46.1388860742414	6.95263216193054	8.248566368720558	8.248566368720558	-47.031397381423396,-100.23733051901297,-46.91019445586088,-45.39835419376377,-42.29497270360686,-97.13398190165475,-94.12792431409301,-44.26144481092359,-46.226411114689746,-47.265002072028686,-49.23971058138152,-146.16231856591924,-45.90509001492984,-45.867104940318825,-47.30674951820067,-94.26143080088227,4.847082985767804,-47.20537610545374,-95.23988508542807,-97.12153437568149,-93.20155028338381,-95.82677214989758,-92.01525129063252,-44.70552133235067,-146.79601232989202,-42.832434190807994,-94.24796709811207,-45.205873200763556,-97.85427159525281,-45.62892305946188,-144.223462211212,-94.48508456205349,-45.19575817666229,-97.16115825454379,-51.17843067725645,-94.8749155187319,3.8349912726759205,4.076433664680392,-44.825569054879374,-92.60315588301599,-47.10801936450125,-93.53730061407724,6.0980759771102235,-96.03488919140997,5.463693676818096,-147.14971680017996,-93.96502763237486,-47.03339540240842,-97.23940094287406,-47.19913212707547,-44.75217753083742,-43.68217465742525,-93.35775154412451,-98.3773565505049,-48.16233535971301,-46.903867301934575,-56.435838509103206,-97.07420368350252,-92.7152661062635,-93.401206027717,-92.05402844018658,-45.19227434405561,-94.13307225305164,2.89910600005464,-94.93903372868775,-96.16991511740291,-96.78503078082562,-47.11408535446512,-46.396912071552144,-98.21742031479,5.725162480928759,-42.20246590050522,-93.11158237514897,-95.26137913873086,-44.25224930944734,-48.11009919971765,5.777033268002901,5.1874185893537135,-95.1684326143791,-46.92165441495779,-98.13556550844908,-95.08856406876292,-44.09259574894341,4.925646890387357,-41.583019973327204,4.856103086916015,-94.10549854599799,-44.481787804196365,6.95263216193054,-44.94205806285556,-151.16419578599513,-95.41261549203247,-46.0695210722071,-42.36758858033957,-95.30669847516388,-46.16142338464225,-99.09748527634552,-45.28316276090517,-143.4034905389491,-46.1388860742414	0.997238286019257	6.95263216193054	0	true	2
31	8	8	100	0	0	0	0	0	-45.21354613004519	7.343646950456774	9.103112534170974	9.103112534170974	-93.16591025485958,-95.18858398845423,-42.60431800126503,-Infinity,-97.54092257465919,-45.04110342311662,-148.36131201310974,-94.35520175267355,-98.37588415680473,-96.38678228235383,-97.4796941983341,-96.12618309188474,-44.16191339725432,-95.47820225752181,-45.213807813901255,2.600269616369161,-95.36815756946007,6.232536669587165,-47.29566548687479,-94.40605978552307,-92.32677027534051,-95.41588100684889,3.6269704896595445,-97.2401409885776,-45.57485133798862,2.8318358807937236,-44.3566709849126,-96.20547244942873,-96.5161087481417,-46.10133698674161,3.4234764735146346,-44.27578042702989,-94.48434285761651,-46.4873702058942,2.5965886448285227,-94.91406963483341,-94.19686015390361,-96.67140276509816,-43.244020623808055,-96.43940533480207,-146.29628712702538,-97.54249991429839,-47.08509192840593,-147.3947220050416,-45.159576214408546,-145.3898074837487,-44.41608340467391,-96.42534776898265,-143.0202154942917,-97.03388641009168,-97.41601444047092,3.836934117156205,-94.58159510074042,-148.23127824503692,-92.13691046789738,-96.63605281831593,-96.21959282442874,-44.11704757510042,-93.60503804389398,-44.42766604115373,-96.43906969750736,-47.60884635282784,-94.3901793526748,-45.50331371781381,-93.1661828547907,-96.45128580886147,-49.126801851649454,-92.26970060535827,7.343646950456774,-43.48347948186134,-94.37940653973219,-45.075124421991035,-92.67584515043865,6.42403441940346,3.5213050295103576,-93.16060694940896,5.780137662400428,4.740877119966407,-45.365287843941594,-44.566767375237966,-44.45426290953564,-95.4157317851044,-95.38543629808203,-48.475009227109894,-94.97227214028574,-98.18955893605818,-94.49257744479756,-94.63765933196937,-46.22532131812091,-96.39420769505145,-93.97169222751792,-44.10106940933554,-43.71381035838418,-144.45027978754234,-147.32061795469562,-144.46216395789008,-46.38088289553669,-44.33842149534785,-94.2206975822214,-45.21354613004519	0.9970283884457635	7.343646950456774	0	true	1
32	9	9	100	0	0	0	0	0	-93.37401413058267	7.592079233393163	9.893173734536637	9.859193053579277	-43.6138832949729,-43.59261508008792,-94.60353926744348,-94.70710501205694,5.288948548842065,-95.65548688904381,-44.38586287124676,-44.52206025140625,-47.4970692234503,-146.78249915550563,6.379709771018982,7.243141838588979,-43.664721739658745,-95.74893430025624,-94.08747856361657,-44.54388654546386,-45.621089826597895,-43.809471227273924,6.191521049431089,-92.81470362050428,-42.458482942834756,-142.59721103466933,-43.364095333091406,-43.81499809465321,-143.85674313912213,-43.2903842083243,-44.25713161263179,4.407472383484116,-46.428859325924456,-91.73270351960481,4.279230428743365,-95.68695906677854,-45.537282487691705,2.362788305169616,-95.73708396828266,6.499568135516769,-42.65088118058998,-90.39410851485626,5.238103922443638,-46.49384331678747,-43.493626093366736,-43.23448549819795,-47.58627657789071,-47.4541281792519,4.433200169818107,-50.58799002927583,1.4240565703339536,-45.503727874371556,-43.74954080936335,-42.40332256713556,-50.65632434036758,-95.57763603535963,4.34557932109777,-91.3806489754043,-95.49382080830759,-45.73027695996898,-43.27410511093744,-94.46335307703671,-142.7526685473577,-94.55444229851688,-43.62686528495731,-93.55345432666995,-43.42580897703135,5.427765771038776,7.592079233393163,-46.51993341682137,-45.66724329914036,-95.64175266747837,-93.80558023580853,-93.1299315179527,-Infinity,-43.1832073460553,-144.47419546207166,-43.827610896155825,-93.81353002712642,-42.79891604318473,-92.73253448620035,-43.34400535437915,6.166487988581659,-43.70923851120362,-95.63387899333891,5.260544067294534,-42.43051490349448,-96.61761374029112,-96.31929328141946,3.25520434930219,-47.431379501695226,-43.7708223390363,-95.37917802179246,-42.523274595431126,-93.58156335814836,-91.22637459832454,-45.581183518647656,-93.72543864128822,-90.42347185775728,-45.464943924252466,5.481918386279772,2.4454054068696944,-44.402152611612415,-93.37401413058267	0.9968506590827672	7.592079233393163	0	true	2
33	9	9	100	0	0	0	0	0	-44.89686141648502	9.084782297610001	10.633278717479032	10.633278717479032	5.886917917597753,3.29229823235993,-42.14907150742865,7.139982013394109,-42.443629111033644,-93.99732500536291,-44.091761552879746,-43.94560895435233,-98.99432687160245,-41.732660421288614,5.508618481039903,5.15175268566653,-41.851802755869166,5.950738389525794,8.635153646363756,5.347826806994439,-44.699273439548534,-41.83926052423817,-44.096288168222024,7.367100335191894,6.49418667490375,6.851411360641963,-43.86639579650358,-143.92010855876188,-94.18564196534592,-95.02374857064089,-41.24277530334117,-42.20338261420896,-143.65670549996656,-43.10626668883297,-45.08058298651001,-93.98624419749736,-94.96621627079476,5.3241153333718625,-41.768055989717105,-93.74985240537961,-43.103743314819255,-44.78593155995551,6.973021451948786,-44.11247358886236,8.266778725133669,-42.83675989297124,-144.96126835351808,-43.79996991924612,-40.03435320655845,-41.02284378137658,4.103991257566873,-41.049316714931216,-Infinity,-43.193197420529266,-93.8630683733758,-44.45326870240732,-43.017792453447065,-42.86354674202661,5.06276308113184,-42.211086830929204,-43.92654851661066,-43.17866089748432,-93.9719070070178,-42.04956631272876,6.900603066889387,-41.766871809986014,-40.85881365058219,6.140251052027805,8.315127656110842,-46.018601883958446,-44.06153687698355,-Infinity,6.8831316087084,-91.88904138373708,-43.24383969594094,-93.88170018794975,8.286210446622562,5.224470110028475,-96.99429549795805,7.040750710446845,7.134406242637642,6.826719765745063,-95.87887967745024,-45.94207990304361,6.089681709668157,-41.00123561717657,-93.8567602829993,-92.67069255432646,-43.04683236821749,9.084782297610001,-92.86439258399906,6.15789839687254,-91.77245615316099,-44.126260210462185,-95.6436926301378,-91.83758843020037,-95.00036456405303,-42.76304910163092,-40.91239540063485,7.166918529190937,-95.23701618944756,-42.91978976930513,6.850687504435492,-44.89686141648502	0.9968506590827672	9.084782297610001	0	true	1
