# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: beca46bb-80d1-4184-b3c3-edf103c45076
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	100	0	0	0	0	0	48.91310390509932	59.542103436404744	73.96929335704921	73.70017343321511	40.99267892643866,45.36546477896091,45.110432932012884,48.85535374285037,51.994037042905994,57.092203248437464,50.98307309977898,51.12890244452767,44.24134408641123,45.56014074169936,49.8670138409431,46.95961260753161,49.27858215390827,45.32936988728035,36.79979269226591,48.39883114967506,55.516833105531376,46.05351448995469,42.92398294604865,46.70130701906494,54.364404113520614,48.27289237928373,53.62424535111405,54.869865534094295,58.32160159290869,43.067774385636554,40.88400289590153,58.91105661558666,51.804691992548854,41.07593577440978,45.18259387728661,50.47388189846973,42.69018004732214,44.963117687566836,52.110524563264676,51.867258007121904,51.35470827745377,51.1298404944568,55.986622503465476,51.4463771487255,39.49775662124322,48.65572987577112,38.7358920667945,47.8778127332059,50.697821483988434,59.05903134953842,47.62130478544836,57.3392429039431,47.648539459098274,22.729855243319996,47.11746616352211,55.2908574941412,53.514709721052824,37.56724447712253,46.65009185843327,52.483629651040154,49.303298734898235,47.5623355306849,51.012463790787336,57.34751175139563,50.45674070362361,44.94809884750988,57.25856260082254,37.950095682534055,46.520254807333764,52.16035072650763,53.88456101804931,41.08266103655969,54.65577136146496,52.55183349509693,49.7657877099672,48.113205957860586,52.145789380481645,45.575168624343036,49.920548791482034,51.167294560196495,55.94277131432105,47.6631513986875,57.00671504232776,54.5635712008144,45.30897282461686,57.03881386600078,59.542103436404744,53.600769021503396,51.15992887495146,52.89521960818766,32.392736130954255,54.772047564580944,57.30249765927681,49.359538989434064,45.49415884289088,40.20643629453498,51.32490148300455,42.132433583445,54.758571101342376,49.430783515748644,50.75601369626497,48.51747459707751,52.455561165395274,48.91310390509932	0.9964998428144262	59.542103436404744	2	true	33
25	26	25	100	0	0	0	0	0	45.637067033072285	60.082536756782545	74.71019565500679	74.84933193749164	50.53675751589577,43.206210808147304,48.96840872815491,52.799926147580926,42.730557681022944,34.82277792928669,46.9752710305949,52.30509894373605,38.11587711003476,56.78465573580285,54.41644435559373,46.50529595008901,51.45070454986103,40.584648426774216,51.33838848073759,56.0978850912797,49.571477440192695,42.41150459706404,54.732523649061406,52.1123264451138,48.89374000286235,50.274480255491405,56.78208080335836,46.206111645957314,43.21681078696203,49.87666435127103,46.123249737982206,48.07932476377566,40.48930185577224,41.6348630207801,44.70578338687681,46.489460406245755,53.67164932796805,56.13997953928216,41.475282523840676,41.298954477465315,49.02819687245098,45.340051336423585,42.08496026709761,48.50627847694878,47.66301800894399,51.896701468462695,35.90238891789828,43.11523768162515,58.099958445323814,33.42320521486087,48.385747252267564,51.976747197144675,47.198277449665106,46.050436054978874,56.97381875099388,56.43305675868523,47.388250465976355,52.49057782797537,57.86203501465708,46.347086262980966,46.74726785384183,53.13665300335297,44.92609013858004,41.518666915888616,54.63682841878365,32.14963223279971,52.10609842106254,55.81039959191793,47.81459862678413,52.22230409805528,57.335330762155856,48.01344509886357,44.562545705560424,47.77547496765808,49.5330558898146,52.99341617211414,51.99510078790615,38.59355907098043,47.80637785169631,44.96939818628111,60.082536756782545,54.08826553692656,51.38663752874241,40.6247518427448,56.0742693941857,52.118954434735926,47.886385693899726,47.90629866470155,46.552785061739954,40.534676375872024,53.29446150336697,41.612168483990914,45.57868411315019,49.51558560953065,30.89260319585323,41.781749203687305,52.91795373639042,47.36317401108052,53.7692641530194,49.10706761756236,55.482052549106875,43.38806558627397,45.839552378019356,45.637067033072285	0.9963026663059927	60.082536756782545	0	true	10
26	26	23	100	0	0	0	0	0	54.153869566572624	58.94416692723346	76.05448971275474	76.07674661245598	49.03378456363525,44.869111288052736,55.42702073743209,49.24645439788111,52.78233326038599,50.66990682798499,48.218028993183104,47.901249514425345,55.410955706443076,50.379271753888254,45.874626329755046,50.64533224521465,55.31639952771795,52.585573759624396,46.80932786856371,48.94698517966021,54.72150914696891,47.12538225719682,52.0576505925731,48.3826747755416,49.887476479475616,51.15423107576528,51.92887289848481,54.046048711536,53.82673887633317,50.332804414809075,56.2747922756039,44.11902540626493,47.80232368849029,58.564449990446256,44.06912975102355,44.53306242409248,46.25908488514721,53.627175278902236,56.07185706763661,50.94180159896809,49.73694065889688,42.327724798475636,48.65236560161111,52.277770190479856,50.2478646128075,46.50245208690366,50.349587401549634,46.309855988635604,57.352366725305856,49.822304864655536,36.12728269311893,45.26200882035113,45.463940575228044,48.636009290898215,45.63844590730224,54.65557993126171,42.085957403747216,48.817910089905155,44.688175232045495,48.60044114858725,42.780798998139886,48.13967088479312,45.047042707799555,51.00296149003133,34.08148762237207,48.72886738094647,40.76386140989202,44.547122826823376,52.74954426454795,40.23664446973363,50.10657129796269,49.55863363845157,53.47966446192718,50.26788764073704,50.24288362220164,49.54792319530932,46.133340041085916,55.95163682246878,58.94416692723346,56.209024369223116,38.080359658173805,48.25433462760206,52.4528223391553,49.68080702684916,42.98013441784777,42.20540453862901,49.48500350972194,49.45509306682502,48.60136952344402,41.73061755325952,49.043713638888676,53.91581243381757,36.417104323004196,37.52155496882001,50.1559124077705,45.17866878596441,44.88080336732475,42.8037716249021,54.69912343391948,48.0127896401177,41.964656358064346,45.30897363210715,53.749709109765746,54.153869566572624	0.9963164840145927	58.94416692723346	2	true	13
27	27	23	100	0	0	0	0	0	48.9818336437686	58.355216688877825	76.169040997069	76.25088240584478	47.67724692474864,58.355216688877825,53.77361656356589,44.55126797115051,50.244959147519154,43.457332776559994,49.78132417427211,53.59550934371572,49.54007029587888,51.10442398933097,40.13787523223294,45.85001842027769,48.776833992251426,44.12026175272155,50.83256543280726,33.12440730104361,46.323957167303554,36.15871206042172,37.90049816484927,48.70175986690447,51.89771517972317,48.8221437611175,42.54285253236738,37.167463733658764,40.83714846487767,42.905166781406066,50.96744235738015,42.03484077097956,46.646780942780836,49.458857246394544,43.37748459852312,46.722135314165584,46.589188938997594,43.499975708838676,48.71823101242317,40.115482591129506,50.04441037101407,49.008887769533885,44.823770856118784,39.21523986660611,35.67323833386117,53.71155086539739,44.076315483857876,31.81681075184962,45.94427743824447,35.539229094739554,44.70114251612596,37.49912476938543,51.315072821696305,40.22030799475747,36.71521100990037,52.6358682167061,42.9778837771584,52.27550795560062,50.668094886642024,34.79589698205777,51.80751876660188,40.40237541437777,48.49910975092813,43.2105887867269,46.679563222183276,41.68756865224056,51.235093215837445,36.64892206073685,45.98046217199437,53.74541438245987,44.78900287178671,38.9658400375597,51.47234916709472,40.01624238272676,51.03333516947591,42.84127665670993,41.00889624637789,26.72095067130163,36.887087810845784,51.08194804337445,33.26179203788898,38.55606024618402,47.25429903810236,42.68907396212978,44.45676933445972,42.14144801831559,48.08279084166495,58.10531238158854,40.04429735208085,52.65452630523878,49.903806327243565,44.09132233366812,51.280842980941365,38.657671193590744,46.56351590285546,45.48470600652856,49.800012983950865,38.80463139575865,42.36780644680256,48.279128867131476,43.56619320454615,43.44743394492366,48.53978887155114,48.9818336437686	0.9959930472799584	58.355216688877825	0	true	4
28	27	24	100	0	0	0	0	0	39.84711130816939	56.36018915371709	76.65524283649076	76.72863374336129	46.74228782666822,40.45218874219444,49.76913295693847,44.439250497238596,52.82224276486481,43.76577022070909,39.23428113599705,47.754017093736955,37.8830789727636,51.26289238297949,39.01906053411331,46.20709533633267,36.32916439356126,40.49152634915977,55.2769531026642,46.18663790243086,44.93827127652389,49.36153126406158,49.41016416224049,43.36368856870048,35.00504001689099,26.608569049162824,52.34962347306892,51.84454532821902,37.45654951361074,35.602142208644324,53.29191498252138,39.36854130586184,55.48130764051085,45.16428706924259,29.335983844222582,34.39978474630153,40.05629223278568,49.92052291944955,42.73024292017499,45.029612100789365,47.079214325785095,49.68461869592856,44.17480327257472,36.77531832811106,47.524098196632266,33.00942650767785,44.53941278116886,45.153216990409135,42.34811203574613,54.26468271698542,42.4847276878853,41.56212718803183,26.22424474148764,42.771897907565844,48.60647602347896,45.854448413752046,43.43270449877315,44.0487670227907,34.7072754537091,40.571214754609386,48.43550966389864,48.3956105629805,52.11117367458354,35.222748425424086,51.33110186699915,48.41735432463574,37.91877397030342,40.77142174833962,40.94664945665396,47.12716856246308,46.79342369326072,47.09450529146767,43.3388270910678,44.286101556767534,48.2441527878076,44.57183224844967,51.779699843748006,43.170013615245686,48.613778621416174,48.89724336686477,47.783570249439954,37.38962758225478,42.24422838282985,45.67274601386676,46.65332012192019,56.36018915371709,49.87818001356244,41.269387480983895,41.93051651997551,46.61558130056308,39.553130024981286,47.431323634227255,38.639001874878616,45.37012034611111,40.81343796418163,49.14214634380028,50.83136943652909,47.08728796158725,41.652053892432946,45.04597046855534,32.391913054247304,34.12576852283581,43.604460813378026,39.84711130816939	0.9957084682814134	56.36018915371709	2	true	4
29	29	23	100	0	0	0	0	0	41.30993016181013	53.0353128115657	75.51601544711897	76.2222770477673	35.43330784983388,30.450841925954578,42.239959455076615,44.9863193947793,45.75419080721399,30.425687003825278,50.90262074178172,8.270726903265986,32.526172759781545,38.17771099283544,29.776991276569788,36.71698504231941,39.589155525169375,42.57247881117026,39.454378982416856,29.976055283749716,43.896249054820366,37.61169115854405,39.48797992128354,35.473102670069785,46.229526539389866,53.0353128115657,29.610118042909107,42.54013730247769,50.816791249052066,50.84343367502728,33.422109991193636,34.73414724275518,33.54612047163862,44.08497308523256,39.10744980253227,37.55270481359058,39.64253840694634,33.26682377977568,39.19936181385508,32.44733311190356,31.114963438186564,46.18291577486171,42.34756905445349,46.68138808408793,25.887359023050227,27.891229444676274,48.75784462274444,45.64782179949825,38.964062029540784,38.45803671652661,50.28254528107106,29.100900219753658,45.16163424479922,32.43726724253994,45.41126796326577,42.94293161096826,52.13294583557811,28.97157545596744,41.61210138809649,42.07711166731684,45.083295438845425,34.6844063618756,42.6682790622171,44.38588085508248,40.99039498154576,51.817636773742414,28.287591271184336,43.515285663260286,46.011724684721244,25.64580304036742,33.856436397932,40.21104227654622,36.7758560307907,35.839383496080416,35.50580365301357,39.67123358690358,51.14306525710288,41.41279682973646,33.57788659281537,36.58757229941651,44.86061427894526,47.31525645010775,45.93444848972203,36.39188675135266,44.8373098612653,52.01798571592967,52.310968356319975,45.18516954484714,38.08327178696763,39.61920299327897,28.4248124393349,38.28253763657355,33.108873850558496,35.56309178887719,39.11882380051233,36.9894964060299,48.28921612884347,34.15286548332091,32.3892343534025,49.280179398799795,42.54564066110821,40.349793491349025,45.48835141421333,41.30993016181013	0.9954055753357558	53.0353128115657	1	true	5
30	30	23	100	0	0	0	0	0	47.52451206233211	53.95466089347945	73.25647514053082	74.0243433896223	31.15004293273687,47.990446518678375,40.93024393536606,38.31746346556025,31.699109434019665,44.86816380046876,37.92420522498661,44.75243792023653,34.35831207115173,42.447392954527416,41.93317522928892,22.155195205944445,35.43506702293345,41.785500670692386,42.00365573870761,39.09967064972149,25.096972612336906,45.29748528318532,27.80020361192485,40.81738623301992,35.75482141075645,44.79125633118426,51.59656925204514,42.05128004849505,36.711156582598136,30.868591837718526,41.476393157240686,37.42143575329261,30.950981359856904,40.09765389566351,39.68098229776851,45.13674854384826,25.064132889856687,47.4824290380887,40.00065660964265,45.37164906332913,44.8703488251394,29.572134142249325,38.78353856461656,42.535855422683376,22.507935608954337,36.08989458417561,39.421067104112595,36.147486349600655,34.922448600066,35.9212076418868,41.095168340213505,44.91340876635738,39.447834868484165,41.09298690983468,41.97766102843937,34.60407157805075,53.95466089347945,47.90124704491507,42.54742206908795,33.54997323708288,31.08101702434365,34.99391117777394,37.052186972292546,44.58129737032318,36.59523806674537,34.003855171636516,42.111314104406176,37.97747792304264,29.18552577286488,42.9189983766938,28.981586634664982,43.10798466347338,44.65553638543316,42.26887617762327,39.21602667253852,40.82931199509059,38.41740002878697,28.09848380789885,38.779751874236354,32.672716001988505,41.071479594859085,34.060208781564,45.64884423004676,26.97958822106264,43.98188791499078,40.74832924760538,44.01772790080566,46.11526573508975,43.556687828898944,38.259388012443814,40.8637216006794,29.009673483985793,46.5647231608866,29.707372142092503,34.058341224225245,45.54800584145539,31.770156838502125,39.44077989498247,38.328870896020575,45.88903404981584,44.49225866451137,36.0951184808083,38.090429039698414,47.52451206233211	0.9951742932132387	53.95466089347945	1	true	3
31	30	23	100	0	0	0	0	0	44.15725827746703	57.779649011978556	71.2736658867958	71.71027289093209	44.12474751440286,40.221016430933005,34.02146443749504,40.784887390558296,33.43643022083339,20.92062471523412,35.922152462353935,32.413391697931175,44.39164000681963,33.496553921331696,34.084591637316635,43.340307222402586,40.84635415000848,42.471481305523,46.56497087601885,42.022488993981874,34.44436430737512,29.093815577781513,46.15656557544022,39.53109094526642,28.888037152993945,41.433730117951356,47.97584985863381,45.273013723147784,29.27379184161032,31.121669532243335,47.9363833444732,31.748930809934233,43.07355165456076,35.12335065959246,41.172179744452585,36.0718424066237,32.37330988170068,35.614251602501966,45.84431851828373,38.78583053602813,43.01163086088587,31.018109765575865,37.50335393873764,57.779649011978556,30.79869384735536,28.896197864298184,28.900198863089404,32.83392878037178,45.504329418803536,31.509883731298757,34.4062356327846,45.0954195471613,42.89592444938404,35.00926479444834,29.022142692350947,35.04369764462636,32.87471522098028,34.198560283705014,24.06152085864504,40.67708450460993,35.331080707187326,42.90291897329833,37.82231974954109,45.34185693002105,38.08829678934021,44.18197729223672,39.45559345731718,31.005122069431238,32.012395886164896,48.247333210887035,44.23518620585516,37.170516879360115,38.67691360625843,32.35912174176818,36.41597212315786,44.85535181946607,52.99828687382209,45.397829983157756,40.39002126892833,27.244408156405058,30.18743357598052,37.16554877632596,47.140487533132685,52.616701659930385,41.71407827619084,40.42797382943002,23.83143690030416,35.275678032166354,30.295899351010494,44.05080782298557,34.69655942875687,37.47064486003414,39.704872722101655,47.14840685924487,37.50132771346635,39.21250953399395,37.152972946647,35.42722045214268,37.47341791794249,46.13033943923235,39.17438220984411,35.53651641346352,39.64791792368952,44.15725827746703	0.9945102755499668	57.779649011978556	1	true	4
32	30	22	100	0	0	0	0	0	33.23530414842695	49.83687212751361	68.26840226420998	67.11606645154917	28.670109674224232,34.186424827706475,37.32064327568665,35.49009085545724,36.54219279477611,28.029348531809163,34.14777669032463,35.193293951206954,38.16604344732794,22.072841693955088,38.23353571134996,41.653664721054696,39.514870714331835,33.76970885069812,29.96170650656359,31.603072529164415,40.35600074125505,30.79847219903492,34.95134308743418,14.813136828300618,19.198487796513483,30.793832072138073,39.23447673411006,49.64534801042714,44.26507315234093,49.83687212751361,36.40067175724529,33.05376134254858,38.65661201928876,25.28959261843528,42.684745089238994,38.63164906139987,29.62334951941637,20.933984909226265,32.48599297356766,40.28843048216238,36.63745053541561,30.514706122681574,24.079269309058553,38.77011425589036,33.24677375951546,30.44728439690536,32.26075461603761,29.329526444802983,32.07900906251365,23.25631142834547,46.09668562484088,27.052625006208743,28.05808801100082,31.650417869777055,23.176457428293105,40.16287502816128,34.486626556563166,30.716077945929158,25.51107241109267,24.920531027818374,37.69878935383721,36.70657569025357,35.49269961373292,40.13549877963686,37.01246551385925,34.22220573807992,32.56532155906443,31.586179975935714,33.01302145385375,27.719950064258253,31.37244140100873,32.49670181044945,34.73484802247775,32.45677273496991,26.156162930884733,35.67442290917002,24.0245887379873,25.485831524409907,45.48824534654797,32.62727679476034,26.85263175022074,30.770492135254173,18.572211924692112,32.05867682765986,37.503117321752306,22.556038551991882,44.69488939464705,38.925175167721555,34.50444001164435,40.9828170519526,23.22895191092825,46.908704721341124,35.855018478761366,41.43994530980499,33.77216662342289,43.89050169902571,34.67778822503757,29.61541358072037,22.359638808843673,39.71285647572943,42.6624191008448,25.282386786962135,33.61535854912827,33.23530414842695	0.9940587874046835	49.83687212751361	2	true	3
33	31	24	100	0	0	0	0	0	24.021057201840083	45.7635341427884	67.69424799121498	68.07265191323188	38.55057772489441,45.19003635654638,32.94593060195294,31.188283116648247,17.19020799192195,19.137380154501813,28.633586886708596,17.739691741365494,29.391388586619655,37.51797291817999,35.22877794764573,27.01372537112041,30.053185707168225,37.82870043682746,28.355265269445123,16.01501182886664,38.1608828408753,26.07897323654068,43.44002203813209,36.82119920882641,36.191642358941834,36.824791202493344,41.38708725938154,23.93285886988854,33.26693249712317,25.273704815579045,17.48090060727415,38.42405926062818,30.697410362866645,27.7245186722115,39.40079769269448,36.06204621213298,37.11306527525616,38.2554820552123,41.69392088006394,34.00595560280132,38.18903298769287,41.48070368063005,29.605593437789555,24.957876811151117,23.590406522715675,22.871202068875306,30.96330893191754,28.180895170870237,37.83140715076067,45.122040498170556,30.384403935179595,31.263547996893777,35.29274679697468,27.542915780829947,42.042608723376524,34.209299603604194,35.57770423436687,41.64081640025367,36.38576715304228,37.844722126144326,34.29018212556532,38.964864311061696,26.067700332230817,26.279846874143505,28.19931094238478,37.81065296746214,38.17714774096049,38.56452648565484,31.036620813988634,32.391568285351454,30.409918907553823,36.163828724578146,38.26347850700371,26.672380182819968,27.376790828413426,35.01554847567499,35.63552305574088,38.739234874716495,32.11497967195083,29.838062145892387,38.23419170596151,29.786669652155766,38.821867510391876,32.874090054903974,43.181689238195865,25.545930658239143,25.547035508316327,37.825687275563006,45.7635341427884,35.443778315292036,21.328800390065528,39.4099736498996,33.62898240137011,16.607356028040137,35.405031387677695,26.83361169084697,27.57252720247787,21.06913321617449,45.553033162019716,34.64183336431914,24.284507216719124,22.506921915798,36.98200399684881,24.021057201840083	0.9938536785079798	45.7635341427884	2	true	12
