# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: bfa96704-e508-4e2e-a8c1-01aa93d61e93
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	192200	96228	769824	0	0	1.610634805736866	1.610767940396698	1.610763138477239	1.610767940396698	1.610767940396698,1.610763138477239,1.610763138477239,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866,1.610634805736866	0.9991239280309399	1.610767940396698	0	true	231
25	6	6	100	192400	97416	779328	0	0	1.8628999147769252	1.8630105435185225	1.863008923058536	1.8630105435185225	1.8630105435185225,1.863008923058536,1.863008923058536,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252,1.8628999147769252	0.9990443117099597	1.8630105435185225	0	true	100
26	6	6	100	192400	98208	785664	0	0	2.0491747440146377	2.0492671702481973	2.0492671702481973	2.0492671702481973	2.0492671702481973,2.0492671702481973,2.0492671702481973,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377,2.0491747440146377	0.9990443117099597	2.0492671702481973	0	true	142
27	6	6	100	192400	98208	785664	0	0	2.210560935817919	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619,2.210638520869619,2.210638520869619,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919,2.210560935817919	0.9990443117099597	2.210638520869619	0	true	69
28	6	6	100	192400	98208	785664	0	0	2.3600436637613798	2.360104619773708	2.360104619773708	2.360104619773708	2.360104619773708,2.360104619773708,2.360104619773708,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798,2.3600436637613798	0.9990443117099597	2.360104619773708	0	true	85
29	6	6	100	192400	98208	785664	0	0	2.493403655359946	2.4934496526967784	2.4934496526967784	2.4934496526967784	2.4934496526967784,2.4934496526967784,2.4934496526967784,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946,2.493403655359946	0.9990443117099597	2.4934496526967784	0	true	110
30	6	6	100	192400	98208	785664	0	0	2.581332809375008	2.581366414144406	2.581366414144406	2.581366414144406	2.581366414144406,2.581366414144406,2.581366414144406,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008,2.581332809375008	0.99887542860485	2.581366414144406	0	true	59
31	6	6	100	192400	98208	785664	0	0	2.686807643420834	2.6868295361878807	2.6868295361878807	2.6868295361878807	2.6868295361878807,2.6868295361878807,2.6868295361878807,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834,2.686807643420834	0.99887542860485	2.6868295361878807	0	true	74
32	7	7	100	192400	98208	785664	0	0	2.778879199242597	2.7788930495935973	2.7788930495935973	2.7788930495935973	2.7788930495935973,2.7788930495935973,2.7788930495935973,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597,2.778879199242597	0.9987036576717526	2.7788930495935973	0	true	53
33	7	7	100	192400	98604	788832	0	0	2.8551586733049312	2.855174672166145	2.855174672166145	2.855174672166145	2.855174672166145,2.855174672166145,2.855174672166145,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312,2.8551586733049312	0.9986204224270916	2.855174672166145	0	true	81
