# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: bfb616c1-25fd-4f9b-9b81-ac12b95e124c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977516614149626	-Infinity	13	false	7
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	17	true	3
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	15	true	2
26	15	15	1	0	0	0	0	0	-1772.299453093204	-1772.299453093204	-136.93196617332168	-136.93196617332168	-1772.299453093204	0.9960817657423182	-1772.299453093204	13	true	15
27	15	15	1	0	0	0	0	0	-1767.347059748984	-1767.347059748984	7.18395217810399	7.18395217810399	-1767.347059748984	0.9960817657423182	-1767.347059748984	13	true	16
28	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	13	true	2
29	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9960817657423182	-Infinity	13	true	2
30	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-18.365808440831206	-18.365808440831206	-Infinity	0.9959128826372083	-Infinity	13	true	9
31	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9957029850637148	-Infinity	12	true	2
32	16	15	1	0	0	0	0	0	-Infinity	-Infinity	-89.6751296976824	-89.6751296976824	-Infinity	0.99553413851339	-Infinity	16	true	10
33	17	17	1	0	0	0	0	0	-1237.7515092712667	-1237.7515092712667	3.9789694839673793	3.9789694839673793	-1237.7515092712667	0.9953028198360883	-1237.7515092712667	16	true	13
34	17	16	1	0	0	0	0	0	-Infinity	-Infinity	-98.2042444257009	-98.2042444257009	-Infinity	0.9952902084353822	-Infinity	18	true	10
35	18	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.994648379526396	-Infinity	16	true	1
36	18	16	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9940067333913337	-Infinity	21	true	2
37	20	17	1	0	0	0	0	0	-Infinity	-Infinity	-85.78273970200442	-85.78273970200442	-Infinity	0.9937960681673625	-Infinity	17	true	6
38	21	17	1	0	0	0	0	0	-Infinity	-Infinity	-49.91651599477727	-49.91651599477727	-Infinity	0.9932970588020267	-Infinity	19	true	8
39	22	17	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9932092176544988	-Infinity	21	true	1
40	22	17	1	0	0	0	0	0	-2778.3205392519876	-2778.3205392519876	-91.47478267224139	-91.47478267224139	-2778.3205392519876	0.9929993200810054	-2778.3205392519876	21	true	14
41	24	20	1	0	0	0	0	0	-Infinity	-Infinity	-234.26801344725163	-234.26801344725163	-Infinity	0.9927861691316777	-Infinity	17	true	8
42	25	20	1	0	0	0	0	0	-Infinity	-Infinity	-243.14130191131025	-243.14130191131025	-Infinity	0.9926264612775166	-Infinity	17	true	9
43	25	19	1	0	0	0	0	0	-Infinity	-Infinity	-63.298428301337026	-63.298428301337026	-Infinity	0.9921817723221792	-Infinity	19	true	8
