# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: bfc70084-787b-4c09-8e4e-b3cfd37d9dfa
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	18	18	100	0	0	0	0	0	38.76041265030293	44.03424320180883	51.08329843045691	52.759189752358054	35.971049544703874,35.277859995431555,41.88717221928014,39.32922566951163,42.533623325696055,31.491970625907925,39.46070099813768,41.017459662052275,38.93792490585065,28.46845247348667,43.000921780285225,42.55495160833062,41.233773616374066,33.753933173297526,37.81230585473931,32.69770086492932,36.73580890283949,44.03424320180883,38.71658415614561,37.728890169413454,34.53756374204458,43.749681040274936,31.4020824907742,39.665161185492195,36.53304555816847,35.65888987670243,28.450896410122645,33.01912227097854,38.12011595341355,33.10116644202404,41.23124199166351,39.425178515291186,27.088820182395143,37.85660088040608,31.902852512786716,34.82213948095983,38.420472215149765,38.78797877150666,37.54688221105392,38.555770780478966,38.76159840560302,38.64386066065646,36.23269496025333,37.86239892398031,26.565454489502354,34.88335327898441,37.53964110828318,38.47474209934708,29.01161775615861,32.86419862233174,34.310817950675585,40.339069493547896,38.64934626964287,35.187006543332664,43.259823404337965,40.33565856725869,31.682930317262155,39.03591824590688,41.116575741448855,39.32050950767085,42.14332797559134,29.78099724949414,31.22745647842153,30.36540389466678,30.909621843325894,38.57482520874745,37.34834866302436,36.3042110917776,38.95420973640353,38.72114636888978,42.79236954752251,36.746877005163505,41.151656570269544,28.35713252282794,42.5751688577621,34.11867823155063,43.56614332870892,37.95039310125017,36.27632586249405,37.02422580224319,39.115699346684345,39.00583678200733,34.032193149494304,34.16800272308371,30.90801857137744,33.9304423168331,36.33443645287621,33.19899516436231,38.25238437903909,38.146037070647175,41.79292579795564,38.493648378421604,40.43945728198153,32.71404727554848,36.03215852063545,32.57262240595445,34.71119712084765,39.10506999623749,34.52069412761213,38.76041265030293	0.998213238680811	44.03424320180883	0	true	10
24	19	17	100	0	0	0	0	0	31.765726145532696	44.58471100463161	49.913876752967354	51.431068745043255	23.319912357060108,33.80545435139014,38.8251719434347,38.187643595988,37.50513300057359,32.805063984504756,37.54505024811888,32.48232060390052,37.689391224077916,31.276036761784727,38.347008324695,37.57785726399127,40.38340660700666,28.659525965542308,36.26614651675375,39.84345893414498,39.29741792330085,34.32317739490415,36.71506283428052,38.84687809820351,33.712393562210536,42.53749205906018,37.203388665279086,36.37556200187173,32.51895509398862,35.59037266379348,44.17775925536884,31.303938752139185,35.63930939936565,34.52761034497633,32.59905120422849,33.650081454145884,39.36385547317531,37.974811825314944,35.189361591339846,24.78601183739506,33.842790493212135,41.48141629978156,33.49841638278905,33.614205612949405,38.06165949660571,24.84249045647919,40.39421955111094,41.18756499248611,35.408899784830034,39.80320906398936,25.077898490657788,43.84986242428735,16.49670377881559,35.35509213668503,38.60796867691396,36.10999550225069,35.210804168359054,27.87189634758152,38.24807467976065,30.735460585391472,37.50421568903886,39.366418741885546,36.91630364704669,30.79656513604117,25.643502260382792,40.741698078109145,25.64591441463383,37.69505265516887,34.719807535692716,33.01791439571357,38.532837347891416,38.65520029935281,27.400138729885256,36.90225517342528,36.700342817618726,30.468111103475152,35.89801594543275,36.9693455525061,39.89304881600207,32.63191107586046,34.86285329325699,41.932783721873314,39.86086370901528,44.58471100463161,41.88273004144109,42.11203949721018,38.855145554516476,40.84512946395335,37.27930830061661,34.5507983142801,42.87112643970447,35.28257065368562,33.16697949746163,31.94508397288466,27.08580533976602,40.90377063244966,30.410977714367505,37.5878791952034,38.20830176529614,38.60557320016579,31.527472928267827,34.37850982701643,30.549298518624767,31.765726145532696	0.9980895738443205	44.58471100463161	1	true	9
25	19	16	100	0	0	0	0	0	37.55484180587535	43.40171114985998	48.82921436536172	47.67496546053498	39.24879670692251,33.52082455064014,33.780548056365035,32.87800696808206,33.736716797974346,19.3162851105431,36.45663983680368,40.768818899731215,37.56200710055785,23.942284679644047,34.41474785237254,34.26025150836982,25.338802232060317,26.06710102584151,32.630439809301606,38.34799219561896,37.755080186010005,32.03603898424021,37.65748503438631,33.30420906134732,38.009485651809406,30.239839718345564,33.52120299761914,22.995718311472316,36.185687430265624,29.991049631705625,27.57811496195671,38.352896985370414,39.92225486191264,32.91817004739326,35.0056866518851,34.26594358776796,30.55374381422645,37.941618421161664,34.74737387001647,43.40171114985998,39.67224420541799,37.39550452347396,33.60492494595277,21.051360080311813,38.52403021372142,18.142854700202363,30.449373304336554,33.041018557030036,35.39833005328322,24.904445490034185,32.19694618530194,31.854731152246544,34.97966775814393,38.74344753500537,33.559179886550424,36.070746338971084,30.580575563212825,36.10662361234586,35.39798382570959,31.092940451417693,37.72451077228482,32.36283518068133,29.916380652916047,38.72766321871126,39.3367591253687,36.450937706142874,25.531723898030396,36.11537664108059,31.39368459536241,36.52361090734725,36.703313132451385,31.059075828031325,33.923376787291396,32.261175853859505,40.595034278097714,35.535561421719784,29.24054826034312,34.24604451089287,25.937576959352633,21.65059098655891,33.06124345398537,30.179290848756615,36.74589138717188,34.29167468415187,41.96625667719868,29.761683827584722,39.23853075962111,22.64837754540761,29.783094347435647,43.17833526100608,37.561235552955694,33.5119951272568,37.392530857242896,35.1657512815207,38.35984173071619,36.75815426784463,33.42583747834889,24.810038127232243,35.947309859190014,35.287438024314774,34.094190185528035,34.80067090963447,31.134408719108656,37.55484180587535	0.9981032818885665	43.40171114985998	0	true	4
26	20	17	100	0	0	0	0	0	37.74699927158551	44.078732248037184	49.97378485377188	50.35197201727267	40.96222201623327,39.83046126675662,33.94994748760761,36.77546001861858,40.59774487471846,37.12007389080741,38.84876599317396,34.74137505409773,28.36820251919547,41.39436157307243,32.24162462965599,29.2621411155384,35.59113902091559,34.43757879584774,34.78943938081099,34.238780390361114,17.761101337079676,40.37773039053135,36.98577856236294,41.45089339662459,39.84132780049763,24.584571355615328,34.87195945956003,37.06354176641619,33.79371494489497,30.99034383221402,32.110423917296835,44.078732248037184,35.58112398808608,35.53962642899773,32.09413655066761,31.80355549841663,39.679008340617024,36.50216428402148,33.10580357667443,37.883267182282104,35.55196276968388,36.04817525414824,27.41727365262945,34.40754111254183,34.59635318206958,39.26405810420264,33.8452585737637,40.11133191248077,36.90032458587914,37.01075574981244,37.56670064845921,32.85995406762581,26.91229290835439,30.51509015043233,31.10504808714336,33.50831101537774,35.690438815261246,39.648437353216494,34.892701232945385,41.557441789437675,36.58867400992153,41.981524700024686,34.46031996985904,41.464433929138984,41.57117308629674,24.57705445464493,36.06215205696248,39.35118958876983,31.5744383311103,35.949524028087694,41.36240333384407,43.54056162269563,30.438239767253194,37.431732161591896,31.99650650652761,30.948414138423615,33.64163131797814,27.163586354882778,39.48295947860567,32.15333304404191,31.702621724074408,34.258567705625616,39.472333181249475,34.91554016845123,38.23072439760649,34.236071015439464,38.95092283809524,21.049469978390512,42.1928677098684,35.33540900249763,36.152881318478165,36.95934976003082,33.843682053726525,32.7884478133701,32.45190266910858,35.247196382309724,37.52772573520166,31.359900101065477,34.389914539575855,34.42602074829322,14.866445866201424,31.548438898004875,30.922380728799244,37.74699927158551	0.9979834187496802	44.078732248037184	1	true	2
27	20	15	100	0	0	0	0	0	35.312257583861495	43.9398270097469	47.55733177793187	48.15412513304057	34.94737501733629,34.62737529615161,28.91529203409042,38.79801062985069,31.304389128351204,37.171853962445134,36.65059888286981,32.440184685584896,36.491595199415265,35.65231977997201,36.84137835534518,27.040725917558838,31.363552981439852,37.44156351396079,40.30758509989569,38.22570745758914,28.72502258278343,31.05623158815399,30.64580388104526,27.307761774987117,39.18943477810368,27.3420478945302,34.130318588538685,30.276768461596745,37.57492882049864,38.55044784337892,35.355396035050674,27.989217749831585,36.49597115582714,42.91774305689373,33.82147244354245,30.912168643991006,36.90260962810362,31.26097005600932,32.87156356505124,32.65661682392795,37.0066127691732,32.51960401248266,32.40612485663303,29.621495912786543,38.063523337943,34.09244523707333,35.74379315915204,23.573696028520892,28.601204486421288,31.702292946263814,36.10284585820639,21.655272826864,39.08743923584605,32.309697130253845,37.28298479296157,38.90750723355291,37.152472897410505,27.94391471774323,37.68807333723054,34.532475581748926,30.336383536635015,26.746477607109686,36.04654490723253,28.969125657675846,25.955274739504105,34.006795999308466,38.23897462879519,40.188919677905176,33.0693374502741,32.5423701103597,39.666906060882084,36.9995119173604,28.220663547309837,31.790406312546416,39.43435878144882,42.127585189713116,35.064043745457525,38.56439015181514,25.67687266301859,36.74213440161098,30.069282325932036,28.218166881156638,36.9707381129683,39.476501984167285,16.16148223469866,39.70992458451041,32.16384182465641,29.9874743216966,32.35738324615447,30.756598383242988,37.11691620965502,34.01546075963388,34.54344900500932,43.9398270097469,25.206788769168117,19.646586879385495,40.54810066973029,22.324232967757943,36.313405605426816,27.8940659703496,37.74742354352925,37.42483527329303,37.26355702070583,35.312257583861495	0.9980209239587369	43.9398270097469	0	true	2
28	20	14	100	0	0	0	0	0	23.40590033306902	40.090895572133995	43.384936108285586	44.457966781137884	30.64464540388302,28.196018447261924,24.168131315113442,36.961351949868146,33.263120726491834,35.08041584691799,36.6808865533331,25.68318686666844,29.266409445240843,34.8138791277603,37.997632233888815,33.03974336051179,34.51224088965041,19.190169457075914,32.188002561541836,27.178565659307804,30.120875949433966,30.784739263921903,19.43818639957479,37.35262967219056,37.08101482250471,31.957281145485446,35.73415798665847,35.87715234252711,33.518680939627636,37.93488921809227,26.369450887909768,35.65341823453406,25.653736935702522,33.858456705903,34.67050083186257,34.348469082187925,26.799842891291025,34.68286952256385,26.313602945564114,25.150491000010405,31.928578741824722,38.182823683255066,33.630465148409925,32.523824781284496,32.9368337239561,29.92638401897298,23.83216568139598,32.56756290056266,32.45026198732938,29.12598699347181,35.5293923584348,28.882952231455153,28.809043419298767,37.25576522991939,32.57321446023927,36.75697925720769,32.158611309201284,29.89815673798769,33.329220994421604,29.99647760778741,35.35549039434727,34.487064872276626,28.971573963345197,26.9665841334374,31.6034018594914,30.874292553384308,22.183294147752406,36.97478610010265,33.1983544437214,25.394919005323317,37.19626686935109,27.718818218329673,34.93812050214736,31.456727538028126,35.586700239763104,35.76511373768279,23.26972112034794,39.94897672399294,26.556401702277533,33.51200453361909,36.23147331237478,32.785338103985836,31.184514144393546,20.19265437953441,31.03694076595637,30.15461860890479,31.743377024544134,30.522286310618036,32.759508172623,40.090895572133995,32.28540496886786,26.774014257540188,31.225109068409992,21.301779779431627,35.30002886856166,30.310969773511456,27.542591626329436,19.407648130625553,37.589592366894514,32.09956815477547,25.05994808424355,24.85167531897745,22.869726845421127,23.40590033306902	0.99793670173489	40.090895572133995	0	true	1
29	22	16	100	0	0	0	0	0	39.6930183793947	41.10767458286803	46.84701552299372	46.751579851001885	31.599245938504716,25.602708667290123,34.04023453220399,31.102094451704204,35.19758121267633,35.072086409314096,34.357684187659885,36.09520875845911,34.97058308646695,30.084650575178333,41.10767458286803,37.168993852295614,32.560525260478926,35.0882382227488,17.149550685016457,36.97294849578927,36.681028792315715,40.968538239134865,34.55857264061555,33.01734205600772,37.54256890179134,33.85030119189156,36.07204665579266,35.55388232890012,27.333041799193623,34.5319521778396,28.118658784772688,33.081261111240536,23.240934969000318,37.97273266610436,31.66780528965444,20.899723110693074,34.73001617402993,32.597204643228714,35.13402337574348,30.830661917176386,31.80196517857819,33.33752537984401,30.30722962960009,38.18899318011394,36.877337622130156,34.68803606718072,31.926249689464246,34.05263461973039,36.95911286834367,33.74417526582471,35.21992311797058,38.73517592712564,30.806014629229917,34.57101047413451,30.905763483441614,37.476429036989884,34.34686387480832,36.93513376289554,31.00077884743095,36.4573938220676,36.03582609880527,38.27257293000529,35.88740438913026,33.69744078405293,38.284387364602004,27.209019694323754,30.702405595530596,35.85333613447023,34.33384054418892,34.98183541935606,28.56998153266426,36.248152527240784,29.6730844180825,31.410338639007136,39.2098293142704,33.94158772888884,25.54100245158691,35.01277136195411,32.9024359402149,35.76339157786365,30.541600683900445,34.7211731375585,40.714123176698216,33.57763062934795,36.12698481440803,36.711504824487264,27.788379217931464,36.84148613253573,36.76322312824484,36.80734969509835,35.77052976481049,32.22864831941685,30.555456502041682,30.63804419505887,38.367939444637486,32.94040968144522,30.522362903183872,37.39299920145842,38.710700594949515,35.000915868468944,29.15692546420824,33.90416364513431,30.1258313939161,39.6930183793947	0.9975884077466899	41.10767458286803	0	true	2
30	23	16	100	0	0	0	0	0	36.00239680890252	40.13860730288928	46.30797557230324	46.21881567709048	32.31082679740041,30.25745965956596,35.1269191888971,39.5512858638381,33.29360365296139,38.54127926610157,30.646649495346523,35.691995385158485,34.85686599774926,33.677861275526936,31.647811246226453,35.64225643214504,35.96105135537336,23.30261111454346,36.47270532994018,27.288010322402105,31.816758361055005,30.86136104619295,32.27868423632282,29.09579495558379,31.777505814600673,36.46463846796182,32.06834779565901,33.7557793620297,34.327238793541596,19.842355999076588,38.137192009200206,36.918625352655745,31.9538660899591,35.94261772550328,35.45220985304211,32.988872057367374,39.013397590719315,25.386589273675064,32.605551406830315,33.67359223829263,32.61174857916404,28.315834408002075,38.6918483807753,38.170210615660366,17.026869499179362,26.350741655644654,33.85783943445656,34.98896413616163,30.64469623858712,36.27100569172382,37.888511805874444,23.963133505525455,33.93067212273449,39.67204058168853,39.46115250699219,36.86888145049535,36.40498853477894,33.82752825359338,26.637042508097124,26.88202760105141,34.27622213684576,36.42523130178059,36.879526453022436,25.80306293816983,22.546861988911523,34.6145277104236,28.309712739730283,32.01225228823904,28.308407470343994,27.669873176553725,37.33391451092022,35.86927241983993,28.589885808476126,36.81195816900404,32.63892155933429,35.588160208019005,25.62460697589072,33.85795341290778,33.15469520083799,30.95433954262645,33.180686723383744,33.40637459544076,33.93607643889305,28.171139131077158,37.92976084869079,28.4868482824072,33.73759599782771,32.5707485450224,35.054377611506006,30.73651877731497,36.577901049810585,35.54673646891358,28.908425024308062,35.69575302139553,36.703083280317784,31.05250258864194,38.95639155485602,34.8705651234517,40.13860730288928,36.108232134894514,36.19833430561577,30.364618292514194,32.11437841657143,36.00239680890252	0.9975368655003253	40.13860730288928	0	true	2
31	23	15	100	0	0	0	0	0	22.711994624029536	37.61527316099213	44.66637373333197	44.60800114298334	35.590826622261424,24.23159577838074,29.51457076088659,32.172205438702576,22.64704843216226,26.89364539463507,11.26742270682642,22.903846462573107,27.300443253020024,14.822070338122794,36.97208580589527,35.94259573888591,22.970485564594075,32.511922779482944,30.461916500869158,27.093477099341136,34.17336063445947,21.732622587368326,27.739895982763116,32.15082985227896,32.39679253700973,29.788204090860287,27.126470758471253,29.97675263941086,26.62972128121589,37.09424912573608,30.684212402927894,35.65836509142738,27.38815646071812,35.19796068610563,15.302277516142684,31.558234282789847,31.140429550243415,34.05336692635775,37.09096458744441,30.894909615170274,33.16138065867683,31.08862256814669,29.580909539957023,26.413084234466744,34.61317403194541,31.897148103540232,32.43261644671343,35.6736449097095,28.654779918075203,20.922506226135823,35.61368663837602,34.53601189016573,32.896023271667914,29.486407140168243,27.055416657470683,33.15733786831707,35.05864820285039,34.917277732501915,37.20286562609525,19.742300602199464,23.696819830949362,27.434313667078488,32.739508152430965,30.51273381680267,36.36811559709665,33.64897815572175,21.966914700416673,18.767511506092305,28.09229552945895,20.712612916606105,29.377081722947477,26.09142758092064,32.25786878290258,28.166789062701252,21.527562778338297,27.589279625934928,29.92424880968062,31.88243652167291,30.127386942975058,28.233950112919818,30.575923321165334,24.16087844076838,36.07481714011123,20.288213517615212,30.32714724632381,31.31974385119939,14.312702655377485,27.623095316888985,35.503940474643706,33.99115114642968,37.61527316099213,31.871799680483484,35.94949629949376,29.908257632996026,33.205375072864996,18.460544633670807,30.3934183018465,23.42685362576625,31.928453245421547,31.118737373504835,24.66337927439512,25.955856838974956,27.969110125210918,22.711994624029536	0.9973883799650536	37.61527316099213	2	true	1
32	23	16	100	0	0	0	0	0	30.21487435638393	37.270386604548314	45.17965685587907	45.19406417983392	27.542355362560926,24.180254826541926,18.047942785489283,15.03528938560266,34.091983343081175,37.270386604548314,27.8034436247047,32.77652614486802,21.53871305122606,29.825584509338572,34.05861700621088,25.267896638074227,17.28290456706786,33.700582125119986,19.257284435926792,26.07759437417558,27.810083211197725,25.45537477901228,22.88465954687818,32.39556709155237,33.88630266927257,24.41268745047804,16.658362758600795,25.79680378278349,21.332857798005197,36.27104592848849,22.06408033293224,29.318271039648014,28.33930612027163,29.504722613968447,31.6018583533184,29.398197578031894,28.835691827804112,36.63420960277226,35.69847248360497,16.351071075417124,30.32383039487761,33.10743411674857,18.74285290610998,32.81025427801859,26.420131901745506,31.147712347761345,27.073867304121016,36.76106698009911,31.993982677385198,36.7377417663866,32.01988012037061,21.821765662578066,18.97492170184796,32.377547893207336,14.523841540813567,14.504217745135264,23.290227122547876,28.011791505958715,30.810002441737957,14.395435309685414,30.815067366338383,34.0828169296512,29.111066155068333,32.702651283997376,22.18970641628421,31.1955598629934,26.652091873707235,26.8986914899393,24.856285989965638,25.296766542835595,29.43486508962051,14.456587796571847,24.27187955709661,27.658000701249822,25.71452125577998,23.678756653716714,35.4460699869052,30.34127411538853,9.334617017832576,19.475979080122833,27.325207142230386,33.93574865414543,30.012408551953385,30.723445049769367,32.747373644777106,34.82385173701086,28.400341771558516,32.73156009604272,29.770192562212802,23.381952434527538,26.689306589787147,18.564773929390743,26.873215388527974,28.41257596351078,25.894713188488204,36.96476118231469,28.75774923403056,36.391273622219245,17.868433200807576,31.403472757258182,30.092039283179048,34.293061435014145,36.58048424214968,30.21487435638393	0.996980976890065	37.270386604548314	1	true	1
