# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: c3c82a97-bb97-4b6d-93b5-02ee9860714c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	13	13	1	0	0	0	0	0	7.269852609717011	7.269852609717011	9.268440660602504	9.268440660602504	7.269852609717011	0.9975615034251832	7.269852609717011	1	true	1
25	15	15	1	0	0	0	0	0	8.199040827658969	8.199040827658969	10.193333054208276	10.193333054208276	8.199040827658969	0.9966306358339244	8.199040827658969	1	true	1
26	15	15	1	0	0	0	0	0	9.008837447495779	9.008837447495779	11.003051434307062	11.003051434307062	9.008837447495779	0.9960817657423182	9.008837447495779	1	true	1
27	15	15	1	0	0	0	0	0	9.662002302146842	9.662002302146842	11.655980218142826	11.655980218142826	9.662002302146842	0.9960817657423182	9.662002302146842	1	true	1
28	15	15	1	0	0	0	0	0	10.270598094906532	10.270598094906532	12.265021003772754	12.265021003772754	10.270598094906532	0.9960817657423182	10.270598094906532	1	true	1
29	15	15	1	0	0	0	0	0	10.592456451131747	10.592456451131747	12.587310858493352	12.587310858493352	10.592456451131747	0.9960817657423182	10.592456451131747	1	true	4
30	15	15	1	0	0	0	0	0	10.730098933278294	10.730098933278294	12.725607218948255	12.725607218948255	10.730098933278294	0.9959128826372083	10.730098933278294	1	true	0
31	15	15	1	0	0	0	0	0	10.97072059719316	10.97072059719316	12.966891878493112	12.966891878493112	10.97072059719316	0.9957029850637148	10.97072059719316	1	true	1
32	17	17	1	0	0	0	0	0	11.292146234723774	11.292146234723774	13.271344343179699	13.271344343179699	11.292146234723774	0.9953534847676211	11.292146234723774	1	true	1
33	17	17	1	0	0	0	0	0	11.632787985715417	11.632787985715417	13.620993501720177	13.620993501720177	11.632787985715417	0.9952702495229601	11.632787985715417	1	true	1
34	18	18	1	0	0	0	0	0	11.908799037377152	11.908799037377152	13.895520304276905	13.895520304276905	11.908799037377152	0.9950458031451738	11.908799037377152	1	true	0
35	19	19	1	0	0	0	0	0	12.14996339174704	12.14996339174704	14.136821456359215	14.136821456359215	12.14996339174704	0.9944226171763622	12.14996339174704	1	true	0
36	20	20	1	0	0	0	0	0	14.189962129785618	14.189962129785618	14.189962129785618	14.189962129785618	14.189962129785618	0.993736008656173	14.189962129785618	0	true	1
37	21	21	1	0	0	0	0	0	14.399055608196853	14.399055608196853	14.399055608196853	14.399055608196853	14.399055608196853	0.9935160219621147	14.399055608196853	0	true	1
