# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: c716180c-1dca-410d-a0c1-9f826ebfbee8
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	113600	564696	4517568	0	0	-669.14666013571	9.346456890678462	32.66563098770847	30.209346281227134	-Infinity,-Infinity,-Infinity,-Infinity,9.346456890678462,9.346456890678462,9.346278014578623,9.34627488440362,9.346253721330136,9.346252769804885,9.346134821359676,9.346134821359676,9.34613342013349,9.34613342013349,9.346129246295469,9.346124717624512,9.346115842939135,9.34610827273523,9.346105713414623,9.346105713414623,9.346105713414623,9.346086435848896,9.346086435848896,9.346086435848896,9.345993303377988,9.345993303377988,9.345989491937594,9.345989491937594,9.345989491937594,9.345825249122477,9.345820095278718,8.4156235986284,8.4156235986284,8.4156235986284,8.4156235986284,8.4156235986284,8.4156235986284,8.4156235986284,8.4156235986284,8.41559537515296,8.415595280971871,8.415595280971871,8.415595280971871,8.415595280971871,8.415595280971871,8.415595280971871,8.415595280971871,8.415607510935146,8.415607510935146,8.415464865670188,8.415464865670188,8.415464865670188,8.415457571660752,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.415380379248617,8.41532574764814,9.345522244298458,9.345522244298458,9.345522244298458,9.345522244298458,9.345522244298458,9.345504009318113,9.345504009318113,9.345504009318113,-180.90861966533953,-180.90859497078696,-276.87615348033887,-276.87615348033887,-276.87615348033887,-375.5999202410731,-568.9964497704393,-669.024278236183,-669.024278236183,-669.024278236183,-669.024278236183,-669.024278236183,-669.024278236183,-669.024278236183,-669.024278236183,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571,-669.14666013571	0.9977623354120823	9.346456890678462	10	true	590
25	14	14	100	113600	580140	4641120	0	0	-271.96964319667063	25.257293616496476	37.3104565240664	34.75137039007206	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.783788127751293,20.783788127751293,20.783787070941713,20.783785689185294,20.783777956777897,20.783762564109693,20.783762564109693,20.783762564109693,20.783734276626646,20.783734276626646,20.78370346213905,20.78370346213905,22.81479128967358,22.81479128967358,22.812452775814037,22.812435791840088,22.812435791840088,22.81236990673014,22.81236990673014,22.81236990673014,22.81236990673014,22.81236990673014,22.81236990673014,22.776064519866626,22.7760627831757,22.7760627831757,22.7760627831757,22.775765949023477,22.775765949023477,22.775760183870442,22.775753270036798,22.775753270036798,22.775753270036798,22.775753270036798,22.775737145811238,20.92227682801397,20.92227682801397,20.92227682801397,20.922199807864004,20.922199807864004,20.922199807864004,20.922199807864004,20.922199807864004,20.922199807864004,20.92212333921421,20.92212333921421,20.92212333921421,20.92212333921421,20.92212333921421,20.92210912509141,20.92210912509141,20.922104153365943,20.922104153365943,20.922104153365943,20.922104153365943,20.922104153365943,20.922104153365943,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,22.838608629596408,24.67064587478518,24.67064587478518,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,25.257293616496476,-70.6805639572099,-70.6805639572099,-70.6805639572099,-70.6805639572099,-70.6805639572099,-70.6805639572099,-169.99461065322294,-271.96964319667063,-271.96964319667063,-271.96964319667063,-271.96964319667063,-271.96964319667063	0.9968314678208231	25.257293616496476	7	true	378
26	14	14	100	113600	593604	4748832	0	0	-173.51190901205416	26.272546967044857	41.60580346209092	40.11897628996079	-Infinity,-Infinity,-Infinity,17.76221503895757,17.76221503895757,17.76221503895757,17.762213739690644,17.762213739690644,17.762213739690644,17.76220581868302,17.762203832995546,17.762160343320453,17.762158619280733,17.762144098750674,17.762144098750674,17.762144098750674,17.76214127822704,22.37872425510851,22.37872425510851,24.41036051366008,24.41036051366008,24.410354109094285,24.410354109094285,24.410354109094285,24.410354109094285,24.410341420336934,24.410335893387384,24.410335893387384,25.73612678285823,25.73600440165476,25.721439581227752,25.721439581227752,25.721439581227752,24.378281905138504,24.378281905138504,24.378282160925618,24.378282160925618,24.378282160925618,22.52923164683809,22.529227980826683,22.529227980826683,22.529227980826683,22.529227980826683,22.529227980826683,22.529227980826683,22.529227980826683,22.529227980826683,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52910481072309,22.52907792431099,22.52907792431099,22.52907792431099,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.36223040557519,24.94832971626945,24.94832971626945,24.364754960478177,24.364754960478177,26.272546967044857,26.272546967044857,26.272546967044857,26.272546967044857,-70.42212617627484,-70.42212617627484,-73.5300611758017,-73.5300611758017,-73.53006379753509,-73.53006379753509,-73.53006379753509,-73.53006379753509,-73.53006379753509,-73.53006379753509,-73.53006379753509,-173.51190901205416,-173.51190901205416,-173.51190901205416,-173.51190901205416,-173.51190901205416	0.9962825977292168	26.272546967044857	7	true	375
27	14	14	100	114400	587268	4698144	0	0	-264.3091605143325	28.344586619172325	42.96643046177704	42.88626752662424	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.83446311794205,23.834461273203836,25.867015014667203,25.866998947353522,25.866949537785104,25.866949537785104,25.866949537785104,25.866936982840215,25.866936982840215,25.866880443020108,25.866865666785927,25.866865666785927,25.86685606723141,25.86685606723141,27.19729682800064,26.440022279252013,25.844667836469046,25.844667836469046,25.844667836469046,25.8446677048815,25.8446677048815,25.8446677048815,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000939583019274,24.000931356279843,24.000931356279843,24.00088143969556,24.00088143969556,24.00088143969556,24.000787002758535,24.000787002758535,24.000787002758535,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,24.000716813574435,25.832504929670378,25.832504929670378,25.832504929670378,25.832504929670378,25.832504929670378,25.832504929670378,25.83266454452236,25.83266454452236,25.83266454452236,25.83266454452236,25.83266454452236,25.83266454452236,28.344586619172325,28.344586619172325,28.344586619172325,28.344586619172325,28.344586619172325,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-67.60526631282755,-164.3179207929702,-164.3179207929702,-264.30911833800576,-264.30911833800576,-264.30911833800576,-264.3091605143325	0.9962825977292168	28.344586619172325	7	true	362
28	14	14	100	114400	587268	4698144	0	0	-163.12633536881248	28.977646422546496	44.5217460451958	44.4455535526135	-Infinity,-Infinity,-Infinity,23.926419509941184,25.001102968551727,27.034103854070253,27.03409801861592,27.034056043150983,28.3731047250507,28.37293993901036,28.37293993901036,28.37293993901036,28.37293760422315,27.032658893469897,27.03265867170342,27.03265867170342,27.03265867170342,27.03265867170342,27.032649496371963,27.032649496371963,27.032649496371963,27.032649496371963,27.032649496371963,27.032432572005266,27.03242823429748,27.03242823429748,27.032404392810225,27.032404392810225,27.032404392810225,27.032404392810225,27.032404392810225,27.032404392810225,27.032404392810225,27.032346156648824,27.03233622947069,27.032258401482483,27.03225033034396,27.032233375507406,27.032233375507406,27.032233375507406,27.032233375507406,27.032233375507406,27.032233375507406,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.03219252778779,27.0322030521012,27.0322030521012,27.0322030521012,27.0322030521012,27.0322030521012,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,27.03212385881483,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,28.977646422546496,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-67.74437308775407,-163.12633536881248,-163.12633536881248	0.9962825977292168	28.977646422546496	7	true	387
29	14	13	100	114400	587268	4698144	0	0	-775.8077371062253	27.744036503171905	43.16720335648658	45.030884477411654	15.856771862438727,15.856771862438727,15.856750806027328,15.856644920687593,15.856644920687593,15.856612731743887,15.856612731743887,14.93876700839968,13.053080951087445,10.063289659089762,10.06325938977939,10.063243291236219,10.063243291236219,10.063243291236219,10.063238944601409,10.063238944601409,10.063238944601409,10.063217224353409,10.06321556708916,10.06321556708916,10.06321556708916,10.06321556708916,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.06301622209061,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063011802777908,10.063001011628828,10.063001011628828,10.063001011628828,10.063001011628828,10.063001011628828,10.062969146125354,10.062969146125354,10.062969146125354,10.062969146125354,10.062969146125354,10.062938264170498,10.063124416234913,10.063124416234913,10.063124416234913,10.063124416234913,10.063124416234913,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,10.063068152923833,12.021633959379244,12.021633959379244,12.021633959379244,12.021633959379244,12.021633959379244,12.021633959379244,12.021633959379244,-370.4254500340464,-672.2559793791031,27.744036503171905,27.744036503171905,27.744036503171905,27.744036503171905,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,24.19225538793058,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253,-775.8077371062253	0.9962914805418883	27.744036503171905	7	true	363
30	14	13	100	114400	580140	4641120	0	0	24.55725248803563	28.10158884499498	45.5241345597179	45.5241345597179	16.200090078965033,16.200090078965033,16.200046012879433,16.199940575299202,16.199935071280628,16.199935071280628,16.199910400917005,16.199910400917005,16.19989808631035,16.1998975420656,15.281777678340205,13.395724542424212,13.395724542424212,10.40521676524677,10.40521676524677,10.40521676524677,10.405157994013713,10.405157994013713,10.405157994013713,10.405157994013713,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405135965452253,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405094240612954,10.405056296541531,10.405056296541531,10.405056296541531,10.405056296541531,12.38030118112981,12.38030118112981,12.38030118112981,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380180098399485,12.380009206347552,12.380176379593301,12.380176379593301,12.380176379593301,28.10158884499498,28.10158884499498,28.10158884499498,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557126928130927,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.557249872867416,24.55725248803563	0.9961225974367784	28.10158884499498	7	true	353
31	14	12	100	114400	580140	4641120	0	0	12.554480698593693	15.435504995641928	41.96883201150533	39.46406114770177	15.435504995641928,15.435504995641928,15.435410749473057,15.435402420931304,15.435402420931304,15.435397955989565,15.435372344789094,15.435359941809502,15.435359941809502,15.435359941809502,15.435351726364125,15.435351726364125,13.549098811694854,10.55851798067043,10.55851798067043,10.55851798067043,10.558452590362691,10.558452590362691,10.558431291143805,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,10.558286957050143,12.554326679940004,12.554326679940004,12.554326679940004,12.554326679940004,12.554326679940004,12.554326679940004,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554252471334735,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554237780790842,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554382114884518,12.554391799444545,12.554391799444545,12.554391799444545,12.554391799444545,12.554391799444545,12.554391799444545,12.554391799444545,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693,12.554480698593693	0.9959354003845564	15.435504995641928	10	true	346
32	14	14	100	110800	565884	4527072	0	0	12.94990299247661	18.7447083243947	42.792345906912566	42.78437711804008	15.941848661952339,15.941848661952339,15.941806703185922,15.941719172601001,15.941719172601001,17.827292435295576,17.827291346809872,17.827261359250485,17.82724453688978,17.82724439894902,17.82724439894902,17.82724439894902,17.82724439894902,18.7447083243947,18.74432619091896,15.939957124963179,12.949699514664275,12.949696797367224,12.949696797367224,12.949696797367224,12.949696797367224,12.949696797367224,12.949696797367224,12.949696797367224,12.949696797367224,12.949690767130932,12.949690767130932,12.949690767130932,12.949690767130932,12.949690767130932,12.949690767130932,12.949690767130932,12.949680851565432,12.949680851565432,12.949680851565432,12.949680851565432,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949576233131893,12.949663131447437,12.949663131447437,12.949663131447437,12.949663131447437,12.949663131447437,12.949663131447437,12.949663131447437,12.949682004623043,12.949682004623043,12.949682004623043,12.949682004623043,12.949682004623043,12.949682004623043,12.949682004623043,12.949663131447437,12.949663131447437,12.949682004623043,12.949714848917353,12.949714848917353,12.949714848917353,12.949714848917353,12.949714848917353,12.94973913978032,12.94973913978032,12.94973913978032,12.949743222670207,12.949743222670207,12.949743222670207,12.949743222670207,12.949743222670207,12.949769220390678,12.94980119264197,12.94980119264197,12.94980119264197,12.949799644976224,12.949799644976224,12.949799644976224,12.949799644976224,12.949807701202133,12.949807701202133,12.949807701202133,12.949807701202133,12.94986325953576,12.949886032175144,12.949886032175144,12.949886032175144,12.949886032175144,12.94990299247661,12.94990299247661,12.94990299247661,12.94990299247661,12.94990299247661,12.94990299247661	0.9959038170506138	18.7447083243947	9	true	354
33	15	15	100	111600	581328	4650624	0	0	25.401175452562953	30.768207523824557	48.50573925263359	44.332130116151085	23.629027429704784,23.629027429704784,23.628848190665195,23.62884718462064,24.118819676344813,24.11854854100497,23.62850858169606,27.66133940323932,27.66131671352385,27.661139555089736,30.768207523824557,27.65979764070131,27.65979764070131,28.734296691306774,28.734296691306774,28.734040640588475,28.734040640588475,28.734040640588475,25.401012265883693,25.400936770824927,25.400936770824927,25.400936770824927,25.40093742992181,21.48164778769148,21.48164778769148,21.48164778769148,21.48164778769148,21.48164778769148,21.48164495843941,21.48164495843941,21.48164495843941,21.48164495843941,21.48164495843941,21.481606877359006,21.481606877359006,21.481606877359006,21.481606877359006,21.481886098760896,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481808304421854,21.481753684105264,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,21.48161543552795,25.40090507775828,25.40090507775828,25.40090507775828,25.40090507775828,25.40090507775828,25.400983753106658,25.400983753106658,25.40110193542526,25.40110193542526,25.40110193542526,25.40110193542526,25.40110193542526,25.40110193542526,25.40110193542526,25.40110193542526,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.40111042120619,25.401175452562953,25.401175452562953,25.401175452562953,25.401175452562953	0.9957260876876175	30.768207523824557	7	true	351
