# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ca82298d-5a36-44c2-bddd-05a9e69ea414
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	42	22554	29484	235872	0	0	34.14943191899184	34.14943191899184	34.14943191899184	34.14943191899184	-Infinity,-Infinity,-Infinity,-Infinity,-23.822023541038593,-20.373672230852456,-20.373672230852456,-20.373672230852456,-17.484944832176787,-16.264075867063795,-16.264075867063795,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.907729549002983,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,-15.850566871024402,34.14943191899184,34.14943191899184	0.9977623354120823	34.14943191899184	1	true	166
25	14	14	24	13392	16848	134784	0	0	37.280929974192844	37.280929974192844	37.280929974192844	37.280929974192844	-Infinity,-Infinity,-Infinity,-26.304217760359766,-21.674798760452838,-19.776435409019882,-19.776435144434615,-18.492593471075537,-18.492593471075537,-18.492593471075537,-18.259504251776768,-16.599830294516362,-14.616704567906762,-14.616704567906762,-14.616704567906762,-14.616704567906762,-13.906878851649736,-13.906878851649736,-13.906878851649736,-13.444937655197588,36.55507488410783,36.55507488410783,37.280929974192844,37.280929974192844	0.9968314678208231	37.280929974192844	0	true	36
26	14	14	46	25576	32292	258336	0	0	41.134565364390795	41.134565364390795	41.134565364390795	41.134565364390795	-24.126704738595322,-24.201295642662565,-24.201295642662565,-20.224802446184324,29.77896262854737,32.77278328452171,36.75055981848548,38.67033104242108,38.67033585803769,38.67033585803769,38.67033585803769,40.18197271989723,40.182010949292724,40.182010949292724,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,40.18201136583054,41.134565364390795,41.134565364390795	0.9962825977292168	41.134565364390795	0	true	48
27	14	14	31	16740	21762	174096	0	0	42.59084048639688	42.59084048639688	42.59084048639688	42.59084048639688	-22.241632285926485,-15.662277954934366,-12.366707386761211,-9.100686432539268,-7.409559178844839,-7.409559178844839,-7.409559178844839,-7.4094881438778035,42.59052766348568,42.59052766348568,42.59052766348568,42.59052766348568,42.59052766348568,42.59052766348568,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59065735967319,42.59084048639688,42.59084048639688	0.9962825977292168	42.59084048639688	0	true	29
28	14	14	39	21060	27378	219024	0	0	44.03951062799996	44.03951062799996	44.03951062799996	44.03951062799996	-18.04912673577436,-15.581711721018035,40.829190913559216,40.829190913559216,40.82921381418923,43.07552696998934,43.07552696998934,43.07579564122137,43.07579564122137,44.03930521204834,44.03930521204834,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03943725394666,44.03951062799996,44.03951062799996	0.9962825977292168	44.03951062799996	0	true	32
29	14	13	34	18360	23868	190944	0	0	43.32295762010115	43.32295762010115	43.32295762010115	43.32295762010115	-37.53487187417963,-31.210187994759334,-30.489790908454022,-19.244396702643126,-19.24438222642787,-12.435654394314898,-12.435654394314898,-9.138202299333013,-7.953472174913895,-7.953472174913895,-7.953472174913895,42.046531862349894,42.046531862349894,42.046531862349894,42.046531862349894,42.046531862349894,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,42.04663177697313,43.32295762010115,43.32295762010115	0.9962914805418883	43.32295762010115	0	true	30
30	14	13	24	12960	16848	134784	0	0	45.23985122479802	45.23985122479802	45.23985122479802	45.23985122479802	16.197475776242946,31.153138635763394,34.92031174264267,39.137968303729636,42.934937984547076,42.93493822438631,45.23974111340092,45.23974111340092,45.23975515524473,45.23975515524473,45.23975887492775,45.23975887492775,45.23975887492775,45.23975887492775,45.23975887492775,45.23975887492775,45.23975887492775,45.23976149864336,45.23976149864336,45.23985076971398,45.23985076971398,45.23985076971398,45.23985122479802,45.23985122479802	0.9961225974367784	45.23985122479802	0	true	25
31	14	13	26	14040	18252	146016	0	0	45.283165811600234	45.283165811600234	45.283165811600234	45.283165811600234	32.61456336144683,32.61456336144683,40.75654903490846,40.75654903490846,40.75654903490846,40.75654903490846,43.310969857058495,43.31098287732809,44.31081995795018,44.31082100088804,45.28306082567179,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.28308957265581,45.283165811600234,45.283165811600234	0.9959126998632849	45.283165811600234	0	true	26
32	14	14	30	16200	21060	168480	0	0	40.73948254436954	40.73948254436954	40.73948254436954	40.73948254436954	20.996380016515495,20.996557131234532,26.962397246510555,30.183496993116268,33.70703931049589,36.23840840741995,36.23840852750398,36.23840852750398,38.58312403814972,38.58312403814972,33.63777182908807,34.310255497795396,32.380396661327495,38.481055807458574,38.481055807458574,38.481055807458574,38.481055807458574,38.481055807458574,38.481055807458574,38.481055807458574,40.460065620095236,40.460065620095236,40.460065620095236,40.460065620095236,40.460065620095236,40.460065620095236,40.460065620095236,40.460065620095236,40.73948254436954,40.73948254436954	0.9959038170506138	40.73948254436954	0	true	165
33	15	15	39	20826	27378	219024	0	0	48.308626538221446	48.308626538221446	48.308626538221446	48.308626538221446	25.39928572166736,25.39933729891932,30.934893379339947,32.93304236582042,37.48178424820341,37.481806052487855,37.481806052487855,37.48192341078507,41.39070549229685,44.6118890575369,44.6118890575369,44.6118890575369,44.6118890575369,44.6118890575369,44.6118890575369,44.6118890575369,44.6118890575369,47.12391821368078,47.12393049205312,47.12393049205312,47.12393049205312,48.30854929763428,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.30862590570026,48.308626538221446,48.308626538221446	0.9957260876876175	48.308626538221446	0	true	32
