# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: cab92c36-2602-4ec6-8f2a-f76676828810
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	130200	209880	1679040	0	0	-300.65661841910423	-300.4132337481005	4.361333714821931	4.361333714821931	-325.8155232572017,-325.8155232572017,-325.8155702587096,-325.8155702587096,-325.8155702587096,-325.8155702587096,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-325.8155710715738,-311.965100663717,-311.965100663717,-311.965100663717,-311.965100663717,-311.965100663717,-311.9651500244044,-311.9651500244044,-311.9651500244044,-311.9651998462331,-311.9651998462331,-310.70731000919477,-310.70731000919477,-310.70731000919477,-310.7074449529507,-310.7074449529507,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.7074524850909,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-310.707447183799,-313.29897392443195,-313.29897392443195,-313.29906127039027,-313.29906127039027,-313.29906127039027,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-313.2992396468447,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.4132337481005,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.41325201329886,-300.65661841910423	0.9986384073811424	-300.4132337481005	3	false	287
25	8	8	100	131400	220176	1761408	0	0	-298.1080164674686	-297.8696213166819	7.855336357367644	7.855336357367644	-323.3899931585812,-323.3899931585812,-323.38999962978994,-323.38999962978994,-323.3900634987407,-323.3900634987407,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.39020069069056,-323.3902822786456,-323.3902822786456,-323.3902822786456,-323.3902822786456,-323.3902822786456,-323.3902822786456,-323.3902822786456,-323.3902822786456,-318.3853580109099,-309.4858050877595,-309.4858050877595,-309.4858050877595,-309.4858050877595,-309.4857234998045,-309.4857234998045,-309.4857234998045,-309.4857234998045,-309.4857234998045,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-308.18254892867884,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.76868642233325,-310.7686355486979,-310.7686355486979,-310.76858987819315,-310.76858987819315,-310.76858987819315,-310.76858987819315,-297.86962455500657,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964381312816,-297.86964057480344,-297.86964057480344,-297.86964057480344,-297.86964057480344,-297.86964057480344,-297.8696213166819,-297.8696213166819,-297.8696213166819,-297.8696213166819,-297.8696213166819,-298.1080164674686	0.9977871561108634	-297.8696213166819	3	true	271
26	8	8	100	129800	224928	1799424	0	0	-186.7411442868123	-86.48763018450595	13.30601690144525	13.530342050693989	-115.44706306626492,-115.44706306626492,-115.447162968926,-115.447162968926,-115.447162968926,-115.447162968926,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44717404324967,-115.44732009457721,-115.44732009457721,-115.44732009457721,-115.44732009457721,-115.44732009457721,-115.44732009457721,-115.44732009457721,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-99.21597992396212,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84490274802367,-94.84486699393852,-94.84486699393852,-94.84486699393852,-94.84486699393852,-94.84486699393852,-94.84478297507664,-94.84478297507664,-94.84478297507664,-91.0842193149054,-91.0842193149054,-91.0842193149054,-91.0842193149054,-88.14140525462098,-88.14140525462098,-88.14140525462098,-88.14140525462098,-88.14140525462098,-88.14140525462098,-88.14140525462098,-88.14138045376542,-86.48763018450595,-86.48763018450595,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.38782695956493,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.7411685761099,-186.74115157032182,-186.74115157032182,-186.74115157032182,-186.74115157032182,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123,-186.7411442868123	0.997238286019257	-86.48763018450595	0	true	320
27	8	8	100	128600	222552	1780416	0	0	-184.26587523975414	13.864391645536543	15.582212473833064	15.43076582922819	-7.932871648030549,-7.932871648030549,-7.932878190549776,-7.932878190549776,-7.932878190549776,-7.93288468547243,-7.93288468547243,-7.93288468547243,-7.93288468547243,-7.93288468547243,-7.93288468547243,-7.932900891596102,-7.932900891596102,-7.932900891596102,-7.932900891596102,-7.932900891596102,-7.932900891596102,-7.932900891596102,-2.4708443195487746,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,7.081067340081136,10.898253223277415,10.898253223277415,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,10.898385995858572,13.864375439412868,13.864391645536543,13.864391645536543,13.864391645536543,13.864391645536543,13.864391645536543,13.864391645536543,13.864391645536543,13.864391645536543,13.54048688713977,13.54048688713977,-84.36009527229307,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587932110115,-184.26587523975414,-184.26587523975414,-184.26587523975414,-184.26587523975414,-184.5997590159224,-184.26587523975414,-184.26587523975414,-184.26587523975414	0.997238286019257	13.864391645536543	1	true	149
28	8	8	100	128600	222552	1780416	0	0	-184.57083480881508	15.772797298719453	17.333008035282013	17.53564510781421	-6.151776649408141,-6.151776649408141,-6.151841527812181,-6.151841527812181,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-6.152032168540316,-0.6651350892795094,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.93725065905054,8.937441299778675,8.937441299778675,8.937441299778675,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.78659758061914,12.786633821727325,12.786633821727325,12.786633821727325,12.786633821727325,12.786633821727325,15.772797298719453,15.772797298719453,15.772797298719453,15.772797298719453,-84.12902343119822,-84.12902343119822,-184.04262073931608,-184.04262073931608,-184.0426183541681,-184.0426183541681,-184.0426183541681,-184.0426183541681,-184.0426183541681,-184.0426183541681,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.34507428741992,-182.3450740698039,-182.3450740698039,-182.3450740698039,-182.3450740698039,-182.3450740698039,-182.3450740698039,-184.57083480881508,-184.57083480881508	0.997238286019257	15.772797298719453	1	true	137
29	8	8	100	129000	223344	1786752	0	0	-180.9759897000956	14.09892457580321	18.855776117275795	18.910418194332557	-4.929824668526418,-4.929824668526418,-4.929875255406369,-4.929875255406369,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,-4.930024345476507,0.5773974415018834,0.5773974415018834,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,10.216597403651258,14.098868322309396,14.098868322309396,14.098868322309396,14.098868322309396,14.098868322309396,14.098868322309396,14.098868322309396,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09889329919475,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,14.09892457580321,-85.8066364310092,-85.8066364310092,-185.72811088601827,-182.72409837480123,-182.72409837480123,-182.72409173482424,-182.72409173482424,-182.72409173482424,-182.72409173482424,-182.72408834289,-182.72408834289,-182.72408834289,-182.72408834289,-181.00638540819492,-181.00638540819492,-181.00638540819492,-181.00638540819492,-181.00638540819492,-181.00638540819492,-181.29247225439352,-181.29247225439352,-181.29247225439352,-181.29247225439352,-181.29247225439352,-181.29247225439352,-181.29247225439352,-181.05288996776213,-181.05288996776213,-181.05288996776213,-181.05288996776213,-180.9759897000956	0.997238286019257	14.09892457580321	2	true	206
30	8	8	100	128200	221760	1774080	0	0	13.16760177177747	16.330945155278503	20.07593528012983	20.023893795515267	-9.632040193360353,-9.632040193360353,-9.632053208760148,-9.632053208760148,-9.632197347522158,-9.632197347522158,-9.632197347522158,-9.632197347522158,-9.632197347522158,-3.7191794769689324,-3.7191794769689324,-3.7191794769689324,-3.7191794769689324,-3.7191794769689324,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,6.869736550857764,11.394353754758553,11.394353754758553,11.394353754758553,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394476891629909,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,11.394497893520567,15.24246342658774,15.24246342658774,15.24246342658774,16.330945155278503,16.330945155278503,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,14.85918847727698,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,-86.83238890831616,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747,13.16760177177747	0.997238286019257	16.330945155278503	2	true	136
31	8	8	100	127600	221760	1774080	0	0	-80.95797139219111	19.248705715809514	19.948801945349707	20.893747693689722	-2.7674022006020174,-2.7674022006020174,-2.7674139639566633,-2.7674294637799193,-2.7675515324773627,-2.7675515324773627,-2.7675515324773627,-2.7675515324773627,-2.7675515324773627,2.759397217106084,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,7.856193852128468,12.38793906786256,12.38793906786256,12.38793906786256,12.38793906786256,12.38793906786256,12.38793906786256,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388061136560003,12.388076636383259,12.388076636383259,12.388076636383259,12.388076636383259,12.388076636383259,12.388076636383259,12.388076636383259,16.19699414159311,19.248705715809514,19.248705715809514,19.248705715809514,19.248705715809514,19.248705715809514,19.248705715809514,19.248705715809514,19.248705715809514,19.005287525789846,19.005287525789846,19.005287525789846,19.005287525789846,19.005287525789846,19.005287525789846,19.005287525789846,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,15.47421808861058,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.9579719327575,-80.95797139219111,-80.95797139219111,-80.95797139219111,-80.95797139219111,-80.95797139219111	0.9970283884457635	19.248705715809514	1	true	160
32	9	9	100	127600	222156	1777248	0	0	20.309400256717392	20.532758999001953	22.243249184650132	22.201599125170038	4.166981361483153,4.166981361483153,4.166972551547843,4.166961922107902,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,4.166841900229937,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211437982749763,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,9.211558004627728,13.63886621798171,13.63886621798171,13.63886621798171,13.63887684742165,17.46844465963562,17.46844465963562,17.46844465963562,20.532758999001953,20.532758999001953,20.532758999001953,20.532758999001953,20.532758999001953,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309397052658664,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392,20.309400256717392	0.9968506590827672	20.532758999001953	1	true	128
33	9	9	100	126400	223344	1786752	0	0	16.90160145485613	16.90160145485613	23.62789471899851	23.62789471899851	-Infinity,-Infinity,10.367342960279162,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,10.367228429475128,14.939573027916891,14.939573027916891,14.939573027916891,14.939573027916891,14.939573027916891,14.939687558720918,14.939687558720918,14.939687558720918,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.901593828751853,16.809599855464423,16.809599855464423,16.809599855464423,16.809599855464423,16.809599855464423,16.809599855464423,16.809599855464423,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.809603326866583,16.901597300154013,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613,16.90160145485613	0.9968506590827672	16.90160145485613	3	true	151
