# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: cab92c36-2602-4ec6-8f2a-f76676828810
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-Infinity	-Infinity	-25.815552725052378	-25.815552725052378	-Infinity	0.9986384073811424	-Infinity	8	false	5
25	8	8	1	0	0	0	0	0	-373.39000031237924	-373.39000031237924	7.797414670287585	7.797414670287585	-373.39000031237924	0.9977871561108634	-373.39000031237924	8	true	2
26	8	8	1	0	0	0	0	0	-321.355512473237	-321.355512473237	12.98859813711513	12.98859813711513	-321.355512473237	0.997238286019257	-321.355512473237	8	true	2
27	8	8	1	0	0	0	0	0	-219.42082549038253	-219.42082549038253	15.134657377178765	15.134657377178765	-219.42082549038253	0.997238286019257	-219.42082549038253	8	true	2
28	8	8	1	0	0	0	0	0	-217.681603122794	-217.681603122794	17.19298159975439	17.19298159975439	-217.681603122794	0.997238286019257	-217.681603122794	8	true	2
29	8	8	1	0	0	0	0	0	-216.50450546302204	-216.50450546302204	18.62812112902766	18.62812112902766	-216.50450546302204	0.997238286019257	-216.50450546302204	8	true	2
30	8	8	1	0	0	0	0	0	-115.59128799879781	-115.59128799879781	19.98029273005859	19.98029273005859	-115.59128799879781	0.997238286019257	-115.59128799879781	8	true	2
31	8	8	1	0	0	0	0	0	-108.39625489765822	-108.39625489765822	20.9407533692312	20.9407533692312	-108.39625489765822	0.9970283884457635	-108.39625489765822	7	true	2
32	9	9	1	0	0	0	0	0	-Infinity	-Infinity	4.166972571250305	4.166972571250305	-Infinity	0.9968506590827672	-Infinity	5	true	1
33	9	9	1	0	0	0	0	0	-Infinity	-Infinity	10.367352066985108	10.367352066985108	-Infinity	0.9968506590827672	-Infinity	4	true	2
34	9	9	1	0	0	0	0	0	-Infinity	-Infinity	5.643592168302607	5.643592168302607	-Infinity	0.9968337707722562	-Infinity	5	true	1
35	9	9	1	0	0	0	0	0	-43.54574932803903	-43.54574932803903	25.09239842197169	25.09239842197169	-43.54574932803903	0.9964791162515262	-43.54574932803903	5	true	1
36	9	9	1	0	0	0	0	0	-10.626655721534704	-10.626655721534704	18.295692791635705	18.295692791635705	-10.626655721534704	0.9957999649074066	-10.626655721534704	8	true	2
37	10	10	1	0	0	0	0	0	-9.755669892892755	-9.755669892892755	19.123249593729362	19.123249593729362	-9.755669892892755	0.9955799782133483	-9.755669892892755	8	true	2
38	10	10	1	0	0	0	0	0	-Infinity	-Infinity	8.777728072965344	8.777728072965344	-Infinity	0.9955799782133483	-Infinity	6	true	1
39	11	11	1	0	0	0	0	0	-40.6471554436992	-40.6471554436992	22.538068996113044	22.538068996113044	-40.6471554436992	0.9954345632799877	-40.6471554436992	6	true	2
40	11	11	1	0	0	0	0	0	18.511632790135007	18.511632790135007	24.950456817362124	24.950456817362124	18.511632790135007	0.9952246657064944	18.511632790135007	4	true	2
41	12	11	1	0	0	0	0	0	8.212151305618022	8.212151305618022	23.151952579919623	23.151952579919623	8.212151305618022	0.995157368347943	8.212151305618022	6	true	2
42	12	11	1	0	0	0	0	0	-Infinity	-Infinity	-0.8917589966447714	-0.8917589966447714	-Infinity	0.995157368347943	-Infinity	7	true	2
43	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-39.39674167103604	-39.39674167103604	-Infinity	0.9947215622052771	-Infinity	6	true	1
44	13	13	1	0	0	0	0	0	-Infinity	-Infinity	19.37887612676811	19.37887612676811	-Infinity	0.9941274738450516	-Infinity	4	true	1
45	13	11	1	0	0	0	0	0	-481.44521828521465	-481.44521828521465	19.80935600816721	19.80935600816721	-481.44521828521465	0.9942241978052506	-481.44521828521465	4	true	2
