# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: cbd363cf-013d-471d-9d54-3eefb93b3641
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	100	129800	201168	1609344	0	0	-493.19149676405067	-0.43948666168584616	4.842970707890645	4.842628402698006	-0.43948666168584616,-0.43948666168584616,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.43953433213752824,-0.4395355364538034,-0.4395355364538034,-0.4395355364538034,-0.4395355364538034,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395398665128898,-0.4395531112145097,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.4395671151130838,-0.43962578010097886,-0.43962578010097886,-0.43962578010097886,-0.43962578010097886,-0.43962578010097886,-0.43962578010097886,-0.43962578010097886,-493.19136884008907,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067,-493.19149676405067	0.9991239280309399	-0.43948666168584616	3	true	300
25	6	6	100	129800	205128	1641024	0	0	-190.2617407419332	9.723746175862047	9.723887555930016	9.723887555930016	7.729374217359968,7.729374217359968,7.729338712440352,7.72920281107144,7.72920281107144,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,7.729085536150935,9.723604613915855,9.72365925652798,9.723659632591005,9.723659632591005,9.723659632591005,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723688610906521,9.723721129209071,9.723721129209071,9.723721129209071,9.723721129209071,9.723721129209071,9.723721129209071,9.723721129209071,9.723725647355156,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,9.723746175862047,-90.26824502825596,-90.26824502825596,-190.2617407419332,-190.2617407419332,-190.2617407419332,-190.2617407419332,-190.2617407419332,-190.2617407419332,-190.2617407419332	0.9990443117099597	9.723746175862047	0	true	173
26	6	6	100	129800	205128	1641024	0	0	-189.69859624014325	10.271195021901454	10.271384601777816	10.271384601777816	8.27756256874671,8.27756256874671,8.27753605501152,8.277434644225245,8.277434644225245,8.277434644225245,8.277433306899944,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277307004869758,8.277340448649465,8.277340448649465,8.277340448649465,8.277362908005468,8.277362908005468,8.277362908005468,8.277362908005468,8.277362908005468,8.27736696238465,8.27736696238465,8.27736696238465,8.27736696238465,8.27736696238465,10.271195021901454,10.271195021901454,10.271195021901454,10.271195021901454,10.271195021901454,10.271195021901454,-89.71264823880108,-89.71264823880108,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325,-189.69859624014325	0.9990443117099597	10.271195021901454	0	true	136
27	6	6	100	129800	205128	1641024	0	0	-189.23581360054297	10.718590963391113	10.71865588809294	10.71865588809294	8.724765015094011,8.724765015094011,8.724616270297156,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724515572290743,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,8.724616270297156,10.718513957269092,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,10.718590963391113,-89.25724179740021,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23584263987485,-189.23583078882191,-189.23583078882191,-189.23583078882191,-189.23581360054297,-189.23581360054297,-189.23581360054297,-189.23581360054297,-189.23581360054297	0.9990443117099597	10.718590963391113	0	true	122
28	6	6	100	129600	204336	1634688	0	0	-188.71209603024926	11.233081315481268	11.233177865131069	11.233177865131069	9.238678748324062,9.238678748324062,9.238657536939062,9.238555672865715,9.238555672865715,9.2385489885054,9.2385489885054,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238385292557346,9.238409262122286,9.238409262122286,9.238409262122286,9.238410919033676,9.238410919033676,9.238410919033676,9.238410919033676,9.238410919033676,9.238410919033676,9.238410919033676,9.238410919033676,9.238450164278511,9.238450164278511,9.238450164278511,9.238450164278511,9.238450164278511,9.238450164278511,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233040538009494,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233062997279028,11.233081315481268,11.233081315481268,11.233081315481268,11.233081315481268,-88.73868648800656,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121493643179,-188.7121468839453,-188.7121468839453,-188.7121468839453,-188.7121468839453,-188.7121468839453,-188.71209603024926,-188.71209603024926,-188.71209603024926,-188.71209603024926,-188.71209603024926,-188.71209603024926	0.9990443117099597	11.233081315481268	0	true	123
29	6	6	100	129600	204336	1634688	0	0	-187.96670008565954	11.983061526607285	11.983153853067025	11.983153853067025	9.988146149415977,9.988146149415977,9.988046453282404,9.988046453282404,9.988041147733558,9.988041147733558,9.988041147733558,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,9.987926503017317,11.982939711229301,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.982975326473165,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983038831923684,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,11.983061526607285,-87.9909559267649,-187.96675791126876,-187.96675791126876,-187.96675791126876,-187.96675791126876,-187.96674308272705,-187.96674308272705,-187.96674308272705,-187.96674308272705,-187.96674308272705,-187.96670192701902,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954,-187.96670008565954	0.9990443117099597	11.983061526607285	0	true	121
30	6	6	100	129600	204336	1634688	0	0	-187.3058334978505	12.648942800480313	12.648942800480313	12.648942800480313	10.653633800021051,10.653633800021051,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,10.65360551437406,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648919077592467,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648935038128254,12.648942800480313,-87.32760064528676,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505,-187.3058334978505	0.99887542860485	12.648942800480313	0	true	184
31	6	6	100	129600	204336	1634688	0	0	-186.72938254961693	13.233525140392882	13.233525565522331	13.233525565522331	11.237416532404232,11.237416532404232,11.237394717680445,11.23737104796373,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237215510517052,11.237340005872712,11.237340005872712,11.237340005872712,11.237340005872712,11.23737104796373,11.23737104796373,11.23737104796373,11.23737104796373,11.23737104796373,11.23737104796373,11.23737104796373,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233483922416996,13.233493571729745,13.233493571729745,13.233493571729745,13.233493571729745,13.233513400111292,13.233513400111292,13.233513400111292,13.233513400111292,13.233513400111292,13.233513400111292,13.233513400111292,13.233523055302214,13.233523055302214,13.233523055302214,13.233523055302214,13.233523055302214,13.233523055302214,13.233523055302214,13.233525140392882,13.233525140392882,13.233525140392882,13.233525140392882,13.233525140392882,13.233525140392882,-86.74688286737297,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693,-186.72938254961693	0.99887542860485	13.233525140392882	0	true	122
32	7	7	100	129600	204336	1634688	0	0	8.40813309140767	11.762509363981717	13.720626546112596	13.73702062040374	11.730610819320022,11.730610819320022,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730564467317082,11.730598260815562,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730610292814385,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.730561367912225,11.747704760052626,11.762509363981717,11.762509363981717,11.762509363981717,11.762509363981717,11.762509363981717,11.762509363981717,11.724825976515195,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767,8.40813309140767	0.9987036576717526	11.762509363981717	1	true	123
33	7	7	100	128200	204732	1637856	0	0	14.156547034296416	14.156602598894725	14.15660566474137	14.15660566474137	12.174506143918517,12.174506143918517,12.17449208526736,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174361183389138,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.174439467375937,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,12.17449208526736,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156595220024233,14.156602598894725,14.156602598894725,14.156602598894725,14.156602598894725,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416,14.156547034296416	0.9986204224270916	14.156602598894725	0	true	122
