# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: cdb700f6-6a24-4035-8c67-e7807d4737b9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	18	13333	16740	133920	0	0	19.168527006088553	19.168527006088553	19.168527006088553	19.168527006088553	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,16.881682141779528,16.881682141779528,17.941899535620784,17.941899535620784,17.941899535620784,19.059725999691466,19.168527006088553,19.168527006088553	0.9964998428144262	19.168527006088553	0	true	251
25	26	26	26	22192	24180	193440	0	0	11.86441631760533	11.86441631760533	11.86441631760533	11.86441631760533	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-43.77629681620572,-43.77629681620572,-43.77629681620572,-43.77629681620572,-41.728948779256584,-39.734529412119585,-39.734529412119585,-39.734529412119585,-38.17366383923199,-38.17366383923199,-38.15120041091599,-38.15120041091599,-38.15120041091599,-38.15120041091599,11.849002073555882,11.86441631760533,11.86441631760533	0.9963003633545594	11.86441631760533	0	true	92
26	26	25	26	24082	24180	193440	0	0	14.394538045924662	14.394538045924662	14.394538045924662	14.394538045924662	-74.67457936466975,-72.66645466695756,-72.66645466695756,-69.33528747746364,-66.77541348361217,-66.77541348361217,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-45.87687398765003,-45.87687398765003,-45.87687398765003,-43.40776512729309,-43.40776512729309,-43.40776512729309,-43.40776512729309,-43.40776512729309,-39.31511822390884,-39.31511822390884,-36.355041832907354,-36.355041832907354,-35.60558080519977,14.394538045924662,14.394538045924662	0.9963046402643643	14.394538045924662	0	true	88
27	27	26	21	19062	19530	156240	0	0	16.084646881528382	16.084646881528382	16.084646881528382	16.084646881528382	-8.40057648286557,-4.3345044763137945,0.10178341155795323,8.674373347705238,10.952122947400522,10.952131994032438,10.952132235159691,10.952132235159691,10.986787381902765,10.986787381902765,10.986787381902765,10.986787381902765,12.197764916339235,13.526242995562217,13.526242995562217,14.455865486996462,15.45605075235246,15.45605075235246,15.457986928410978,16.084646881528382,16.084646881528382	0.99600138177086	16.084646881528382	0	true	73
28	27	25	51	47427	47430	379440	0	0	58.31815021077138	58.31815021077138	58.31815021077138	58.31815021077138	-Infinity,-Infinity,-Infinity,-Infinity,-16.381774810492317,-13.774934232452054,-13.774934232452054,-7.311074967555937,-7.311074967555937,-5.037012697707938,-5.037012697707938,-5.022892591702427,-4.032407871104235,-4.032407871104235,0.1637604442180205,0.1637604442180205,3.441580415950181,3.441580415950181,3.441580415950181,3.441580415950181,53.44175318677325,53.44175318677325,53.44175318677325,53.44175318677325,53.44175318677325,53.44175318677325,53.44175318677325,53.44175318677325,55.17821012724078,55.17821012724078,55.17821012724078,55.17821012724078,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.08504117115896,57.34902127437461,57.34902127437461,57.34902127437461,57.34902127437461,57.34902127437461,57.34902127437461,57.34902127437461,57.34902127437461,58.31815021077138,58.31815021077138	0.9957055073438562	58.31815021077138	0	true	152
29	29	26	20	18616	18600	148800	0	0	57.444790662422996	57.444790662422996	57.444790662422996	57.444790662422996	-Infinity,-65.91385463834558,-62.59288952795265,-58.964739942554424,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,51.40237221766499,53.638561203598854,53.00945638851817,54.03068103815168,55.723053905380745,55.723053905380745,57.09352625221203,57.09352625221203,57.09352625221203,57.444790662422996,57.444790662422996	0.9953750886453527	57.444790662422996	0	true	78
30	31	28	24	21846	22320	178560	0	0	11.735273494731999	11.735273494731999	11.735273494731999	11.735273494731999	-12.324670253281806,-6.992986992145452,0.16645831769282715,1.4432624002516388,6.032342376526147,7.046266910316602,7.046266910316602,8.681366613273319,8.681505665312727,10.231469746496018,10.231469746496018,10.231569454652572,10.246224762062567,10.770141411145215,8.802540699348882,10.78629175642234,11.34046578610696,11.353308399257052,11.353308399257052,11.728400113709455,11.728400113709455,11.728400113709455,11.735273494731999,11.735273494731999	0.9950708431726629	11.735273494731999	0	true	76
31	31	28	28	26210	26040	208320	0	0	64.79743379368477	64.79743379368477	64.79743379368477	64.79743379368477	-33.96635852271574,-23.384699303043615,-13.835431122057662,-5.881428970757039,0.8448153257361124,4.826519719165862,7.489570915674809,7.489570915674809,7.489657403956256,11.003695672626055,13.019049279543788,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797178125889412,14.797277245294774,14.797277245294774,14.797277245294774,14.797277245294774,64.79743379368477,64.79743379368477	0.994413405370629	64.79743379368477	0	true	105
32	32	29	23	21474	21390	171120	0	0	62.29138317310002	62.29138317310002	62.29138317310002	62.29138317310002	-7.394196383089778,-1.481991766011511,10.834665412893372,16.470095951296948,16.47016325724588,16.47016325724588,21.59131233520195,21.591410858866865,36.593751257711915,44.49463126642691,44.49463126642691,47.45635917034946,47.45635917034946,51.54493515817164,55.179860323101714,55.179860323101714,58.51499131273103,60.79330167388639,61.76925800178629,61.76925800178629,61.76925800178629,62.29138317310002,62.29138317310002	0.9939277750564769	62.29138317310002	0	true	76
33	33	28	28	26692	26040	208320	0	0	56.777659820976915	56.777659820976915	56.777659820976915	56.777659820976915	-73.99752847357686,-66.77734947806111,-66.77726624674365,-59.43807359667299,0.7440163471001497,22.80358816195134,26.615171908531863,31.48924657323817,32.015371709313264,48.60699870323841,52.79756808944187,52.79756808944187,54.86225545318301,55.91122335252928,55.91122335252928,55.91122335252928,55.91122335252928,49.62456477878101,55.89276252248392,55.89276252248392,53.90244599748122,53.50000372841871,53.50000372841871,53.50000372841871,52.180463594017176,55.185126320283764,56.777659820976915,56.777659820976915	0.9937912794905724	56.777659820976915	0	true	93
