# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: cdb700f6-6a24-4035-8c67-e7807d4737b9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	100	0	0	0	0	0	-1096.1595606041406	-1096.1595606041406	1.8832706863804738	1.8832706863804738	-2097.595345327394,-1794.473892015258,-2105.535973060393,-2094.7897901961387,-1805.5555103319612,-1700.6955371506185,-1261.4829256260966,-2347.57028921655,-2073.7425016314987,-1809.8362574540092,-1944.6827681889322,-1797.0497700275232,-2060.0582028795884,-1645.18577184115,-1456.7291422924434,-1765.1721965651343,-Infinity,-1511.365659346062,-1843.7344558395366,-1905.2398105484392,-1652.9403601898518,-1897.1771581569099,-Infinity,-1798.1010325378775,-1353.4806884168993,-1652.2970345417107,-1951.9923072927434,-1662.9342402742448,-1805.728236173433,-Infinity,-1699.4706545306003,-2009.415974874423,-1505.6331977995474,-1460.3014918888837,-2105.56851580234,-1955.8089568435328,-1649.0933882523755,-1551.283901160668,-1604.8715436086181,-1952.6187955666023,-1446.6193609420543,-1610.4005835082703,-1551.4231641931258,-Infinity,-1618.7393108400256,-1770.805628949255,-1997.0845872114833,-1847.8351064707733,-1548.7319108133902,-1907.3160740462106,-2007.4720138112687,-1455.9687955852075,-1656.9568818222378,-1850.57414971077,-1605.1776145861375,-1900.5113246269182,-1163.5469482142576,-1705.0553689143699,-1553.2735411441165,-1800.6361044285393,-2048.721354503513,-1751.8731942959582,-1802.352545832262,-1753.969089269762,-1700.1178480461458,-1603.610375300194,-1796.6346940408068,-1954.505091556225,-1709.5323010521481,-1903.7419194258055,-1508.1375246075397,-1753.3520183002167,-1963.1505929351915,-1602.6876310469268,-1253.1469989881025,-1193.5005849607805,-1902.4343242468328,-1348.827074172785,-1649.6901412822092,-Infinity,-1994.1466054887735,-1895.3849974524085,-2192.8669007314147,-1869.142477887583,-1512.831367771053,-2017.191767659948,-1400.4324817703334,-1652.7920490242395,-1146.904389185488,-1249.3596820884875,-1353.3599012799557,-1507.2678207218282,-1645.5626388900828,-2006.6831176922417,-2049.287656887441,-1500.5817024327664,-1755.5327668268424,-2250.1745142235773,-1848.308880439262,-1096.1595606041406	0.9964998428144262	-1096.1595606041406	2	true	33
25	26	26	100	0	0	0	0	0	-1798.6396739121365	-799.2900547320634	57.82482347569592	14.114612661077995	-1642.4696449330306,-1748.6311856617704,-1595.633103571422,-1047.1670244784773,-1842.7616284974326,-1546.151684014379,-1394.4017904739155,-1751.1705579600684,-1151.565611267547,-1201.6674939009292,-2198.7067269482177,-1345.7330670740241,-1941.6540708256825,-1910.2225232934074,-1210.6757376850867,-1608.611477734689,-1794.016361025563,-1553.553986959628,-1695.7117143154553,-1398.4217083492886,-1458.4741302609123,-1007.160905048874,-1344.2367628417755,-1608.8247983011051,-1546.791288235287,-1896.7080496944702,-1699.8735503480038,-1794.3239461668813,-1451.0008028650375,-1644.0324538411885,-1596.7545275842524,-2012.9252895718187,-1696.9140228126403,-1742.49312697107,-Infinity,-1501.1358255857504,-1200.2044531709714,-1806.868532295005,-1596.3964318419667,-1648.1747043976306,-1745.9510717834528,-1543.1863363653463,-1408.1810520122187,-799.2900547320634,-1594.1415588034638,-1700.1273575943856,-1500.9470555243724,-1549.6942898453017,-1447.6448824857848,-1046.517316300737,-1747.2837311396486,-1596.694191555907,-1248.9921872545424,-1447.3478156920974,-1218.1858361165314,-1255.6721088311367,-1746.6821755296305,-1397.2734205782565,-2088.779840699159,-1103.745612156187,-1794.5430743973745,-1702.0657426958512,-1496.6157332888674,-1744.7933090702902,-1655.1327361611288,-1742.7955335007641,-1996.7083029164883,-1949.4597627186113,-1493.9691406900452,-2048.5297660382175,-1351.896683358604,-1902.728545661637,-1745.3777652533026,-1252.4227593678024,-1501.2744724738118,-1799.081376008474,-1605.520170098825,-Infinity,-1943.9713968696099,-1847.2991323739452,-1699.8574475392275,-1848.3471501143163,-1742.8876598722588,-2047.3331275068115,-2143.7392999349377,-1547.7930909982865,-1703.183877431861,-2041.688831041924,-1502.4827417025447,-1201.5893435609266,-1496.6403289438338,-1404.059507323525,-1948.164718276891,-1495.2501559942446,-1398.0085605474083,-1555.4010746702745,-1742.1210281608244,-1443.5457347805807,-1796.978698159331,-1798.6396739121365	0.9963003633545594	-799.2900547320634	2	true	12
26	26	25	100	0	0	0	0	0	-1645.0427577590597	-899.8412461435126	59.69511426409561	57.0414722476086	-2000.1281770878868,-1493.8387566304552,-1860.6696825377321,-1701.8249567001715,-1350.0251107623537,-1694.513526650082,-1702.005212621094,-1657.4896515913845,-1796.068736588183,-1799.4451424509436,-1942.3757268106278,-1261.9757362790285,-1455.3504271817974,-2056.105625252696,-1898.9927390553491,-2299.734200312416,-Infinity,-1399.375571518334,-1848.658556030579,-1556.1917540351599,-1700.1794330941814,-1693.4738616146026,-1750.7817099824113,-1895.8714838743836,-1689.254692473386,-1598.7315901397628,-1099.9510601194029,-1492.9299920987053,-1447.418617979916,-1842.3058108438101,-1442.2284585160803,-1953.088443893222,-1951.0367208859782,-1296.285199866247,-1801.875941741593,-1541.5690412834185,-1894.1438346254567,-1755.5487398558766,-1795.6572871319584,-1730.5110795490846,-1496.088259316632,-1539.3015210718236,-1452.2317785515834,-2304.6170862041927,-1094.7204434057753,-1795.3268720429814,-Infinity,-1596.22408920929,-1849.9373470916503,-1606.2782300706056,-2045.7491248332335,-2053.058450701063,-1904.4750949902761,-1602.2071041996235,-1543.7469103844242,-Infinity,-1204.4174538765358,-1108.4878048438454,-1346.585379210948,-1546.6464196244908,-1692.2546188679526,-1198.4343374424534,-1843.3363730381088,-899.8412461435126,-2154.0616495361437,-1294.0504356219049,-1851.4620593409434,-991.4414017278785,-1498.4394653569545,-1794.2778107998336,-1808.542575242231,-1201.8270946754872,-1641.9835751279163,-1747.4234397470188,-1295.5861505435616,-2044.3841568121152,-1449.7238493837178,-1599.9996550652688,-1441.643997044048,-1688.4686298182762,-1545.6372049294,-1849.1460382848152,-1395.4172841522054,-1356.7208805779894,-2105.4550684528267,-1789.4909570153463,-1696.0263123426116,-1895.1296613794364,-1996.7379175258877,-1693.500379907275,-2247.4512637436014,-1300.242241810234,-1854.3822712116073,-1003.9612488682209,-1950.03119926726,-1556.4154518680134,-1597.019497701805,-1600.9908945049854,-1098.6584754065645,-1645.0427577590597	0.9963046402643643	-899.8412461435126	4	true	11
27	27	26	100	0	0	0	0	0	-1347.186444719139	-1007.7000345479677	65.60657312723114	60.14783331706679	-1799.2589548398723,-1701.4122846810997,-1341.7609372203372,-1800.655870975745,-1848.526151033916,-1798.257927760852,-1353.3514863471744,-1738.7321323727056,-1797.8262793349384,-1787.8442558346133,-1790.046852947508,-2000.7028208627237,-1850.0985956950974,-1894.6318034858564,-1794.996923926569,-1296.0052759761263,-Infinity,-1547.3590747597646,-1345.932447614168,-1890.2780296741223,-1497.998446042515,-1944.752493310136,-1939.9579553117508,-1900.4774898694477,-Infinity,-1905.5602873630257,-1606.9438434532487,-1815.1405116832746,-1299.1295272955583,-Infinity,-1459.8143440421636,-1843.5521595434186,-1741.0767712001693,-1102.4144177953513,-1659.2444032046633,-1308.5806372816855,-1564.2313663982504,-1945.2156995636647,-1449.6653986080867,-1498.1543485848076,-1841.9136408918757,-1697.8301846356521,-1651.9382574996744,-2045.1926803172416,-1295.9775915285752,-1498.7424579001404,-1444.9895189084086,-1543.9328629008958,-1693.657069448916,-1892.8686489243737,-1350.4667522524007,-1300.6055107567574,-1860.1613596870661,-1443.7575181161415,-1352.6514142071271,-1602.5245038055723,-1609.1041025503127,-1296.189747276415,-1251.7456260271745,-1660.8394132236251,-1800.8859581169365,-1691.8404674525334,-1443.8905144258642,-1437.0990745746503,-1746.680700972563,-2095.492023801882,-1252.136977784234,-2003.3348566037812,-1007.7000345479677,-1155.6534212497666,-1801.1804378332201,-1546.4454893644388,-1197.1046895833479,-1986.0799852909322,-Infinity,-1947.455532784515,-1994.2338869035334,-1549.9919479950595,-1294.6237515199293,-1351.4175385848444,-Infinity,-1304.0905332521138,-1694.8934325371476,-1595.3067546539023,-1354.4709428407912,-1538.8192437246419,-1542.1522456151718,-1499.0225310248868,-Infinity,-1843.7240752451175,-1991.340994172996,-1701.8876665541577,-1641.1128077167891,-1805.3655041438292,-1607.4538540639558,-1153.9202343427999,-1744.4880533088303,-1796.7768970816687,-1810.6353028532696,-1347.186444719139	0.99600138177086	-1007.7000345479677	5	true	11
28	27	25	100	0	0	0	0	0	-1568.4986042595967	-661.9663034620519	57.28696073438272	62.4131481659359	-1600.6434048468118,-1594.9615294553105,-2203.303469275351,-1996.8148391288405,-1459.0679678201395,-1997.54996561797,-1944.0521235944948,-1745.080149377687,-1648.0403083798622,-1165.0853346483864,-1410.625395310597,-1798.8978278021445,-1650.1669005826852,-1842.056181071178,-1248.5564097093188,-Infinity,-1944.8369541600089,-1949.7833972354133,-1746.8868742072136,-2059.4334119826362,-1558.5017752661756,-2099.5960192250704,-1897.7359032476984,-1550.878087409145,-1711.9211618132047,-1799.271253793982,-1611.5238455143424,-1756.7113544903118,-2007.60820464134,-1698.6716625836884,-1799.9793760580467,-1841.5539269390138,-1441.4303275507978,-1105.3933405528605,-1644.0106934274525,-1770.9318471618558,-1253.0093363105868,-Infinity,-1508.7827993321755,-2053.0965318812277,-1595.7044014277824,-1904.7779457320846,-2110.2416100291457,-1404.1629782734224,-1403.2257221039113,-Infinity,-1903.0024966549413,-1615.2038378092543,-Infinity,-1349.000226181309,-1704.7946631560358,-1961.5656260785308,-Infinity,-1606.5945217873266,-1749.2109187441354,-1850.2646506737346,-1747.1454694477454,-1900.5967149034636,-1798.8468443719285,-1900.4064580750307,-2356.8185322799714,-1349.0076400603543,-1699.7288645903213,-1250.9852670267019,-1754.1837040535552,-1773.0653943132481,-1255.6945502498634,-1261.2043038226973,-1405.040962812365,-1412.645265441401,-661.9663034620519,-1742.5769028777722,-1847.1493035779733,-1949.1543566516625,-1251.9101422697145,-1594.8315689214078,-1249.785902767176,-Infinity,-1301.4526875938627,-1703.9181627508017,-1457.286589364167,-1158.1991814639955,-1645.1234201879354,-1751.2620549472558,-1513.306677871642,-1601.0297788683356,-1504.011391164054,-1448.9817569316597,-2000.2081140192201,-1653.7340021739562,-1342.6675491119536,-1306.2208317252139,-Infinity,-1709.0055347390723,-1306.2328802230938,-1747.3067908283647,-1851.520960513495,-1299.876739913379,-2005.7305014870822,-1568.4986042595967	0.9957055073438562	-661.9663034620519	5	true	9
29	29	26	100	0	0	0	0	0	-1849.6451919584679	-953.366018440718	54.82479574896023	54.344628597060655	-1744.9391074500045,-1661.3496649201256,-1752.3277916646398,-1822.7758232200933,-1963.6494763294793,-1552.472565935932,-1701.539069181577,-1607.876948217484,-1715.114808458997,-1454.8042239843978,-2004.1797771179934,-1761.8793939944537,-1802.1588419989898,-Infinity,-1750.6542537620396,-1766.4136169063993,-2044.293773447274,-1560.4325287185297,-1748.8728618416596,-1757.4993309101822,-1598.0373867195513,-1964.5171543678043,-2014.7448005642686,-1257.2519874384413,-1663.8516301241887,-1948.1358974615036,-1898.0706759463494,-1571.147105550377,-1754.110008278746,-1749.1961319091265,-1497.7685443523378,-2150.921627558335,-1907.4513623982275,-1900.5518563867683,-1408.7668482902473,-2154.230806901678,-Infinity,-1812.4140608978175,-1655.0374602216446,-1706.452017133872,-2010.1548317145953,-1850.3615387233108,-1115.9979366405225,-1852.736293364338,-1861.7607617820183,-1698.4724473329138,-1599.2009113321221,-1996.548871522629,-1650.2179453889253,-Infinity,-1603.4990678681477,-2199.517706035415,-1213.2812508532306,-1653.08895703217,-1546.5513349493363,-1570.6669539815496,-1746.6650001177013,-2008.4628630247298,-1813.3777592215379,-1499.7188446598989,-1751.811549577124,-1355.9440617985713,-1456.842779514391,-1204.0022845153774,-1803.0978648570613,-1671.8048965806113,-1846.5144352968687,-2098.623343737826,-Infinity,-1851.1887563962662,-1899.5672820264915,-1552.196609510218,-1218.1449023314728,-1850.811390503698,-1859.4598909159336,-1519.8272287272255,-2060.8551336731925,-1657.8738747434159,-1696.7504795307148,-1802.5445448008127,-1301.8803003344362,-Infinity,-1509.4874282333471,-Infinity,-1709.0035529031247,-1954.4405593067647,-1948.9363488311656,-1302.0179916849672,-1505.344886599251,-Infinity,-1560.9285280502165,-1812.053384883875,-1265.9867956744,-1756.1371528330726,-1703.6013074291584,-953.366018440718,-2107.4608714080655,-1647.5561185638255,-1903.3049777675756,-1849.6451919584679	0.9953750886453527	-953.366018440718	3	true	10
30	31	28	100	0	0	0	0	0	-1858.4938233180474	-1006.3574459373251	58.517545367363745	58.96374676170209	-1708.7125707870937,-1398.140633489901,-1496.3898346226288,-1847.8037075520397,-Infinity,-1603.4334545666093,-1702.328078166105,-1306.5089655246986,-1656.517990028772,-1601.7247689930905,-1110.7029293638682,-1450.259925946059,-1270.7851554964818,-1610.260579185649,-1705.8147131772027,-2095.899041062882,-1854.8068077263172,-1507.1923965360518,-1598.3400859402236,-1604.2810200835015,-1747.2923438456894,-1501.3101796199437,-1646.7903755969294,-1859.8626427895836,-1248.4283463746676,-1006.3574459373251,-1504.0050368186512,-1749.9393380098973,-1499.1879927724112,-1011.6519021291311,-1806.452446140798,-1453.1335270432478,-1750.4512142177912,-1604.7531464185638,-1555.0807848961206,-1295.3333707346105,-1257.0814351095426,-1754.7604143070275,-1794.2644679581979,-1700.037493054907,-1453.2626474129215,-1603.6076570576452,-1897.6545757245126,-1207.2947465495693,-2145.5231921347213,-1703.4971598486027,-1746.7368124203656,-1302.2223239410357,-2350.242552823075,-2054.6397748307554,-1505.4280312087085,-1793.8021283252508,-1560.369651808662,-1298.1410294194197,-1594.5596129447677,-1459.140723999919,-1256.4429738453655,-1843.8292890929883,-Infinity,-1856.6328283009389,-1351.3463220642282,-1904.378141250032,-1803.6824150273214,-1700.4738312017148,-1349.0366605910565,-1621.1839004554313,-2004.1742401991473,-1855.3612977890018,-1899.511290604556,-1846.3310380179535,-2003.9258006560785,-1953.7693954883223,-1661.5126444936764,-1357.1095367337373,-1799.0955342205293,-1652.3850858440417,-1251.1782333371361,-1157.7027370828014,-1322.2606071439238,-1356.097693230943,-1451.2479139867594,-1703.5744603557391,-1255.5272528884543,-1702.203845021947,-1049.044126971211,-1606.4439551309124,-1451.6441651514463,-1650.5604087825404,-1551.5271178248586,-1307.5370166327064,-1399.438780648176,-1608.7080184368353,-1464.0145209620493,-1794.6395057895843,-2056.0868966885287,-1553.8998685228573,-2256.2651474979593,-1952.6549996102124,-1250.6591219090294,-1858.4938233180474	0.9950708431726629	-1006.3574459373251	4	true	9
31	31	28	100	0	0	0	0	0	-1007.4460721561462	-1007.4460721561462	61.09597981404593	61.09597981404593	-1608.3356271541834,-1912.4381524735575,-1951.8468050178737,-2220.2143303916505,-1654.6175337328048,-1316.2733324274755,-1763.4005776638378,-1698.997050887066,-1910.3193632398566,-1807.0596657930548,-1551.6233646471421,-1101.2191063712762,-1453.0013569702264,-1953.8385867580996,-1603.0880791036661,-1757.0896829941848,-1794.6357217039922,-1354.7092560000237,-1611.102651340415,-1454.667619627071,-1660.7760594341166,-1600.5310226426907,-1404.8481027182102,-1507.2619529066508,-1999.3979594971524,-1505.2752271263398,-1858.5125152855967,-1558.045966632851,-1895.8982813354469,-1456.4581284163519,-1900.2124538219582,-1709.6103181061308,-1749.533103307627,-1448.8265222597329,-1700.8670002479355,-1653.971878206863,-1457.1782004508498,-1658.6489387399977,-1751.8702859088685,-Infinity,-1404.227895283208,-1748.16942616343,-1411.7620592327246,-1506.307293363131,-1398.8413418853174,-1703.0753300905662,-2054.8038609660452,-1498.3964836236694,-1316.5842460244091,-1456.2631137305907,-1449.6942740532807,-2003.2559892967133,-1258.846171308367,-1650.8295935675053,-1757.1874709133865,-1595.2654211532567,-1520.260145434836,-1859.969932257111,-1753.4627682970927,-1449.7088497281907,-1554.9492491264466,-1401.6543667030828,-1166.5067964319542,-1608.7396502426332,-1653.0310904879389,-1951.027838388398,-1310.8480136673868,-1852.168147732422,-1702.26343796022,-1265.9268222083447,-1499.2662431392037,-1552.0679799278844,-1700.9409543699394,-1699.077443617426,-1801.2941373109393,-Infinity,-1700.0357457889054,-1648.2608064462443,-1695.5045419335643,-1605.799304342608,-1517.2251583763675,-1905.940774364847,-1845.0101712904843,-1899.5221838245427,-1998.9510948696739,-1916.3473897740116,-1460.631767649496,-1651.2585150327184,-1649.2810107466853,-1652.2747518040271,-2050.869565423658,-1511.6950157041726,-2016.2384275920626,-1202.119821813373,-1706.3308341215993,-1599.6254368913628,-1910.4538539496912,-1251.9488292583596,-2010.8534923147329,-1007.4460721561462	0.994413405370629	-1007.4460721561462	4	true	10
32	32	29	100	0	0	0	0	0	-1459.7740241922747	-1049.7977513981793	59.2325109482131	60.40926351243353	-2297.9875567640393,-1344.7419783089124,-1603.1899181642573,-2254.0756021380166,-1650.0931420655663,-1910.9037424887108,-1810.9882565016337,-2310.3469738034028,-1558.7998583533545,-1368.219003118764,-1720.2170974968,-1961.4129373890257,-1450.0924142451922,-1108.2094034417548,-1156.8128668811348,-1702.2976272333815,-1304.2277417618507,-1601.9886207782686,-1252.4884196775724,-1464.589672817022,-1248.4552004759178,-1315.4685097492077,-2106.874436208049,-1798.2601489091596,-1510.1178776494253,-1658.562449258617,-1859.012636562972,-1907.9259672070723,-1857.0498461836823,-Infinity,-1449.7448067257828,-1753.585774710067,-1419.568374192875,-1329.3307700133166,-1444.6985136597962,-1609.438812157192,-1548.796073512752,-1608.1372524844994,-1702.8936361521476,-Infinity,-1800.0654644706722,-1852.7085887225396,-1222.824692114316,-1761.10082668787,-1720.9655496971118,-1246.7119474122037,-1553.1053698802589,-1899.7912263025255,-1408.1031158047435,-2016.1849711138498,-1205.150065569039,-1755.2735477847004,-1902.7853896148065,-1652.2521546179382,-1647.2951398927728,-1352.6703165503084,-1454.229842344824,-1950.1289219572066,-1565.2218095647381,-2062.6020348353795,-1567.822449161452,-1708.5056110946632,-1810.0164316270186,-1559.9541003758688,-1212.2980917828847,-1407.6461339331274,-1105.0910081194766,-1206.3852977012411,-1652.7694782860676,-1753.4390520770596,-1402.5698324493992,-2017.9055511290273,-1351.5491059099868,-1810.0655281136271,-1206.8735940512722,-1753.92603176125,-1551.8758672752526,-1655.2809518933072,-1703.0938712167165,-1254.1912846732364,-1952.371241645513,-1617.5551004801325,-1566.0156251560009,-1507.5877520844824,-1802.7573335021866,-1350.073328891021,-1707.147632807958,-2046.8981218354763,-1049.7977513981793,-2102.153478671253,-1855.9396694943591,-1516.1982471796027,-1314.9499498000598,-2053.9181248939362,-1459.2502991905071,-1806.2649584323453,-1351.1104050829729,-1314.2075910190026,-1609.4058405979415,-1459.7740241922747	0.9939277750564769	-1049.7977513981793	1	true	11
33	33	28	100	0	0	0	0	0	-1458.1437747318505	-1004.2197092478082	50.87006222137809	65.90922386742515	-1605.1383186318467,-1314.4332827972355,-1557.7388154980495,-Infinity,-Infinity,-Infinity,-2009.287897952555,-1905.5608445282098,-1268.364952398215,-1655.143155557754,-1619.7877419358713,-1307.908863066642,-1764.0916540019743,-1304.8681990483383,-1423.555360133447,-1648.8639465593471,-1666.0590702406494,-1625.7834963966575,-1512.2075212508862,-1708.3969025461656,-1165.1825163338326,-1162.3569672193394,-2060.0572038869577,-1113.3242758399608,-1612.5531556826647,-1011.198874477258,-1306.8076776645314,-1860.0005211644263,-1612.0211087500475,-1217.2268021328273,-1548.3513135981682,-1203.7852364400421,-1660.1233945505694,-1959.2878121922133,-1549.8169392015106,-1800.502719680494,-1309.6268087998462,-1855.864594965376,-1309.4704451568018,-1509.0159269328155,-1314.8145901980354,-1563.064622725721,-1256.458776006796,-Infinity,-1004.2197092478082,-1605.1418018915351,-1659.3850911817806,-2406.078366876677,-1703.666421257244,-1952.352657988519,-1468.3838695340366,-1753.2913351448294,-1702.1318570294884,-1808.456485994603,-1649.0990250017767,-1463.58907756383,-1617.3701192202807,-1511.8378593371951,-1717.3150649219751,-1262.8563028590527,-1510.4531089594009,-1462.8985322769288,-1308.0714174674324,-1360.658379449906,-1556.038880957283,-1457.601234617419,-1707.5421906524427,-1166.258387277243,-2109.936003338713,-1660.7387807225966,-1449.6469828201193,-1998.0698443035358,-Infinity,-1282.4881356256997,-1558.5586724687037,-1753.6567352609247,-1867.6083063313977,-1739.7898715858646,-1950.7956921653026,-1361.287084090305,-1559.5800647516135,-1161.0587516618239,-1666.2689251264046,-1260.9879679306343,-1856.49899246417,-1665.8094056706261,-1559.2804336774868,-1417.3314403636534,-1204.7768883589486,-1112.8413942642185,-1407.8950701863919,-1754.8828410835692,-1414.5176088267428,-1499.8876480498927,-1707.937645234059,-1563.0102926575453,-1810.2573086050897,-1813.1313553442708,-1902.8327167609516,-1458.1437747318505	0.9937912794905724	-1004.2197092478082	3	true	11
