# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d4c1120e-cd0a-4b74-a3ec-dc5678479169
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	43	23607	30186	241488	0	0	-10.311471833851769	-10.311471833851769	-10.311471833851769	-10.311471833851769	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.964648284287676,-10.311471833851769,-10.311471833851769	0.9977623354120823	-10.311471833851769	0	true	196
25	14	14	33	18414	23166	185328	0	0	37.340587217250686	37.340587217250686	37.340587217250686	37.340587217250686	-28.362086766624802,-28.361934144211947,-28.361837659236105,-28.361837659236105,-24.298044923448828,-20.372521454691622,31.866442978005182,33.835711726136296,33.835711726136296,35.82187117957926,35.82187117957926,35.82187117957926,35.82187117957926,36.548898779776565,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61267183204603,36.61546824160686,36.61546824160686,36.61546824160686,36.61546824160686,36.61546824160686,37.34016518675602,37.34016518675602,37.34016518675602,37.340587217250686,37.340587217250686	0.9968314678208231	37.340587217250686	1	true	44
26	14	14	25	13700	17550	140400	0	0	40.92106617995313	40.92106617995313	40.92106617995313	40.92106617995313	-Infinity,-Infinity,-21.14371526775983,-17.56043690290568,-17.56043690290568,-16.339169394404223,-15.278444861953476,-13.708590481264615,37.90577232280027,39.8860693860955,39.88607357944638,39.88607357944638,39.88607357944638,39.88607357944638,39.9428377140365,39.9428377140365,39.9428377140365,39.9428377140365,39.9428377140365,39.94284096645849,40.9210600478432,40.9210600478432,40.9210600478432,40.92106617995313,40.92106617995313	0.9962825977292168	40.92106617995313	0	true	27
27	14	14	15	8100	10530	84240	0	0	42.821297992060174	42.821297992060174	42.821297992060174	42.821297992060174	-18.195125761468248,-14.968023519156318,-14.968023519156318,-11.775236784327081,-10.385489891695194,-7.17942212512184,-7.179419223555279,-7.179379160525422,-7.179379160525422,-7.179291630703639,-7.179291630703639,42.82094457914193,42.82094457914193,42.821297992060174,42.821297992060174	0.9962825977292168	42.821297992060174	0	true	20
28	14	14	26	14040	18252	146016	0	0	43.953566909689336	43.953566909689336	43.953566909689336	43.953566909689336	-17.802084659796204,-16.840030588719397,37.10178791856866,37.10178791856866,40.29448113448143,40.29450188774385,42.878287859429584,42.878287859429584,42.878360714442884,42.878360714442884,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953547102325984,43.953566909689336,43.953566909689336	0.9962825977292168	43.953566909689336	0	true	25
29	14	13	25	13500	17550	140400	0	0	42.76236655879692	42.76236655879692	42.76236655879692	42.76236655879692	12.794320626295871,13.758638432954008,13.758646753681582,13.758648424992295,13.754695079877521,20.86283197935741,20.86283197935741,28.674174541068695,28.674174541068695,36.44255755517744,36.44255755517744,36.44255755517744,39.862611363821436,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,41.76269373465621,42.76236655879692,42.76236655879692	0.9962914805418883	42.76236655879692	0	true	26
30	14	13	27	14580	18954	151632	0	0	41.06916039617846	41.06916039617846	41.06916039617846	41.06916039617846	-79.78384250364633,-79.7835099558875,-20.707806186969812,34.270593996406575,36.754084418625816,40.543663996159125,40.54366862080439,40.780890516204806,40.780890516204806,40.780890516204806,40.78090089990574,40.78090089990574,40.78090872008162,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,40.780932429112966,41.06916039617846,41.06916039617846	0.9961225974367784	41.06916039617846	0	true	25
31	14	12	40	21600	28080	224640	0	0	35.762885722788965	35.762885722788965	35.762885722788965	35.762885722788965	15.839462782156197,26.819294874539548,27.353360510077547,28.359663085074526,28.359663085074526,28.35966411808676,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,33.065247905599435,35.441574459164826,35.441574459164826,35.441574459164826,35.441574459164826,35.441574459164826,35.441574459164826,35.441574459164826,35.762885722788965,35.762885722788965	0.9959502050723418	35.762885722788965	0	true	36
32	14	12	32	17280	22464	179712	0	0	37.51114999479958	37.76767542368682	37.51114999479958	38.57643337510944	-35.76151535393851,14.238527479469262,14.238550929375286,25.290575279761896,25.290575279761896,29.27353235626171,29.27353235626171,32.76853249771006,35.64439486281914,35.64439974707395,35.64444800440164,35.64444800440164,35.64444800440164,35.64444800440164,37.76748392475172,37.76755920343827,37.76755920343827,37.76755920343827,37.76767542368682,37.76767542368682,37.76767542368682,37.76767542368682,37.76767542368682,37.3825101753628,35.6001717438391,35.1201008322806,36.639965504728494,36.639965504728494,36.639965504728494,36.639965504728494,37.51114999479958,37.51114999479958	0.9959502050723418	37.76767542368682	2	true	29
33	15	14	37	19980	25974	207792	0	0	38.35330052742663	38.35330052742663	38.35330052742663	38.35330052742663	-38.347168472162295,-38.347168472162295,-38.347004596021335,-29.680842200630742,-23.004572038457525,-23.004572038457525,-19.501036671970603,-16.905967474267726,-16.905967474267726,-16.905967474267726,-16.905967474267726,-14.929523821401277,-12.78368059786681,38.044308700862004,38.044308700862004,38.044308700862004,38.04447024293846,38.04447024293846,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.044617073528684,38.353150898494825,38.353150898494825,38.353150898494825,38.353150898494825,38.353150898494825,38.353150898494825,38.353150898494825,38.353150898494825,38.35330052742663,38.35330052742663	0.995680357652013	38.35330052742663	0	true	33
