# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d5bde904-13d2-424a-978c-2a68cfaf2b98
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	482	2	16	0	0	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	0.9991239280309399	1.6113263485948806	0	true	6
25	6	6	5	2410	10	80	0	0	1.8633425251802858	1.8633425251802858	1.8633425251802858	1.8633425251802858	1.8107780495114125,1.8107780495114125,1.8107780495114125,1.8633425251802858,1.8633425251802858	0.9990443117099597	1.8633425251802858	0	true	4
26	6	6	7	3374	14	112	0	0	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0432062748811934,2.0432062748811934,2.0432062748811934,2.0432062748811934,2.0432062748811934,2.0492672163217294,2.0492672163217294	0.9990443117099597	2.0492672163217294	0	true	3
27	6	6	6	2898	12	96	0	0	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619	2.2106380498029683,2.2106380498029683,2.2106380498029683,2.2106380498029683,2.210638520869619,2.210638520869619	0.9990443117099597	2.210638520869619	0	true	2
28	6	6	13	6279	26	208	0	0	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.360227015222415,2.3602281783234216,2.3602281783234216	0.9990443117099597	2.3602281783234216	0	true	2
29	6	6	5	2415	10	80	0	0	2.493938995428037	2.493938995428037	2.493938995428037	2.493938995428037	2.4939387316038855,2.4939387316038855,2.4939387316038855,2.493938995428037,2.493938995428037	0.9990443117099597	2.493938995428037	0	true	2
30	6	6	1	483	2	16	0	0	2.5813664775262453	2.5813664775262453	2.5813664775262453	2.5813664775262453	2.5813664775262453	0.99887542860485	2.5813664775262453	0	true	1
31	6	6	4	1932	8	64	0	0	2.6868725185305165	2.6868725185305165	2.6868725185305165	2.6868725185305165	2.6868723796147265,2.6868723796147265,2.6868725185305165,2.6868725185305165	0.99887542860485	2.6868725185305165	0	true	1
32	7	7	2	966	4	32	0	0	2.7792405659901194	2.7792405659901194	2.7792405659901194	2.7792405659901194	2.7792405659901194,2.7792405659901194	0.9987036576717526	2.7792405659901194	0	true	1
33	7	7	1	481	2	16	0	0	2.8546182746988666	2.8546182746988666	2.8546182746988666	2.8546182746988666	2.8546182746988666	0.9986204224270916	2.8546182746988666	0	true	1
