# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d5bde904-13d2-424a-978c-2a68cfaf2b98
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	1.6113263485948806	0.9991239280309399	1.6113263485948806	0	true	2
25	6	6	1	0	0	0	0	0	1.8633425251802858	1.8633425251802858	1.8633425251802858	1.8633425251802858	1.8633425251802858	0.9990443117099597	1.8633425251802858	0	true	0
26	6	6	1	0	0	0	0	0	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0492672163217294	2.0492672163217294	0.9990443117099597	2.0492672163217294	0	true	1
27	6	6	1	0	0	0	0	0	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619	2.210638520869619	0.9990443117099597	2.210638520869619	0	true	0
28	6	6	1	0	0	0	0	0	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216	2.3602281783234216	0.9990443117099597	2.3602281783234216	0	true	0
29	6	6	1	0	0	0	0	0	2.493938995428037	2.493938995428037	2.493938995428037	2.493938995428037	2.493938995428037	0.9990443117099597	2.493938995428037	0	true	1
30	6	6	1	0	0	0	0	0	2.5813664775262453	2.5813664775262453	2.5813664775262453	2.5813664775262453	2.5813664775262453	0.99887542860485	2.5813664775262453	0	true	1
31	6	6	1	0	0	0	0	0	2.6868725185305165	2.6868725185305165	2.6868725185305165	2.6868725185305165	2.6868725185305165	0.99887542860485	2.6868725185305165	0	true	0
32	7	7	1	0	0	0	0	0	2.7792405659901194	2.7792405659901194	2.7792405659901194	2.7792405659901194	2.7792405659901194	0.9987036576717526	2.7792405659901194	0	true	0
33	7	7	1	0	0	0	0	0	2.8546182746988666	2.8546182746988666	2.8546182746988666	2.8546182746988666	2.8546182746988666	0.9986204224270916	2.8546182746988666	0	true	0
34	8	8	1	0	0	0	0	0	-47.08630377094272	-47.08630377094272	2.9136960370312934	2.9136960370312934	-47.08630377094272	0.9984128643598162	-47.08630377094272	0	true	0
35	9	9	1	0	0	0	0	0	2.956515126618287	2.956515126618287	2.956515126618287	2.956515126618287	2.956515126618287	0.998144332911735	2.956515126618287	0	true	0
36	10	10	1	0	0	0	0	0	2.9993971614273676	2.9993971614273676	2.9993971614273676	2.9993971614273676	2.9993971614273676	0.9981368757356651	2.9993971614273676	0	true	1
37	11	11	1	0	0	0	0	0	2.9997436197144838	2.9997436197144838	2.9997436197144838	2.9997436197144838	2.9997436197144838	0.9979193747669632	2.9997436197144838	0	true	1
38	11	11	1	0	0	0	0	0	-97.0000743793907	-97.0000743793907	2.9997183952236135	2.9997183952236135	-97.0000743793907	0.9975972905593614	-97.0000743793907	0	true	0
39	12	12	1	0	0	0	0	0	2.9994551705334693	2.9994551705334693	2.9994551705334693	2.9994551705334693	2.9994551705334693	0.9975264473866985	2.9994551705334693	0	true	0
40	12	12	1	0	0	0	0	0	-97.0002141022126	-97.0002141022126	2.999634953251043	2.999634953251043	-97.0002141022126	0.9975264473866985	-97.0002141022126	0	true	1
41	13	13	1	0	0	0	0	0	2.9999691316219006	2.9999691316219006	2.9999691316219006	2.9999691316219006	2.9999691316219006	0.9974928900943846	2.9999691316219006	0	true	1
42	15	15	1	0	0	0	0	0	-47.00017810671477	-47.00017810671477	2.999821314466802	2.999821314466802	-47.00017810671477	0.9973089464179967	-47.00017810671477	0	true	0
43	15	15	1	0	0	0	0	0	-147.00000142006238	-147.00000142006238	2.999742868651672	2.999742868651672	-147.00000142006238	0.9972257111733355	-147.00000142006238	0	true	1
44	16	16	1	0	0	0	0	0	-97.00032556780133	-97.00032556780133	2.9993641136493836	2.9993641136493836	-97.00032556780133	0.9971411965112114	-97.00032556780133	0	true	0
45	18	18	1	0	0	0	0	0	-147.00005336501596	-147.00005336501596	2.9993857043720995	2.9993857043720995	-147.00005336501596	0.996617074008817	-147.00005336501596	0	true	0
46	19	19	1	0	0	0	0	0	-97.00010416029518	-97.00010416029518	2.9992811360856337	2.9992811360856337	-97.00010416029518	0.9964878162902743	-97.00010416029518	0	true	1
47	19	19	1	0	0	0	0	0	2.999277728398321	2.999277728398321	2.999277728398321	2.999277728398321	2.999277728398321	0.9964878162902743	2.999277728398321	0	true	0
48	20	20	1	0	0	0	0	0	-97.00008958839359	-97.00008958839359	2.999505564944055	2.999505564944055	-97.00008958839359	0.9960831548241349	-97.00008958839359	0	true	0
49	23	23	1	0	0	0	0	0	-97.00038852578625	-97.00038852578625	2.9992622661630914	2.9992622661630914	-97.00038852578625	0.9959128826372083	-97.00038852578625	0	true	0
50	23	23	1	0	0	0	0	0	-97.0000165090643	-97.0000165090643	2.999851873525403	2.999851873525403	-97.0000165090643	0.9955316893428181	-97.0000165090643	0	true	1
51	24	24	1	0	0	0	0	0	-97.00003619553648	-97.00003619553648	2.999418334926777	2.999418334926777	-97.00003619553648	0.9954409603673023	-97.00003619553648	0	true	1
52	24	24	1	0	0	0	0	0	2.9999472119920942	2.9999472119920942	2.9999472119920942	2.9999472119920942	2.9999472119920942	0.9954083900541741	2.9999472119920942	0	true	0
53	27	27	1	0	0	0	0	0	2.999794304030724	2.999794304030724	2.999794304030724	2.999794304030724	2.999794304030724	0.9949783595674838	2.999794304030724	0	true	1
54	28	28	1	0	0	0	0	0	-97.00011536546208	-97.00011536546208	2.9628522212766506	2.9628522212766506	-97.00011536546208	0.9944607072619737	-97.00011536546208	0	true	1
55	29	29	1	0	0	0	0	0	-97.00004747884432	-97.00004747884432	2.9991224857863896	2.9991224857863896	-97.00004747884432	0.9943720619091834	-97.00004747884432	0	true	0
56	32	32	1	0	0	0	0	0	-47.00025007724533	-47.00025007724533	2.9997491736346555	2.9997491736346555	-47.00025007724533	0.9937259560903926	-47.00025007724533	0	true	0
57	33	33	1	0	0	0	0	0	-97.00014339195745	-97.00014339195745	2.999607413023377	2.999607413023377	-97.00014339195745	0.9934888617571154	-97.00014339195745	0	true	0
58	34	34	1	0	0	0	0	0	-97.00027682873163	-97.00027682873163	2.999272410594224	2.999272410594224	-97.00027682873163	0.9931386669201132	-97.00027682873163	0	true	0
