# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d5ef2120-5e98-4dd9-a661-ea2d7bf5c78b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	4	4	1	0	0	0	0	0	-36.74963700801459	-36.74963700801459	21.56756853636946	21.56756853636946	-36.74963700801459	0.9983840226347228	-36.74963700801459	20	false	9
25	4	4	1	0	0	0	0	0	-22.63209873972307	-22.63209873972307	23.995963558479804	23.995963558479804	-22.63209873972307	0.9983840226347228	-22.63209873972307	18	false	6
26	4	4	1	0	0	0	0	0	-22.048828687736375	-22.048828687736375	25.81119180007857	25.81119180007857	-22.048828687736375	0.9983840226347228	-22.048828687736375	18	false	1
27	5	5	1	0	0	0	0	0	-16.740951012955403	-16.740951012955403	26.061488445715877	26.061488445715877	-16.740951012955403	0.9980807641412184	-16.740951012955403	16	false	1
28	5	5	1	0	0	0	0	0	-11.570592372504686	-11.570592372504686	41.553512934411984	41.553512934411984	-11.570592372504686	0.997861216104576	-11.570592372504686	16	false	0
29	5	5	1	0	0	0	0	0	-5.018411703816421	-5.018411703816421	42.06478906226815	42.06478906226815	-5.018411703816421	0.997861216104576	-5.018411703816421	16	false	0
30	5	5	1	0	0	0	0	0	13.938753430060299	13.938753430060299	41.849522459556724	41.849522459556724	13.938753430060299	0.997861216104576	13.938753430060299	14	false	0
31	5	5	1	0	0	0	0	0	3.112852129912822	3.112852129912822	33.63279233217588	33.63279233217588	3.112852129912822	0.9975017363522711	3.112852129912822	16	false	2
32	5	5	1	0	0	0	0	0	-16.354441727647398	-16.354441727647398	30.692979030933508	30.692979030933508	-16.354441727647398	0.9973147586287571	-16.354441727647398	18	false	1
33	5	4	1	0	0	0	0	0	-78.05119007869041	-78.05119007869041	14.22896815484923	14.22896815484923	-78.05119007869041	0.997395032935861	-78.05119007869041	22	false	5
34	6	6	1	0	0	0	0	0	-77.27227546558804	-77.27227546558804	7.688351426333364	7.688351426333364	-77.27227546558804	0.9972526154948422	-77.27227546558804	22	false	1
35	6	6	1	0	0	0	0	0	-1.2401696033060432	-1.2401696033060432	42.653148055816615	42.653148055816615	-1.2401696033060432	0.9972526154948422	-1.2401696033060432	16	false	1
36	6	6	1	0	0	0	0	0	-23.82915718014779	-23.82915718014779	43.30963061387092	43.30963061387092	-23.82915718014779	0.9972526154948422	-23.82915718014779	19	false	1
37	6	6	1	0	0	0	0	0	-38.73459832172237	-38.73459832172237	35.39867568329289	35.39867568329289	-38.73459832172237	0.9967797428005352	-38.73459832172237	20	false	1
38	6	6	1	0	0	0	0	0	-38.229445605077345	-38.229445605077345	35.83345026641037	35.83345026641037	-38.229445605077345	0.9967797428005352	-38.229445605077345	20	false	1
39	6	4	1	0	0	0	0	0	-49.50776845846813	-49.50776845846813	10.422886556047988	10.422886556047988	-49.50776845846813	0.9968764667607344	-49.50776845846813	20	false	2
