# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d65104aa-6ddc-4651-9bac-b69794ae8933
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	17	1921	11050	88400	0	0	74.42667362164549	74.42667362164549	74.42667362164549	74.42667362164549	52.67098490688079,65.19795446228888,65.19795446228888,70.46200982390852,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,72.44154557842012,74.42667362164549,74.42667362164549	0.9964998428144262	74.42667362164549	0	true	30
25	25	24	33	3993	21450	171600	0	0	75.11422679001834	75.11422679001834	75.11422679001834	75.11422679001834	63.16484201277578,67.14979095774784,69.13555967007741,69.13555967007741,69.13812761616597,73.12295306172307,73.12295306172307,73.12295306172307,73.12295306172307,73.12295306172307,73.12295306172307,73.13014160787596,73.13014160787596,73.1387402540427,75.1051168753066,75.1051168753066,75.1051168753066,75.1051168753066,75.1051168753066,75.1051168753066,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11224578251486,75.11422679001834,75.11422679001834	0.9963247819507096	75.11422679001834	0	true	20
26	25	25	24	3000	15600	124800	0	0	75.75107789938201	75.75107789938201	75.75107789938201	75.75107789938201	68.46976655739263,68.46976655739263,68.46976655739263,70.46461036764096,70.46461036764096,70.46461036764096,73.74019620148928,75.70279024862177,75.70279024862177,75.70279024862177,75.70279024862177,75.70279024862177,75.70279024862177,75.70279024862177,75.74743338209565,75.74743338209565,75.75044794917405,75.75044794917405,75.75044794917405,75.75044794917405,75.75044794917405,75.75044794917405,75.75107789938201,75.75107789938201	0.9963214920200906	75.75107789938201	0	true	11
27	26	26	22	2838	14300	114400	0	0	75.90454261493038	75.90454261493038	75.90454261493038	75.90454261493038	66.83944586268765,66.87250212676724,66.87250212676724,73.88753965393443,73.88753965393443,73.88753965393443,73.91203583259397,73.91348107649527,73.91348107649527,73.91348107649527,73.91348107649527,73.91359928369828,73.91359928369828,73.91359928369828,74.91079525846554,74.91079525846554,74.91079525846554,74.91079525846554,74.91079525846554,74.91079525846554,75.90454261493038,75.90454261493038	0.9959687749029471	75.90454261493038	0	true	11
28	26	25	29	3857	18850	150800	0	0	75.92885925190751	75.92885925190751	75.92885925190751	75.92885925190751	69.87661142464869,69.87661142464869,69.87661142464869,69.87661142464869,69.87661142464869,69.87661142464869,73.8819976636804,73.8819976636804,73.8819976636804,73.8819976636804,73.8819976636804,73.8819976636804,73.8819976636804,73.8819976636804,73.89746784217061,73.89746784217061,73.89746784217061,73.89746784217061,73.9090715073439,73.9090715073439,75.9091946614069,75.9091946614069,75.9091946614069,75.9091946614069,75.9091946614069,75.9091946614069,75.9091946614069,75.92885925190751,75.92885925190751	0.9957105153493541	75.92885925190751	0	true	33
29	29	27	57	7353	37050	296400	0	0	75.83195578419931	75.83195578419931	75.83195578419931	75.83195578419931	65.70952374857245,65.70952374857245,69.7571293152575,69.7571293152575,69.7571293152575,69.7578446479954,69.7578446479954,69.7578446479954,73.75790646591801,73.77046083964152,73.77046083964152,73.77046083964152,73.77074426407538,73.77074426407538,73.77074426407538,73.77074426407538,73.77074426407538,73.80828882541346,73.80828882541346,73.80828882541346,73.80828882541346,73.80828882541346,73.80828882541346,73.80828882541346,73.83168931271527,73.83168931271527,73.83168931271527,73.83183958405478,73.83183958405478,73.83183958405478,73.83183958405478,73.83183958405478,73.83183958405478,73.83183958405478,73.83193551918822,73.83193551918822,73.83193551918822,73.83193551918822,73.83193551918822,73.83193551918822,73.83193551918822,73.83193551918822,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,73.83205579872677,75.83195578419931,75.83195578419931	0.9953461738106899	75.83195578419931	0	true	12
30	30	26	24	3288	15600	124800	0	0	75.6546303276579	75.6546303276579	75.6546303276579	75.6546303276579	65.69468906062117,70.67120318535773,70.67142786836658,70.67190328778929,70.67190328778929,70.67190328778929,70.67190328778929,71.65874526973242,71.65874526973242,71.65874526973242,72.64285773627141,72.64285773627141,72.64285773627141,72.65830383384568,72.65830383384568,73.63891316212148,73.63891316212148,73.63891316212148,73.63891316212148,73.63891316212148,73.63891316212148,75.63903777429145,75.6546303276579,75.6546303276579	0.9950954810975209	75.6546303276579	0	true	8
31	31	26	15	1995	9750	78000	0	0	69.22928459852778	69.22928459852778	69.22928459852778	69.22928459852778	64.96480555412926,64.96480555412926,66.92247631971532,66.92247631971532,66.92247631971532,66.92247631971532,66.92247631971532,66.92247631971532,66.92247631971532,68.21564990106805,68.21564990106805,68.21564990106805,68.21564990106805,69.22928459852778,69.22928459852778	0.9944364714397467	69.22928459852778	0	true	6
32	32	28	11	1463	7150	57200	0	0	70.43891721108086	70.43891721108086	70.43891721108086	70.43891721108086	44.093476121220334,51.35775547031346,56.27290104168357,59.47431403301211,61.21073063382266,62.45942876557932,64.17616181541818,65.16168638846445,68.4391277832269,70.43891721108086,70.43891721108086	0.9939436398330176	70.43891721108086	0	true	6
33	35	29	13	1833	8450	67600	0	0	70.30975010070061	70.30975010070061	70.30975010070061	70.30975010070061	37.774018500201564,47.519276496010505,50.75827109423802,54.641847870082934,56.554989396339295,64.8756678572296,64.8756678572296,66.16919250680166,66.16919250680166,67.39164947291191,69.30997935040449,70.30975010070061,70.30975010070061	0.9934240135691358	70.30975010070061	0	true	6
