# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: d9bf1452-a84f-475f-ad1d-368b3eba5393
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	13	1469	8450	67600	0	0	74.13653298622974	74.13653298622974	74.13653298622974	74.13653298622974	41.87293011512784,55.73458481179095,63.01450709496383,65.00987079366774,65.00987079366774,65.00987079366774,66.99564296260124,70.25536429753758,74.12489956108594,72.15162048047058,72.15162048047058,74.13653298622974,74.13653298622974	0.9964998428144262	74.13653298622974	0	true	29
25	26	26	40	4840	26000	208000	0	0	74.8658969435443	74.8658969435443	74.8658969435443	74.8658969435443	70.76626852894309,71.80127289331705,71.80127289331705,71.80127289331705,71.80764956680117,71.79800377219894,71.79800377219894,72.82700157776844,72.82700157776844,74.8238055132006,74.8238055132006,74.8238055132006,74.84176835260084,74.84176835260084,74.84176835260084,74.84176835260084,74.84176835260084,74.84176835260084,74.8423692662128,74.8423692662128,74.8423692662128,74.8423692662128,74.8423692662128,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.86270087897644,74.8658969435443,74.8658969435443	0.9963003633545594	74.8658969435443	0	true	14
26	26	25	49	6517	31850	254800	0	0	75.37361027500909	75.37361027500909	75.37361027500909	75.37361027500909	65.35282417896613,67.36087045649676,71.36777135762523,71.36777135762523,71.36778283955265,71.36778283955265,71.36778283955265,71.36778283955265,71.36778283955265,73.36957156536437,73.36957156536437,73.36957156536437,73.36957156536437,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.36185624197779,75.37361027500909,75.37361027500909	0.9963026663059927	75.37361027500909	0	true	24
27	27	25	44	5676	28600	228800	0	0	75.66779666105694	75.66779666105694	75.66779666105694	75.66779666105694	71.68633915939316,71.68633915939316,73.67401906745322,73.67401906745322,73.67401906745322,73.67401906745322,73.67401906745322,73.67401906745322,73.67401906745322,73.6742980553225,73.6742980553225,74.66866313073166,74.66866313073166,74.66866313073166,74.66866313073166,74.66866313073166,74.66866313073166,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66322953418175,75.66329943573459,75.66329943573459,75.66329943573459,75.66329943573459,75.66329943573459,75.66329943573459,75.66329943573459,75.66329943573459,75.66779666105694,75.66779666105694	0.9959723207170587	75.66779666105694	0	true	11
28	27	25	67	8643	43550	348400	0	0	75.7034396971998	75.7034396971998	75.7034396971998	75.7034396971998	75.64999196486222,75.66559295042217,75.66561042520516,75.66604182739975,75.66604182739975,75.66604182739975,75.6662109499049,75.66972906357944,75.6709563610199,75.6709563610199,75.67134459805432,75.67171200303301,75.67216577664402,75.67216577664402,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.6835607030017,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70245040288174,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.70305796083389,75.7034396971998,75.7034396971998	0.9957117582120323	75.7034396971998	0	true	14
29	29	25	14	1806	9100	72800	0	0	75.56539411377464	75.56539411377464	75.56539411377464	75.56539411377464	67.54018310889981,67.54018310889981,67.54018310889981,67.54018310889981,67.56919580496007,67.56919580496007,67.56919580496007,71.56534468150343,71.56534468150343,73.56533850406566,73.5653586062948,73.5653586062948,75.56539411377464,75.56539411377464	0.9953882118130443	75.56539411377464	0	true	6
30	31	26	21	2709	13650	109200	0	0	74.03837944399008	74.03837944399008	74.03837944399008	74.03837944399008	59.64217913016053,60.62729143841631,60.62729143841631,65.62724078410949,64.9532882015294,66.75221676447114,66.75221676447114,68.74306207205085,68.74306207205085,70.72670479632535,70.72670479632535,72.29480206245225,72.29480206245225,72.29486774352377,72.29486774352377,72.29486774352377,72.29486774352377,72.29486774352377,72.29486774352377,74.03837944399008,74.03837944399008	0.9950876218188198	74.03837944399008	0	true	7
31	31	28	8	1064	5200	41600	0	0	73.28469552100306	73.28469552100306	73.28469552100306	73.28469552100306	65.31871486284543,69.11559001087188,69.11559001087188,69.11559001087188,71.75454595506723,71.75454595506723,73.28469552100306,73.28469552100306	0.9944117604053193	73.28469552100306	0	true	5
32	32	27	14	1974	9100	72800	0	0	73.30181955877455	73.30181955877455	73.30181955877455	73.30181955877455	58.6029839177438,58.6029839177438,63.31766692459492,68.64088128537283,70.1270800555534,71.1101999234135,71.1101999234135,71.1101999234135,71.1101999234135,71.1101999234135,70.57554051508463,71.35543007924974,73.30181955877455,73.30181955877455	0.9939425797442627	73.30181955877455	0	true	6
33	33	28	10	1370	6500	52000	0	0	71.02982726865847	71.02982726865847	71.02982726865847	71.02982726865847	55.79737408343607,55.24331135121557,57.05467457027423,57.05467457027423,62.62535843444684,64.10772529962426,64.10772529962426,69.08164551587429,71.02982726865847,71.02982726865847	0.9937769500149874	71.02982726865847	0	true	5
