# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: dbef3a6f-8de8-4d42-bde4-c38f4c9d6167
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	0	0	0	0	0	-2467.0262884793488	-2298.8502797135193	-105.45930799706706	-55.68921064625923	-Infinity,-Infinity,-Infinity,-3175.398454096294,-Infinity,-2669.042515296384,-Infinity,-Infinity,-Infinity,-2674.078692032347,-Infinity,-2777.297360995612,-Infinity,-2879.984007982738,-3228.572389051029,-Infinity,-Infinity,-Infinity,-3382.1260828533154,-2736.7921956844134,-Infinity,-Infinity,-3170.087764913752,-2945.915160348874,-3224.9242809490784,-2874.50349787447,-3169.3357313468878,-2676.615558111659,-Infinity,-Infinity,-2927.029876697191,-2688.3601523835887,-2773.2711689527796,-Infinity,-Infinity,-Infinity,-3280.7812171036617,-2774.0909050713244,-3333.3124912983867,-2298.8502797135193,-Infinity,-3075.885815976287,-3287.2198255197504,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3389.2056715309204,-Infinity,-2618.999256171141,-Infinity,-Infinity,-Infinity,-3078.802743596969,-3037.2539270683183,-3271.550289463114,-2933.875350060077,-Infinity,-2575.075619597534,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2327.375625007279,-Infinity,-Infinity,-2637.057730143613,-Infinity,-3290.3416035180594,-Infinity,-2670.7952050261138,-Infinity,-Infinity,-Infinity,-3077.7545067622455,-Infinity,-Infinity,-Infinity,-2927.542574227257,-3233.27078832433,-Infinity,-2666.5290924521937,-3266.914556764134,-Infinity,-Infinity,-Infinity,-Infinity,-2730.642947796242,-2935.1301867422426,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2773.9943008350574,-3074.3560249557754,-3028.7571994397317,-2467.0262884793488	0.9977516614149626	-2298.8502797135193	9	false	30
24	13	13	100	0	0	0	0	0	-3270.957159870039	-2109.2238165115846	-300.9767118414583	-237.09997302186974	-Infinity,-Infinity,-2962.0495120384257,-3323.4137610813987,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2262.979951397977,-2815.1226063443087,-2869.93823621722,-2777.2427449137404,-Infinity,-2961.852328994915,-3279.089616336701,-2721.2891461620284,-Infinity,-3216.0461562032147,-3175.5735550444388,-3313.1664913983286,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2274.545338660355,-3271.459085351088,-Infinity,-2776.704134678728,-Infinity,-3281.0417817442476,-2573.726197883665,-2615.186982841867,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2411.748163284037,-Infinity,-Infinity,-2884.5206104296044,-3022.716744040978,-3073.6466050038234,-Infinity,-Infinity,-Infinity,-Infinity,-3317.7077965807316,-2819.586139741085,-Infinity,-Infinity,-Infinity,-Infinity,-2671.217841311798,-Infinity,-Infinity,-Infinity,-3419.5987726325807,-3011.359452723745,-Infinity,-3171.0622737570957,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2371.234182298045,-Infinity,-Infinity,-2109.2238165115846,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2976.9199961046643,-3266.428572396062,-2720.723922132876,-2912.668424820272,-Infinity,-Infinity,-Infinity,-Infinity,-2468.0574373470026,-Infinity,-Infinity,-3071.8981338399417,-Infinity,-2764.890305882686,-Infinity,-3030.124839223583,-Infinity,-Infinity,-3270.957159870039	0.9975615034251832	-2109.2238165115846	3	true	18
25	15	15	100	0	0	0	0	0	-3164.7507436300766	-2113.8565420483937	-143.81830279517482	-199.7201638157704	-Infinity,-3175.025070108554,-Infinity,-Infinity,-3035.3484394513935,-Infinity,-2774.03730428323,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2821.5977793808506,-Infinity,-Infinity,-3122.3339630595156,-2420.4187169830784,-2917.619846054915,-2968.072576036209,-2767.3115577634726,-Infinity,-3026.9800644697793,-Infinity,-Infinity,-Infinity,-3106.239215294892,-3062.022313162792,-3168.109290028665,-Infinity,-Infinity,-2217.2167110543764,-Infinity,-3268.6590444533213,-Infinity,-2667.391566533797,-Infinity,-2364.9387479428815,-Infinity,-2319.555931028707,-Infinity,-Infinity,-3107.7737224494635,-Infinity,-Infinity,-Infinity,-2729.5206889824567,-2765.127519721481,-3130.3685409422274,-Infinity,-Infinity,-Infinity,-2960.7498987468966,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2475.976190020588,-3169.054772078062,-3265.033054532555,-2863.751873939087,-Infinity,-Infinity,-2710.7153227512945,-Infinity,-Infinity,-3227.87559605227,-2113.8565420483937,-3310.170021577337,-2222.980984717012,-Infinity,-2720.0563480939923,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2721.4968169152135,-3015.433111173354,-2364.98843943202,-2868.64114152133,-Infinity,-Infinity,-Infinity,-Infinity,-2972.0031166574677,-Infinity,-Infinity,-Infinity,-2722.236842248327,-Infinity,-Infinity,-Infinity,-Infinity,-3112.4255935680294,-2678.6163445328375,-3164.7507436300766	0.9966306358339244	-2113.8565420483937	3	true	17
26	15	15	100	0	0	0	0	0	-2830.1408416542004	-2371.5245302641983	-149.48072517783714	-200.47321359748028	-Infinity,-2664.3486553393645,-Infinity,-2412.054532328743,-Infinity,-Infinity,-Infinity,-3271.4136233414356,-Infinity,-Infinity,-3134.5819701742944,-Infinity,-2873.5776422641375,-2929.7315972367305,-Infinity,-Infinity,-Infinity,-Infinity,-2974.667796323155,-Infinity,-Infinity,-Infinity,-2629.4756949225857,-Infinity,-3107.890152602996,-Infinity,-Infinity,-3124.2443818840816,-3225.0760917696134,-2512.2254934352695,-Infinity,-Infinity,-3169.5120019221736,-2430.2940169783815,-Infinity,-Infinity,-2371.5245302641983,-Infinity,-2771.237265901669,-3327.504319203811,-Infinity,-Infinity,-Infinity,-3062.8609533227977,-Infinity,-3326.300088338013,-3308.5930648076023,-Infinity,-Infinity,-3117.1261012411364,-Infinity,-Infinity,-Infinity,-3113.4993816820106,-Infinity,-2581.723138100795,-2672.507820005112,-Infinity,-2971.1402294310174,-2470.3880729645393,-3017.816368028627,-Infinity,-Infinity,-Infinity,-2915.1338416981685,-2975.6097039342003,-Infinity,-Infinity,-Infinity,-2628.6077208166985,-Infinity,-3263.400170422835,-Infinity,-Infinity,-3121.9096915241407,-3272.0041491187612,-3225.159560145665,-2475.7920252463273,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2570.4287106030088,-3023.874487627331,-Infinity,-3022.8389184614225,-3170.776754015717,-Infinity,-Infinity,-3113.735126399638,-Infinity,-3063.741580969901,-3217.276112440357,-3061.1865383447835,-Infinity,-2904.958798885429,-Infinity,-Infinity,-2830.1408416542004	0.9960817657423182	-2371.5245302641983	7	true	15
27	15	15	100	0	0	0	0	0	-Infinity	-2013.1467754680002	-Infinity	-99.6817760744346	-Infinity,-Infinity,-3072.620622334749,-2863.1995357824803,-2779.1770819234393,-Infinity,-Infinity,-Infinity,-2871.9166849862067,-Infinity,-Infinity,-3069.751931571698,-Infinity,-3282.473566437605,-Infinity,-2377.1620908758955,-3022.9322195667746,-2581.5432774527276,-Infinity,-2731.2965514819957,-2822.5047405889372,-Infinity,-2729.9608623471454,-Infinity,-Infinity,-3115.4511627239517,-Infinity,-Infinity,-Infinity,-Infinity,-2319.2792746414398,-2777.6651290343457,-2771.2171621630177,-2889.4936486169468,-Infinity,-Infinity,-3013.992433500316,-Infinity,-2974.5377625070555,-Infinity,-2565.0825236356095,-3083.471147593724,-2532.806574831176,-Infinity,-2124.9016652251726,-Infinity,-3076.9395828395986,-3214.84453890175,-Infinity,-2328.7239239842283,-Infinity,-Infinity,-2784.1807197570697,-2869.3453161212506,-2013.1467754680002,-2681.8024269860543,-Infinity,-Infinity,-2311.8346776010167,-Infinity,-2981.9574382650217,-Infinity,-3280.2875752655077,-2927.1410535057003,-3155.5411525465847,-Infinity,-Infinity,-3168.168115616749,-Infinity,-2722.331964648691,-Infinity,-Infinity,-Infinity,-Infinity,-3365.3655272034907,-Infinity,-2522.2196304413073,-Infinity,-Infinity,-3216.3607710354404,-Infinity,-2968.6072533232477,-Infinity,-2389.356271994865,-Infinity,-Infinity,-Infinity,-2227.9344582361264,-Infinity,-2455.2387424019275,-3062.651231542142,-Infinity,-Infinity,-3112.1230140532202,-Infinity,-2627.2387106411898,-Infinity,-Infinity,-Infinity,-Infinity	0.9960817657423182	-2013.1467754680002	5	true	9
28	15	15	100	0	0	0	0	0	-Infinity	-1715.2668838970515	-812.4740751750712	-153.59051500941973	-Infinity,-Infinity,-Infinity,-2863.252260213102,-Infinity,-Infinity,-Infinity,-2177.010659157346,-Infinity,-2367.4097767836647,-2665.3175228943282,-Infinity,-2638.172263949328,-2867.271655754808,-Infinity,-2719.9802303677225,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2678.464269997535,-2938.7110528028943,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2921.8536872955015,-Infinity,-Infinity,-Infinity,-2828.00031918845,-Infinity,-Infinity,-2912.7271579773837,-Infinity,-Infinity,-Infinity,-Infinity,-2464.48926033327,-Infinity,-Infinity,-3265.9655603689753,-Infinity,-2667.7601698693156,-Infinity,-Infinity,-3115.0752780836224,-Infinity,-2616.594771989057,-Infinity,-Infinity,-2540.0351145046216,-2324.041346054192,-2429.1337329379703,-Infinity,-Infinity,-2715.2720189630377,-Infinity,-2623.203261868981,-Infinity,-Infinity,-2873.6652407405686,-Infinity,-2423.398797038088,-2866.347372750467,-2215.9252032807926,-2322.665571952551,-Infinity,-Infinity,-2667.096916605516,-Infinity,-2776.1411377245013,-3326.8515690136364,-Infinity,-Infinity,-2672.931909782296,-Infinity,-2123.96486466473,-2964.5527512087465,-3171.773052563613,-2719.0371493595267,-Infinity,-Infinity,-1715.2668838970515,-3170.046464785834,-2771.2593182162786,-Infinity,-2925.60902806096,-Infinity,-2718.8460586424026,-2487.80562258564,-Infinity,-2875.5231050145217,-3081.6963927632446,-Infinity,-2970.6413286874463,-Infinity	0.9960817657423182	-1715.2668838970515	4	true	12
29	15	15	100	0	0	0	0	0	-Infinity	-1874.8387098417295	-221.40333533831912	-0.015531578233151322	-2374.348465345009,-2516.512736717231,-2928.6701877501387,-2916.268150408624,-2322.1937224489184,-2623.438538070142,-2119.363806506388,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2263.1103667679026,-2514.506881449819,-2485.7353576612672,-Infinity,-Infinity,-2868.938228768041,-Infinity,-2928.2017265371414,-Infinity,-2361.032850933062,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2810.386337672317,-Infinity,-Infinity,-2970.3982105218206,-2638.3933099796927,-Infinity,-2877.505620343761,-Infinity,-2574.4992361601535,-Infinity,-2974.3513520322394,-2917.559770419003,-2466.0831649070897,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2433.3790780026698,-Infinity,-Infinity,-2775.1601847397874,-2220.3975285701563,-2418.345666741565,-Infinity,-2169.0739315597543,-Infinity,-Infinity,-2108.60978702435,-Infinity,-Infinity,-Infinity,-Infinity,-1874.8387098417295,-2664.002370256369,-Infinity,-Infinity,-2517.9529365651006,-3068.9158651391713,-2127.0693177557723,-Infinity,-Infinity,-Infinity,-Infinity,-2866.8777994333645,-2578.836097279005,-Infinity,-Infinity,-2471.981879728421,-2686.1089114785755,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2771.410797077772,-3222.9874809239263,-Infinity,-2219.9011608626834,-Infinity,-2716.0219224949647,-2862.6173418370154,-Infinity,-2384.800083162651,-Infinity,-Infinity,-Infinity,-2572.8343673373774,-Infinity	0.9960817657423182	-1874.8387098417295	7	true	14
30	15	15	100	0	0	0	0	0	-Infinity	-1480.199041717442	-Infinity	-3.195253065783356	-2925.365055395366,-Infinity,-2321.0167518909057,-Infinity,-1984.158483669584,-2417.173594686457,-Infinity,-2266.2264866351893,-1978.3469589553747,-2113.1781619438198,-Infinity,-2867.14271309574,-Infinity,-Infinity,-2833.370781459991,-Infinity,-Infinity,-2181.4377878419505,-2631.1299841582045,-Infinity,-2076.745942477146,-2572.3411360274176,-Infinity,-Infinity,-Infinity,-2673.271893075841,-Infinity,-2978.25368615058,-Infinity,-Infinity,-Infinity,-2684.775427506717,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2010.1073713191565,-Infinity,-3034.895817590247,-2810.464211566738,-1868.731103001187,-2784.4959216608167,-2737.5383833887618,-2791.7423940474914,-Infinity,-2522.332721520123,-Infinity,-Infinity,-Infinity,-Infinity,-2922.557236489682,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2523.100635330817,-2578.8874233510674,-Infinity,-Infinity,-2718.681371613253,-1480.199041717442,-2615.646070428786,-2383.1062010978794,-2659.067014898253,-Infinity,-Infinity,-Infinity,-2738.770150171035,-3076.889682553843,-Infinity,-2816.774768463609,-Infinity,-2509.9353155427584,-2133.03079674029,-Infinity,-2730.236587089836,-Infinity,-Infinity,-1632.0871930297585,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2823.5749964785127,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2477.2135444358496,-2481.1465745922037,-Infinity,-Infinity,-Infinity,-Infinity	0.9959128826372083	-1480.199041717442	6	true	9
31	15	15	100	0	0	0	0	0	-Infinity	-1383.4498908720873	-1309.511527051684	-0.9545490347342795	-2676.978165633139,-1547.4868815874977,-1986.586287797311,-1624.1324644851006,-Infinity,-2380.388896822129,-1976.2295064253365,-2928.645788563273,-2170.3389151234323,-1383.4498908720873,-Infinity,-2767.7210537891356,-Infinity,-2177.6372779583544,-Infinity,-Infinity,-2577.5220935329785,-Infinity,-Infinity,-2725.7193974340557,-Infinity,-Infinity,-1785.2910826056636,-Infinity,-1934.0728248548303,-1916.0241282139527,-Infinity,-2471.7529340917404,-Infinity,-Infinity,-2112.865743630595,-Infinity,-2314.8800723229215,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2874.8602769353715,-Infinity,-Infinity,-Infinity,-Infinity,-2380.809496427047,-2874.76033464783,-1780.0510334435446,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2669.6084519401425,-2173.469841431805,-2816.7055206369027,-2688.2962437025185,-Infinity,-Infinity,-2777.230742637844,-2274.5449485413715,-Infinity,-1871.547159343845,-Infinity,-2325.1762196744903,-Infinity,-2411.5558143237818,-Infinity,-1428.1900656850828,-Infinity,-Infinity,-2371.7271932382805,-2222.7738010812586,-Infinity,-2176.369044377429,-2778.808304627332,-2767.3767724369127,-Infinity,-Infinity,-Infinity,-Infinity,-2275.757499606815,-Infinity,-2315.43588952047,-Infinity,-2880.9789478527036,-Infinity,-Infinity,-Infinity,-3023.1048117273754,-Infinity,-2246.6751036848755,-Infinity,-2924.510409678903,-Infinity,-Infinity,-Infinity	0.9957029850637148	-1383.4498908720873	7	true	11
32	16	16	100	0	0	0	0	0	-Infinity	-1197.627985316542	-123.27020162453998	2.699481170612648	-Infinity,-Infinity,-Infinity,-Infinity,-1197.627985316542,-2882.0798064898377,-Infinity,-2935.0623551725344,-Infinity,-Infinity,-Infinity,-2196.1651722979313,-2456.953680855439,-Infinity,-Infinity,-Infinity,-Infinity,-1530.3874141770445,-Infinity,-2412.0629630768335,-2683.5197224313406,-Infinity,-Infinity,-2122.290411610254,-2274.919775460667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1971.164688269884,-Infinity,-1518.3236671143748,-2790.065986121702,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2224.9444833185203,-2030.0399433284406,-2271.2728602309894,-Infinity,-Infinity,-Infinity,-Infinity,-2522.239715211628,-Infinity,-2723.3759688220316,-2214.3017469222414,-1368.1875964853073,-2337.80839716323,-2325.929760875226,-Infinity,-2273.7588797857175,-Infinity,-2478.978883333696,-Infinity,-Infinity,-1918.025802727077,-2435.082482367505,-2376.5147962377127,-2115.1149335295204,-2322.8731672326835,-Infinity,-2487.1228205316193,-2129.154854541993,-Infinity,-Infinity,-Infinity,-Infinity,-2372.0464441682752,-Infinity,-Infinity,-Infinity,-2267.762189306031,-2443.3706855218566,-2680.9807570095745,-Infinity,-Infinity,-1727.634839758492,-1983.7810892194736,-Infinity,-1924.935737730442,-Infinity,-Infinity,-2320.7603876427875,-2521.792705291344,-Infinity,-2721.3889403356707,-Infinity,-Infinity,-1870.2395369508222,-Infinity,-Infinity,-Infinity,-1917.3597205229898,-1832.5474694082825,-Infinity	0.9954926853875903	-1197.627985316542	8	true	15
