# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: dd4be6df-c9b2-4b15-b0f8-e492fa5c8b21
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	11	1155	7150	57200	0	0	73.9532536068887	73.9532536068887	73.9532536068887	73.9532536068887	51.0613427548825,51.0613427548825,53.027958220374884,60.87955405010728,62.847655749422906,62.87908864185544,66.85696820017026,68.84176908303844,72.10396972125821,73.9532536068887,73.9532536068887	0.9964998428144262	73.9532536068887	0	true	48
25	26	25	21	2541	13650	109200	0	0	74.95115484096631	74.95115484096631	74.95115484096631	74.95115484096631	57.41854679321604,66.69772245314917,66.69772245314917,66.69772245314917,66.69772245314917,66.69772245314917,66.69772245314917,69.96867334914424,71.95386605645413,71.95386605645413,71.95713078340961,71.95713078340961,71.95713078340961,71.95713078340961,71.95713078340961,73.95526842320898,73.95526842320898,73.95526842320898,73.95526842320898,74.95115484096631,74.95115484096631	0.9963026663059927	74.95115484096631	0	true	12
26	26	24	48	6192	31200	249600	0	0	76.14534845907542	76.14534845907542	76.14534845907542	76.14534845907542	68.13957578274106,72.14000937006246,72.14662788127666,74.14128590206545,74.14128590206545,74.14128590206545,74.14128590206545,74.14128590206545,74.14128590206545,74.14128590206545,74.1414984257849,74.1414984257849,74.1414984257849,74.14468871938197,76.14516684961981,76.14516684961981,76.14516684961981,76.14516684961981,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14521491372659,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14531552347,76.14534845907542,76.14534845907542	0.9963131940839737	76.14534845907542	0	true	13
27	27	24	21	2625	13650	109200	0	0	76.59940252964716	76.59940252964716	76.59940252964716	76.59940252964716	67.97538466652192,70.971241469003,71.97023502598898,71.97023502598898,71.97023502598898,71.97023502598898,71.97023502598898,71.97023502598898,71.97023502598898,72.96164505084874,72.96164505084874,72.96164505084874,72.96164505084874,72.96164505084874,72.96164505084874,72.96164505084874,72.96164505084874,74.94067261578746,74.94067261578746,76.59940252964716,76.59940252964716	0.9959588320015207	76.59940252964716	0	true	7
28	27	23	16	2000	10400	83200	0	0	77.07945526608485	77.07945526608485	77.07945526608485	77.07945526608485	67.50256599376479,69.49246694092419,69.49369917217506,69.49369917217506,69.49390802873583,73.4718225357866,73.47208228420217,75.4510558262382,75.4510558262382,77.06449628519543,77.06449628519543,77.06449628519543,77.06449628519543,77.06449628519543,77.07945526608485,77.07945526608485	0.9957324847749323	77.07945526608485	0	true	12
29	29	23	37	4477	24050	192400	0	0	75.12967653667376	75.12967653667376	75.12967653667376	75.12967653667376	49.799587846180394,57.54093379421653,61.14228620073176,61.14228620073176,62.918687532985885,62.918687532985885,66.60756979595556,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,68.44644134589035,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,70.20267059648194,73.65169388136765,73.65169388136765,75.12967653667376,75.12967653667376	0.9954055753357558	75.12967653667376	0	true	10
30	30	23	33	3993	21450	171600	0	0	74.76942590999487	74.76942590999487	74.76942590999487	74.76942590999487	33.828737084276206,39.36436129548205,48.506059039011376,48.506059039011376,48.506059039011376,53.155263129608045,57.04372680922877,63.69612842781076,68.36109875364758,68.98813281765864,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,72.57029694329496,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.15498746045361,74.76942590999487,74.76942590999487	0.9952823126018964	74.76942590999487	0	true	10
31	30	21	60	7260	39000	312000	0	0	69.9794455542605	69.9794455542605	69.9794455542605	69.9794455542605	14.650953984811343,22.5089351802832,35.53684139558156,37.47158667081376,37.47158667081376,48.198267246764956,48.19856960459205,53.30230340781337,57.91688085005335,57.91688085005335,65.72263428890989,65.72263428890989,65.72263428890989,65.7258775331472,65.7258775331472,65.7258775331472,65.7258775331472,67.67220400030045,67.67220400030045,67.67220400030045,67.67220400030045,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,68.97777987940795,69.9794455542605,69.9794455542605	0.9945550186063855	69.9794455542605	0	true	52
32	30	23	24	2712	15600	124800	0	0	66.43075186369202	66.43075186369202	66.43075186369202	66.43075186369202	37.369655561105496,43.289328778522446,50.52625888688955,54.55218197700227,64.29129027921088,66.03905805098427,66.03905805098427,66.03905805098427,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.25884941487362,66.43075186369202,66.43075186369202	0.9940548394879404	66.43075186369202	0	true	6
33	31	24	25	3025	16250	130000	0	0	67.2458435806817	67.2458435806817	67.2458435806817	67.2458435806817	52.066460971375434,52.066460971375434,60.18211708689985,62.445357024973774,62.445357024973774,65.19782251369634,66.19834571328109,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24572891848496,67.24574562763094,67.24574562763094,67.24574562763094,67.24574562763094,67.24574562763094,67.24574562763094,67.24574562763094,67.2458435806817,67.2458435806817	0.9938773660084367	67.2458435806817	0	true	12
