# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: de55f72a-6359-4aea-84a0-89d1981dedea
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	100	68800	668844	5350752	0	0	-2313.228599423268	-1773.434696877944	-154.44293531120826	-148.2788238302627	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2087.795839103581,-2087.795839103581,-2087.795839103581,-2087.7958418303306,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.79584245088,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958445056515,-2087.7958480813836,-2087.7958539793635,-2087.7958539793635,-2087.7958539793635,-2087.795884051759,-2087.795884051759,-2087.795895655514,-2087.795895655514,-2087.795906184567,-2087.79591019819,-2087.795951011787,-2087.795951011787,-2087.795951011787,-1787.7960508544015,-1787.7960508544015,-1787.7960508544015,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960567230198,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.7960561024697,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.796057655276,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.7960834137987,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1787.796096544656,-1783.3644279196142,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1776.0893060958194,-1774.8985459448877,-1775.065221062335,-1776.584913745238,-1776.584913745238,-1773.434696877944,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1774.3068651716324,-1981.3470139386673,-2086.8497210774685,-2086.8497210774685,-2086.8497210774685,-2088.2784829636234,-2107.141827375595,-2115.0307694176977,-2115.0307694176977,-2313.228599423268,-2313.228599423268	0.9977516614149626	-1773.434696877944	13	false	848
24	13	13	100	78200	687060	5496480	0	0	-2429.625535492301	-1481.3918200625842	-151.09773931625207	-73.35247515667581	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2111.757929182047,-2111.757946446897,-1511.7579526530612,-1511.7579526530612,-1511.7579556107457,-1511.7579612052718,-1511.757963675907,-1511.757963675907,-1511.757963675907,-1511.7579681642887,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-1511.7579787408595,-2111.75799560088,-2111.75799560088,-2111.75799537193,-2111.758052776898,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580552804684,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7580738085385,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581174833335,-2111.7581220477796,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.758142237943,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581440440454,-2111.7581477541603,-2111.7581477541603,-2111.7581477541603,-2111.7581477541603,-1505.8436013367964,-1505.8436013367964,-1500.3252107829098,-1500.3252107829098,-1485.8254068678066,-1485.8254068678066,-1481.3918200625842,-1482.749696640362,-1482.749696640362,-1482.749696640362,-1482.749696640362,-1581.467612437751,-1681.553396326353,-1783.0038317627407,-1783.0038521575643,-1783.0038521575643,-1783.0038521575643,-1774.557539835855,-1773.3854321672814,-1767.4592105991212,-1767.4591940134546,-2372.074660889278,-2373.4318263225578,-2373.431836808828,-2375.6302244588755,-2399.0309131784884,-2405.4443383155,-2405.4443383155,-2405.480587617962,-2429.328461129795,-2433.950522348479,-2433.914273046016,-2429.625535492301	0.9975615034251832	-1481.3918200625842	15	true	600
25	15	15	100	72600	726660	5813280	0	0	-1530.5517385597213	-895.8569069370608	-4.128063581178121	-2.139218303025194	-2097.448891947477,-2097.448891947477,-1797.4489032670476,-1797.4489032670476,-1797.4489042009727,-1497.448907526767,-1497.4489226151434,-1497.4489226151434,-1497.4489362123718,-1497.4489362123718,-1497.4489362123718,-1497.4489374335901,-1497.4489377459256,-1497.4489377459256,-1495.717702565807,-1495.856749444671,-1495.856749444671,-1495.856749444671,-1495.856749444671,-1495.8567506051431,-1495.8567506051431,-1495.8567506051431,-1495.856754941687,-1495.856754941687,-1495.8568095586043,-1495.8568095586043,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.8568131713287,-1495.856847330911,-1495.856847330911,-1495.856847330911,-1495.8568541647305,-1495.8568541647305,-1495.8568757087028,-1495.8568851665318,-1495.8568851665318,-1495.8568904855492,-1495.8568967660385,-1495.8568967660385,-1495.8568967660385,-1495.8568967660385,-1495.8568967660385,-1495.8568967660385,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569002817526,-1495.8569052854664,-1495.8569052854664,-1495.8569052854664,-1495.8569052854664,-1495.8569052854664,-1495.8569052854664,-895.8569069370608,-895.8569069370608,-895.8569069370608,-895.8569069370608,-895.8569069370608,-895.8569069370608,-895.8569069370608,-985.9153703753423,-1085.215911420365,-1188.556586968059,-1188.5566353196587,-1188.5566353196587,-1188.5566353196587,-1188.5566353196587,-1176.1759032544912,-1176.1759032544912,-1171.5597364407984,-1171.61479536644,-1178.5073337633473,-1178.5073337633473,-1178.5073337633473,-1178.5073568714802,-1182.4483050533024,-1188.7401874873822,-1188.7401874873822,-1291.0071364979513,-1501.6917742303044,-1603.2002372943493,-1705.7506110822633,-1809.4769483388548,-1530.5517385597213,-1530.5517385597213,-1530.5517385597213,-1530.5517385597213,-1530.5517385597213	0.9966306358339244	-895.8569069370608	16	true	408
26	15	15	100	74000	723492	5787936	0	0	-1989.3429168967436	-1493.462109035342	-102.51451962720301	-47.02500292639937	-1493.462109035342,-1493.462109035342,-1493.4621414753788,-1493.4621423603005,-1495.2922764294613,-1495.2922981271186,-1495.2923017527787,-1495.2923017527787,-1495.2923017527787,-1795.2923025925454,-1795.2923025925454,-1795.2923025925454,-1795.2923025925454,-1793.6191586581765,-1793.6191778546383,-1793.6191778546383,-1793.6191778546383,-1793.6191778546383,-1793.6191778546383,-1793.6191778546383,-1793.6191980768876,-1793.619216322722,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6192804781485,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6193384267085,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1793.6194263254856,-1787.949084763694,-1779.851884132379,-1779.851884132379,-1779.851884132379,-1771.2016890185346,-1771.2027213397341,-1771.2027213397341,-1867.1367803278897,-2068.2871095878954,-2078.528890415284,-2078.528890415284,-2078.528890415284,-2087.178053207929,-2087.178053207929,-2087.178053207929,-2087.178053207929,-2087.178053207929,-2189.5085985738656,-2195.638823563871,-2204.3990576613337,-2097.665674787071,-2097.665674787071,-1991.288716098474,-1887.3041302247912,-1887.3041302247912,-1989.3429168967436	0.9960817657423182	-1493.462109035342	17	true	518
27	15	15	100	81000	711216	5689728	0	0	-1797.4937741129352	-1470.1953795036216	-40.58078920501874	10.240148932832216	-1477.9960572478437,-1477.9960572478437,-1777.9961348911215,-1777.9961405122538,-1777.9961432399982,-1777.9961439507028,-1777.9961575883435,-1777.9961575883435,-1777.996178070514,-1777.9961934151693,-1776.1581642841302,-1776.2426898000208,-1776.242706853833,-1776.242706853833,-1776.242706853833,-1776.242706853833,-1776.242706853833,-1776.242706853833,-1776.242706853833,-1776.242766137279,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.2427931458883,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.242742307521,-1776.3560671828834,-1776.3560671828834,-1776.3560671828834,-1776.3560671828834,-1776.3560671828834,-1776.3560671828834,-1772.6876956117253,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1953795036216,-1470.1961357640448,-1788.1173239947245,-1796.77092539431,-1796.77092539431,-1796.77092539431,-1788.1427135612098,-1786.8766139181298,-1785.5340859620367,-1789.9807640021886,-1792.4359020079246,-1792.4133364713782,-1792.4133364713782,-1797.4937741129352,-1797.4937741129352,-1797.4937741129352	0.9960817657423182	-1470.1953795036216	12	true	487
28	15	15	100	73600	700524	5604192	0	0	-2070.9740939851486	-1488.121936318539	-42.20712782101564	5.019254740371011	-1489.9567640593368,-1489.9567640593368,-1489.9568633916306,-1489.9568635811231,-1489.9568869433929,-1489.9568903026282,-1489.9568903026282,-1489.9569036824155,-1488.121936318539,-1488.121946896035,-1488.121977615274,-1488.121977615274,-1488.121977615274,-1488.1219939924165,-1488.1219966622718,-1488.1220659760907,-1488.1221053123013,-1488.1221053123013,-1488.1221829052502,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222018736764,-1488.1222079515853,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222278539865,-1488.1222844508936,-1774.5490453031239,-1774.5490453031239,-1774.5490453031239,-1774.5490453031239,-1774.5490453031239,-1774.5490453031239,-1774.5490254007223,-1774.5490254007223,-1774.5490254007223,-1774.5490254007223,-1774.549037103926,-1774.549037103926,-1774.549037103926,-1774.549037103926,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1774.5491252737347,-1766.1241963051368,-1774.6627996519742,-1774.6627996519742,-1775.2531129301342,-1786.5567148764144,-1786.5567148764144,-1775.1149026233736,-1770.6819559730905,-1770.6819559730905,-1770.6819559730905,-1770.6819559730905,-1770.6819100831308,-1769.5071705743512,-1769.5071705743512,-1769.5071705743512,-1769.5071705743512,-1769.5071705743512,-1766.221429788419,-1766.221429788419,-1766.221429788419,-1764.8892013429606,-1764.8892013429606,-1764.8892013429606,-1764.8892013429606,-1764.889221613214,-1764.8892071928951,-1764.8892071928951,-1764.8892071928951,-1769.1864066355058,-1769.1864066355058,-1768.962638233338,-1774.2164437379172,-1774.2164437379172,-2070.9374455170296,-2070.9740939851486	0.9960817657423182	-1488.121936318539	14	true	468
29	15	15	100	73200	697752	5582016	0	0	-2114.1021645535675	-1182.5115459044573	-93.56601507633519	6.210847352152328	-Infinity,-Infinity,-1484.395079039467,-1484.3950931958097,-1484.3950931958097,-1484.3950931958097,-1484.3950931958097,-1482.51120203797,-1482.51120203797,-1482.51120203797,-1482.5112914776605,-1482.5112914776605,-1482.5113002392502,-1482.511331187055,-1482.511497196085,-1482.511497196085,-1482.511497196085,-1482.511497196085,-1482.511501351048,-1482.511501351048,-1482.511501351048,-1482.5115236798895,-1482.5115236798895,-1482.5115236798895,-1482.5115236798895,-1182.5115459044573,-1182.5115459044573,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1482.5116002386808,-1587.7056466668946,-1587.7056466668946,-1587.7056466668946,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518303109836,-1874.5518210829987,-1874.5518210829987,-1874.5518210829987,-1874.6653016113735,-1874.6653016113735,-1874.6653016113735,-1874.6653016113735,-1874.6653016113735,-1874.6653016113735,-1874.6653016113735,-1874.0865452485675,-1880.0559872461445,-1880.0559872461445,-1880.0559872461445,-1866.8144391768024,-1866.066454264547,-1866.066454264547,-1866.0664056340513,-1871.2818386010676,-1874.6353155406946,-1886.8088063200103,-1886.8088063200103,-1886.8088063200103,-1874.6214260989461,-1871.0860136225451,-1871.0860136225451,-1876.689497532822,-1876.689497532822,-1982.6684126020966,-1982.6684126020966,-1982.6684126020966,-1986.966174098776,-1992.0466799287753,-2098.3793718561024,-2107.833908317576,-2114.1021645535675,-2114.1021645535675,-2114.1021645535675,-2114.1021645535675,-2114.1021645535675	0.9960817657423182	-1182.5115459044573	13	true	474
30	15	14	100	71800	672012	5376096	0	0	-2283.7267050594787	-1495.3058606320249	-45.7258296978939	-1.4556076124650863	-1497.2418452290965,-1497.2418452290965,-1497.2419191272247,-1497.2419209947814,-1497.2419212723444,-1497.241944177599,-1495.3058606320249,-1495.305924975653,-1495.305936053631,-1495.3059372954124,-1495.3059469892676,-1495.3059469892676,-1495.3059632970142,-1495.3059640645863,-1495.3060976501763,-1495.3060976501763,-1495.3061202570536,-1495.3061202570536,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1495.306207547364,-1690.841674014016,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.801614517228,-1789.8016148811535,-1789.8016148811535,-1789.8016148811535,-1789.8016148811535,-1789.8016148811535,-1789.8016148811535,-1789.8016148811535,-1789.9149151239944,-1789.9149151239944,-1789.9149151239944,-1789.9149151239944,-1789.9149151239944,-1789.9149151239944,-1789.9149151239944,-1774.0636430369038,-1774.0636430369038,-1774.0636011118365,-1774.0636011118365,-1774.063619944027,-1774.063619944027,-1774.063619944027,-1774.063619944027,-1768.2121814345496,-1768.9736854523826,-1768.9736854523826,-1768.9736854523826,-2066.355411447172,-2066.355411447172,-2066.355411447172,-2066.355411447172,-2168.3980002561584,-2168.661798603851,-2178.139481612826,-2178.1394797452695,-2178.1394797452695,-2178.1394797452695,-2283.7267050594787,-2283.7267050594787,-2283.7267050594787,-2283.7267050594787,-2283.7267050594787,-2283.7267050594787	0.9959217654498799	-1495.3058606320249	16	true	477
31	15	14	100	77600	666468	5331744	0	0	-2283.3304799322673	-1487.8720215492372	-96.7070292130339	-54.9361243887853	-1487.8720215492372,-1487.8720215492372,-1587.8721160507673,-1587.872119525856,-1587.8729812709582,-1587.8729812709582,-1587.8730243500263,-1587.8730466720422,-1594.1832674360362,-1594.1832871722431,-1594.1832913951655,-1594.1833134105655,-1594.1833134105655,-1594.1833323508758,-1594.1834868416886,-1594.1834868416886,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.1835520743343,-1594.183533134024,-1594.183533134024,-1594.183533134024,-1594.183533134024,-1594.183533134024,-1594.183533134024,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1594.1835825044736,-1691.6628880174044,-1889.077538820898,-1889.077617762695,-1889.077617762695,-1889.077617762695,-1889.077617762695,-1889.077617762695,-1889.077617762695,-1889.077617762695,-1889.0776419140352,-1889.0776419140352,-1889.0776419140352,-1889.0776419140352,-1889.0776419140352,-1889.0776419140352,-1889.0776330758808,-1889.0776330758808,-1889.0776330758808,-1889.0776330758808,-1889.0776330758808,-1889.0776330758808,-1889.1915750926826,-1889.1915750926826,-1889.1915750926826,-1894.770268312194,-1894.770268312194,-1894.770268312194,-1894.770268312194,-1894.770268312194,-1878.9180657612583,-1878.9180657612583,-1878.9180657612583,-1878.9180657612583,-1878.9180657612583,-1878.9180657612583,-1878.9180657612583,-1875.7017066605445,-1882.775803233145,-2285.407739839958,-2285.407739839958,-2385.417151087781,-2385.417151087781,-2383.795677257216,-2485.354050469808,-2485.354050469808,-2485.354050469808,-2383.33993368807,-2383.33993368807,-2383.33993368807,-2383.33993368807,-2383.33993368807,-2383.33993368807,-2283.330522440247,-2283.3304799322673	0.9957118678763863	-1487.8720215492372	15	true	336
32	16	16	100	85600	706464	5651712	0	0	-2077.4808674879973	-1661.9037276149095	-92.20190337637263	5.059396413934472	-Infinity,-Infinity,-1677.151682198866,-1677.151846851534,-1661.9037276149095,-1661.9192676941245,-1661.9192892402518,-1661.9193020207315,-1671.74617665197,-1671.74617665197,-1671.7461928467872,-1671.7462002615337,-1671.7462480759848,-1671.7462526725024,-1671.746256554289,-1671.746256554289,-1671.746256554289,-1671.7465894164654,-1671.7465894164654,-1671.7465993634726,-1671.7466025126594,-1671.7466025126594,-1671.7466037174997,-1671.7466037174997,-1671.7466037174997,-1671.7466037174997,-1671.7466037174997,-1671.7466037174997,-1671.746591057624,-1671.746591057624,-1671.746591057624,-1671.746578277144,-1671.746578277144,-1671.746578277144,-1671.746578277144,-1671.746578277144,-1870.6291280926107,-1870.6291280926107,-1870.6291280926107,-1870.6291280926107,-1975.1189169562406,-1975.1189169562406,-1975.1189169562406,-1975.1189294597777,-1975.1189294597777,-1975.1189294597777,-1975.1189294597777,-2072.3819811979192,-2072.3819811979192,-2072.3819811979192,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3819910561583,-2072.3823449981073,-2072.3823449981073,-2072.3823449981073,-2072.3823449981073,-2072.3823449981073,-2083.685198775875,-2089.9600947065433,-2089.9600947065433,-2089.9600947065433,-2084.8709179013413,-2090.0754516058155,-2083.8137194908945,-2083.8137194908945,-2077.901892990385,-2074.373306787024,-2074.373306787024,-2083.8137194908945,-2090.0754516058155,-2090.0754516058155,-2083.800555675147,-2077.8753593783613,-2072.4976521816275,-2072.4976521816275,-2072.4976521816275,-2069.390799736659,-2069.390799736659,-2072.2763479553632,-2077.365524760565,-2072.2763479553632,-2072.2763479553632,-2077.480881659837,-2077.480881659837,-2077.480881659837,-2077.480881659837,-2077.480881659837,-2077.480871801598,-2077.4808674879973,-2077.4808674879973,-2077.4808674879973,-2077.4808674879973,-2077.4808674879973	0.9955252557007185	-1661.9037276149095	10	true	372
