# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: de55f72a-6359-4aea-84a0-89d1981dedea
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	12	12	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9977516614149626	-Infinity	13	false	8
24	13	13	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9975615034251832	-Infinity	17	true	3
25	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity	0.9966306358339244	-Infinity	15	true	3
26	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-133.52086171448875	-133.52086171448875	-Infinity	0.9960817657423182	-Infinity	15	true	12
27	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-68.4188330338454	-68.4188330338454	-Infinity	0.9960817657423182	-Infinity	13	true	7
28	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-19.97370406068208	-19.97370406068208	-Infinity	0.9960817657423182	-Infinity	13	true	9
29	15	15	1	0	0	0	0	0	-Infinity	-Infinity	-19.402391610961494	-19.402391610961494	-Infinity	0.9960817657423182	-Infinity	13	true	10
30	15	14	1	0	0	0	0	0	-2242.028924752553	-2242.028924752553	-3.4609688457509016	-3.4609688457509016	-2242.028924752553	0.9959217654498799	-2242.028924752553	16	true	12
31	15	14	1	0	0	0	0	0	-2236.276623756793	-2236.276623756793	-6.168716050527184	-6.168716050527184	-2236.276623756793	0.9957118678763863	-2236.276623756793	14	true	13
32	16	16	1	0	0	0	0	0	-Infinity	-Infinity	-85.4834224408354	-85.4834224408354	-Infinity	0.9955252557007185	-Infinity	16	true	6
33	16	15	1	0	0	0	0	0	-2200.81338160939	-2200.81338160939	-49.960796598889104	-49.960796598889104	-2200.81338160939	0.9954509032687288	-2200.81338160939	18	true	13
34	16	14	1	0	0	0	0	0	-2427.1900833562695	-2427.1900833562695	-56.770321935789504	-56.770321935789504	-2427.1900833562695	0.9954715201672747	-2427.1900833562695	20	true	12
35	17	16	1	0	0	0	0	0	-1832.9429269384534	-1832.9429269384534	-48.83128119491395	-48.83128119491395	-1832.9429269384534	0.9948208084456174	-1832.9429269384534	16	true	13
36	17	16	1	0	0	0	0	0	-2317.7263254212157	-2317.7263254212157	-66.7594941009705	-66.7594941009705	-2317.7263254212157	0.9941416571014978	-2317.7263254212157	19	true	12
