# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e15ed08a-28a5-43a2-9676-7cb5126d4b3c
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	23.926325960905945	34.20721059239625	41.17744583803825	39.65306405871607	21.75307107579453,17.676257617336105,20.22766569611855,28.107270803673973,23.76218635956381,28.959588199663813,8.864394720720565,23.448816465971923,10.894960922448409,33.27021395907192,17.635426283118154,26.161029712554896,6.223417915931442,29.00239899126291,14.516612767220646,30.718148282092105,6.72757913595585,20.476904165287614,10.98746620195048,24.1769643167161,29.910125622516446,33.219414292781266,26.14641619684851,15.85614411240661,25.268583199488614,24.400833389523466,14.413892948291261,20.940867583160248,18.762463248376182,13.752985007609666,23.437544585745197,28.962953285378926,27.508242951787707,26.421687784508574,24.35782999755694,20.177313722989858,29.294547919831945,22.342378262741157,29.274703702330825,22.879568558846273,28.76789612129392,22.90486913531761,34.20721059239625,29.036313715313728,30.773530277124934,22.15740484333106,19.370359880721725,15.448872107657548,17.683888589180967,22.004738307857778,33.97091237029264,28.47279887783772,15.266527099387847,17.88717001690017,17.431396772879687,29.30438342817448,21.768773561778122,29.988906744884105,29.79127305065924,20.27489942822504,27.243758875052837,17.12941408596054,17.14089503873209,18.003439326848454,17.37538051580058,22.635888883092043,27.073298010185546,30.523435820007833,27.365091430339636,16.85066119682235,10.9638452228113,30.469340068645955,24.385210456449357,25.5151845912321,29.55813419328744,22.19073261442414,30.330933382509045,32.54258812706928,21.790484315638444,25.56286293283812,22.990506561500457,29.538937845224776,23.57450916396324,23.84789035436251,18.456883141012224,17.046913912997194,16.692260370402938,19.07586357908106,21.047892747766856,18.47702205547086,17.530017875856466,23.74233691450714,18.590197652903196,19.336811034691497,21.548800825654865,25.565949084889244,30.738944455510712,11.338830730909475,22.567941236305302,23.926325960905945	0.9975653416775723	34.20721059239625	2	true	20
25	9	9	100	0	0	0	0	0	30.196141597204083	38.35653746297191	45.15088476300474	45.74897720095697	28.531940966057086,25.258601672893633,21.24760498993627,20.569085921358067,29.946043116199498,37.337394147879984,23.757029953257906,30.4050691953216,14.819517049455031,27.861480348926037,29.2160439962991,26.039713214197437,18.510512760583374,19.83890321381505,24.810245161459324,15.117116698559947,37.4773986839486,12.201443801106306,28.406205376140743,27.193037275842958,24.60632263101902,18.019523396300176,20.90358541021729,31.918382314388168,23.59087326698036,28.090440206952866,25.328062523996813,33.80847928599258,31.47708479389496,23.513978671110923,16.16422042060514,22.608604777662393,35.86373786263092,25.270436926481626,29.546422302616467,17.46807192994757,26.68161600599322,20.45301186679877,19.451410631428793,34.742570110365065,32.178298190006934,31.12863877246012,29.174815773865227,37.752048777333016,34.31434465075981,31.0080521245212,24.8224249311445,30.78881429563751,25.63502072039289,26.666830160791125,20.757611587550286,24.4630017664803,27.801210592838782,29.094714021051608,25.543326265197027,18.823420283125557,19.715231638269216,19.59505645420481,27.49527883056934,17.91422826865756,20.290654530987297,33.172513881028365,22.557245843788724,19.719676615469027,16.89129156433112,28.775801304834058,21.252410346576028,25.782609892200686,11.234453442816926,34.044703381972035,33.03773260745041,19.690886094257653,20.114813228591146,24.937671633644364,26.220864551633884,26.22459239311286,26.989832777897476,24.099272799011462,27.085007978091223,29.436540474474512,35.60844365182349,19.031008287431384,24.364849522495046,20.523183484530726,30.46085540957397,1.8816694044543318,24.69941526247955,33.65105404571146,26.063565224366073,28.3896481749665,29.438734420190272,20.18295155269506,37.713400854842206,35.73236372947288,37.27781161421226,27.647257271766282,28.536449699452643,38.35653746297191,26.168856172706857,30.196141597204083	0.9975653416775723	38.35653746297191	2	true	3
26	9	9	100	0	0	0	0	0	27.762744669829303	40.76248711217036	44.727044575276224	44.89508288236888	22.561521277102877,13.408501156819762,24.69962428386083,30.39931411205417,34.415414097826655,37.12167767533457,22.448016192402953,22.22109860740366,20.04265414511363,24.56930061940072,28.439889534956468,25.14187247101502,23.136919107545744,20.286143258413126,19.011927435243237,12.500866058500096,21.298231754316728,26.61526215015378,33.613969677101636,20.759913370647702,35.823542415511966,31.673823014684203,21.607859845022926,27.124398828358483,23.83443169511408,26.55720356147454,15.143805241686662,30.663498776598818,24.937546735856817,29.599250788365797,25.97025448722529,33.22528054294568,33.22354769309423,31.392555991858337,27.844181764119302,28.191571410927022,36.52083412713316,29.83691509478209,24.953967280406815,32.3721619936344,26.82253088670458,21.49872491378983,27.969316037463447,28.583925897147314,40.76248711217036,28.483103883298973,19.6199260103025,21.253785374663664,32.65581732073152,33.32097635282166,31.479780245436082,27.271026932156918,26.81509665877488,30.20474522770802,32.46044100045368,22.19438621544728,30.907032481065205,24.058139603312128,29.07753937981086,31.689329046384934,25.18004843796118,33.87204076911934,19.798528648546338,31.776531626501672,29.269554720471593,24.5239809929669,27.228802563484994,15.26463646025185,32.06243495757903,31.085208615640887,34.69069676444054,23.777274125285306,28.81474712182705,29.449845778691923,32.22818420317,32.706600728713425,22.846410180450025,26.545874977087482,35.92668020433432,21.508728026555325,19.481078965298046,32.44674719106876,24.923330482414485,16.1659655606876,35.737411042876666,20.45596870403343,25.086575703217726,38.464773858046236,33.80802962453742,35.99166139005706,26.90412995870835,26.47991285784755,31.539918850985927,25.896770785230267,26.904269314149968,31.156264349304166,25.628434179106744,21.86804016176975,28.588477223475586,27.762744669829303	0.9975653416775723	40.76248711217036	0	true	3
27	9	9	100	0	0	0	0	0	20.779134344136033	39.358760277802354	44.72918359404641	45.247407887822824	18.71434063614615,25.042147378941962,28.86504197075901,34.92780938930098,32.03372399740809,30.767390114409793,25.025433597229455,25.653072688507212,11.876816937030666,26.655820786447347,27.598742378199518,31.361973671050677,28.416011096764525,25.434521954632956,31.32290586542983,28.166341139156046,35.94418263458108,29.33561577277292,33.85155020345232,23.59572277520139,31.570157720247295,14.253250560756342,24.683578455968775,27.13590764437023,27.078245514941123,31.016935234392065,29.604078701888646,30.290839502688268,31.870349969841655,19.08556680545872,33.14503299171541,21.67940440201329,27.198669054277993,31.14700078327056,37.8384421851201,30.285211714454714,24.443004974985268,20.068781355420853,26.38884315641245,26.416090319768628,29.730456497506108,23.075981374176685,28.78338396207673,16.393955410997467,36.404471626635754,33.82113397471011,28.56423646296877,26.477466556719083,14.392486729100387,33.57932497411243,25.61592672539633,32.42984537379692,27.74327306820417,22.191361922130525,23.71154116341568,28.201524799544575,33.732123959149675,35.19885803569933,26.14197271785764,22.50935727273737,32.11057069787628,31.5296606053207,38.60533921306636,26.819913349405002,27.13168146303246,25.10200329281161,34.93218851568697,21.293501106759045,23.592091146337566,28.168338688053982,23.21317672396914,33.39136646737471,25.011909463534906,23.25871422757763,39.358760277802354,23.737802619581878,34.124919274383075,23.328442421328,20.043595036257628,20.238039386727213,34.36556083371988,25.522094470479846,24.101029125207944,34.51073034325286,26.346983437996784,26.298946580351778,39.30620099109364,20.171103683855584,25.647400757429665,35.86239712752697,30.317826789703737,18.480997648138285,14.248600398790709,16.06880574466667,27.618580093056075,31.067172360238718,14.95737451656,33.343106978045185,25.79267976288791,20.779134344136033	0.9975653416775723	39.358760277802354	0	true	2
28	10	10	100	0	0	0	0	0	13.433011328071322	35.74173837202432	42.88679329613285	42.098474748973786	18.629157518805123,29.48644479707623,32.6543529537455,30.278452510196978,18.37990786728949,15.368075146423841,31.401708229151346,35.74173837202432,26.823241403872608,22.962028844030087,27.089505420327257,29.746270607232468,24.064405215186103,15.827909846604655,30.338696359194493,28.59265382760056,10.427550287069574,21.904710142215592,26.450965124087915,25.107559388889012,13.41221596399044,5.843359700296679,26.245135241185086,21.2626451127827,13.703357348062916,34.69169324490626,11.390560565421536,24.63797361341478,15.955295973025713,31.697177820663068,26.162907534982246,24.729906476320615,18.640974064750758,18.03954549061568,16.153586239765442,24.234912928977316,25.382276775963174,11.950746478899015,8.503037762371724,25.381038879955813,-1.5569060336017664,12.306585049879178,14.412741366916846,14.485078125795532,20.943997369892088,22.35014989240344,34.53991281180462,19.500301510385324,11.882518598584934,13.36244186516278,30.73282565498917,28.868026279498373,26.756388719295842,17.733918617324505,22.3417716025652,24.61879541916159,29.74279782630548,26.61480045267297,19.04284192922124,20.10772804747893,25.037627636053987,17.296379868756027,28.32039458313583,11.577146921765317,21.36013035919168,24.895708128680813,32.29548347736121,18.718122164276053,17.44486050530641,11.784636806833388,21.038741993638297,17.57091713308972,12.26062589944354,21.553483400129366,16.730410254440212,26.955324158524586,15.916844035938961,25.137270400709774,16.201333958296107,27.37291065596518,27.87148474431377,21.835563264142493,23.625531426102174,26.335894047136584,15.821163159204094,22.340579167260337,23.5718510116682,34.62645499984123,10.734689348521846,16.781420165022922,20.70994468225396,-3.5416343876908627,27.048859388217096,22.993937733878795,17.697263042152514,-0.6076131405425507,14.861451318371333,16.46640542657545,30.51079221497878,13.433011328071322	0.9970015206790418	35.74173837202432	2	true	7
29	12	12	100	0	0	0	0	0	35.51945937794067	40.890836874758776	49.20595726953031	49.078207553374355	26.13405451718566,21.829260225526774,23.328819593038478,40.54709883484803,8.923170484975907,21.22435687499694,23.523918747710923,12.362163372157603,15.990337838450992,35.38763157666686,26.935085987287994,19.782493805748842,17.110923311311236,24.27985184267608,33.207879033922204,26.336906481238366,32.63234884334843,19.58480098816992,26.556180244423576,28.367906398945024,35.05021439817404,3.895559447437879,26.908515063008043,21.618962694722455,21.851007952229317,27.265260028589818,26.453086294512573,24.325256345652633,34.02497438502665,25.546075265390524,25.482883331780055,20.783490046380983,27.88393903531731,26.213060135684476,24.71951760931513,33.20798097614958,23.677055297333943,27.174084048718775,28.781565675634575,16.518362664763515,22.885977314604542,31.475198757189883,19.942233607358688,19.63448001300363,30.91890945687259,34.974086958248265,36.02336893252621,21.519788690187735,19.55754250323116,30.032997909660942,15.4347343913663,28.449757465322687,18.7641896491566,27.41446754991893,20.799151132353302,26.735410993106083,28.893740719723038,16.504382258683762,21.456927943415756,26.115232613314532,19.647271274789958,40.890836874758776,22.448333826813112,14.766471256480607,30.14775809393644,24.551050453017385,27.188210466487288,27.215704586536418,32.339445108089606,31.063865419433327,23.78504836010115,31.171861361083558,24.999116182018316,28.79141820699325,29.330144832109465,25.123478627745378,28.814533947089835,19.949063481543845,29.739974791703688,27.578702507697034,26.603208664240157,27.80288263777764,1.094791228511859,34.200923945044764,25.685920402096418,34.35965033402918,25.335860625521665,22.137613505470327,20.652748240282843,29.01430926702703,30.050447600774334,27.760250794407032,27.2626951897311,31.44480581914528,28.038757166892267,28.483763286707866,20.69244294957712,26.504751049986726,21.214612697448846,35.51945937794067	0.9966696763439367	40.890836874758776	1	true	1
30	13	13	100	0	0	0	0	0	29.253592903585535	41.866227231906386	49.82927635348619	49.302952394126116	31.176071424519073,33.52081927267119,23.92705458544775,23.842335458661793,32.1964478816288,37.68729315121313,22.106508350395423,21.595762008890212,24.257612067294815,26.235999234718953,28.182880049443664,28.469164119874574,26.664725199581948,29.249251750026932,32.47308041672835,29.790671634681164,28.25280278904478,41.866227231906386,15.86552388876261,26.236227532369167,21.159248036249004,25.182401528340446,22.52541959099134,17.323990324638796,25.539543408374765,30.206307542558747,23.320220653169226,31.8706203750506,25.169102471442056,22.028123227378984,24.475268768366973,26.230904425060107,27.449923963403688,26.313208088279463,35.28441158624904,33.56274751438008,25.117150198230355,21.669454262229507,31.296505412924176,27.601459279490378,21.509014864402857,33.84174960443698,34.48587771526206,30.387342838120148,24.092082800439822,28.6357878790606,27.137522423009237,15.896257261274528,27.906803890561424,16.75832139561033,32.21331102330027,8.137157887517548,16.63059571384437,23.969790911872764,17.961824208096377,17.750635119107304,34.24007712094188,30.182892284481465,26.556578438625408,35.87553558637642,35.151199119448755,22.873960968676325,32.58177495153307,27.62371644582553,18.542862987606753,32.226217745498516,23.804888276569777,36.03223958197466,36.850779193859644,23.027653429115887,23.75244994794607,19.35573017304023,33.374607047974344,34.09446533415914,11.149765310812196,27.885746281324064,41.32272767902404,28.851954691379458,29.201997727530134,19.583438190632798,29.67843274660917,15.241563457543062,17.98230345774964,17.858585236594806,31.409964778689872,21.200974044762447,25.28602992216393,18.642036443373115,21.89262480668229,25.39192306285202,13.176470506844687,4.307279088239527,36.78203876826885,22.75611291281155,29.67128534066348,28.136238102390365,32.451708154298174,36.235451870715764,24.134373512127404,29.253592903585535	0.9965839188191344	41.866227231906386	1	true	2
31	13	13	100	0	0	0	0	0	22.632233059447202	38.98989631589394	50.14612826348206	49.990919604717234	37.84837190169683,25.269661023136607,23.60992448872718,27.67721268862345,29.08563493358877,25.783436363470997,17.40991343907442,38.98989631589394,22.8980063123083,26.78208084852694,13.761089612897017,21.77415800983977,11.976492674297225,32.20543816484988,23.95982388152374,18.44623973921658,26.30490251880078,7.404898450359971,33.42215438398503,24.325880125375537,12.43706480917325,32.926055952145155,27.985475428733878,13.120559859223677,12.288730725626296,26.927768637788475,7.712385476076163,27.871083548171114,16.86696102183893,26.715393019428355,33.162705515828804,13.196297140551655,10.076679186756143,35.56473399386094,33.586860021094076,30.325612631084233,32.280530485623764,35.91395509763825,-14.154464019937308,14.320402534291931,29.081095413814367,31.380310310027674,25.553287772069776,22.709062200314115,28.588898365699713,36.63217927050416,33.395116421229616,15.736054717697446,16.047282069668363,25.240178103685672,32.490580942820614,38.92230881378001,11.206120222153901,24.982775170799727,36.37676921091059,15.87929382260824,21.454009059370414,24.759082422277267,27.37987702561062,23.60106260771824,25.143211613234396,33.864392658272706,20.401928752145395,27.48647960999289,15.254890236027233,19.79934375555319,16.83796239742012,27.92903860124776,27.880777830955,27.513866337397975,27.80254626019345,25.8318272336855,25.522135802900117,31.567143918287037,35.69321204405976,27.58691545358384,18.873094154300325,36.32859371820838,26.039923758834604,27.09960180224362,19.640950432782034,16.75406760021418,20.887535923486354,24.650112800906832,27.28335868923022,29.92927169079409,29.73983220674746,31.7099456996622,26.800482571505796,22.742426911279704,20.362742801295326,19.660952384684165,18.299282206398104,25.15306338671272,20.69706744038354,31.780494125047866,27.1036438929674,28.66227881285403,28.2488461831733,22.632233059447202	0.9964077978666628	38.98989631589394	1	true	6
32	13	13	100	0	0	0	0	0	27.161328525234374	30.9930642847892	43.18737284667397	43.843507399571585	-2.59536983983881,22.996778626879024,15.603207993596936,19.925721597042088,12.063992969257542,27.237282007263424,15.469064360270512,22.453986078783956,24.221322602674903,12.05787125094834,15.88993497679964,3.2108867999845305,22.727186144599237,15.00520235401834,21.1158650075227,10.627691644338688,25.745027879408497,25.39941344125809,23.642080543261216,27.563475379854157,20.707534129352595,23.81031515809155,26.956923008235975,17.70401680643352,20.505216921996478,11.74813209398231,19.10763995306447,9.028031861986221,14.956710532619262,16.87325641394729,27.357514026764413,19.30003440502739,14.23600148394474,20.61954089923342,7.079929957072762,7.315101242760278,19.580106338304684,8.676905756766466,12.130052979015119,10.73109063872734,21.320067346713966,17.70265002384696,22.051643259859265,30.32893379990921,25.326679687936416,20.200197569891195,18.290107088822662,23.521535865537782,17.376307376829295,15.127205442593432,27.580807581837025,16.031113746521083,17.817557485696703,17.14083183310266,16.101320825444205,21.776152850814423,11.088013979963959,18.9816269643762,17.819800491343212,23.106827971576358,11.926451949713357,27.256838324956558,30.9930642847892,16.369686088011207,16.562052026736527,18.529925996360035,20.173262413858435,19.0677653044981,10.525383653171055,22.275052783248668,23.618300315579877,25.34850771837863,24.335690629313106,26.575972902840718,20.74958817795992,3.720262732254495,14.617619910565487,17.980028651883657,15.412153189984856,21.811332747288134,29.264639098572644,24.278193507719294,23.922553356760353,20.364346392701137,13.350606718989528,17.29472941663331,16.152488987272296,14.785129641577154,20.307464006242565,25.530062088098713,23.92857712348023,30.68235435412771,20.887719371455397,25.56517943681315,21.410650998189688,17.08465342012005,21.001046836301082,-1.0695615476481972,15.922893477813709,27.161328525234374	0.9955863021910939	30.9930642847892	1	true	2
33	14	14	100	0	0	0	0	0	28.501918994603006	36.70953749388133	43.21516603237346	42.94029285191483	25.229456447514377,30.292311823273877,17.618663292178486,9.954670265532322,32.605974737794924,15.637773053081368,19.942605287446515,10.484048079792359,27.911496817033573,9.188192497538338,18.362777218741456,21.48513575816674,14.146832445388327,15.414020817939864,18.67850195291421,4.5255064608770414,16.546347522442105,21.106633345852416,23.033860161857994,15.33675581497834,14.625383142298073,4.669784204929876,8.482275458557044,25.457906324563886,32.11389594242185,11.667884086507936,18.068261056671663,16.796533969500924,18.656595103312718,16.11580057662004,12.758882235569118,20.49622841580008,7.21001170221113,23.782511490942316,22.21855012209118,18.881329447178793,-1.775978405206791,20.794514735671882,1.4888471154827378,15.271563131024873,20.90217730152154,12.532235026895162,18.488635489041343,15.341765180083195,1.5959688754712982,0.8439548390947049,28.79421016459247,18.086782919306582,16.13164718445338,-3.3956166300178836,28.399415826825084,24.990152727667095,-2.0574339971062763,20.159343354336617,-0.8996674034747052,20.328762796670773,17.374085735175207,15.82390924103614,19.376247287046187,18.03406784837763,7.568163695128586,8.777383206165238,9.687413342838413,15.367798396697111,10.675371001816744,15.464045564885126,23.435368521017903,14.176054613250745,14.072854681146971,19.552824251677162,17.53036896328758,29.30148077494194,19.899114062507124,20.600572548504392,31.26157730284612,21.990551275661115,23.449223038845435,3.1317488506478277,17.92439964193581,10.594233759278104,3.4489280812752963,25.184008614797026,4.4774576433946045,17.346098040433393,23.775018541426885,16.97911009621545,14.232948879832819,14.289330931789333,29.357533314261765,26.047525385861498,10.119505761578852,36.70953749388133,26.46662606986512,17.012364390059766,21.672538356816478,11.198696561846539,9.14748932052984,21.709329787920048,21.291557595694318,28.501918994603006	0.99540882871159	36.70953749388133	0	true	1
