# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e53f97ea-4692-4bbb-9a09-dbbc5a2cb66a
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-98.060184065205	-98.060184065205	-47.067951511177434	-47.067951511177434	-98.060184065205	0.9991239280309399	-98.060184065205	0	true	6
25	6	6	1	0	0	0	0	0	-97.03046501819121	-97.03046501819121	2.954732104095102	2.954732104095102	-97.03046501819121	0.9990443117099597	-97.03046501819121	0	true	3
26	6	6	1	0	0	0	0	0	-97.0001137784823	-97.0001137784823	2.981141289837554	2.981141289837554	-97.0001137784823	0.9990443117099597	-97.0001137784823	0	true	4
27	6	6	1	0	0	0	0	0	-97.00035903105389	-97.00035903105389	2.9806175724637516	2.9806175724637516	-97.00035903105389	0.9990443117099597	-97.00035903105389	0	true	3
28	6	6	1	0	0	0	0	0	-97.00097321814731	-97.00097321814731	2.981288156754929	2.981288156754929	-97.00097321814731	0.9990443117099597	-97.00097321814731	0	true	4
29	6	6	1	0	0	0	0	0	-97.00058066085668	-97.00058066085668	2.981542319268753	2.981542319268753	-97.00058066085668	0.9990443117099597	-97.00058066085668	0	true	3
30	6	6	1	0	0	0	0	0	-97.00031089239127	-97.00031089239127	2.981256470362095	2.981256470362095	-97.00031089239127	0.99887542860485	-97.00031089239127	0	true	3
31	6	6	1	0	0	0	0	0	-97.00028957739286	-97.00028957739286	2.981311235421409	2.981311235421409	-97.00028957739286	0.99887542860485	-97.00028957739286	0	true	3
32	6	6	1	0	0	0	0	0	-97.00045097135093	-97.00045097135093	2.9809796882551436	2.9809796882551436	-97.00045097135093	0.9988428582917216	-97.00045097135093	0	true	3
33	7	7	1	0	0	0	0	0	-97.0004415352882	-97.0004415352882	2.9809829165123483	2.9809829165123483	-97.0004415352882	0.9987036576717526	-97.0004415352882	0	true	3
34	7	7	1	0	0	0	0	0	-97.0007101091438	-97.0007101091438	2.985050630500965	2.985050630500965	-97.0007101091438	0.9987036576717526	-97.0007101091438	0	true	3
35	8	8	1	0	0	0	0	0	-98.00051940233237	-98.00051940233237	2.984709240124346	2.984709240124346	-98.00051940233237	0.9983518909790103	-98.00051940233237	0	true	2
36	8	8	1	0	0	0	0	0	2.999401152763073	2.999401152763073	2.99940168669908	2.99940168669908	2.999401152763073	0.9983518909790103	2.999401152763073	0	true	11
37	10	10	1	0	0	0	0	0	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	0.9981269328342386	2.9994745679783783	0	true	8
38	10	10	1	0	0	0	0	0	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	0.9978048486266367	2.999397422216519	0	true	2
39	10	10	1	0	0	0	0	0	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	0.9978048486266367	2.99904757397588	0	true	2
40	11	11	1	0	0	0	0	0	2.999433904388246	2.999433904388246	2.999433941698899	2.999433941698899	2.999433904388246	0.9975972905593614	2.999433904388246	0	true	2
41	11	11	1	0	0	0	0	0	-147.00003006317232	-147.00003006317232	2.999159599247409	2.999159599247409	-147.00003006317232	0.9975972905593614	-147.00003006317232	0	true	2
42	12	12	1	0	0	0	0	0	-47.00062892089563	-47.00062892089563	2.999371125398631	2.999371125398631	-47.00062892089563	0.9975264473866985	-47.00062892089563	0	true	3
43	13	13	1	0	0	0	0	0	-47.000257323188876	-47.000257323188876	2.999742655467797	2.999742655467797	-47.000257323188876	0.9975127758972373	-47.000257323188876	0	true	3
44	14	14	1	0	0	0	0	0	2.999195423082783	2.999195423082783	2.9996746111482135	2.9996746111482135	2.999195423082783	0.9973835181786945	2.999195423082783	0	true	2
45	14	14	1	0	0	0	0	0	2.999101866541575	2.999101866541575	2.9999014577835172	2.9999014577835172	2.999101866541575	0.9973835181786945	2.999101866541575	0	true	3
46	15	15	1	0	0	0	0	0	2.9994632970300117	2.9994632970300117	2.9997918717206593	2.9997918717206593	2.9994632970300117	0.9972990035165704	2.9994632970300117	0	true	2
47	16	16	1	0	0	0	0	0	-47.00061793216753	-47.00061793216753	2.9998649805235202	2.9998649805235202	-47.00061793216753	0.9970454960849826	-47.00061793216753	0	true	3
48	18	18	1	0	0	0	0	0	2.9999408584711618	2.9999408584711618	2.999941253892533	2.999941253892533	2.9999408584711618	0.9965166580153677	2.9999408584711618	0	true	3
49	20	20	1	0	0	0	0	0	2.999244532955931	2.999244532955931	2.9998241637906675	2.9998241637906675	2.999244532955931	0.9960338789744191	2.999244532955931	0	true	2
50	20	20	1	0	0	0	0	0	2.999933266404028	2.999933266404028	2.999933266404028	2.999933266404028	2.999933266404028	0.995822775093032	2.999933266404028	0	true	4
51	20	20	1	0	0	0	0	0	2.9992097157374684	2.9992097157374684	2.999322852059193	2.999322852059193	2.9992097157374684	0.995685255993157	2.9992097157374684	0	true	2
52	21	21	1	0	0	0	0	0	2.9990129386945483	2.9990129386945483	2.999760499911765	2.999760499911765	2.9990129386945483	0.9956069556444243	2.9990129386945483	0	true	3
53	22	22	1	0	0	0	0	0	-97.0004537560369	-97.0004537560369	2.9999106963351863	2.9999106963351863	-97.0004537560369	0.99541306906661	-97.0004537560369	0	true	3
54	23	23	1	0	0	0	0	0	-97.00036833022467	-97.00036833022467	2.9993275034568243	2.9993275034568243	-97.00036833022467	0.9953123971896682	-97.00036833022467	0	true	2
55	25	25	1	0	0	0	0	0	-97.0007304813987	-97.0007304813987	2.999594869493256	2.999594869493256	-97.0007304813987	0.9947965726233906	-97.0007304813987	0	true	2
56	25	25	1	0	0	0	0	0	-97.00039332645927	-97.00039332645927	2.999647669111948	2.999647669111948	-97.00039332645927	0.9947965726233906	-97.00039332645927	0	true	3
57	28	28	1	0	0	0	0	0	-97.00031349222614	-97.00031349222614	2.999575427145279	2.999575427145279	-97.00031349222614	0.994566643027906	-97.00031349222614	0	true	2
58	30	30	1	0	0	0	0	0	-97.00008418219672	-97.00008418219672	2.99937872733019	2.99937872733019	-97.00008418219672	0.9943033754688151	-97.00008418219672	0	true	2
59	32	32	1	0	0	0	0	0	-97.00016799288004	-97.00016799288004	2.9998752467905256	2.9998752467905256	-97.00016799288004	0.9940871173627914	-97.00016799288004	0	true	3
60	34	34	1	0	0	0	0	0	2.9990613725545057	2.9990613725545057	2.9998326624528024	2.9998326624528024	2.9990613725545057	0.9934788823009042	2.9990613725545057	0	true	2
61	35	35	1	0	0	0	0	0	2.999706434747491	2.999706434747491	2.999706434747491	2.999706434747491	2.999706434747491	0.9932342942367726	2.999706434747491	0	true	3
62	36	36	1	0	0	0	0	0	2.9995289847895394	2.9995289847895394	2.9997753641266867	2.9997753641266867	2.9995289847895394	0.9924927804300305	2.9995289847895394	0	true	3
