# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e53f97ea-4692-4bbb-9a09-dbbc5a2cb66a
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-97.06776258391302	-97.06776258391302	-47.067951511177434	-47.067951511177434	-97.06776258391302	0.9991239280309399	-97.06776258391302	0	true	2
25	6	6	1	0	0	0	0	0	-97.03046501819121	-97.03046501819121	2.954732104095102	2.954732104095102	-97.03046501819121	0.9990443117099597	-97.03046501819121	0	true	1
26	6	6	1	0	0	0	0	0	-97.0001137784823	-97.0001137784823	2.981141289837554	2.981141289837554	-97.0001137784823	0.9990443117099597	-97.0001137784823	0	true	1
27	6	6	1	0	0	0	0	0	-97.00035903105389	-97.00035903105389	2.9806175724637516	2.9806175724637516	-97.00035903105389	0.9990443117099597	-97.00035903105389	0	true	1
28	6	6	1	0	0	0	0	0	-97.00097321814731	-97.00097321814731	2.981288156754929	2.981288156754929	-97.00097321814731	0.9990443117099597	-97.00097321814731	0	true	1
29	6	6	1	0	0	0	0	0	-97.00058053444887	-97.00058053444887	2.981542319268753	2.981542319268753	-97.00058053444887	0.9990443117099597	-97.00058053444887	0	true	7
30	6	6	1	0	0	0	0	0	-97.00031089239127	-97.00031089239127	2.981256470362095	2.981256470362095	-97.00031089239127	0.99887542860485	-97.00031089239127	0	true	0
31	6	6	1	0	0	0	0	0	-97.00028957739286	-97.00028957739286	2.981311235421409	2.981311235421409	-97.00028957739286	0.99887542860485	-97.00028957739286	0	true	1
32	6	6	1	0	0	0	0	0	-97.00045074105945	-97.00045074105945	2.9809796882551436	2.9809796882551436	-97.00045074105945	0.9988428582917216	-97.00045074105945	0	true	1
33	7	7	1	0	0	0	0	0	-97.0004415352882	-97.0004415352882	2.9809829165123483	2.9809829165123483	-97.0004415352882	0.9987036576717526	-97.0004415352882	0	true	0
34	7	7	1	0	0	0	0	0	-97.00070983753973	-97.00070983753973	2.985050630500965	2.985050630500965	-97.00070983753973	0.9987036576717526	-97.00070983753973	0	true	0
35	8	8	1	0	0	0	0	0	2.984709240124346	2.984709240124346	2.984709240124346	2.984709240124346	2.984709240124346	0.9983518909790103	2.984709240124346	0	true	0
36	8	8	1	0	0	0	0	0	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	2.99940168669908	0.9983518909790103	2.99940168669908	0	true	1
37	10	10	1	0	0	0	0	0	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	2.9994745679783783	0.9981269328342386	2.9994745679783783	0	true	0
38	10	10	1	0	0	0	0	0	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	2.999397422216519	0.9978048486266367	2.999397422216519	0	true	1
39	10	10	1	0	0	0	0	0	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	2.99904757397588	0.9978048486266367	2.99904757397588	0	true	1
40	11	11	1	0	0	0	0	0	2.999433941698899	2.999433941698899	2.999433941698899	2.999433941698899	2.999433941698899	0.9975972905593614	2.999433941698899	0	true	0
41	11	11	1	0	0	0	0	0	-147.00003006317232	-147.00003006317232	2.999159599247409	2.999159599247409	-147.00003006317232	0.9975972905593614	-147.00003006317232	0	true	0
42	12	12	1	0	0	0	0	0	-47.000628781311406	-47.000628781311406	2.999371125398631	2.999371125398631	-47.000628781311406	0.9975264473866985	-47.000628781311406	0	true	0
43	13	13	1	0	0	0	0	0	-47.00025685357121	-47.00025685357121	2.999742655467797	2.999742655467797	-47.00025685357121	0.9975127758972373	-47.00025685357121	0	true	1
44	14	14	1	0	0	0	0	0	2.9996746111482135	2.9996746111482135	2.9996746111482135	2.9996746111482135	2.9996746111482135	0.9973835181786945	2.9996746111482135	0	true	0
45	14	14	1	0	0	0	0	0	-47.00009836075311	-47.00009836075311	2.9999014577835172	2.9999014577835172	-47.00009836075311	0.9973835181786945	-47.00009836075311	0	true	1
46	15	15	1	0	0	0	0	0	2.9997918717206593	2.9997918717206593	2.9997918717206593	2.9997918717206593	2.9997918717206593	0.9972990035165704	2.9997918717206593	0	true	0
47	16	16	1	0	0	0	0	0	-47.00013479528828	-47.00013479528828	2.9998649805235202	2.9998649805235202	-47.00013479528828	0.9970454960849826	-47.00013479528828	0	true	1
48	18	18	1	0	0	0	0	0	-47.000058453083014	-47.000058453083014	2.999941253892533	2.999941253892533	-47.000058453083014	0.9965166580153677	-47.000058453083014	0	true	1
49	20	20	1	0	0	0	0	0	2.9998241637906675	2.9998241637906675	2.9998241637906675	2.9998241637906675	2.9998241637906675	0.9960338789744191	2.9998241637906675	0	true	0
50	20	20	1	0	0	0	0	0	2.999933266404028	2.999933266404028	2.999933266404028	2.999933266404028	2.999933266404028	0.995822775093032	2.999933266404028	0	true	0
51	20	20	1	0	0	0	0	0	2.999322852059193	2.999322852059193	2.999322852059193	2.999322852059193	2.999322852059193	0.995685255993157	2.999322852059193	0	true	0
52	21	21	1	0	0	0	0	0	2.999760499911765	2.999760499911765	2.999760499911765	2.999760499911765	2.999760499911765	0.9956069556444243	2.999760499911765	0	true	0
53	22	22	1	0	0	0	0	0	-47.00008915271002	-47.00008915271002	2.9999106963351863	2.9999106963351863	-47.00008915271002	0.99541306906661	-47.00008915271002	0	true	1
54	23	23	1	0	0	0	0	0	-97.00036804665707	-97.00036804665707	2.9993275034568243	2.9993275034568243	-97.00036804665707	0.9953123971896682	-97.00036804665707	0	true	0
55	25	25	1	0	0	0	0	0	-47.00040497570293	-47.00040497570293	2.999594869493256	2.999594869493256	-47.00040497570293	0.9947965726233906	-47.00040497570293	0	true	0
56	25	25	1	0	0	0	0	0	2.999647669111948	2.999647669111948	2.999647669111948	2.999647669111948	2.999647669111948	0.9947965726233906	2.999647669111948	0	true	0
57	28	28	1	0	0	0	0	0	-97.00031349222614	-97.00031349222614	2.999575427145279	2.999575427145279	-97.00031349222614	0.994566643027906	-97.00031349222614	0	true	0
58	30	30	1	0	0	0	0	0	-97.00008359163965	-97.00008359163965	2.99937872733019	2.99937872733019	-97.00008359163965	0.9943033754688151	-97.00008359163965	0	true	0
59	32	32	1	0	0	0	0	0	2.9998752467905256	2.9998752467905256	2.9998752467905256	2.9998752467905256	2.9998752467905256	0.9940871173627914	2.9998752467905256	0	true	1
60	34	34	1	0	0	0	0	0	2.9998326624528024	2.9998326624528024	2.9998326624528024	2.9998326624528024	2.9998326624528024	0.9934788823009042	2.9998326624528024	0	true	1
61	35	35	1	0	0	0	0	0	-147.00005765341953	-147.00005765341953	2.999706434747491	2.999706434747491	-147.00005765341953	0.9932342942367726	-147.00005765341953	0	true	0
62	36	36	1	0	0	0	0	0	2.9997753641266867	2.9997753641266867	2.9997753641266867	2.9997753641266867	2.9997753641266867	0.9924927804300305	2.9997753641266867	0	true	1
63	41	41	1	0	0	0	0	0	2.99984054519028	2.99984054519028	2.99984054519028	2.99984054519028	2.99984054519028	0.9921783361724218	2.99984054519028	0	true	0
64	44	44	1	0	0	0	0	0	-147.00002114400309	-147.00002114400309	2.9999554414420175	2.9999554414420175	-147.00002114400309	0.9917707503235098	-147.00002114400309	0	true	0
65	48	48	1	0	0	0	0	0	-47.00005201246999	-47.00005201246999	2.999947741216642	2.999947741216642	-47.00005201246999	0.9912448366366673	-47.00005201246999	0	true	0
66	49	49	1	0	0	0	0	0	-47.000032430131306	-47.000032430131306	2.999967475199393	2.999967475199393	-47.000032430131306	0.9907793845636457	-47.000032430131306	0	true	1
67	49	49	1	0	0	0	0	0	2.9993535466808585	2.9993535466808585	2.9993535466808585	2.9993535466808585	2.9993535466808585	0.9907600836373472	2.9993535466808585	0	true	0
68	49	49	1	0	0	0	0	0	2.9999319801343063	2.9999319801343063	2.9999319801343063	2.9999319801343063	2.9999319801343063	0.9904983148244274	2.9999319801343063	0	true	0
69	49	49	1	0	0	0	0	0	2.999905907743333	2.999905907743333	2.999905907743333	2.999905907743333	2.999905907743333	0.990298067714083	2.999905907743333	0	true	0
70	51	50	1	0	0	0	0	0	2.999768590845207	2.999768590845207	2.999768590845207	2.999768590845207	2.999768590845207	0.9890473092023018	2.999768590845207	0	true	0
71	54	54	1	0	0	0	0	0	2.9997755924786307	2.9997755924786307	2.9997755924786307	2.9997755924786307	2.9997755924786307	0.9879075675715193	2.9997755924786307	0	true	0
72	57	57	1	0	0	0	0	0	2.9999728178434006	2.9999728178434006	2.9999728178434006	2.9999728178434006	2.9999728178434006	0.9874168561423006	2.9999728178434006	0	true	0
73	60	60	1	0	0	0	0	0	2.999828800949513	2.999828800949513	2.999828800949513	2.999828800949513	2.999828800949513	0.9870647239017116	2.999828800949513	0	true	1
74	61	60	1	0	0	0	0	0	2.999507064690282	2.999507064690282	2.999507064690282	2.999507064690282	2.999507064690282	0.9866070945526061	2.999507064690282	0	true	1
75	63	61	1	0	0	0	0	0	2.999841068304682	2.999841068304682	2.999841068304682	2.999841068304682	2.999841068304682	0.9859606962955384	2.999841068304682	0	true	0
76	66	64	1	0	0	0	0	0	2.9995839658539762	2.9995839658539762	2.9995839658539762	2.9995839658539762	2.9995839658539762	0.9853701903042092	2.9995839658539762	0	true	0
77	68	66	1	0	0	0	0	0	2.999086527714563	2.999086527714563	2.999086527714563	2.999086527714563	2.999086527714563	0.9848686586587321	2.999086527714563	0	true	0
78	70	68	1	0	0	0	0	0	-97.00031490789281	-97.00031490789281	2.9996163197297534	2.9996163197297534	-97.00031490789281	0.984257755097565	-97.00031490789281	0	true	1
79	73	71	1	0	0	0	0	0	-97.00045359811524	-97.00045359811524	2.999233919783157	2.999233919783157	-97.00045359811524	0.9835717314539304	-97.00045359811524	0	true	0
80	77	75	1	0	0	0	0	0	-147.00007474565658	-147.00007474565658	2.999243323855419	2.999243323855419	-147.00007474565658	0.9830086781058776	-147.00007474565658	0	true	0
81	81	79	1	0	0	0	0	0	-147.0008921663969	-147.0008921663969	2.953094007797743	2.953094007797743	-147.0008921663969	0.9814523581491584	-147.0008921663969	0	true	0
82	83	81	1	0	0	0	0	0	-147.02134573521477	-147.02134573521477	2.9535223508866757	2.9535223508866757	-147.02134573521477	0.9806404032723846	-147.02134573521477	0	true	0
83	84	82	1	0	0	0	0	0	2.9794595946034734	2.9794595946034734	2.9794595946034734	2.9794595946034734	2.9794595946034734	0.9800847705456169	2.9794595946034734	0	true	0
84	85	83	1	0	0	0	0	0	-97.0001706567283	-97.0001706567283	2.9995873266879056	2.9995873266879056	-97.0001706567283	0.979688662899087	-97.0001706567283	0	true	0
85	87	85	1	0	0	0	0	0	2.9999665443205132	2.9999665443205132	2.9999665443205132	2.9999665443205132	2.9999665443205132	0.9793162061982293	2.9999665443205132	0	true	0
