# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e65d3755-61e9-43fa-a657-1101a9f01d90
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	0	0	0	0	0	-776.9046664734143	-124.26038815090645	33.62670035195688	32.58121568753606	-Infinity,-825.5829651004377,-631.8287934059629,-781.0120345982444,-777.6227858464523,-432.05823836350584,-627.1966868810381,-619.9869551004648,-Infinity,-822.3414357318985,-127.09941181544339,-Infinity,-870.6204684850038,-Infinity,-572.0353369404049,-731.0699889031234,-181.11936829265235,-Infinity,-972.4449415748936,-376.77590723632807,-574.7014764459592,-519.862696456206,-Infinity,-624.8000055871154,-776.9472873283979,-429.15821420972406,-Infinity,-978.509672261874,-379.96309095267213,-475.6338908766625,-528.648144619992,-575.7633488312,-575.3782871422989,-525.0864182194945,-Infinity,-427.27357747939243,-532.7274539819799,-473.90086339335033,-Infinity,-Infinity,-927.7505909276522,-975.7028229762872,-377.8369940311059,-675.9108162419717,-522.3194021581637,-332.4125253738339,-729.8678162243535,-522.9284057585519,-819.1783410685982,-776.5813188422495,-529.1697041340369,-533.0436381762128,-380.1959559881945,-425.83011792290444,-476.209266850076,-722.2042446276371,-476.13082893483795,-676.5274506590349,-124.26038815090645,-681.3456289500161,-434.6451502424442,-428.64450390986275,-725.4574832523002,-124.73773546269098,-615.4373362251487,-328.8322632941812,-975.3577079352068,-Infinity,-Infinity,-426.23094613285707,-Infinity,-780.1309104066759,-478.2048998644675,-277.80614030278934,-673.6050852056982,-Infinity,-578.447787390708,-721.5834852129707,-Infinity,-683.247840943905,-Infinity,-631.3423843340072,-341.6670749074213,-477.58435147622924,-Infinity,-574.1455354270047,-517.640366319136,-Infinity,-582.0780020913892,-779.5747125268599,-619.3867230196213,-876.3751714937647,-729.2161913520766,-632.3779893203878,-475.4507419473211,-228.51117005540593,-Infinity,-828.8168182220388,-678.4781237056897,-776.9046664734143	0.9977623354120823	-124.26038815090645	2	true	35
25	14	14	100	0	0	0	0	0	-828.7854083673392	-277.1402075934789	33.031575883523026	37.40894803811239	-527.9069584120269,-625.7712795569586,-525.011524810821,-471.4595647650338,-Infinity,-Infinity,-427.1836924938876,-584.7802510784251,-533.8753268296541,-481.3503716058287,-879.1362283815782,-382.9848134729381,-1036.0637092380307,-525.6424088324657,-635.6893448584692,-539.1469420917949,-787.2045929938596,-430.11878664819346,-480.5272193442043,-Infinity,-Infinity,-531.7754987709195,-672.4413962571934,-475.2663065079029,-522.626600073839,-677.6542106407662,-878.0989475366821,-525.8911199396564,-625.8559618127013,-426.74021230018155,-Infinity,-277.71500641982675,-671.0108874048715,-370.45698998387644,-669.1684916808352,-524.4798092953963,-773.0445364535805,-779.0184632936226,-782.7544974703245,-673.6082462437821,-485.90341077290077,-676.7938723926301,-481.2627313368866,-474.7742762946297,-829.7604769461587,-1128.1659700751497,-Infinity,-777.6637288674109,-479.39134766479026,-578.5932188900103,-823.2244988290197,-Infinity,-524.3904555974495,-373.5782663594157,-575.0843824002089,-Infinity,-723.8499343310356,-426.97055553689887,-319.32017122087956,-826.722506474374,-682.1489632114891,-Infinity,-376.9954936921056,-578.5884301803853,-626.8437417713554,-Infinity,-Infinity,-782.050725862865,-277.1402075934789,-537.3743850884488,-877.325703267815,-581.6931823450484,-281.0084991194875,-621.609840350088,-523.1135675627398,-726.9359470630586,-483.7939319528694,-834.1596798976091,-477.1166026913063,-623.2901164370443,-626.4351736973546,-719.6252301124779,-875.2658735177282,-921.7919060954739,-578.3922527154759,-328.7534545170907,-571.9264382026867,-825.4676071117162,-369.16072766433535,-473.0968764019849,-328.0849406774849,-Infinity,-422.3048743178218,-783.6394376378416,-582.9479910046025,-580.2184998337708,-973.9848606775885,-471.7439749804139,-723.0141454891213,-828.7854083673392	0.9968314678208231	-277.1402075934789	4	true	10
26	14	14	100	0	0	0	0	0	-384.03182140529424	-69.69315945641054	41.30281260648688	43.21325522303027	-424.0318391902591,-631.1895332718609,-434.2284943727043,-624.4481299669031,-273.1088586865996,-519.0481846222991,-272.3066563436631,-671.4556278698886,-580.4855481262317,-572.2983821977014,-379.1704647723357,-322.29389357144305,-Infinity,-Infinity,-833.1413736084102,-325.0369947516923,-325.11609943359133,-624.1719077376625,-426.0125690033584,-774.5045994978678,-Infinity,-682.1734779343385,-Infinity,-335.2822065839761,-515.0493247468296,-771.1737867673834,-272.4342647549041,-Infinity,-526.0521069098768,-281.0060069173343,-378.5633591443884,-780.7323971971754,-728.6469452879257,-279.4630045522646,-Infinity,-Infinity,-429.21883738234965,-325.1028567195636,-619.9786529197606,-275.953689358038,-334.5779141061864,-529.4768598883267,-234.23723235790933,-373.5201229026994,-327.54502606006616,-323.860262368622,-469.1171935990646,-518.3735817101519,-427.09229880693306,-430.6003332810445,-274.08900481419494,-633.4046815809928,-627.9409144002021,-675.143639175597,-470.1420846895855,-332.14446732653107,-482.01928446506,-681.5448169635844,-423.8433031810715,-677.579156765311,-226.81089670896847,-430.23970418412614,-375.3425452167102,-518.3383183611297,-216.62667589298633,-326.43160746563166,-370.8296524284356,-327.3860193106155,-69.69315945641054,-324.09721819005364,-321.7506898247007,-125.12481095672037,-521.6684389378668,-573.1391812739937,-Infinity,-329.1868540619982,-571.3500659251231,-821.2239364493381,-Infinity,-475.56216463484503,-432.76658412404913,-Infinity,-Infinity,-240.2429710189924,-Infinity,-425.51230343989323,-429.41841557484753,-384.30579133895395,-126.52204701211873,-373.280922107007,-830.6056495986113,-369.68428531227454,-86.45151969544149,-129.8759304718197,-379.38895772689654,-477.20296347874876,-371.5436064746942,-421.5940986447393,-280.5643316391164,-384.03182140529424	0.9962825977292168	-69.69315945641054	2	true	9
27	14	14	100	0	0	0	0	0	-382.2444132437746	-71.85574805106948	43.306015135127474	42.60081602422064	-319.8301496921678,-368.27173772926676,-421.47145677465403,-577.8983388747264,-118.72075070331017,-470.1693965856135,-630.9049997490915,-268.44084146866123,-420.0135845926142,-428.6463159048916,-373.8752597632408,-571.5338579399829,-218.8110342718873,-228.11120185835824,-372.46469305053154,-365.4042439066539,-418.020644140229,-577.3167725303822,-322.86944277128646,-471.2011634017706,-328.17683775198867,-282.077017214306,-269.89663199249884,-429.31739352829027,-216.9869970629695,-374.4293363477083,-781.1453981124491,-476.1727128833933,-368.05943776445855,-332.0639819191784,-535.2334411347895,-372.02081586701456,-482.90362331497647,-287.2909444789124,-322.69419865397913,-418.92396327317897,-624.670867198124,-175.1827031820964,-419.65913051869956,-234.6291582711361,-166.86247955309304,-Infinity,-771.700929994584,-474.83058469164405,-Infinity,-380.569156584843,-515.5655057391858,-518.6653227819779,-179.65216232354553,-169.99275982854317,-514.9988629507191,-531.4428092095101,-71.85574805106948,-175.4689423816038,-321.3877233591466,-472.4377979836326,-333.2185976760907,-426.99580144974163,-277.68064812191466,-669.9382463574021,-281.3799021386581,-79.87557436911591,-Infinity,-324.2606320620839,-374.40036592175375,-520.4512191377073,-Infinity,-625.1815662415676,-Infinity,-271.8707402620734,-422.1892919464644,-525.9716828482631,-274.9741060109316,-322.59376624584974,-567.5294852936362,-242.42701968303564,-326.22701427258585,-422.4681762305591,-219.67136580062137,-Infinity,-530.460029375175,-534.9705317214718,-375.57264756103,-629.3195778686576,-425.04166135693634,-Infinity,-225.49683074612403,-222.7610313872134,-474.9184712567525,-Infinity,-417.6016925954658,-274.40095934523924,-472.76677017612457,-434.5392724032581,-623.2190535899853,-222.984371937138,-621.5443699295656,-79.11040070759654,-464.3769385765032,-382.2444132437746	0.9962825977292168	-71.85574805106948	3	true	8
28	14	14	100	0	0	0	0	0	-465.08252077494467	-26.344839375936477	43.00000423955159	44.42830917313577	-415.0166312969893,-515.5527789678611,-466.4974334708962,-726.7555947747811,-678.2427743535492,-570.0081960136322,-520.192753049935,-172.28908782876215,-371.77466188746945,-275.6460245535523,-273.01632170393316,-317.31576310620244,-Infinity,-428.96742390481205,-268.82597474113487,-874.8275871421521,-366.003123469419,-580.7752910236841,-Infinity,-Infinity,-Infinity,-471.0474932277893,-231.63177158778424,-Infinity,-182.41604031526384,-373.19766984626244,-226.18330974696357,-784.5289326030047,-623.0008609118968,-Infinity,-418.1118203983033,-517.9599362664227,-521.4373797583198,-373.946768663048,-530.3119860117569,-276.8247059888391,-483.90891196655116,-222.60567120559722,-173.72163537605888,-775.4754829661699,-323.55295090229305,-Infinity,-574.7176000896586,-114.12190703114372,-271.4904723403354,-626.6975993187746,-219.55876406561953,-518.7805207362313,-470.31761359202653,-671.3796715639827,-420.8100852739918,-630.0240895341241,-570.7471090499763,-Infinity,-572.6964725780313,-226.93098041258776,-632.0760849370998,-728.1164132426975,-773.2401350835216,-325.497799398601,-226.15080343835615,-328.2456544989393,-327.4297696934658,-322.80182185238556,-377.498680470349,-427.3419303106334,-322.3994684303823,-171.88706455296676,-81.07444661525243,-513.0269530198561,-721.5607121199201,-268.4692927036091,-522.6792191730532,-Infinity,-266.2006836185203,-270.6907504268644,-373.27504557926187,-426.4721704913113,-Infinity,-326.6448030548877,-723.2161522160047,-467.4550042168641,-122.7138812749332,-165.89646847789152,-26.344839375936477,-425.25551804619045,-370.21259412465946,-224.02914227261223,-323.8668130485903,-468.7648509833194,-70.8541925958859,-370.3830949434712,-79.57598628175161,-369.0716559452578,-433.9545002647156,-274.3769123332433,-216.41637129377912,-269.87942117641643,-319.7622215172811,-465.08252077494467	0.9962825977292168	-26.344839375936477	2	true	8
29	14	13	100	0	0	0	0	0	-330.5254167357747	-19.754215043510754	43.5237849604746	-5.467831122616456	-222.2541184578102,-383.1185985654828,-Infinity,-466.92926799483354,-Infinity,-430.34934919573163,-Infinity,-421.1921369620408,-434.9031894364959,-921.2416515152212,-Infinity,-271.5589930889918,-80.65245634438551,-565.1840601832046,-178.62306723835587,-318.1797086196705,-423.92160569807857,-524.6390711926102,-184.1744886057802,-285.36110459209425,-470.97599752862317,-Infinity,-319.2383499387796,-177.34343585907354,-125.2729756803801,-669.1594955329513,-264.4686521421507,-529.4176450481799,-577.5793211562334,-Infinity,-582.221620101747,-174.78988423132165,-325.98138716165744,-579.523546104062,-422.5945784067952,-374.3996957089517,-522.7164417087685,-530.0876793999255,-283.40847606564984,-Infinity,-370.74779423194457,-19.754215043510754,-Infinity,-Infinity,-476.2467882478643,-316.86663227908554,-577.0355405323202,-230.724949036874,-273.39297117210486,-Infinity,-171.1218749474541,-382.3884492758208,-379.3634419873763,-728.3379133466839,-280.91964290806425,-Infinity,-526.4887931420335,-467.77627646204235,-216.57996456324992,-Infinity,-268.5025552047685,-539.1092007146032,-668.1388565434589,-381.9690151726087,-377.48717195264356,-369.72724374107355,-270.6114219365921,-381.6432405044297,-572.4742074688205,-Infinity,-423.1656880552781,-431.30089530280287,-474.95708560529715,-415.854718387353,-277.037923577537,-471.35134369464373,-377.2666636736429,-Infinity,-317.11055904422045,-571.2972279510058,-322.83122218013074,-775.2064148615078,-171.33483435901093,-Infinity,-21.337064609871536,-Infinity,-Infinity,-Infinity,-424.85759535832705,-520.658060468646,-772.2280192068448,-71.07984707645355,-379.8072733578762,-377.74877492240296,-Infinity,-372.1515892070308,-466.4317221669035,-Infinity,-669.6161937696895,-330.5254167357747	0.9962914805418883	-19.754215043510754	2	true	8
30	14	13	100	0	0	0	0	0	-578.4867297771847	-21.00442405459264	40.84487825654198	45.573483937636794	-722.3104753129284,-125.61657083987497,-Infinity,-Infinity,-527.1519249823405,-525.8777100156756,-516.171484194209,-366.1819163592659,-519.6298421058846,-Infinity,-641.739023298885,-326.48711015303826,-417.07056291949465,-21.00442405459264,-379.66065873236096,-Infinity,-421.79275918826715,-477.6047079458091,-619.3856000713027,-335.00197577450155,-519.6071581357747,-675.4738865150567,-329.5131801326759,-773.4815288996945,-611.7796436567603,-371.40777439764406,-286.76151896657217,-Infinity,-622.0347259894489,-321.7287970542891,-228.4997197436372,-671.3557946534987,-124.3372864564468,-388.946615448087,-180.44201760885417,-424.0381018841221,-421.95716573760586,-529.8693254354538,-419.1986026155592,-87.53289211734044,-370.23379328264093,-226.48011418293274,-823.8672940332145,-327.14088367561,-283.11494105417546,-322.2117679571202,-126.60762661056397,-434.3563657560664,-566.8443048740421,-476.5613465487053,-316.18104861898394,-373.0782188016654,-430.9699271838507,-Infinity,-528.2342351013519,-476.3986343017361,-366.91131529742756,-169.19306806683443,-124.87820347405116,-281.78004933222326,-519.917222641639,-920.7358904274166,-736.4556410852043,-171.443395607773,-Infinity,-198.2485376940536,-540.4474574192511,-Infinity,-227.1143184530988,-438.5516895468476,-386.57885980475606,-428.3714208731067,-529.0216049936888,-527.1686891672568,-226.1665809550878,-483.5133814575873,-Infinity,-222.7817197722295,-320.5389359671957,-278.0448065821039,-673.646777592705,-378.9378419249534,-169.1649825159328,-528.6730948776719,-442.20497087591934,-Infinity,-284.4873388039851,-725.6775902057447,-424.2948514327901,-570.0061146438164,-227.77781250488178,-375.79832703995675,-Infinity,-Infinity,-380.0259008626646,-135.79225974249655,-127.48754711872662,-231.31264952268214,-370.3214500303141,-578.4867297771847	0.9961225974367784	-21.00442405459264	2	true	8
31	14	14	100	0	0	0	0	0	-573.5821612177187	-70.48171506023459	40.67055700199241	39.35578053851919	-530.076316672172,-376.79567999498596,-466.74239475029935,-Infinity,-375.1208696352804,-380.12628669039134,-428.756249972588,-177.15469469512814,-366.9343584235783,-628.6191969147175,-141.07273024072674,-481.68525119145585,-675.3580420010112,-776.4870444422124,-370.5780102827876,-230.27711931125623,-Infinity,-717.6877737787264,-273.8662662850802,-326.5887958614046,-525.5452823863843,-673.7402490343841,-469.611216916953,-328.1034701528159,-235.0674815484234,-225.89462490054513,-319.3061432472121,-474.811259722595,-70.48171506023459,-Infinity,-330.89703566603265,-330.4829878161642,-724.7676615927498,-Infinity,-721.764456594839,-433.82879209227974,-484.014880610185,-471.00762932459367,-329.0744611531988,-340.99431825640715,-373.0805427808487,-471.9828611528895,-470.4706809738287,-569.2325770230849,-230.31999263711663,-Infinity,-376.33506043208206,-422.3037912883272,-465.52472759977593,-130.40276477331892,-Infinity,-479.7070739243559,-568.0734421420565,-372.36869330087796,-675.3414904846917,-Infinity,-440.11254081626856,-566.0358664644509,-Infinity,-Infinity,-429.0493996061942,-517.7318009700625,-632.3894695493038,-477.33226341011357,-Infinity,-323.7591998910969,-365.7321083399928,-Infinity,-84.9205731252756,-226.0463857049939,-333.2500286341833,-341.055900005132,-Infinity,-120.76406180907179,-331.2676747967005,-80.83303442180339,-Infinity,-287.8064218564487,-371.9573252562666,-Infinity,-526.1331709470586,-327.51023377666075,-731.7176422224933,-435.6129591739901,-127.01186280625636,-472.2063423927427,-421.22365848199615,-Infinity,-Infinity,-525.5661815518977,-571.2187616524176,-677.7138098704987,-324.899256160924,-237.48301645057617,-576.9396913646864,-570.5483565248736,-377.0418090327894,-182.5288079870851,-622.9303052575931,-573.5821612177187	0.9959038170506138	-70.48171506023459	1	true	8
32	14	13	100	0	0	0	0	0	-Infinity	-27.76409266405838	25.463993454396924	40.38127829158152	-Infinity,-324.3535310696332,-379.42933998011546,-230.6598511974292,-320.73598040468966,-380.26038263080085,-274.45007514049195,-337.25575246080905,-481.9502858521994,-Infinity,-773.232465850681,-437.1923345428935,-322.35540926763616,-389.6094553924058,-675.6686671217723,-291.167127268924,-621.8726823862881,-782.3444414338248,-71.26231383204123,-Infinity,-478.18849343940326,-522.9668339889781,-434.6184124712841,-424.69753983488766,-626.9560372431889,-488.13339659251176,-Infinity,-Infinity,-578.0517188379634,-644.2677406327853,-519.7107948167468,-527.0178767227195,-Infinity,-Infinity,-220.1403944435098,-530.1713597620177,-519.9915638102428,-527.3195097776355,-692.1698888741072,-729.979362666113,-278.2705024647519,-371.204320873842,-728.072453945927,-188.8861202018207,-223.81070336452703,-Infinity,-278.58590940863036,-114.92320878029736,-131.25132558675276,-228.96630147082894,-Infinity,-585.6701717089526,-828.5680806638809,-Infinity,-474.59133623827216,-322.86355511531207,-270.33887069450304,-477.05930208248157,-144.53163322920008,-625.4073484895933,-79.51826085962152,-672.0984927572894,-325.0486179859571,-519.5242051511237,-526.7579115257761,-325.35121246663186,-Infinity,-228.16926732098787,-578.0408205933882,-Infinity,-Infinity,-519.8264547508695,-490.463695931567,-325.922238091672,-425.89043071622723,-577.7482486860264,-470.9144202902268,-431.68217594678725,-577.5359713269975,-379.5287491012375,-Infinity,-227.45770665767134,-Infinity,-377.461264852063,-675.1295095374636,-281.58282026260565,-Infinity,-Infinity,-437.9527214820718,-427.9010626036584,-Infinity,-384.462965235495,-Infinity,-27.76409266405838,-Infinity,-269.294045932409,-473.16826364414595,-Infinity,-325.3249530362445,-Infinity	0.9959413222596706	-27.76409266405838	4	true	8
33	15	13	100	0	0	0	0	0	-384.3143192447663	-31.48438979620518	36.909322538194075	42.65116308477725	-433.39174297668086,-31.48438979620518,-468.60905376745006,-475.8143784149412,-527.995797719701,-Infinity,-391.87495323259384,-327.9038749715921,-225.7418363357738,-625.746565511024,-428.6674879490058,-375.64424355452275,-Infinity,-685.9394705806262,-724.3892593744015,-376.57537431133136,-376.63569474336725,-290.4370514048983,-279.13185375018867,-230.3629687290018,-376.2610412493684,-381.6661158280612,-678.5085151509969,-279.4194169668564,-723.6759111273922,-Infinity,-Infinity,-425.29519244806704,-Infinity,-681.2157818072569,-276.2840632065422,-Infinity,-284.1305822475816,-467.4310451108046,-472.05343199113315,-224.65934811856158,-469.9292577012973,-275.8283116278043,-368.3755317964312,-929.6104198942089,-Infinity,-572.5633418938085,-282.038226018804,-430.4135711092349,-680.9498386181895,-174.18448076013752,-Infinity,-Infinity,-Infinity,-236.37166568129769,-Infinity,-290.87209444172964,-368.1730473598509,-485.900333724131,-520.9237167741423,-374.7438426835103,-379.28677101165687,-378.7784189631957,-680.5824880293359,-522.170275134389,-443.6742153043905,-381.89076489575945,-468.1247510237256,-Infinity,-526.3396222246014,-71.63910175045686,-287.9047103006776,-285.9532507504815,-635.1706288072456,-131.73543539082394,-777.0951229029035,-Infinity,-325.5507547381965,-232.99790591093077,-284.78104703857457,-629.1160481930289,-237.66700713111237,-Infinity,-Infinity,-428.744579727113,-229.90020184648773,-431.042282231311,-Infinity,-677.5825083354262,-424.42296626225885,-78.85433932119504,-Infinity,-Infinity,-145.134602978556,-133.74876480522826,-481.2477333974687,-577.5156572765143,-391.41023829002336,-Infinity,-331.0428225073544,-724.5549858396146,-425.95169683695235,-328.49073530000845,-379.4268253041969,-384.3143192447663	0.9957724757093455	-31.48438979620518	4	true	9
