# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ebfeaf0d-393a-4cf7-9536-59a0d49101dc
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: demo_N79.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	64400	357192	2857536	0	0	-479.73993309577077	-285.37074934041397	-63.273033769634125	-66.1339412726208	-585.2762455164923,-585.2762455164923,-585.2762590040797,-585.2763240985423,-578.0012702492261,-581.3038260566314,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706597038299,-585.3706608057917,-585.3706608057917,-585.3706617449677,-585.3706644759552,-585.3706644759552,-585.3706644759552,-585.3706644759552,-585.3706896711153,-585.3707384304175,-585.3707384304175,-585.3707384304175,-285.37074934041397,-285.37074934041397,-285.370753405912,-295.1353029991633,-301.70588580105505,-301.70589141212486,-301.70590902138724,-301.70590902138724,-301.70590902138724,-301.70590902138724,-301.70590902138724,-301.70590902138724,-301.7059109510315,-301.7059155427236,-301.7059155427236,-301.7059155427236,-301.7059155427236,-301.7059155427236,-301.7059155427236,-301.7059155427236,-301.7059155427236,-407.8367015359466,-407.8367015359466,-407.8367015359466,-612.8901961518415,-612.8901961518415,-612.8901961518415,-717.0996395860199,-717.0996395860199,-717.0996395860199,-717.0996395860199,-717.0996395860199,-717.0996522777583,-717.0996522777583,-717.0996522777583,-717.0996522777583,-717.0996522777583,-701.561045821346,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-696.278489220803,-593.0401102719554,-593.0401102719554,-593.0401102719554,-593.0401102719554,-593.0401102719554,-593.0401102719554,-593.0401102719554,-491.09352873874235,-487.08286226035074,-585.009283290771,-376.48317523443893,-375.23400915095095,-375.23400915095095,-375.23400915095095,-479.73993309577077,-479.73993309577077,-479.73993309577077	0.9976279600236874	-285.37074934041397	8	true	449
25	9	9	100	65600	382140	3057120	0	0	22.341685313180612	29.16183881321649	40.42309907183142	40.457514647069694	-Infinity,-Infinity,-Infinity,-Infinity,-579.2476818665825,-579.2476818665825,-579.2476818665825,-279.24769393980847,-279.24769393980847,-279.24769393980847,-279.24769393980847,-279.24769393980847,-279.24769393980847,-279.24769393980847,-279.2477140716374,-279.2477140716374,-279.2477140716374,-279.2477140716374,-279.2477140716374,-279.2477140716374,-279.24773998243387,-279.24774166672927,-279.24774166672927,-280.0930070524067,-288.4593163166991,-288.4593163166991,-288.4593163166991,11.54066329980146,11.540652798231998,11.540642900671388,11.540642900671388,11.540642900671388,11.540642900671388,11.540642900671388,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.54064748752012,11.540615513920352,11.540609192409613,-93.73290107830121,-93.73290107830121,-97.28371313055901,-100.73081913113677,-100.73081913113677,-100.73081913113677,-100.73081913113677,-100.73081913113677,-100.73084623845736,-100.73084623845736,-100.73084623845736,-100.73084623845736,-313.8661323093437,-213.86615342601192,-321.9065108242549,-321.9065108242549,-321.9065108242549,-213.86615342601192,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,-0.7308673551256106,6.400084750924023,17.55173789794417,17.55173789794417,17.55173789794417,17.55173789794417,17.55174421945491,17.55174421945491,17.55174421945491,22.61343291073264,22.61343291073264,29.16183881321649,29.16183881321649,29.16183881321649,29.11571415722615,27.02342861604236,27.02342861604236,27.02342861604236,22.341703496034327,22.341685313180612,22.341685313180612,22.341685313180612,22.341685313180612,22.341685313180612,22.341685313180612,22.341685313180612,22.341685313180612	0.9975483437027073	29.16183881321649	5	true	358
26	9	9	100	71000	379368	3034944	0	0	-76.02704278309083	-69.21127529500868	41.9994536891408	42.05375722624014	-574.5299794662623,-574.5299794662623,-574.5299948574782,-574.530032269693,-574.530032269693,-574.5300368212653,-574.5300420113424,-574.5300471266386,-274.5300528030721,-274.53005401355796,-274.5300574828977,-274.5300727586051,-274.5300727586051,-274.5300727586051,-274.5300727586051,-274.53007532444906,-274.53007532444906,-274.53007532444906,-274.53007532444906,-274.53007532444906,-274.53007532444906,-281.37692500932076,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7781826247779,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-286.7782398293097,-392.0171504663274,-392.0171504663274,-392.0171504663274,-398.8802717772687,-398.8803031230144,-398.8803031230144,-398.8803031230144,-398.8803031230144,-398.8803031230144,-398.8803031230144,-398.8803031230144,-411.8754931496238,-411.8754931496238,-419.8592351157895,-419.8592351157895,-419.85926126227474,-419.85926126227474,-419.85926126227474,-419.85926126227474,-98.8803292694997,-98.8803292694997,-98.8803292694997,-98.8803292694997,-98.8803292694997,-98.88034009266786,-98.88034009266786,-98.88034009266786,-98.88034009266786,-98.88034009266786,-98.88034009266786,-98.88034009266786,-85.9453174299482,-75.76628006835604,-75.76628006835604,-75.76628006835604,-75.76628006835604,-75.76628006835604,-75.76628006835604,-69.21127529500868,-69.21127529500868,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083,-81.20731241602167,-81.20731241602167,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083,-76.02704278309083	0.9975483437027073	-69.21127529500868	5	true	217
27	10	10	100	71000	379368	3034944	0	0	-375.5417959125763	-98.17053694253272	42.45947703529985	41.27603880056398	-574.1268646386739,-574.1268646386739,-574.1268777918744,-574.1269014084867,-574.1269071744191,-274.1269104794874,-274.1269104794874,-274.12692521314597,-274.12692521314597,-274.12692521314597,-274.126927712998,-274.126927712998,-274.126927712998,-274.126942176638,-274.126942176638,-274.126942176638,-274.126942176638,-274.126942176638,-274.126942176638,-280.8149074226387,-286.1363372491092,-286.1363372491092,-286.1363372491092,-286.1363372491092,-286.13634557936183,-286.13634557936183,-286.13634557936183,-286.13634557936183,-286.13634557936183,-286.13634557936183,-286.13634557936183,-286.13635308070496,-286.13638001652015,-286.13638001652015,-286.13638001652015,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.1363840914196,-286.13639785266577,-391.3689440626951,-391.3689440626951,-391.3689543779754,-398.170484986932,-398.170484986932,-398.170484986932,-398.170484986932,-398.170484986932,-398.170484986932,-411.0262602188251,-411.0262602188251,-418.95348906319015,-418.95348906319015,-418.9534996454974,-418.9534996454974,-418.9535410187909,-418.9535410187909,-418.9535410187909,-418.9535410187909,-311.0263121744258,-98.17053694253272,-98.17053694253272,-98.17053694253272,-398.1705639676527,-398.1705639676527,-398.1705639676527,-398.1705639676527,-391.92670184575246,-391.92670184575246,-391.92670184575246,-391.92670184575246,-391.92670184575246,-391.92670184575246,-382.56763252448883,-380.78847107164677,-375.46023405412325,-370.71022937418655,-368.7222299104251,-368.7222299104251,-368.77577741244994,-370.8640827095156,-370.8640827095156,-370.8640827095156,-375.5417959125763,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-380.721248245709,-375.5417959125763	0.997245085209203	-98.17053694253272	9	true	203
28	10	10	100	72200	390852	3126816	0	0	-369.6376285558103	-362.70506000727096	42.4617839365811	41.314941356762155	-573.866369587373,-573.866369587373,-573.866413485693,-573.8664315487387,-573.8664315487387,-573.8664315487387,-573.8664525524467,-573.8664525524467,-573.8664525524467,-573.8664525524467,-573.8664525524467,-573.8664526635174,-573.866453857503,-573.866453857503,-573.866453857503,-573.8664614375297,-573.8664614375297,-573.8664614375297,-585.6950458349371,-585.6950458349371,-585.695047838701,-585.6950531387871,-585.695056901886,-585.695056901886,-585.695056901886,-585.695056901886,-585.695056901886,-585.695056901886,-585.695056901886,-585.6950622877322,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950578186326,-585.6950651935732,-585.6950651935732,-585.6950651935732,-585.6950651935732,-585.6950774086273,-585.6950774086273,-585.6950774086273,-585.6950774086273,-690.9605378412178,-690.9605378412178,-694.4073467787247,-697.8039984356244,-397.8040533676801,-397.8040533676801,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-410.51881389368083,-403.65351394692294,-403.65351394692294,-403.65351394692294,-379.51790158065296,-379.51790158065296,-379.51790158065296,-379.51790158065296,-379.51790158065296,-379.51790158065296,-379.51790158065296,-376.45765332224664,-374.42406307620064,-369.86281540840207,-365.88816399264834,-365.88816399264834,-365.88816399264834,-365.90801938720523,-362.70509054137153,-362.70506000727096,-362.70506000727096,-362.70506000727096,-362.70506000727096,-362.7877363515034,-370.25822440514224,-370.25822440514224,-369.6376285558103	0.9970255371725607	-362.70506000727096	2	true	213
29	10	10	100	72200	392040	3136320	0	0	-369.8064627158382	-276.6458717096319	42.359736856466995	40.92150466667939	-576.6457476002369,-576.6457476002369,-576.6457831502097,-576.6458186629957,-576.6458404100896,-576.6458464737985,-576.6458498031546,-276.6458717096319,-276.6458717096319,-276.6458717096319,-276.6458717096319,-276.6458733119895,-276.6458733119895,-276.6458733119895,-276.6458736541522,-276.645879037128,-276.64588836183844,-285.7002428115419,-285.7002428115419,-285.7002428115419,-285.7002428115419,-285.7002428115419,-285.70024517071715,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.70025017106946,-285.7002537070824,-285.7002537070824,-285.7002537070824,-285.7002537070824,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-285.700255362351,-385.42488896479404,-385.42488896479404,-391.0779009964013,-391.0779009964013,-391.0779009964013,-403.0299680033633,-403.0299680033633,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-410.5642273810987,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-385.0575362492921,-379.598586482838,-375.27392547683866,-366.1623998196613,-366.1623998196613,-366.1623998196613,-366.1623998196613,-364.96052417485674,-364.9605027145082,-366.3272715030774,-370.45104068917766,-370.45103779843447,-370.45103779843447,-369.8064627158382,-369.8064627158382,-369.8064627158382	0.9970255371725607	-276.6458717096319	6	true	216
30	10	10	100	72000	390060	3120480	0	0	-469.9276641246126	-264.6282557403887	40.92071410256904	43.22746172140841	-571.8730495106918,-571.8730495106918,-571.8730921432036,-571.8731204293576,-571.8735801880077,-567.8613030942082,-264.6282557403887,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62825769250804,-264.62828920152134,-273.5285902425541,-273.5285902425541,-273.5286053264186,-273.5286053264186,-273.5286053264186,-273.5286053264186,-273.5286053264186,-273.5286053264186,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.5286133387615,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-273.52862407853354,-376.36105299646704,-487.57175368680896,-487.57175368680896,-490.61437156913075,-502.42717974980025,-502.42717974980025,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.904486491047,-509.9044683410194,-509.9046671235774,-509.9046671235774,-490.29586488720986,-490.29586488720986,-490.29586488720986,-484.40331981044653,-484.40331981044653,-484.40331981044653,-484.40331981044653,-484.40331981044653,-484.41326430366144,-484.41326430366144,-484.41326430366144,-484.4132540566645,-475.88607228845643,-474.603568641919,-474.603568641919,-474.603568641919,-474.603568641919,-469.59807295022154,-469.59807295022154,-465.64844071618535,-464.44557061225095,-464.44557061225095,-464.44557061225095,-464.44557061225095,-464.44557061225095,-469.9276641246126,-469.9276641246126,-469.9276641246126	0.9968566540674508	-264.6282557403887	4	true	210
31	10	9	100	72000	390060	3120480	0	0	-1010.1840087152337	-275.8807574636538	38.367184785063884	-58.71264017921085	-575.879898449308,-575.879898449308,-575.8799542079427,-575.8799866062075,-575.8804887495926,-275.8807574636538,-275.8807574636538,-275.98621027682765,-276.0967563878845,-276.0967549884885,-276.0967549884885,-276.0967549884885,-276.0967549884885,-276.0967549884885,-276.0967549884885,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.85286151488356,-284.8528612606136,-284.8528843398176,-284.8528843398176,-284.8528836619726,-284.85288412311036,-284.85288412311036,-284.85288412311036,-284.85288412311036,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85298772712406,-284.85297676171047,-284.85297676171047,-284.85297676171047,-284.85297676171047,-284.85297676171047,-284.85297676171047,-384.5781612880505,-690.1066418074577,-901.7771692935688,-901.7771692935688,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-1009.1980939922386,-994.9501191397216,-994.9501191397216,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-993.1007695283853,-992.3627564638012,-995.3494445427102,-995.3494445427102,-995.3494445427102,-995.3494445427102,-995.3494445427102,-998.4538258484595,-1003.1601376076005,-1003.1601376076005,-1003.1601376076005,-1003.1601376076005,-1003.1601376076005,-1010.1840087152337,-1010.1840087152337,-1010.1840087152337	0.9965060571278173	-275.8807574636538	6	true	218
32	10	9	100	66400	377388	3019104	0	0	-483.4850143001513	-174.94057034790484	33.592800006196164	40.05562777193699	-474.9404791552208,-474.9404791552208,-474.94052447782315,-474.94055500768,-474.94055500768,-174.94057034790484,-174.9405790343393,-174.9405790343393,-175.16560899751101,-175.1656121013242,-175.1656121013242,-175.1656121013242,-175.1656121013242,-175.1656121013242,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609097191928,-183.80609161049392,-183.80609161049392,-183.80609161049392,-183.80609161049392,-183.80609161049392,-183.80609161049392,-183.80609161049392,-183.80609547851742,-283.80616457765404,-283.80616457765404,-283.80616457765404,-283.80616457765404,-383.530097700799,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1007.8886723348677,-1001.034069966151,-1001.034069966151,-1001.034069966151,-1001.034069966151,-1001.034069966151,-993.6061411264033,-991.7971020337685,-991.7971020337685,-991.7971020337685,-991.7971020337685,-991.7971020337685,-991.7971020337685,-990.9683989140013,-992.0665277511459,-994.0413676673346,-994.0413676673346,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-1001.8184094088341,-983.4850969534024,-983.4850969534024,-983.485093743186,-983.485093743186,-983.485093743186,-483.4850246440495,-483.4850246440495,-483.4850246440495,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513,-483.4850143001513	0.9963190794043032	-174.94057034790484	6	true	198
33	11	11	100	65400	365508	2924064	0	0	-383.2219512707638	-371.3703417276942	-61.251932422976054	-59.833292076767876	-Infinity,-Infinity,-Infinity,-390.6398695854491,-390.6398695854491,-375.10076999252834,-375.1007798192348,-372.2924180511528,-371.3703417276942,-384.37915894247146,-384.37915894247146,-384.37917645149525,-384.37917645149525,-384.37917645149525,-384.37917645149525,-384.37918170598766,-384.37918170598766,-384.3791918301174,-384.3791918301174,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-384.37919399736256,-486.09630031646924,-907.5622019372038,-907.5622019372038,-907.5622019372038,-907.5622019372038,-907.5622019372038,-907.5622019372038,-907.5622019372038,-900.745332911535,-893.3131395252086,-893.3131395252086,-893.3131395252086,-893.3131395252086,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631484872868,-891.4631436418446,-891.4631436418446,-891.4631436418446,-891.4631436418446,-891.4631436418446,-891.4631436418446,-890.6335840821935,-890.6335840821935,-891.7315975959464,-896.7885525238044,-901.4682583851352,-901.4682583851352,-901.4682583851352,-901.4682482610054,-901.4682482610054,-901.4682482610054,-601.468262680068,-601.468262680068,-601.4682574255755,-601.4682574255755,-601.4682574255755,-587.6282109490105,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-583.2220644551023,-383.22198680320486,-383.22198680320486,-383.22198680320486,-383.2219887726936,-383.2219866054484,-383.2219512707638,-383.2219512707638,-383.2219512707638,-383.2219512707638	0.9961648182130558	-371.3703417276942	6	true	202
